GeneID,Pool
CNAG_05639,AP1
CNAG_06517,AP1
CNAG_01551,AP1
CNAG_01983,AP1
CNAG_04837,AP1
CNAG_04875,AP1
CNAG_04753,AP1
CNAG_04518,AP1
CNAG_04270,AP1
CNAG_07742,AP1
CNAG_03223,AP1
CNAG_05835,AP1
CNAG_05742,AP1
CNAG_05684,AP1
CNAG_05843,AP1
CNAG_01973,AP1
CNAG_00791,AP1
CNAG_06751,AP1
CNAG_04804,AP1
CNAG_01883,AP1
CNAG_02435,AP1
CNAG_07320,AP1
CNAG_01438,AP1
CNAG_07464,AP1
CNAG_00998,AP1
CNAG_00039,AP1
CNAG_00732,AP1
CNAG_06134,AP1
CNAG_01242,AP1
CNAG_03894,AP1
CNAG_04841,AP1
CNAG_05222,AP1
CNAG_03409,AP1
CNAG_05622,AP1
CNAG_05181,AP1
CNAG_03772,AP1
CNAG_00445,AP1
CNAG_05313,AP1
CNAG_06200,AP1
CNAG_00183,AP1
CNAG_07548,AP1
CNAG_05264,AP1
CNAG_01040,AP1
CNAG_02797,AP1
CNAG_07540,AP1
CNAG_04980,AP1
CNAG_00106,AP1
CNAG_01013,AP1
CNAG_00531,AP1
CNAG_05159,AP1
CNAG_00546,AP1
CNAG_00702,AP1
CNAG_00897,AP1
CNAG_01126,AP1
CNAG_00394,AP1
CNAG_00740,AP1
CNAG_04755,AP1
CNAG_01865,AP1
CNAG_05812,AP1
CNAG_05429,AP1
CNAG_03884,AP1
CNAG_07442,AP1
CNAG_01523,AP1
CNAG_05415,AP1
CNAG_04186,AP1
CNAG_00156,AP1
CNAG_01113,AP1
CNAG_04524,AP1
CNAG_02830,AP1
CNAG_00737,AP1
CNAG_00777,AP1
CNAG_00519,AP1
CNAG_03168,AP1
CNAG_05420,AP1
CNAG_06401,AP1
CNAG_02930,AP1
CNAG_01238,AP1
CNAG_07415,AP1
CNAG_05392,AP1
CNAG_06034,AP1
CNAG_04243,AP1
CNAG_01773,AP1
CNAG_01232,AP1
CNAG_01601,AP1
CNAG_00879,AP1
CNAG_05640,AP1
CNAG_00874,AP1
CNAG_03116,AP1
CNAG_07780,AP1
CNAG_04140,AP1
CNAG_06230,AP1
CNAG_07873,AP1
CNAG_01744,AP1
CNAG_04283,AP1
CNAG_03382,AP1
CNAG_04505,AP1
CNAG_04028,AP1
CNAG_02298,AP1
CNAG_00066,AP1
CNAG_00236,AP1
CNAG_05446,AP1
CNAG_04688,AP1
CNAG_03114,AP1
CNAG_02030,AP1
CNAG_03385,AP1
CNAG_07380,AP1
CNAG_02335,AP1
CNAG_02882,AP1
CNAG_03024,AP1
CNAG_00794,AP1
CNAG_05524,AP1
CNAG_04388,AP1
CNAG_00735,AP1
CNAG_01254,AP1
CNAG_02321,AP1
CNAG_03227,AP1
CNAG_03370,AP1
CNAG_06405,AP1
CNAG_05155,AP1
CNAG_04497,AP1
CNAG_05799,AP1
CNAG_02912,AP1
CNAG_03320,AP1
CNAG_05293,AP1
CNAG_03121,AP1
CNAG_01576,AP1
CNAG_04018,AP1
CNAG_01109,AP1
CNAG_03308,AP1
CNAG_02350,AP1
CNAG_03463,AP1
CNAG_06096,AP1
CNAG_00461,AP1
CNAG_05726,AP1
CNAG_04281,AP1
CNAG_04159,AP1
CNAG_04741,AP1
CNAG_05292,AP1
CNAG_07554,AP1
CNAG_07108,AP1
CNAG_00676,AP1
CNAG_01175,AP1
CNAG_04974,AP1
CNAG_06812,AP1
CNAG_04398,AP1
CNAG_03079,AP1
CNAG_00051,AP1
CNAG_00137,AP1
CNAG_07348,AP1
CNAG_01475,AP1
CNAG_03765,AP1
CNAG_06863,AP1
CNAG_02533,AP1
CNAG_06000,AP1
CNAG_04224,AP1
CNAG_00565,AP1
CNAG_04108,AP1
CNAG_00746,AP1
CNAG_07937,AP1
CNAG_01594,AP1
CNAG_04514,AP1
CNAG_03854,AP1
CNAG_06644,AP1
CNAG_02655,AP1
CNAG_07517,AP1
CNAG_02498,AP1
CNAG_01163,AP1
CNAG_07318,AP1
CNAG_02366,AP1
CNAG_00372,AP1
CNAG_03722,AP1
CNAG_06193,AP1
CNAG_02270,AP1
CNAG_02549,AP1
CNAG_03434,AP1
CNAG_04848,AP1
CNAG_01626,AP1
CNAG_01722,AP1
CNAG_05039,AP1
CNAG_05081,AP1
CNAG_05781,AP1
CNAG_04080,AP1
CNAG_05674,AP1
CNAG_03516,AP1
CNAG_03756,AP1
CNAG_02730,AP1
CNAG_04772,AP1
CNAG_05424,AP1
CNAG_03324,AP1
CNAG_03325,AP1
CNAG_01526,AP1
CNAG_07639,AP1
CNAG_04952,AP1
CNAG_02702,AP1
CNAG_04197,AP1
CNAG_06031,AP1
CNAG_02529,AP1
CNAG_05139,AP1
CNAG_02885,AP1
CNAG_01182,AP1
CNAG_03322,AP1
CNAG_06573,AP1
CNAG_04677,AP1
CNAG_04612,AP1
CNAG_04611,AP1
CNAG_03154,AP1
CNAG_05882,AP1
CNAG_02789,AP1
CNAG_04456,AP1
CNAG_00383,AP1
CNAG_01918,AP1
CNAG_05074,AP1
CNAG_05277,AP1
CNAG_04639,AP1
CNAG_02522,AP1
CNAG_05592,AP1
CNAG_03203,AP1
CNAG_03202,AP1
CNAG_03362,AP1
CNAG_05886,AP1
CNAG_03928,AP1
CNAG_07481,AP1
CNAG_00600,AP1
CNAG_02699,AP1
CNAG_04450,AP1
CNAG_05583,AP1
CNAG_02473,AP1
CNAG_00415,AP1
CNAG_05280,AP1
CNAG_04536,AP1
CNAG_06680,AP1
CNAG_00888,AP1
CNAG_06591,AP1
CNAG_05558,AP1
CNAG_02779,AP1
CNAG_02780,AP1
CNAG_04168,AP1
CNAG_06606,AP1
CNAG_03388,AP1
CNAG_03080,AP1
CNAG_03725,AP1
CNAG_07474,AP1
CNAG_02676,AP1
CNAG_01172,AP1
CNAG_07430,AP1
