"","Gene","PostInput_Counts","Mouse1_Counts","Mouse2_Counts","Mouse3_Counts","Mouse4_Counts","Mouse5_Counts","PostInput_log2NormCounts","Mouse1_log2NormCounts","Mouse2_log2NormCounts","Mouse3_log2NormCounts","Mouse4_log2NormCounts","Mouse5_log2NormCounts","Mouse1_L2FC","Mouse2_L2FC","Mouse3_L2FC","Mouse4_L2FC","Mouse5_L2FC","Mouse1_Zadj","Mouse2_Zadj","Mouse3_Zadj","Mouse4_Zadj","Mouse5_Zadj","Avg_Zadj"
"1","CNAG_00015",1064,199,374,550,245,151,10.2590786115924,9.22472487785962,10.0866932248456,10.8171970238327,10.0772987157954,8.90358373830793,-1.03435373373283,-0.172385386746827,0.558118412240269,-0.181779895797057,-1.35549487328452,-0.632815548570444,0.0183475925239163,0.703452788313218,-0.0807159179718105,-0.365329131244717,-0.0714120433899676
"2","CNAG_00031",942,330,752,446,310,150,10.0835318906936,9.95346493112995,11.0937205769454,10.5149955575259,10.4165051555488,8.89401777275132,-0.130066959563667,1.01018868625182,0.431463666832267,0.332973264855205,-1.1895141179423,0.174329111749058,1.00283534808426,0.591469296296767,0.384198161343596,-0.277119845276316,0.375142414439472
"3","CNAG_00051",1575,14,11,16,14,9,10.8245502729823,5.4269723267318,5.04236076698555,5.74035210488475,5.96988292975928,4.8818685568733,-5.39757794625053,-5.78218950599679,-5.08419816809759,-4.85466734322306,-5.94268171610904,-4.52732470817432,-4.65178985813866,-4.28527709853895,-4.30116822682551,-2.80315678888445,-4.11374333611238
"4","CNAG_00052",1136,458,503,503,213,355,10.3534686765752,10.4259397913383,10.5138730639192,10.6883985175756,9.8755710037633,10.1351220403497,0.0724711147630899,0.160404387344014,0.334929841000392,-0.477897672811901,-0.218346636225467,0.355109733421244,0.295393627312555,0.506117619345875,-0.348163180452599,0.239000170814377,0.20949159408829
"5","CNAG_00079",1144,656,399,648,418,1139,10.3635851824169,10.9439714428377,10.17996057134,11.0536382858035,10.8474671211728,11.8161155254258,0.580386260420783,-0.183624611076963,0.690053103386528,0.48388193875584,1.45253034300888,0.808462596056743,0.00899098731189931,0.82010461517589,0.520495657989019,1.12697579772015,0.65700593085074
"6","CNAG_00091",1278,427,451,441,248,185,10.523271147056,10.3249043964482,10.3565558582784,10.4987416814488,10.094840933281,9.19600670240941,-0.198366750607835,-0.166715288777603,-0.0245294656072783,-0.428430213775068,-1.32726444464663,0.113366358320657,0.0230679243415876,0.188296851856529,-0.303485226178282,-0.350326271740945,-0.0658160726800906
"7","CNAG_00107",2161,504,806,317,412,1358,11.2806817741509,10.5639202082971,11.1937235258003,10.0228358458196,10.8266199191373,12.0697667336493,-0.716761565853874,-0.0869582483506814,-1.25784592833132,-0.45406185501361,0.789084959498341,-0.349340405744969,0.0894653124738446,-0.902156441561797,-0.3266351780361,0.774392491072124,-0.142854844359379
"8","CNAG_00126",4993,708,1726,215,242,598,12.4885606569121,11.0539711998507,12.2919759059554,9.46334741853703,10.0595405682884,10.8869270865459,-1.43458945706136,-0.196584750956713,-3.02521323837507,-2.42902008862375,-1.60163357036622,-0.990056344501082,-0.00179827258588456,-2.46479795504682,-2.11037534526843,-0.496137782368182,-1.21263313995408
"9","CNAG_00137",96,0,0,0,0,0,6.80058112995983,0,0,0,0,0,-6.80058112995983,-6.80058112995983,-6.80058112995983,-6.80058112995983,-6.80058112995983,-5.77961166015664,-5.49959644129378,-5.80284011670857,-6.05867606891729,-3.25908129996684,-5.27996111740863
"10","CNAG_00139",1910,602,81,254,757,2380,11.1026315445776,10.8201048048254,7.88443990479513,9.70352542082309,11.7039067932947,12.8791007128801,-0.28252673975223,-3.21819163978251,-1.39910612375455,0.601275248717061,1.77646916830249,0.0382471729130663,-2.51727282262634,-1.02705353811717,0.626522792527157,1.29913077085349,-0.316085124889959
