Gene,Plate,QC
CNAG_07448,0,PASS
CNAG_05662,0,PASS
CNAG_07436,0,Primer fail
CNAG_02123,0,PASS
CNAG_05641,0,PASS
CNAG_05329,0,PASS
CNAG_05590,0,PASS
CNAG_07869,0,PASS
CNAG_05340,0,PASS
CNAG_05265,0,PASS
CNAG_05638,0,PASS
CNAG_05639,0,PASS
CNAG_06346,0,PASS
CNAG_06347,0,PASS
CNAG_02581,0,PASS
CNAG_02580,0,PASS
CNAG_07939,0,PASS
CNAG_06493,0,PASS
CNAG_06201,0,PASS
CNAG_06104,0,PASS
CNAG_06081,0,PASS
CNAG_07902,0,PASS
CNAG_00269,0,PASS
CNAG_06242,0,PASS
CNAG_06186,0,Primer fail
CNAG_05799,0,PASS
CNAG_01551,0,PASS
CNAG_06758,0,PASS
CNAG_02911,0,PASS
CNAG_01983,0,PASS
CNAG_02912,0,PASS
CNAG_01680,0,PASS
CNAG_01621,0,PASS
CNAG_03320,0,PASS
CNAG_01988,0,PASS
CNAG_01353,0,PASS
CNAG_01939,0,PASS
CNAG_01993,0,PASS
CNAG_01992,0,PASS
CNAG_01354,0,PASS
CNAG_01562,0,PASS
CNAG_01925,0,PASS
CNAG_02815,0,PASS
CNAG_04756,0,PASS
CNAG_02814,0,PASS
CNAG_04807,0,PASS
CNAG_06433,0,PASS
CNAG_01533,0,PASS
CNAG_04737,0,PASS
CNAG_03146,0,PASS
CNAG_04874,0,PASS
CNAG_04868,0,PASS
CNAG_04752,0,PASS
CNAG_04753,0,PASS
CNAG_04909,0,PASS
CNAG_04908,0,PASS
CNAG_04659,0,PASS
CNAG_04623,0,PASS
CNAG_04518,0,PASS
CNAG_03856,0,PASS
CNAG_06918,0,PASS
CNAG_07525,0,PASS
CNAG_04436,0,PASS
CNAG_02705,0,PASS
CNAG_04271,0,PASS
CNAG_04270,0,PASS
CNAG_03346,0,PASS
CNAG_03433,0,PASS
CNAG_07784,0,PASS
CNAG_00191,0,PASS
CNAG_07742,0,PASS
CNAG_03438,0,PASS
CNAG_03223,0,PASS
CNAG_03142,0,PASS
CNAG_03143,0,PASS
CNAG_03545,0,PASS
CNAG_03161,0,PASS
CNAG_03566,0,PASS
CNAG_02216,0,PASS
CNAG_05835,0,PASS
CNAG_05864,0,PASS
CNAG_06567,0,PASS
CNAG_05742,0,PASS
CNAG_05743,0,PASS
CNAG_05867,0,Primer fail
CNAG_05685,0,PASS
CNAG_05684,0,PASS
CNAG_05785,0,PASS
CNAG_05843,0,PASS
CNAG_06554,0,PASS
CNAG_02217,0,PASS
CNAG_02188,0,PASS
CNAG_02182,0,PASS
CNAG_07631,0,PASS
CNAG_02371,0,PASS
CNAG_07633,0,Fail
CNAG_01069,1,PASS
CNAG_00896,1,PASS
CNAG_06719,1,PASS
CNAG_03669,1,PASS
CNAG_00031,1,PASS
CNAG_07332,1,PASS
CNAG_07387,1,PASS
CNAG_00828,1,PASS
CNAG_00830,1,PASS
CNAG_00841,1,PASS
CNAG_02774,1,PASS
CNAG_06531,1,PASS
CNAG_07856,1,PASS
CNAG_03336,1,PASS
CNAG_01553,1,PASS
CNAG_06339,1,PASS
CNAG_03121,1,PASS
