Gene Flank,Gene,Count
CNAG_05641L,CNAG_05641,3
CNAG_05590L,CNAG_05590,4
CNAG_07869L,CNAG_07869,1
CNAG_05639L,CNAG_05639,795
CNAG_06346L,CNAG_06346,1
CNAG_06347L,CNAG_06347,1
CNAG_06517L,CNAG_06517,891
CNAG_06493L,CNAG_06493,1
CNAG_06201L,CNAG_06201,1
CNAG_06104L,CNAG_06104,2
CNAG_06081L,CNAG_06081,2
CNAG_07902L,CNAG_07902,1
CNAG_06242L,CNAG_06242,1
CNAG_06186L,CNAG_06186,2
CNAG_07911L,CNAG_07911,1
CNAG_01551L,CNAG_01551,1375
CNAG_01683L,CNAG_01683,4
CNAG_01983L,CNAG_01983,1163
CNAG_01680L,CNAG_01680,1
CNAG_01621L,CNAG_01621,2
CNAG_01939L,CNAG_01939,2
CNAG_01992L,CNAG_01992,1
CNAG_01562L,CNAG_01562,2
CNAG_04756L,CNAG_04756,1
CNAG_04807L,CNAG_04807,2
CNAG_04837L,CNAG_04837,1036
CNAG_04737L,CNAG_04737,1
CNAG_04875L,CNAG_04875,980
CNAG_04874L,CNAG_04874,2
CNAG_04868L,CNAG_04868,2
CNAG_04752L,CNAG_04752,1
CNAG_04753L,CNAG_04753,6579
CNAG_04908L,CNAG_04908,4
CNAG_04659L,CNAG_04659,3
CNAG_04623L,CNAG_04623,1
CNAG_04518L,CNAG_04518,963
CNAG_04270L,CNAG_04270,706
CNAG_03433L,CNAG_03433,2
CNAG_03333L,CNAG_03333,3
CNAG_07742L,CNAG_07742,2589
CNAG_03438L,CNAG_03438,2
CNAG_03223L,CNAG_03223,478
CNAG_03142L,CNAG_03142,6
CNAG_03143L,CNAG_03143,1
CNAG_05835L,CNAG_05835,671
CNAG_05864L,CNAG_05864,2
CNAG_06567L,CNAG_06567,1
CNAG_05742L,CNAG_05742,389
CNAG_05867L,CNAG_05867,1
CNAG_05685L,CNAG_05685,1
CNAG_05684L,CNAG_05684,503
CNAG_05843L,CNAG_05843,411
CNAG_02188L,CNAG_02188,3
CNAG_02182L,CNAG_02182,1
CNAG_07631L,CNAG_07631,2
CNAG_07633L,CNAG_07633,1
CNAG_01069L,CNAG_01069,2
CNAG_00896L,CNAG_00896,2
CNAG_03669L,CNAG_03669,1
CNAG_07332L,CNAG_07332,2
CNAG_00285L,CNAG_00285,2
CNAG_00828L,CNAG_00828,1
CNAG_00830L,CNAG_00830,2
CNAG_02774L,CNAG_02774,2
CNAG_06531L,CNAG_06531,1
CNAG_03279L,CNAG_03279,2
CNAG_03336L,CNAG_03336,2
CNAG_04534L,CNAG_04534,1
CNAG_01973L,CNAG_01973,6
CNAG_07867L,CNAG_07867,1
CNAG_05333L,CNAG_05333,1
CNAG_06425L,CNAG_06425,2
CNAG_03849L,CNAG_03849,3
CNAG_02555L,CNAG_02555,1
CNAG_03431L,CNAG_03431,1
CNAG_03914L,CNAG_03914,1
