Gene Flank,Gene,Count
CNAG_05515L,CNAG_05515,1
CNAG_05641L,CNAG_05641,2
CNAG_05387L,CNAG_05387,2
CNAG_05590L,CNAG_05590,2
CNAG_07869L,CNAG_07869,1
CNAG_05340L,CNAG_05340,1
CNAG_05638L,CNAG_05638,2
CNAG_05639L,CNAG_05639,755
CNAG_06517L,CNAG_06517,877
CNAG_07939L,CNAG_07939,3
CNAG_06493L,CNAG_06493,1
CNAG_06201L,CNAG_06201,1
CNAG_06104L,CNAG_06104,2
CNAG_06186L,CNAG_06186,1
CNAG_07911L,CNAG_07911,1
CNAG_01551L,CNAG_01551,1639
CNAG_01683L,CNAG_01683,2
CNAG_01983L,CNAG_01983,1113
CNAG_01680L,CNAG_01680,2
CNAG_01621L,CNAG_01621,1
CNAG_01988L,CNAG_01988,1
CNAG_01989L,CNAG_01989,2
CNAG_01993L,CNAG_01993,1
CNAG_01992L,CNAG_01992,4
CNAG_01562L,CNAG_01562,1
CNAG_01925L,CNAG_01925,1
CNAG_04756L,CNAG_04756,1
CNAG_04807L,CNAG_04807,2
CNAG_04837L,CNAG_04837,1061
CNAG_04836L,CNAG_04836,2
CNAG_04737L,CNAG_04737,2
CNAG_04875L,CNAG_04875,771
CNAG_04874L,CNAG_04874,3
CNAG_04752L,CNAG_04752,1
CNAG_04753L,CNAG_04753,4193
CNAG_04909L,CNAG_04909,3
CNAG_04908L,CNAG_04908,1
CNAG_04623L,CNAG_04623,1
CNAG_04518L,CNAG_04518,850
CNAG_07770L,CNAG_07770,1
CNAG_04270L,CNAG_04270,620
CNAG_03433L,CNAG_03433,2
CNAG_03333L,CNAG_03333,1
CNAG_07742L,CNAG_07742,2345
CNAG_03438L,CNAG_03438,2
CNAG_03223L,CNAG_03223,409
CNAG_03545L,CNAG_03545,1
CNAG_03566L,CNAG_03566,2
CNAG_05835L,CNAG_05835,334
CNAG_05864L,CNAG_05864,1
CNAG_05742L,CNAG_05742,281
CNAG_05867L,CNAG_05867,2
CNAG_05685L,CNAG_05685,2
CNAG_05684L,CNAG_05684,468
CNAG_05843L,CNAG_05843,73
CNAG_06554L,CNAG_06554,2
CNAG_02188L,CNAG_02188,1
CNAG_02182L,CNAG_02182,2
CNAG_02371L,CNAG_02371,1
CNAG_01069L,CNAG_01069,1
CNAG_00896L,CNAG_00896,2
CNAG_03669L,CNAG_03669,1
CNAG_07332L,CNAG_07332,1
CNAG_00828L,CNAG_00828,3
CNAG_00841L,CNAG_00841,3
CNAG_02774L,CNAG_02774,1
CNAG_06531L,CNAG_06531,1
CNAG_03279L,CNAG_03279,1
CNAG_03336L,CNAG_03336,3
CNAG_04534L,CNAG_04534,1
CNAG_01973L,CNAG_01973,5
CNAG_07867L,CNAG_07867,1
CNAG_06425L,CNAG_06425,1
CNAG_03849L,CNAG_03849,3
CNAG_02603L,CNAG_02603,2
CNAG_02555L,CNAG_02555,1
CNAG_03431L,CNAG_03431,3
CNAG_05049L,CNAG_05049,1
CNAG_05380L,CNAG_05380,5
CNAG_03914L,CNAG_03914,2
CNAG_02476L,CNAG_02476,2
CNAG_07583L,CNAG_07583,4
CNAG_02466L,CNAG_02466,1
CNAG_03366L,CNAG_03366,2
CNAG_03977L,CNAG_03977,1
CNAG_00791L,CNAG_00791,584
CNAG_06751L,CNAG_06751,505
CNAG_05375L,CNAG_05375,18
CNAG_04804L,CNAG_04804,330
CNAG_00627L,CNAG_00627,1
CNAG_07725L,CNAG_07725,1
CNAG_01883L,CNAG_01883,1430
CNAG_03401L,CNAG_03401,2
CNAG_02435L,CNAG_02435,781
CNAG_01708L,CNAG_01708,2
CNAG_03700L,CNAG_03700,2
CNAG_07320L,CNAG_07320,120
CNAG_05215L,CNAG_05215,3
CNAG_01438L,CNAG_01438,720
CNAG_07464L,CNAG_07464,917
CNAG_01858L,CNAG_01858,2
CNAG_04586L,CNAG_04586,1
CNAG_05093L,CNAG_05093,6
CNAG_00998L,CNAG_00998,675
CNAG_00039L,CNAG_00039,1499
CNAG_01454L,CNAG_01454,1
CNAG_06327L,CNAG_06327,2
CNAG_03788L,CNAG_03788,1
CNAG_00871L,CNAG_00871,925
CNAG_00559L,CNAG_00559,24
CNAG_07370L,CNAG_07370,1
CNAG_00732L,CNAG_00732,731
CNAG_04630L,CNAG_04630,1
CNAG_07940L,CNAG_07940,1
CNAG_02589L,CNAG_02589,2
CNAG_01645L,CNAG_01645,1
CNAG_06134L,CNAG_06134,154
CNAG_01242L,CNAG_01242,919
CNAG_03998L,CNAG_03998,1
CNAG_07924L,CNAG_07924,3
CNAG_01071L,CNAG_01071,2
CNAG_00883L,CNAG_00883,1
CNAG_00192L,CNAG_00192,2
CNAG_00670L,CNAG_00670,1
CNAG_06871L,CNAG_06871,4
CNAG_04457L,CNAG_04457,1
CNAG_04588L,CNAG_04588,1
CNAG_01977L,CNAG_01977,1
CNAG_03894L,CNAG_03894,791
CNAG_04093L,CNAG_04093,3
CNAG_02322L,CNAG_02322,1
CNAG_05255L,CNAG_05255,1
