Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,1
CNAG_05387R,CNAG_05387,4
CNAG_05638R,CNAG_05638,1
CNAG_05639R,CNAG_05639,1303
CNAG_06346R,CNAG_06346,4
CNAG_06517R,CNAG_06517,1259
CNAG_06104R,CNAG_06104,2
CNAG_07902R,CNAG_07902,2
CNAG_06242R,CNAG_06242,4
CNAG_07911R,CNAG_07911,2
CNAG_01683R,CNAG_01683,2
CNAG_01680R,CNAG_01680,2
CNAG_01965R,CNAG_01965,1
CNAG_01925R,CNAG_01925,1
CNAG_04837R,CNAG_04837,1355
CNAG_04836R,CNAG_04836,1
CNAG_04875R,CNAG_04875,1341
CNAG_04753R,CNAG_04753,6
CNAG_04518R,CNAG_04518,1244
CNAG_07770R,CNAG_07770,1
CNAG_03333R,CNAG_03333,2
CNAG_07742R,CNAG_07742,2418
CNAG_03142R,CNAG_03142,1
CNAG_05867R,CNAG_05867,1
CNAG_05684R,CNAG_05684,751
CNAG_02189R,CNAG_02189,4
CNAG_02371R,CNAG_02371,3
CNAG_06719R,CNAG_06719,3
CNAG_03669R,CNAG_03669,1
CNAG_07332R,CNAG_07332,2
CNAG_00285R,CNAG_00285,1
CNAG_00830R,CNAG_00830,2
CNAG_00841R,CNAG_00841,1
CNAG_06531R,CNAG_06531,5
CNAG_03336R,CNAG_03336,4
CNAG_06339R,CNAG_06339,2
CNAG_03768R,CNAG_03768,3
CNAG_04534R,CNAG_04534,1
CNAG_01973R,CNAG_01973,873
CNAG_05333R,CNAG_05333,3
CNAG_06425R,CNAG_06425,2
CNAG_03849R,CNAG_03849,2
CNAG_02603R,CNAG_02603,2
CNAG_02555R,CNAG_02555,2
CNAG_02525R,CNAG_02525,1
CNAG_03431R,CNAG_03431,1
CNAG_02476R,CNAG_02476,1
CNAG_07583R,CNAG_07583,3
CNAG_05112R,CNAG_05112,3
CNAG_03366R,CNAG_03366,1
CNAG_04090R,CNAG_04090,2
CNAG_00791R,CNAG_00791,1096
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,10
CNAG_02516R,CNAG_02516,4
CNAG_04804R,CNAG_04804,607
CNAG_06203R,CNAG_06203,2
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,1613
CNAG_03401R,CNAG_03401,3
CNAG_02435R,CNAG_02435,1100
CNAG_01708R,CNAG_01708,3
CNAG_05215R,CNAG_05215,2
CNAG_01438R,CNAG_01438,889
CNAG_07464R,CNAG_07464,1473
CNAG_01858R,CNAG_01858,4
CNAG_04586R,CNAG_04586,1
CNAG_01014R,CNAG_01014,1
CNAG_00998R,CNAG_00998,2
CNAG_01454R,CNAG_01454,1
CNAG_03788R,CNAG_03788,2
CNAG_00871R,CNAG_00871,1492
CNAG_00559R,CNAG_00559,26
CNAG_07370R,CNAG_07370,2
CNAG_02589R,CNAG_02589,3
CNAG_01645R,CNAG_01645,2
CNAG_01242R,CNAG_01242,1203
CNAG_07435R,CNAG_07435,1
CNAG_00883R,CNAG_00883,3
CNAG_00192R,CNAG_00192,2
CNAG_00670R,CNAG_00670,2
CNAG_06871R,CNAG_06871,1
CNAG_04457R,CNAG_04457,1
CNAG_03894R,CNAG_03894,1229
CNAG_04012R,CNAG_04012,2
CNAG_01487R,CNAG_01487,3
CNAG_05170R,CNAG_05170,3
CNAG_04093R,CNAG_04093,4
CNAG_05255R,CNAG_05255,1
CNAG_03018R,CNAG_03018,1
CNAG_07901R,CNAG_07901,3
CNAG_03086R,CNAG_03086,1
CNAG_06136R,CNAG_06136,5
CNAG_03177R,CNAG_03177,2
CNAG_04774R,CNAG_04774,1
CNAG_04768R,CNAG_04768,1
CNAG_06276R,CNAG_06276,1
CNAG_05222R,CNAG_05222,283
CNAG_03409R,CNAG_03409,350
CNAG_05622R,CNAG_05622,1392
CNAG_04637R,CNAG_04637,1
CNAG_07680R,CNAG_07680,511
CNAG_02387R,CNAG_02387,1
CNAG_04086R,CNAG_04086,6
CNAG_05697R,CNAG_05697,3
CNAG_04507R,CNAG_04507,1
CNAG_04506R,CNAG_04506,1
CNAG_00068R,CNAG_00068,3
CNAG_00733R,CNAG_00733,1
CNAG_03910R,CNAG_03910,1
CNAG_04059R,CNAG_04059,3
CNAG_07491R,CNAG_07491,3
CNAG_05181R,CNAG_05181,1150
CNAG_03772R,CNAG_03772,1820
CNAG_00445R,CNAG_00445,1606
CNAG_01901R,CNAG_01901,4
CNAG_05313R,CNAG_05313,695
CNAG_05312R,CNAG_05312,2
CNAG_06200R,CNAG_06200,2
CNAG_00442R,CNAG_00442,2
CNAG_07548R,CNAG_07548,4
CNAG_01277R,CNAG_01277,2
CNAG_01230R,CNAG_01230,2
CNAG_05264R,CNAG_05264,1
CNAG_01040R,CNAG_01040,1
CNAG_00598R,CNAG_00598,1
CNAG_02219R,CNAG_02219,4
CNAG_03013R,CNAG_03013,1
CNAG_07540R,CNAG_07540,986
CNAG_04980R,CNAG_04980,370
CNAG_00456R,CNAG_00456,2
CNAG_00455R,CNAG_00455,1
CNAG_01061R,CNAG_01061,2
CNAG_01013R,CNAG_01013,428
CNAG_05080R,CNAG_05080,2
CNAG_00164R,CNAG_00164,2
CNAG_03677R,CNAG_03677,1
CNAG_05077R,CNAG_05077,1
CNAG_00546R,CNAG_00546,1
CNAG_00702R,CNAG_00702,1
CNAG_00897R,CNAG_00897,1
CNAG_04024R,CNAG_04024,1
CNAG_04025R,CNAG_04025,1
CNAG_01019R,CNAG_01019,1
CNAG_01803R,CNAG_01803,3
CNAG_07541R,CNAG_07541,1
CNAG_07542R,CNAG_07542,3
CNAG_05915R,CNAG_05915,3
CNAG_00917R,CNAG_00917,8
CNAG_00919R,CNAG_00919,2
CNAG_05458R,CNAG_05458,1
CNAG_05459R,CNAG_05459,1
CNAG_01985R,CNAG_01985,1
CNAG_00740R,CNAG_00740,583
CNAG_04163R,CNAG_04163,2
CNAG_04755R,CNAG_04755,2626
CNAG_01777R,CNAG_01777,2
CNAG_03173R,CNAG_03173,1
CNAG_03172R,CNAG_03172,1
CNAG_07388R,CNAG_07388,3
CNAG_07389R,CNAG_07389,1
CNAG_06060R,CNAG_06060,2
CNAG_02045R,CNAG_02045,2
CNAG_04950R,CNAG_04950,1
CNAG_04949R,CNAG_04949,2
CNAG_01865R,CNAG_01865,914
CNAG_06896R,CNAG_06896,2
CNAG_05812R,CNAG_05812,944
CNAG_06658R,CNAG_06658,1
CNAG_05994R,CNAG_05994,1
CNAG_05429R,CNAG_05429,2
CNAG_02517R,CNAG_02517,2
CNAG_02129R,CNAG_02129,1
CNAG_05352R,CNAG_05352,3
CNAG_07442R,CNAG_07442,1
CNAG_01523R,CNAG_01523,252
CNAG_07486R,CNAG_07486,1
CNAG_00710R,CNAG_00710,1
CNAG_00709R,CNAG_00709,1
CNAG_04186R,CNAG_04186,1
CNAG_01704R,CNAG_01704,2
CNAG_07827R,CNAG_07827,1
CNAG_07516R,CNAG_07516,3
