Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,1
CNAG_05387R,CNAG_05387,1
CNAG_05638R,CNAG_05638,2
CNAG_05639R,CNAG_05639,979
CNAG_06346R,CNAG_06346,1
CNAG_06347R,CNAG_06347,2
CNAG_06517R,CNAG_06517,990
CNAG_06201R,CNAG_06201,2
CNAG_06104R,CNAG_06104,1
CNAG_07902R,CNAG_07902,2
CNAG_06241R,CNAG_06241,1
CNAG_06242R,CNAG_06242,1
CNAG_01551R,CNAG_01551,2
CNAG_01683R,CNAG_01683,1
CNAG_01983R,CNAG_01983,1
CNAG_01680R,CNAG_01680,3
CNAG_01965R,CNAG_01965,1
CNAG_01925R,CNAG_01925,1
CNAG_04837R,CNAG_04837,1226
CNAG_04836R,CNAG_04836,3
CNAG_04875R,CNAG_04875,924
CNAG_04753R,CNAG_04753,6
CNAG_04518R,CNAG_04518,936
CNAG_04517R,CNAG_04517,1
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,4
CNAG_07742R,CNAG_07742,1814
CNAG_05742R,CNAG_05742,1
CNAG_05867R,CNAG_05867,2
CNAG_05684R,CNAG_05684,529
CNAG_02189R,CNAG_02189,2
CNAG_06719R,CNAG_06719,3
CNAG_03669R,CNAG_03669,3
CNAG_00285R,CNAG_00285,3
CNAG_00830R,CNAG_00830,3
CNAG_00841R,CNAG_00841,1
CNAG_06531R,CNAG_06531,2
CNAG_03336R,CNAG_03336,3
CNAG_03768R,CNAG_03768,1
CNAG_04534R,CNAG_04534,1
CNAG_01973R,CNAG_01973,507
CNAG_05333R,CNAG_05333,1
CNAG_06425R,CNAG_06425,2
CNAG_03849R,CNAG_03849,1
CNAG_02555R,CNAG_02555,2
CNAG_03431R,CNAG_03431,2
CNAG_03914R,CNAG_03914,2
CNAG_02476R,CNAG_02476,1
CNAG_07583R,CNAG_07583,1
CNAG_05112R,CNAG_05112,3
CNAG_04090R,CNAG_04090,3
CNAG_00791R,CNAG_00791,738
CNAG_05375R,CNAG_05375,19
CNAG_02516R,CNAG_02516,2
CNAG_04804R,CNAG_04804,388
CNAG_06203R,CNAG_06203,3
CNAG_01883R,CNAG_01883,1717
CNAG_03401R,CNAG_03401,5
CNAG_02435R,CNAG_02435,898
CNAG_01708R,CNAG_01708,1
CNAG_03700R,CNAG_03700,1
CNAG_05215R,CNAG_05215,1
CNAG_01438R,CNAG_01438,682
CNAG_07464R,CNAG_07464,1148
CNAG_01858R,CNAG_01858,1
CNAG_04586R,CNAG_04586,3
CNAG_05176R,CNAG_05176,4
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,3
CNAG_03788R,CNAG_03788,2
CNAG_00871R,CNAG_00871,1082
CNAG_00559R,CNAG_00559,35
CNAG_07370R,CNAG_07370,1
CNAG_01645R,CNAG_01645,3
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,967
CNAG_07924R,CNAG_07924,1
CNAG_01071R,CNAG_01071,2
CNAG_00883R,CNAG_00883,2
CNAG_03745R,CNAG_03745,2
CNAG_00670R,CNAG_00670,1
CNAG_06871R,CNAG_06871,2
CNAG_04457R,CNAG_04457,5
CNAG_03894R,CNAG_03894,881
CNAG_01487R,CNAG_01487,1
CNAG_05170R,CNAG_05170,1
CNAG_02364R,CNAG_02364,1
CNAG_02322R,CNAG_02322,1
CNAG_05255R,CNAG_05255,1
CNAG_07901R,CNAG_07901,2
CNAG_03086R,CNAG_03086,1
CNAG_04841R,CNAG_04841,1
CNAG_03177R,CNAG_03177,1
CNAG_03183R,CNAG_03183,1
CNAG_04774R,CNAG_04774,5
CNAG_04768R,CNAG_04768,2
CNAG_06276R,CNAG_06276,1
CNAG_05222R,CNAG_05222,99
CNAG_03409R,CNAG_03409,140
CNAG_05622R,CNAG_05622,1203
CNAG_04637R,CNAG_04637,3
CNAG_07680R,CNAG_07680,200
CNAG_02387R,CNAG_02387,1
CNAG_04086R,CNAG_04086,1
CNAG_05697R,CNAG_05697,4
CNAG_04507R,CNAG_04507,2
CNAG_04506R,CNAG_04506,1
CNAG_00068R,CNAG_00068,3
CNAG_00733R,CNAG_00733,4
CNAG_03910R,CNAG_03910,2
CNAG_07491R,CNAG_07491,1
CNAG_05181R,CNAG_05181,924
CNAG_03772R,CNAG_03772,1443
CNAG_00445R,CNAG_00445,1533
CNAG_01901R,CNAG_01901,4
CNAG_05313R,CNAG_05313,342
CNAG_05312R,CNAG_05312,3
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,2
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,2
CNAG_05264R,CNAG_05264,3
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,2
CNAG_00598R,CNAG_00598,1
CNAG_02219R,CNAG_02219,2
CNAG_03013R,CNAG_03013,1
CNAG_07540R,CNAG_07540,889
CNAG_04980R,CNAG_04980,76
CNAG_00456R,CNAG_00456,1
CNAG_00455R,CNAG_00455,4
CNAG_00106R,CNAG_00106,4
CNAG_01061R,CNAG_01061,3
CNAG_01013R,CNAG_01013,190
CNAG_05080R,CNAG_05080,1
CNAG_05077R,CNAG_05077,3
CNAG_00897R,CNAG_00897,1
CNAG_04024R,CNAG_04024,2
CNAG_04025R,CNAG_04025,1
CNAG_01019R,CNAG_01019,1
CNAG_01803R,CNAG_01803,1
CNAG_07541R,CNAG_07541,3
CNAG_07542R,CNAG_07542,2
CNAG_05915R,CNAG_05915,2
CNAG_00917R,CNAG_00917,10
CNAG_00919R,CNAG_00919,2
CNAG_05458R,CNAG_05458,1
CNAG_05459R,CNAG_05459,3
CNAG_01985R,CNAG_01985,2
CNAG_00740R,CNAG_00740,491
CNAG_04163R,CNAG_04163,1
CNAG_04755R,CNAG_04755,927
CNAG_01777R,CNAG_01777,4
CNAG_07388R,CNAG_07388,1
CNAG_07389R,CNAG_07389,1
CNAG_02045R,CNAG_02045,1
CNAG_04950R,CNAG_04950,3
CNAG_04949R,CNAG_04949,1
CNAG_01865R,CNAG_01865,770
CNAG_05812R,CNAG_05812,760
CNAG_06658R,CNAG_06658,3
CNAG_03884R,CNAG_03884,1
CNAG_00699R,CNAG_00699,2
CNAG_02129R,CNAG_02129,3
CNAG_05352R,CNAG_05352,2
CNAG_07442R,CNAG_07442,1
CNAG_01523R,CNAG_01523,40
CNAG_05415R,CNAG_05415,1
CNAG_07486R,CNAG_07486,2
CNAG_00709R,CNAG_00709,1
CNAG_04186R,CNAG_04186,2
CNAG_03689R,CNAG_03689,1
CNAG_01704R,CNAG_01704,2
CNAG_07516R,CNAG_07516,3
CNAG_00156R,CNAG_00156,3
CNAG_01776R,CNAG_01776,3
CNAG_07605R,CNAG_07605,3
CNAG_04657R,CNAG_04657,2
CNAG_07847R,CNAG_07847,2
CNAG_02226R,CNAG_02226,1
CNAG_02225R,CNAG_02225,1
CNAG_04860R,CNAG_04860,2
CNAG_01105R,CNAG_01105,1
CNAG_03524R,CNAG_03524,2
CNAG_03247R,CNAG_03247,3
CNAG_03193R,CNAG_03193,1
CNAG_03194R,CNAG_03194,1
CNAG_06574R,CNAG_06574,2
CNAG_07498R,CNAG_07498,3
CNAG_00475R,CNAG_00475,24
CNAG_04524R,CNAG_04524,5
CNAG_06501R,CNAG_06501,1
CNAG_06502R,CNAG_06502,2
CNAG_00587R,CNAG_00587,2
CNAG_05522R,CNAG_05522,3
CNAG_01930R,CNAG_01930,3
CNAG_03002R,CNAG_03002,2
CNAG_07685R,CNAG_07685,1
CNAG_02010R,CNAG_02010,21
CNAG_01642R,CNAG_01642,1
CNAG_04705R,CNAG_04705,2
CNAG_01420R,CNAG_01420,2
CNAG_07519R,CNAG_07519,3
CNAG_06240R,CNAG_06240,6
CNAG_00777R,CNAG_00777,1065
CNAG_01118R,CNAG_01118,1008
CNAG_03866R,CNAG_03866,2
CNAG_00519R,CNAG_00519,67
CNAG_03168R,CNAG_03168,104
CNAG_04594R,CNAG_04594,2
CNAG_02588R,CNAG_02588,1
CNAG_06905R,CNAG_06905,2
CNAG_06904R,CNAG_06904,2
CNAG_02288R,CNAG_02288,2
CNAG_07752R,CNAG_07752,2
CNAG_04587R,CNAG_04587,2
CNAG_02692R,CNAG_02692,2
CNAG_02776R,CNAG_02776,1892
CNAG_02165R,CNAG_02165,2
CNAG_02071R,CNAG_02071,1
CNAG_02070R,CNAG_02070,2
CNAG_02684R,CNAG_02684,2
CNAG_05420R,CNAG_05420,136
CNAG_05939R,CNAG_05939,2
CNAG_00744R,CNAG_00744,2
CNAG_00162R,CNAG_00162,1
CNAG_06401R,CNAG_06401,954
CNAG_01960R,CNAG_01960,1
CNAG_01961R,CNAG_01961,3
CNAG_02930R,CNAG_02930,594
CNAG_01238R,CNAG_01238,497
CNAG_01239R,CNAG_01239,3
CNAG_00333R,CNAG_00333,2
CNAG_05663R,CNAG_05663,2
CNAG_01574R,CNAG_01574,1
CNAG_01573R,CNAG_01573,1
CNAG_06963R,CNAG_06963,1
CNAG_02041R,CNAG_02041,1
CNAG_06889R,CNAG_06889,3
CNAG_07415R,CNAG_07415,722
CNAG_05586R,CNAG_05586,1
CNAG_05686R,CNAG_05686,3
CNAG_00400R,CNAG_00400,2
CNAG_04736R,CNAG_04736,1
CNAG_05392R,CNAG_05392,659
CNAG_05393R,CNAG_05393,1
CNAG_06034R,CNAG_06034,540
CNAG_01773R,CNAG_01773,722
CNAG_01232R,CNAG_01232,284
CNAG_01578R,CNAG_01578,2
CNAG_01601R,CNAG_01601,478
CNAG_04963R,CNAG_04963,4
CNAG_04962R,CNAG_04962,1
CNAG_01231R,CNAG_01231,1
CNAG_00879R,CNAG_00879,1
CNAG_06389R,CNAG_06389,2
CNAG_05640R,CNAG_05640,2317
CNAG_06583R,CNAG_06583,4
CNAG_06428R,CNAG_06428,2
CNAG_06427R,CNAG_06427,1
CNAG_07745R,CNAG_07745,872
CNAG_03369R,CNAG_03369,1
CNAG_00130R,CNAG_00130,3
CNAG_00457R,CNAG_00457,2
CNAG_04730R,CNAG_04730,1
CNAG_03116R,CNAG_03116,517
CNAG_04622R,CNAG_04622,3
CNAG_04449R,CNAG_04449,1
CNAG_03874R,CNAG_03874,1
CNAG_03873R,CNAG_03873,2
CNAG_00070R,CNAG_00070,1
CNAG_04862R,CNAG_04862,2
CNAG_02527R,CNAG_02527,3
CNAG_00194R,CNAG_00194,1
CNAG_03498R,CNAG_03498,1
CNAG_00077R,CNAG_00077,2
CNAG_02965R,CNAG_02965,3
CNAG_07780R,CNAG_07780,2
CNAG_04523R,CNAG_04523,2
CNAG_04522R,CNAG_04522,1
CNAG_07444R,CNAG_07444,1
CNAG_06576R,CNAG_06576,3
CNAG_03836R,CNAG_03836,1
CNAG_03400R,CNAG_03400,3
CNAG_02255R,CNAG_02255,2
CNAG_06230R,CNAG_06230,19
CNAG_05075R,CNAG_05075,1
CNAG_02550R,CNAG_02550,1
CNAG_02551R,CNAG_02551,2
CNAG_01995R,CNAG_01995,3
CNAG_06277R,CNAG_06277,1
CNAG_07697R,CNAG_07697,1
CNAG_00011R,CNAG_00011,2
CNAG_04655R,CNAG_04655,2
CNAG_05934R,CNAG_05934,6
CNAG_02264R,CNAG_02264,920
CNAG_07873R,CNAG_07873,64
CNAG_05369R,CNAG_05369,4
CNAG_05119R,CNAG_05119,1129
CNAG_00407R,CNAG_00407,2
CNAG_05813R,CNAG_05813,1
CNAG_06310R,CNAG_06310,1
CNAG_02510R,CNAG_02510,2
CNAG_01744R,CNAG_01744,79
CNAG_04104R,CNAG_04104,1
CNAG_04103R,CNAG_04103,3
CNAG_04015R,CNAG_04015,1
CNAG_00796R,CNAG_00796,2
CNAG_04283R,CNAG_04283,81
CNAG_00398R,CNAG_00398,1
CNAG_03382R,CNAG_03382,7
CNAG_01742R,CNAG_01742,1
CNAG_05053R,CNAG_05053,2
CNAG_01753R,CNAG_01753,2
CNAG_01605R,CNAG_01605,1
CNAG_00074R,CNAG_00074,1
CNAG_04505R,CNAG_04505,2
CNAG_04415R,CNAG_04415,1
CNAG_04416R,CNAG_04416,2
CNAG_00539R,CNAG_00539,1
CNAG_04028R,CNAG_04028,773
CNAG_05539R,CNAG_05539,2
CNAG_00066R,CNAG_00066,1107
CNAG_06082R,CNAG_06082,2
CNAG_00594R,CNAG_00594,2
CNAG_00236R,CNAG_00236,59
CNAG_06453R,CNAG_06453,2
CNAG_03019R,CNAG_03019,1065
CNAG_05446R,CNAG_05446,300
CNAG_04907R,CNAG_04907,1
CNAG_00865R,CNAG_00865,2
CNAG_04688R,CNAG_04688,1
CNAG_01686R,CNAG_01686,2
CNAG_02118R,CNAG_02118,3
CNAG_01283R,CNAG_01283,2
CNAG_04877R,CNAG_04877,1
CNAG_07941R,CNAG_07941,2
CNAG_07641R,CNAG_07641,2
CNAG_03114R,CNAG_03114,2
CNAG_07690R,CNAG_07690,2
CNAG_02029R,CNAG_02029,1
CNAG_02030R,CNAG_02030,1031
CNAG_04323R,CNAG_04323,6
CNAG_04324R,CNAG_04324,1
CNAG_03384R,CNAG_03384,2
CNAG_03385R,CNAG_03385,3
CNAG_04520R,CNAG_04520,2
CNAG_07402R,CNAG_07402,4
CNAG_07380R,CNAG_07380,1
CNAG_02334R,CNAG_02334,2
CNAG_02335R,CNAG_02335,3
CNAG_04846R,CNAG_04846,1224
CNAG_04903R,CNAG_04903,1278
CNAG_00331R,CNAG_00331,1
CNAG_06214R,CNAG_06214,2
CNAG_00005R,CNAG_00005,1
CNAG_02882R,CNAG_02882,656
CNAG_06432R,CNAG_06432,1
CNAG_03479R,CNAG_03479,3
CNAG_06291R,CNAG_06291,1
CNAG_02790R,CNAG_02790,3
CNAG_02048R,CNAG_02048,2
CNAG_04388R,CNAG_04388,170
CNAG_00735R,CNAG_00735,1
CNAG_03829R,CNAG_03829,1
CNAG_00861R,CNAG_00861,4
CNAG_00679R,CNAG_00679,1
CNAG_06016R,CNAG_06016,2
CNAG_03455R,CNAG_03455,2
CNAG_06698R,CNAG_06698,3
CNAG_02321R,CNAG_02321,1637
CNAG_06668R,CNAG_06668,1
CNAG_06623R,CNAG_06623,1
CNAG_03227R,CNAG_03227,698
CNAG_03735R,CNAG_03735,792
CNAG_03370R,CNAG_03370,207
