Gene Flank,Gene,Count
CNAG_05641L,CNAG_05641,2
CNAG_05590L,CNAG_05590,4
CNAG_05340L,CNAG_05340,1
CNAG_05638L,CNAG_05638,2
CNAG_05639L,CNAG_05639,4
CNAG_06347L,CNAG_06347,1
CNAG_06517L,CNAG_06517,2
CNAG_06104L,CNAG_06104,1
CNAG_06081L,CNAG_06081,2
CNAG_06241L,CNAG_06241,1
CNAG_07911L,CNAG_07911,1
CNAG_01551L,CNAG_01551,2
CNAG_01983L,CNAG_01983,4
CNAG_01993L,CNAG_01993,1
CNAG_01992L,CNAG_01992,2
CNAG_01562L,CNAG_01562,1
CNAG_04756L,CNAG_04756,5
CNAG_04807L,CNAG_04807,1
CNAG_04837L,CNAG_04837,1
CNAG_04875L,CNAG_04875,2
CNAG_04874L,CNAG_04874,3
CNAG_04753L,CNAG_04753,9
CNAG_04909L,CNAG_04909,1
CNAG_04908L,CNAG_04908,2
CNAG_04659L,CNAG_04659,1
CNAG_04518L,CNAG_04518,2
CNAG_03346L,CNAG_03346,1
CNAG_07742L,CNAG_07742,6
CNAG_03438L,CNAG_03438,3
CNAG_03223L,CNAG_03223,4
CNAG_03142L,CNAG_03142,1
CNAG_03545L,CNAG_03545,1
CNAG_03566L,CNAG_03566,3
CNAG_05864L,CNAG_05864,2
CNAG_05867L,CNAG_05867,3
CNAG_05685L,CNAG_05685,4
CNAG_06554L,CNAG_06554,1
CNAG_00896L,CNAG_00896,1
CNAG_07332L,CNAG_07332,1
CNAG_00828L,CNAG_00828,2
CNAG_00830L,CNAG_00830,1
CNAG_02774L,CNAG_02774,1
CNAG_03336L,CNAG_03336,1
CNAG_07867L,CNAG_07867,1
CNAG_05333L,CNAG_05333,1
CNAG_03849L,CNAG_03849,2
CNAG_02555L,CNAG_02555,1
CNAG_03431L,CNAG_03431,1
CNAG_05049L,CNAG_05049,2
CNAG_03914L,CNAG_03914,3
CNAG_02476L,CNAG_02476,1
CNAG_05112L,CNAG_05112,1
CNAG_03977L,CNAG_03977,1
CNAG_04090L,CNAG_04090,1
CNAG_00791L,CNAG_00791,1
CNAG_05375L,CNAG_05375,11
CNAG_02516L,CNAG_02516,1
CNAG_04804L,CNAG_04804,1
CNAG_00627L,CNAG_00627,2
CNAG_07725L,CNAG_07725,3
CNAG_01883L,CNAG_01883,2
CNAG_03401L,CNAG_03401,1
CNAG_01708L,CNAG_01708,1
CNAG_03700L,CNAG_03700,1
CNAG_01438L,CNAG_01438,1
CNAG_05093L,CNAG_05093,1
CNAG_01014L,CNAG_01014,1
CNAG_00039L,CNAG_00039,3
CNAG_00871L,CNAG_00871,1742
CNAG_00559L,CNAG_00559,18
CNAG_00732L,CNAG_00732,2
CNAG_01645L,CNAG_01645,1
CNAG_01071L,CNAG_01071,3
CNAG_00883L,CNAG_00883,1
CNAG_03741L,CNAG_03741,1
CNAG_00192L,CNAG_00192,2
CNAG_04457L,CNAG_04457,1
CNAG_02723L,CNAG_02723,1
CNAG_01977L,CNAG_01977,1
CNAG_03894L,CNAG_03894,1
CNAG_04093L,CNAG_04093,4
CNAG_04184L,CNAG_04184,2
CNAG_03059L,CNAG_03059,2
CNAG_03115L,CNAG_03115,1
CNAG_04841L,CNAG_04841,1
CNAG_06188L,CNAG_06188,2
CNAG_02877L,CNAG_02877,1
CNAG_04359L,CNAG_04359,1
CNAG_04768L,CNAG_04768,1
CNAG_02066L,CNAG_02066,2
CNAG_07922L,CNAG_07922,1
CNAG_06276L,CNAG_06276,2
CNAG_05222L,CNAG_05222,1
CNAG_03409L,CNAG_03409,1
CNAG_05622L,CNAG_05622,2
CNAG_04637L,CNAG_04637,1
CNAG_07680L,CNAG_07680,36
CNAG_04086L,CNAG_04086,3
CNAG_05697L,CNAG_05697,1
CNAG_02697L,CNAG_02697,1
CNAG_06205L,CNAG_06205,1
CNAG_00068L,CNAG_00068,10
CNAG_05138L,CNAG_05138,1
CNAG_00733L,CNAG_00733,2
CNAG_04059L,CNAG_04059,6
CNAG_07491L,CNAG_07491,1
CNAG_05181L,CNAG_05181,5
CNAG_03915L,CNAG_03915,1
CNAG_03772L,CNAG_03772,3
CNAG_00445L,CNAG_00445,4
CNAG_03012L,CNAG_03012,1
CNAG_03011L,CNAG_03011,1
CNAG_06200L,CNAG_06200,1
CNAG_02682L,CNAG_02682,2
CNAG_02683L,CNAG_02683,1
CNAG_00442L,CNAG_00442,1
CNAG_00183L,CNAG_00183,1
CNAG_07548L,CNAG_07548,5
CNAG_07512L,CNAG_07512,3
CNAG_05264L,CNAG_05264,1
CNAG_05263L,CNAG_05263,1
CNAG_01040L,CNAG_01040,3
CNAG_00179L,CNAG_00179,2
CNAG_00547L,CNAG_00547,2
CNAG_00598L,CNAG_00598,1
CNAG_05229L,CNAG_05229,1
CNAG_01138L,CNAG_01138,1
CNAG_02220L,CNAG_02220,1105
CNAG_00674L,CNAG_00674,1
CNAG_03013L,CNAG_03013,1
CNAG_07540L,CNAG_07540,1
CNAG_04981L,CNAG_04981,4
CNAG_00456L,CNAG_00456,3
CNAG_00455L,CNAG_00455,1
CNAG_02152L,CNAG_02152,1
CNAG_00106L,CNAG_00106,3
CNAG_02777L,CNAG_02777,1
CNAG_07523L,CNAG_07523,2
CNAG_05079L,CNAG_05079,2
CNAG_04869L,CNAG_04869,1
CNAG_00164L,CNAG_00164,2
CNAG_03727L,CNAG_03727,1
CNAG_03677L,CNAG_03677,1
CNAG_06761L,CNAG_06761,2
CNAG_05076L,CNAG_05076,1
CNAG_02554L,CNAG_02554,4
CNAG_00546L,CNAG_00546,1
CNAG_00702L,CNAG_00702,3
CNAG_05148L,CNAG_05148,3
CNAG_04025L,CNAG_04025,1
CNAG_02348L,CNAG_02348,1
CNAG_02347L,CNAG_02347,2
CNAG_00393L,CNAG_00393,1
CNAG_06555L,CNAG_06555,3
CNAG_00654L,CNAG_00654,2
CNAG_07541L,CNAG_07541,1
CNAG_07542L,CNAG_07542,1
CNAG_05915L,CNAG_05915,1
CNAG_05916L,CNAG_05916,1
CNAG_00917L,CNAG_00917,4
CNAG_00919L,CNAG_00919,1
CNAG_05458L,CNAG_05458,2
CNAG_05459L,CNAG_05459,3
CNAG_01985L,CNAG_01985,1
CNAG_04162L,CNAG_04162,1
CNAG_04755L,CNAG_04755,4
CNAG_01777L,CNAG_01777,2
CNAG_01778L,CNAG_01778,2
CNAG_05888L,CNAG_05888,1
CNAG_03173L,CNAG_03173,1
CNAG_03172L,CNAG_03172,1
CNAG_03644L,CNAG_03644,1
CNAG_06785L,CNAG_06785,1
CNAG_02044L,CNAG_02044,1
CNAG_04949L,CNAG_04949,1
CNAG_01865L,CNAG_01865,3
CNAG_05870L,CNAG_05870,1
CNAG_04631L,CNAG_04631,1
CNAG_05812L,CNAG_05812,3
CNAG_00079L,CNAG_00079,1
CNAG_06657L,CNAG_06657,1
CNAG_02517L,CNAG_02517,4
CNAG_02040L,CNAG_02040,1
CNAG_03328L,CNAG_03328,1
CNAG_04471L,CNAG_04471,1
CNAG_04472L,CNAG_04472,3
CNAG_01919L,CNAG_01919,1
CNAG_03075L,CNAG_03075,1
CNAG_03884L,CNAG_03884,2
CNAG_00699L,CNAG_00699,1
CNAG_02129L,CNAG_02129,2
CNAG_07441L,CNAG_07441,3
CNAG_07442L,CNAG_07442,2
CNAG_05415L,CNAG_05415,3
CNAG_00126L,CNAG_00126,4
CNAG_00709L,CNAG_00709,1
CNAG_04186L,CNAG_04186,1
CNAG_01704L,CNAG_01704,4
CNAG_04618L,CNAG_04618,2
CNAG_00156L,CNAG_00156,3
CNAG_00157L,CNAG_00157,1
CNAG_04891L,CNAG_04891,3
CNAG_04992L,CNAG_04992,1
CNAG_02090L,CNAG_02090,2
CNAG_01776L,CNAG_01776,2
CNAG_02539L,CNAG_02539,3
CNAG_02540L,CNAG_02540,3
CNAG_02850L,CNAG_02850,1
CNAG_04656L,CNAG_04656,1
CNAG_04657L,CNAG_04657,1
CNAG_04385L,CNAG_04385,2
CNAG_04386L,CNAG_04386,1
CNAG_01105L,CNAG_01105,2
CNAG_03524L,CNAG_03524,1
CNAG_03732L,CNAG_03732,3
CNAG_03247L,CNAG_03247,1
CNAG_03193L,CNAG_03193,1
CNAG_03194L,CNAG_03194,1
CNAG_04663L,CNAG_04663,1
CNAG_05872L,CNAG_05872,1
CNAG_01113L,CNAG_01113,1
CNAG_01112L,CNAG_01112,1
CNAG_07498L,CNAG_07498,1
CNAG_03754L,CNAG_03754,1
