Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,1
CNAG_05387R,CNAG_05387,1
CNAG_05638R,CNAG_05638,2
CNAG_05639R,CNAG_05639,694
CNAG_06346R,CNAG_06346,1
CNAG_06347R,CNAG_06347,1
CNAG_06517R,CNAG_06517,19
CNAG_07902R,CNAG_07902,1
CNAG_01683R,CNAG_01683,1
CNAG_04837R,CNAG_04837,1209
CNAG_04836R,CNAG_04836,1
CNAG_04875R,CNAG_04875,131
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,471
CNAG_07770R,CNAG_07770,1
CNAG_03333R,CNAG_03333,3
CNAG_07742R,CNAG_07742,475
CNAG_03142R,CNAG_03142,1
CNAG_03566R,CNAG_03566,1
CNAG_05867R,CNAG_05867,1
CNAG_05684R,CNAG_05684,1
CNAG_02371R,CNAG_02371,1
CNAG_06719R,CNAG_06719,2
CNAG_07332R,CNAG_07332,3
CNAG_00841R,CNAG_00841,1
CNAG_06531R,CNAG_06531,1
CNAG_03336R,CNAG_03336,1
CNAG_06339R,CNAG_06339,1
CNAG_01973R,CNAG_01973,12
CNAG_07867R,CNAG_07867,2
CNAG_05333R,CNAG_05333,1
CNAG_03849R,CNAG_03849,1
CNAG_02555R,CNAG_02555,2
CNAG_02525R,CNAG_02525,1
CNAG_03431R,CNAG_03431,1
CNAG_03914R,CNAG_03914,1
CNAG_02476R,CNAG_02476,2
CNAG_05112R,CNAG_05112,1
CNAG_03366R,CNAG_03366,3
CNAG_04090R,CNAG_04090,1
CNAG_00791R,CNAG_00791,40
CNAG_05375R,CNAG_05375,13
CNAG_02516R,CNAG_02516,2
CNAG_04804R,CNAG_04804,6
CNAG_06203R,CNAG_06203,1
CNAG_01883R,CNAG_01883,24
CNAG_02435R,CNAG_02435,42
CNAG_01708R,CNAG_01708,1
CNAG_03700R,CNAG_03700,1
CNAG_01438R,CNAG_01438,197
CNAG_07464R,CNAG_07464,119
CNAG_01858R,CNAG_01858,2
CNAG_05176R,CNAG_05176,2
CNAG_01014R,CNAG_01014,1
CNAG_01454R,CNAG_01454,2
CNAG_00871R,CNAG_00871,2862
CNAG_00559R,CNAG_00559,29
CNAG_07370R,CNAG_07370,2
CNAG_02589R,CNAG_02589,1
CNAG_01645R,CNAG_01645,3
CNAG_01242R,CNAG_01242,411
CNAG_01071R,CNAG_01071,1
CNAG_00883R,CNAG_00883,1
CNAG_03741R,CNAG_03741,1
CNAG_03745R,CNAG_03745,2
CNAG_00192R,CNAG_00192,1
CNAG_00670R,CNAG_00670,2
CNAG_04457R,CNAG_04457,1
CNAG_03894R,CNAG_03894,1
CNAG_05170R,CNAG_05170,2
CNAG_02364R,CNAG_02364,1
CNAG_04093R,CNAG_04093,2
CNAG_05255R,CNAG_05255,1
CNAG_03018R,CNAG_03018,1
CNAG_06136R,CNAG_06136,1
CNAG_04774R,CNAG_04774,1
CNAG_04768R,CNAG_04768,1
CNAG_03409R,CNAG_03409,7
CNAG_05622R,CNAG_05622,289
CNAG_07680R,CNAG_07680,649
CNAG_05697R,CNAG_05697,3
CNAG_04507R,CNAG_04507,1
CNAG_04506R,CNAG_04506,1
CNAG_00068R,CNAG_00068,2
CNAG_00733R,CNAG_00733,1
CNAG_03910R,CNAG_03910,1
CNAG_05181R,CNAG_05181,30
CNAG_03772R,CNAG_03772,642
CNAG_00445R,CNAG_00445,774
CNAG_01901R,CNAG_01901,1
CNAG_05313R,CNAG_05313,47
CNAG_05312R,CNAG_05312,1
CNAG_00442R,CNAG_00442,4
CNAG_01277R,CNAG_01277,3
CNAG_00547R,CNAG_00547,2
CNAG_00598R,CNAG_00598,3
CNAG_02219R,CNAG_02219,2
CNAG_03013R,CNAG_03013,1
CNAG_07540R,CNAG_07540,4
CNAG_00456R,CNAG_00456,3
CNAG_01013R,CNAG_01013,2
CNAG_05080R,CNAG_05080,1
CNAG_03677R,CNAG_03677,1
CNAG_07541R,CNAG_07541,3
CNAG_05915R,CNAG_05915,1
CNAG_00917R,CNAG_00917,6
CNAG_00919R,CNAG_00919,1
CNAG_05458R,CNAG_05458,2
CNAG_05459R,CNAG_05459,2
CNAG_00740R,CNAG_00740,12
CNAG_04755R,CNAG_04755,4
CNAG_01777R,CNAG_01777,1
CNAG_03173R,CNAG_03173,1
CNAG_07388R,CNAG_07388,1
CNAG_02045R,CNAG_02045,1
CNAG_04949R,CNAG_04949,1
CNAG_01865R,CNAG_01865,213
CNAG_06896R,CNAG_06896,1
CNAG_05812R,CNAG_05812,65
CNAG_06658R,CNAG_06658,1
CNAG_05994R,CNAG_05994,1
CNAG_02517R,CNAG_02517,1
CNAG_03329R,CNAG_03329,1
CNAG_04471R,CNAG_04471,1
CNAG_00699R,CNAG_00699,1
CNAG_00710R,CNAG_00710,1
CNAG_01704R,CNAG_01704,1
CNAG_07516R,CNAG_07516,1
CNAG_07605R,CNAG_07605,2
CNAG_01846R,CNAG_01846,3
CNAG_00799R,CNAG_00799,2
CNAG_04657R,CNAG_04657,1
CNAG_04385R,CNAG_04385,1
CNAG_02226R,CNAG_02226,1
CNAG_02225R,CNAG_02225,1
CNAG_01105R,CNAG_01105,2
CNAG_03524R,CNAG_03524,1
CNAG_03733R,CNAG_03733,2
CNAG_03194R,CNAG_03194,2
CNAG_06574R,CNAG_06574,1
CNAG_04663R,CNAG_04663,1
CNAG_02944R,CNAG_02944,2
CNAG_00475R,CNAG_00475,14
CNAG_06501R,CNAG_06501,2
CNAG_06502R,CNAG_06502,1
CNAG_00587R,CNAG_00587,2
CNAG_04691R,CNAG_04691,2
CNAG_05522R,CNAG_05522,2
CNAG_01930R,CNAG_01930,2
CNAG_04983R,CNAG_04983,3
CNAG_03002R,CNAG_03002,1
CNAG_02010R,CNAG_02010,9
CNAG_04705R,CNAG_04705,1
CNAG_01420R,CNAG_01420,1
CNAG_07519R,CNAG_07519,1
CNAG_06240R,CNAG_06240,1
CNAG_00777R,CNAG_00777,1
CNAG_01118R,CNAG_01118,1704
CNAG_03866R,CNAG_03866,1
CNAG_06595R,CNAG_06595,1
CNAG_03168R,CNAG_03168,23
CNAG_01524R,CNAG_01524,4
CNAG_02588R,CNAG_02588,1
CNAG_06905R,CNAG_06905,1
CNAG_06904R,CNAG_06904,2
CNAG_02288R,CNAG_02288,1
CNAG_04587R,CNAG_04587,2
CNAG_02776R,CNAG_02776,4242
CNAG_04885R,CNAG_04885,1
CNAG_02071R,CNAG_02071,1
CNAG_05420R,CNAG_05420,4
CNAG_00765R,CNAG_00765,4
CNAG_00744R,CNAG_00744,2
CNAG_00162R,CNAG_00162,2
CNAG_06401R,CNAG_06401,1
CNAG_01960R,CNAG_01960,1
CNAG_01961R,CNAG_01961,2
CNAG_02930R,CNAG_02930,10
CNAG_01238R,CNAG_01238,33
CNAG_01239R,CNAG_01239,2
CNAG_03719R,CNAG_03719,2
CNAG_02041R,CNAG_02041,2
CNAG_04141R,CNAG_04141,2
CNAG_07415R,CNAG_07415,3
CNAG_05586R,CNAG_05586,1
CNAG_05686R,CNAG_05686,4
CNAG_00400R,CNAG_00400,1
CNAG_04736R,CNAG_04736,1
CNAG_05392R,CNAG_05392,22
CNAG_05393R,CNAG_05393,2
CNAG_06034R,CNAG_06034,21
CNAG_01773R,CNAG_01773,1
CNAG_01601R,CNAG_01601,126
CNAG_04963R,CNAG_04963,2
CNAG_06835R,CNAG_06835,1
CNAG_06836R,CNAG_06836,2
CNAG_00879R,CNAG_00879,1
CNAG_05640R,CNAG_05640,1025
CNAG_01558R,CNAG_01558,2
CNAG_06583R,CNAG_06583,1
CNAG_06428R,CNAG_06428,2
CNAG_07745R,CNAG_07745,727
CNAG_00130R,CNAG_00130,4
CNAG_00457R,CNAG_00457,1
CNAG_04730R,CNAG_04730,2
CNAG_03116R,CNAG_03116,58
CNAG_04622R,CNAG_04622,1
CNAG_04862R,CNAG_04862,1
CNAG_02527R,CNAG_02527,2
CNAG_03498R,CNAG_03498,1
CNAG_00077R,CNAG_00077,1
CNAG_02965R,CNAG_02965,2
CNAG_04546R,CNAG_04546,3
CNAG_04523R,CNAG_04523,1
CNAG_04522R,CNAG_04522,1
CNAG_07444R,CNAG_07444,1
CNAG_03400R,CNAG_03400,2
CNAG_02255R,CNAG_02255,2
CNAG_05075R,CNAG_05075,2
CNAG_02550R,CNAG_02550,2
CNAG_02551R,CNAG_02551,4
CNAG_01995R,CNAG_01995,1
CNAG_01994R,CNAG_01994,2
CNAG_06277R,CNAG_06277,1
CNAG_07697R,CNAG_07697,1
CNAG_03140R,CNAG_03140,1
CNAG_00011R,CNAG_00011,1
CNAG_02264R,CNAG_02264,1317
CNAG_00189R,CNAG_00189,1
CNAG_00188R,CNAG_00188,1
CNAG_07873R,CNAG_07873,1
CNAG_05369R,CNAG_05369,1
CNAG_00864R,CNAG_00864,1
CNAG_05119R,CNAG_05119,2271
CNAG_00407R,CNAG_00407,1
CNAG_00122R,CNAG_00122,1
CNAG_01744R,CNAG_01744,172
CNAG_04104R,CNAG_04104,1
CNAG_04103R,CNAG_04103,2
CNAG_04015R,CNAG_04015,1
CNAG_00796R,CNAG_00796,1
CNAG_01742R,CNAG_01742,1
CNAG_04028R,CNAG_04028,235
CNAG_05539R,CNAG_05539,1
CNAG_02298R,CNAG_02298,1
CNAG_02297R,CNAG_02297,4
CNAG_00066R,CNAG_00066,459
CNAG_00594R,CNAG_00594,1
CNAG_00236R,CNAG_00236,7
CNAG_00235R,CNAG_00235,1
CNAG_06453R,CNAG_06453,2
CNAG_03019R,CNAG_03019,1506
CNAG_04907R,CNAG_04907,1
CNAG_00865R,CNAG_00865,3
CNAG_06323R,CNAG_06323,1
CNAG_01686R,CNAG_01686,1
CNAG_01283R,CNAG_01283,4
CNAG_07641R,CNAG_07641,1
CNAG_02030R,CNAG_02030,449
CNAG_07830R,CNAG_07830,1
CNAG_04323R,CNAG_04323,1
CNAG_03384R,CNAG_03384,6
CNAG_07402R,CNAG_07402,3
CNAG_04846R,CNAG_04846,2001
CNAG_04903R,CNAG_04903,1746
CNAG_00005R,CNAG_00005,2
CNAG_02882R,CNAG_02882,40
CNAG_05381R,CNAG_05381,1
CNAG_02790R,CNAG_02790,2
CNAG_02048R,CNAG_02048,2
CNAG_04388R,CNAG_04388,25
CNAG_06381R,CNAG_06381,1
CNAG_00861R,CNAG_00861,1
CNAG_03455R,CNAG_03455,2
CNAG_06698R,CNAG_06698,3
CNAG_02321R,CNAG_02321,415
CNAG_01588R,CNAG_01588,1
CNAG_06623R,CNAG_06623,1
CNAG_04782R,CNAG_04782,1
CNAG_03227R,CNAG_03227,368
CNAG_03735R,CNAG_03735,1303
CNAG_05412R,CNAG_05412,1797
CNAG_05411R,CNAG_05411,1
CNAG_02910R,CNAG_02910,1
CNAG_05251R,CNAG_05251,2
CNAG_05979R,CNAG_05979,1
CNAG_02463R,CNAG_02463,1
CNAG_01275R,CNAG_01275,1
CNAG_06405R,CNAG_06405,1
CNAG_00038R,CNAG_00038,1
CNAG_05444R,CNAG_05444,2
CNAG_06267R,CNAG_06267,2
CNAG_02143R,CNAG_02143,1
CNAG_02141R,CNAG_02141,1
CNAG_05004R,CNAG_05004,918
CNAG_00347R,CNAG_00347,1
CNAG_01076R,CNAG_01076,822
CNAG_01075R,CNAG_01075,3
CNAG_01314R,CNAG_01314,1
CNAG_01653R,CNAG_01653,1
CNAG_00818R,CNAG_00818,5
CNAG_03485R,CNAG_03485,4
CNAG_03046R,CNAG_03046,2
CNAG_00984R,CNAG_00984,2
CNAG_00024R,CNAG_00024,1
CNAG_03587R,CNAG_03587,1
CNAG_05301R,CNAG_05301,2
CNAG_05302R,CNAG_05302,2
CNAG_05155R,CNAG_05155,20
CNAG_04230R,CNAG_04230,1
CNAG_03492R,CNAG_03492,3
CNAG_06932R,CNAG_06932,4
CNAG_06931R,CNAG_06931,1
CNAG_07751R,CNAG_07751,1
CNAG_00688R,CNAG_00688,4
CNAG_04321R,CNAG_04321,1
CNAG_04575R,CNAG_04575,1
CNAG_04576R,CNAG_04576,1
CNAG_07188R,CNAG_07188,1
CNAG_06924R,CNAG_06924,3
CNAG_06925R,CNAG_06925,3
CNAG_03494R,CNAG_03494,2
CNAG_07736R,CNAG_07736,1
CNAG_01936R,CNAG_01936,1
CNAG_03295R,CNAG_03295,2
CNAG_04759R,CNAG_04759,2
CNAG_05451R,CNAG_05451,3
CNAG_01384R,CNAG_01384,1
CNAG_04497R,CNAG_04497,173
CNAG_04704R,CNAG_04704,1
CNAG_06930R,CNAG_06930,1
CNAG_02414R,CNAG_02414,1
CNAG_04106R,CNAG_04106,1
CNAG_07448R,CNAG_07448,1
CNAG_02123R,CNAG_02123,1
CNAG_05329R,CNAG_05329,3
CNAG_02581R,CNAG_02581,1
CNAG_02580R,CNAG_02580,5
CNAG_06499R,CNAG_06499,1
CNAG_00269R,CNAG_00269,3
CNAG_06758R,CNAG_06758,1280
CNAG_02912R,CNAG_02912,16
CNAG_03320R,CNAG_03320,36
CNAG_06433R,CNAG_06433,1
CNAG_05293R,CNAG_05293,3
CNAG_03146R,CNAG_03146,1
CNAG_00866R,CNAG_00866,1
CNAG_07124R,CNAG_07124,1
CNAG_03856R,CNAG_03856,1
CNAG_07525R,CNAG_07525,1
CNAG_02705R,CNAG_02705,2
CNAG_07784R,CNAG_07784,1
CNAG_00191R,CNAG_00191,4
CNAG_02217R,CNAG_02217,3
CNAG_07387R,CNAG_07387,4
CNAG_07856R,CNAG_07856,2
CNAG_03121R,CNAG_03121,13
CNAG_01009R,CNAG_01009,1
CNAG_01796R,CNAG_01796,1
CNAG_01795R,CNAG_01795,1
CNAG_03606R,CNAG_03606,1
CNAG_03939R,CNAG_03939,2
CNAG_00139R,CNAG_00139,1
CNAG_00301R,CNAG_00301,3
CNAG_02063R,CNAG_02063,1
CNAG_01576R,CNAG_01576,140
CNAG_04018R,CNAG_04018,8
CNAG_04792R,CNAG_04792,2
CNAG_00141R,CNAG_00141,2
CNAG_01108R,CNAG_01108,3
CNAG_03308R,CNAG_03308,2
CNAG_02350R,CNAG_02350,1
CNAG_01610R,CNAG_01610,2
CNAG_02800R,CNAG_02800,2
CNAG_04142R,CNAG_04142,1
CNAG_01916R,CNAG_01916,1
CNAG_02678R,CNAG_02678,3
