Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,1
CNAG_05515L,CNAG_05515,2
CNAG_05641L,CNAG_05641,1
CNAG_05387L,CNAG_05387,2
CNAG_05590L,CNAG_05590,5
CNAG_07869L,CNAG_07869,1
CNAG_05638L,CNAG_05638,3
CNAG_05639L,CNAG_05639,2
CNAG_06346L,CNAG_06346,3
CNAG_06347L,CNAG_06347,2
CNAG_06517L,CNAG_06517,2
CNAG_06493L,CNAG_06493,2
CNAG_06201L,CNAG_06201,1
CNAG_06081L,CNAG_06081,1
CNAG_07902L,CNAG_07902,1
CNAG_06241L,CNAG_06241,1
CNAG_06186L,CNAG_06186,1
CNAG_07911L,CNAG_07911,1
CNAG_01683L,CNAG_01683,1
CNAG_01983L,CNAG_01983,2
CNAG_01680L,CNAG_01680,1
CNAG_01621L,CNAG_01621,1
CNAG_01988L,CNAG_01988,4
CNAG_01989L,CNAG_01989,3
CNAG_01939L,CNAG_01939,3
CNAG_01993L,CNAG_01993,4
CNAG_01992L,CNAG_01992,3
CNAG_01562L,CNAG_01562,1
CNAG_01925L,CNAG_01925,2
CNAG_04756L,CNAG_04756,2
CNAG_04807L,CNAG_04807,2
CNAG_04837L,CNAG_04837,4
CNAG_04836L,CNAG_04836,4
CNAG_04874L,CNAG_04874,3
CNAG_04753L,CNAG_04753,8
CNAG_04909L,CNAG_04909,2
CNAG_04908L,CNAG_04908,3
CNAG_04659L,CNAG_04659,2
CNAG_04623L,CNAG_04623,1
CNAG_04518L,CNAG_04518,1
CNAG_04517L,CNAG_04517,2
CNAG_04436L,CNAG_04436,4
CNAG_04271L,CNAG_04271,2
CNAG_03346L,CNAG_03346,1
CNAG_03433L,CNAG_03433,1
CNAG_03333L,CNAG_03333,3
CNAG_07742L,CNAG_07742,5
CNAG_03223L,CNAG_03223,1
CNAG_03143L,CNAG_03143,1
CNAG_03545L,CNAG_03545,1
CNAG_03161L,CNAG_03161,1
CNAG_03566L,CNAG_03566,1
CNAG_06567L,CNAG_06567,1
CNAG_05742L,CNAG_05742,1
CNAG_05867L,CNAG_05867,2
CNAG_05685L,CNAG_05685,6
CNAG_05684L,CNAG_05684,1
CNAG_05785L,CNAG_05785,2
CNAG_06554L,CNAG_06554,2
CNAG_02188L,CNAG_02188,2
CNAG_02182L,CNAG_02182,2
CNAG_07631L,CNAG_07631,1
CNAG_01069L,CNAG_01069,1
CNAG_00896L,CNAG_00896,9
CNAG_03669L,CNAG_03669,4
CNAG_00031L,CNAG_00031,1
CNAG_07332L,CNAG_07332,2
CNAG_00285L,CNAG_00285,1
CNAG_00828L,CNAG_00828,1
CNAG_00830L,CNAG_00830,1
CNAG_00841L,CNAG_00841,2
CNAG_02774L,CNAG_02774,1
CNAG_06531L,CNAG_06531,3
CNAG_03279L,CNAG_03279,2
CNAG_06339L,CNAG_06339,3
CNAG_03768L,CNAG_03768,2
CNAG_07867L,CNAG_07867,1
CNAG_05333L,CNAG_05333,4
CNAG_06425L,CNAG_06425,1
CNAG_03849L,CNAG_03849,6
CNAG_02555L,CNAG_02555,1
CNAG_03431L,CNAG_03431,1
CNAG_03914L,CNAG_03914,2
CNAG_02476L,CNAG_02476,1
CNAG_07583L,CNAG_07583,3
CNAG_05112L,CNAG_05112,1
CNAG_03366L,CNAG_03366,2
CNAG_03977L,CNAG_03977,3
CNAG_04090L,CNAG_04090,6
CNAG_00791L,CNAG_00791,3
CNAG_06751L,CNAG_06751,1
CNAG_05375L,CNAG_05375,16
CNAG_02516L,CNAG_02516,1
CNAG_04804L,CNAG_04804,2
CNAG_00627L,CNAG_00627,1
CNAG_07725L,CNAG_07725,4
CNAG_01883L,CNAG_01883,5
CNAG_03401L,CNAG_03401,1
CNAG_02435L,CNAG_02435,2
CNAG_01708L,CNAG_01708,3
CNAG_03700L,CNAG_03700,1
CNAG_05215L,CNAG_05215,1
CNAG_01438L,CNAG_01438,3
CNAG_07464L,CNAG_07464,2
CNAG_01858L,CNAG_01858,2
CNAG_04586L,CNAG_04586,4
CNAG_05093L,CNAG_05093,2
CNAG_05176L,CNAG_05176,3
CNAG_01014L,CNAG_01014,2
CNAG_00998L,CNAG_00998,3
CNAG_00039L,CNAG_00039,2
CNAG_06327L,CNAG_06327,2
CNAG_03788L,CNAG_03788,1
CNAG_00871L,CNAG_00871,1
CNAG_00559L,CNAG_00559,40
CNAG_07370L,CNAG_07370,1
CNAG_07940L,CNAG_07940,1
CNAG_05067L,CNAG_05067,3
CNAG_01645L,CNAG_01645,2
CNAG_01242L,CNAG_01242,2
CNAG_07435L,CNAG_07435,1
CNAG_03998L,CNAG_03998,1
CNAG_07924L,CNAG_07924,1
CNAG_01071L,CNAG_01071,4
CNAG_00883L,CNAG_00883,2
CNAG_03741L,CNAG_03741,1
CNAG_03745L,CNAG_03745,1
CNAG_00192L,CNAG_00192,1
CNAG_06871L,CNAG_06871,2
CNAG_04457L,CNAG_04457,2
CNAG_01977L,CNAG_01977,1
CNAG_03894L,CNAG_03894,2
CNAG_04012L,CNAG_04012,1
CNAG_05170L,CNAG_05170,2
CNAG_04041L,CNAG_04041,1
CNAG_02364L,CNAG_02364,1
CNAG_04093L,CNAG_04093,5
CNAG_02322L,CNAG_02322,4
CNAG_04184L,CNAG_04184,1
CNAG_03059L,CNAG_03059,2
CNAG_03018L,CNAG_03018,2
CNAG_07901L,CNAG_07901,4
CNAG_03086L,CNAG_03086,1
CNAG_04916L,CNAG_04916,1
CNAG_06097L,CNAG_06097,1
CNAG_03115L,CNAG_03115,2
CNAG_06136L,CNAG_06136,4
CNAG_03177L,CNAG_03177,9
CNAG_03183L,CNAG_03183,1
CNAG_06188L,CNAG_06188,2
CNAG_02877L,CNAG_02877,2
CNAG_04359L,CNAG_04359,6
CNAG_04774L,CNAG_04774,4
CNAG_04768L,CNAG_04768,6
CNAG_02066L,CNAG_02066,3
CNAG_07922L,CNAG_07922,1
CNAG_06276L,CNAG_06276,5
CNAG_03409L,CNAG_03409,2
CNAG_05622L,CNAG_05622,7
CNAG_04637L,CNAG_04637,2
CNAG_07680L,CNAG_07680,3
CNAG_00564L,CNAG_00564,2
CNAG_02387L,CNAG_02387,3
CNAG_04086L,CNAG_04086,5
CNAG_05697L,CNAG_05697,4
CNAG_02697L,CNAG_02697,4
CNAG_06205L,CNAG_06205,1
CNAG_04507L,CNAG_04507,1
CNAG_04506L,CNAG_04506,3
CNAG_00068L,CNAG_00068,34
CNAG_05138L,CNAG_05138,1
CNAG_03910L,CNAG_03910,2
CNAG_04059L,CNAG_04059,4
CNAG_07491L,CNAG_07491,3
CNAG_05181L,CNAG_05181,1
CNAG_03915L,CNAG_03915,1
CNAG_03772L,CNAG_03772,5
CNAG_00445L,CNAG_00445,2
CNAG_01901L,CNAG_01901,3
CNAG_05313L,CNAG_05313,1
CNAG_05312L,CNAG_05312,1
CNAG_03011L,CNAG_03011,3
CNAG_06200L,CNAG_06200,2
CNAG_02683L,CNAG_02683,6
CNAG_00442L,CNAG_00442,3
CNAG_00183L,CNAG_00183,2
CNAG_07548L,CNAG_07548,15
CNAG_01277L,CNAG_01277,4
CNAG_07512L,CNAG_07512,4
CNAG_05264L,CNAG_05264,1
CNAG_05263L,CNAG_05263,3
CNAG_01681L,CNAG_01681,1
CNAG_01040L,CNAG_01040,1
CNAG_00179L,CNAG_00179,1
CNAG_00547L,CNAG_00547,1
CNAG_00598L,CNAG_00598,1
CNAG_05229L,CNAG_05229,2
CNAG_00597L,CNAG_00597,1
CNAG_02797L,CNAG_02797,1
CNAG_02220L,CNAG_02220,2
CNAG_00674L,CNAG_00674,3
CNAG_03013L,CNAG_03013,1
CNAG_07540L,CNAG_07540,1
CNAG_04981L,CNAG_04981,1
CNAG_00456L,CNAG_00456,2
CNAG_00455L,CNAG_00455,3
CNAG_02152L,CNAG_02152,1
CNAG_00107L,CNAG_00107,1
CNAG_00106L,CNAG_00106,4
CNAG_01061L,CNAG_01061,5
CNAG_03848L,CNAG_03848,1
CNAG_02777L,CNAG_02777,2
CNAG_04991L,CNAG_04991,1
CNAG_05159L,CNAG_05159,2
CNAG_05079L,CNAG_05079,2
CNAG_04869L,CNAG_04869,3
CNAG_00164L,CNAG_00164,1
CNAG_04077L,CNAG_04077,3
CNAG_04658L,CNAG_04658,2
CNAG_03727L,CNAG_03727,1
CNAG_03676L,CNAG_03676,1
CNAG_03677L,CNAG_03677,3
CNAG_06761L,CNAG_06761,4
CNAG_06760L,CNAG_06760,2
CNAG_05076L,CNAG_05076,3
CNAG_05077L,CNAG_05077,4
CNAG_02554L,CNAG_02554,5
CNAG_00546L,CNAG_00546,3
CNAG_00702L,CNAG_00702,1
CNAG_00897L,CNAG_00897,1
CNAG_05147L,CNAG_05147,1
CNAG_01446L,CNAG_01446,5
CNAG_04024L,CNAG_04024,2
CNAG_04025L,CNAG_04025,1
CNAG_02347L,CNAG_02347,4
CNAG_00394L,CNAG_00394,2
CNAG_00393L,CNAG_00393,4
CNAG_01803L,CNAG_01803,1
CNAG_00374L,CNAG_00374,2
CNAG_00654L,CNAG_00654,1
CNAG_07541L,CNAG_07541,3
CNAG_07542L,CNAG_07542,2
CNAG_00363L,CNAG_00363,1
CNAG_05915L,CNAG_05915,3
CNAG_05916L,CNAG_05916,1
CNAG_00917L,CNAG_00917,8
CNAG_05458L,CNAG_05458,4
CNAG_05459L,CNAG_05459,2
CNAG_00740L,CNAG_00740,1
CNAG_04162L,CNAG_04162,1
CNAG_04755L,CNAG_04755,1
CNAG_01778L,CNAG_01778,2
CNAG_05889L,CNAG_05889,1
CNAG_05888L,CNAG_05888,3
CNAG_03173L,CNAG_03173,4
CNAG_03172L,CNAG_03172,5
CNAG_07388L,CNAG_07388,2
CNAG_07389L,CNAG_07389,3
CNAG_03644L,CNAG_03644,3
CNAG_06060L,CNAG_06060,2
CNAG_00581L,CNAG_00581,1
CNAG_02044L,CNAG_02044,1
CNAG_02045L,CNAG_02045,3
CNAG_04950L,CNAG_04950,1
CNAG_04949L,CNAG_04949,1
CNAG_05870L,CNAG_05870,3
CNAG_06896L,CNAG_06896,1
CNAG_05812L,CNAG_05812,1
CNAG_06657L,CNAG_06657,3
CNAG_06658L,CNAG_06658,2
CNAG_05993L,CNAG_05993,3
CNAG_05994L,CNAG_05994,1
CNAG_01318L,CNAG_01318,2
CNAG_05430L,CNAG_05430,1
CNAG_05429L,CNAG_05429,1
CNAG_07419L,CNAG_07419,1
CNAG_02040L,CNAG_02040,1
CNAG_04471L,CNAG_04471,5
CNAG_04472L,CNAG_04472,1
CNAG_01920L,CNAG_01920,2
CNAG_01919L,CNAG_01919,2
CNAG_02129L,CNAG_02129,4
CNAG_07441L,CNAG_07441,1
CNAG_07442L,CNAG_07442,1
CNAG_03946L,CNAG_03946,2
CNAG_07486L,CNAG_07486,1
CNAG_00126L,CNAG_00126,6
CNAG_00710L,CNAG_00710,2
CNAG_00709L,CNAG_00709,2
CNAG_04186L,CNAG_04186,2
CNAG_03689L,CNAG_03689,1
CNAG_01704L,CNAG_01704,2
CNAG_04618L,CNAG_04618,2
CNAG_07827L,CNAG_07827,1
CNAG_07516L,CNAG_07516,4
CNAG_00156L,CNAG_00156,4
CNAG_04891L,CNAG_04891,2
CNAG_04992L,CNAG_04992,1
CNAG_02090L,CNAG_02090,3
CNAG_07605L,CNAG_07605,2
CNAG_01846L,CNAG_01846,1
CNAG_02539L,CNAG_02539,4
CNAG_01701L,CNAG_01701,1
CNAG_03572L,CNAG_03572,2
CNAG_00798L,CNAG_00798,3
CNAG_00799L,CNAG_00799,1
CNAG_02850L,CNAG_02850,1
CNAG_04657L,CNAG_04657,2
CNAG_04385L,CNAG_04385,1
CNAG_04386L,CNAG_04386,3
CNAG_07847L,CNAG_07847,1
CNAG_02226L,CNAG_02226,3
CNAG_02225L,CNAG_02225,10
CNAG_04860L,CNAG_04860,1
CNAG_01105L,CNAG_01105,4
CNAG_03524L,CNAG_03524,2
CNAG_03733L,CNAG_03733,3
CNAG_03732L,CNAG_03732,5
CNAG_03247L,CNAG_03247,1
CNAG_03193L,CNAG_03193,1
CNAG_03194L,CNAG_03194,4
CNAG_04663L,CNAG_04663,1
CNAG_02944L,CNAG_02944,1
CNAG_01112L,CNAG_01112,5
CNAG_06973L,CNAG_06973,2
CNAG_07498L,CNAG_07498,6
CNAG_03754L,CNAG_03754,3
CNAG_00475L,CNAG_00475,44
CNAG_04524L,CNAG_04524,4
CNAG_06502L,CNAG_06502,5
CNAG_00587L,CNAG_00587,5
CNAG_01062L,CNAG_01062,1
CNAG_05522L,CNAG_05522,2
CNAG_04633L,CNAG_04633,1
CNAG_00737L,CNAG_00737,1
CNAG_04983L,CNAG_04983,3
CNAG_04982L,CNAG_04982,1
CNAG_01448L,CNAG_01448,1
CNAG_02011L,CNAG_02011,2
CNAG_02010L,CNAG_02010,19
CNAG_05156L,CNAG_05156,1
CNAG_01642L,CNAG_01642,4
CNAG_05727L,CNAG_05727,3
CNAG_04705L,CNAG_04705,3
CNAG_01420L,CNAG_01420,1
CNAG_07519L,CNAG_07519,1
CNAG_00078L,CNAG_00078,1
CNAG_06240L,CNAG_06240,1
CNAG_00777L,CNAG_00777,3
CNAG_01118L,CNAG_01118,2
CNAG_03867L,CNAG_03867,1
CNAG_03866L,CNAG_03866,2
CNAG_06595L,CNAG_06595,2
CNAG_00588L,CNAG_00588,2
CNAG_04594L,CNAG_04594,2
CNAG_06993L,CNAG_06993,2
CNAG_06776L,CNAG_06776,1
CNAG_02588L,CNAG_02588,1
CNAG_06905L,CNAG_06905,1
CNAG_06904L,CNAG_06904,2
CNAG_02288L,CNAG_02288,1
CNAG_07729L,CNAG_07729,15
CNAG_03408L,CNAG_03408,2
CNAG_01970L,CNAG_01970,1
CNAG_01969L,CNAG_01969,1
CNAG_03525L,CNAG_03525,1
CNAG_05114L,CNAG_05114,1
CNAG_07752L,CNAG_07752,2
CNAG_04587L,CNAG_04587,1
CNAG_02691L,CNAG_02691,2
CNAG_02692L,CNAG_02692,3
CNAG_06662L,CNAG_06662,1
CNAG_02165L,CNAG_02165,1
CNAG_02071L,CNAG_02071,1
CNAG_02070L,CNAG_02070,3
CNAG_02684L,CNAG_02684,2
CNAG_02685L,CNAG_02685,3
CNAG_05420L,CNAG_05420,3
CNAG_05939L,CNAG_05939,2
CNAG_05940L,CNAG_05940,3
CNAG_07743L,CNAG_07743,2
CNAG_00765L,CNAG_00765,1
CNAG_00744L,CNAG_00744,1
CNAG_00162L,CNAG_00162,3
CNAG_02658L,CNAG_02658,2
CNAG_06401L,CNAG_06401,1
CNAG_01960L,CNAG_01960,2
CNAG_01961L,CNAG_01961,1
CNAG_02930L,CNAG_02930,4
CNAG_01239L,CNAG_01239,1
CNAG_00332L,CNAG_00332,2
CNAG_00333L,CNAG_00333,2
CNAG_04801L,CNAG_04801,1
CNAG_05664L,CNAG_05664,2
CNAG_01574L,CNAG_01574,3
CNAG_01573L,CNAG_01573,1
CNAG_06220L,CNAG_06220,1
CNAG_03178L,CNAG_03178,2
CNAG_03719L,CNAG_03719,2
CNAG_06889L,CNAG_06889,3
CNAG_04141L,CNAG_04141,5
CNAG_05586L,CNAG_05586,1
CNAG_00400L,CNAG_00400,1
CNAG_00399L,CNAG_00399,1
CNAG_04213L,CNAG_04213,7
CNAG_05914L,CNAG_05914,1
CNAG_04735L,CNAG_04735,4
CNAG_05393L,CNAG_05393,2
CNAG_06034L,CNAG_06034,3
CNAG_05250L,CNAG_05250,1
CNAG_01773L,CNAG_01773,3
CNAG_01772L,CNAG_01772,2
CNAG_01578L,CNAG_01578,1
CNAG_01601L,CNAG_01601,2
CNAG_04963L,CNAG_04963,1
CNAG_04962L,CNAG_04962,2
CNAG_06836L,CNAG_06836,5
CNAG_00879L,CNAG_00879,1
CNAG_07454L,CNAG_07454,1
CNAG_06389L,CNAG_06389,2
CNAG_00264L,CNAG_00264,1
CNAG_05640L,CNAG_05640,4
CNAG_01558L,CNAG_01558,3
CNAG_00903L,CNAG_00903,3
CNAG_06583L,CNAG_06583,1
CNAG_06428L,CNAG_06428,1
CNAG_06427L,CNAG_06427,1
CNAG_03369L,CNAG_03369,1
CNAG_03413L,CNAG_03413,2
CNAG_00130L,CNAG_00130,11
CNAG_03997L,CNAG_03997,3
CNAG_02822L,CNAG_02822,1
CNAG_00668L,CNAG_00668,2
CNAG_07711L,CNAG_07711,1
CNAG_04449L,CNAG_04449,4
CNAG_03874L,CNAG_03874,3
CNAG_03873L,CNAG_03873,6
CNAG_04105L,CNAG_04105,2
CNAG_07626L,CNAG_07626,2
CNAG_02475L,CNAG_02475,1
CNAG_04862L,CNAG_04862,3
CNAG_02527L,CNAG_02527,6
CNAG_00194L,CNAG_00194,2
CNAG_03498L,CNAG_03498,5
CNAG_00077L,CNAG_00077,1
CNAG_02965L,CNAG_02965,2
CNAG_02966L,CNAG_02966,1
CNAG_01041L,CNAG_01041,13
CNAG_07780L,CNAG_07780,1
CNAG_04546L,CNAG_04546,2
CNAG_04522L,CNAG_04522,1
CNAG_07444L,CNAG_07444,1
CNAG_06576L,CNAG_06576,3
CNAG_06577L,CNAG_06577,1
CNAG_03836L,CNAG_03836,4
CNAG_03400L,CNAG_03400,1
CNAG_02255L,CNAG_02255,3
CNAG_05075L,CNAG_05075,3
CNAG_02550L,CNAG_02550,6
CNAG_02551L,CNAG_02551,1
CNAG_01995L,CNAG_01995,5
CNAG_01994L,CNAG_01994,3
CNAG_07697L,CNAG_07697,3
CNAG_06098L,CNAG_06098,1
CNAG_06278L,CNAG_06278,4
CNAG_03140L,CNAG_03140,1
CNAG_00011L,CNAG_00011,6
CNAG_05160L,CNAG_05160,1
CNAG_05161L,CNAG_05161,1
CNAG_07917L,CNAG_07917,1
CNAG_06610L,CNAG_06610,2
CNAG_01229L,CNAG_01229,2
CNAG_04655L,CNAG_04655,1
CNAG_05934L,CNAG_05934,3
CNAG_02264L,CNAG_02264,6
CNAG_00188L,CNAG_00188,2
CNAG_05369L,CNAG_05369,2
CNAG_00864L,CNAG_00864,3
CNAG_00407L,CNAG_00407,3
CNAG_05813L,CNAG_05813,2
CNAG_06310L,CNAG_06310,3
CNAG_06309L,CNAG_06309,4
CNAG_04953L,CNAG_04953,1
CNAG_06578L,CNAG_06578,2
CNAG_00122L,CNAG_00122,4
CNAG_01745L,CNAG_01745,1
CNAG_06172L,CNAG_06172,2
CNAG_04104L,CNAG_04104,2
CNAG_04103L,CNAG_04103,3
CNAG_04016L,CNAG_04016,2
CNAG_00398L,CNAG_00398,1
CNAG_03382L,CNAG_03382,10
CNAG_03383L,CNAG_03383,2
CNAG_01743L,CNAG_01743,1
CNAG_05452L,CNAG_05452,23
CNAG_05453L,CNAG_05453,3
CNAG_05053L,CNAG_05053,4
CNAG_03705L,CNAG_03705,2
CNAG_00074L,CNAG_00074,3
CNAG_00904L,CNAG_00904,6
CNAG_04415L,CNAG_04415,3
CNAG_04416L,CNAG_04416,1
CNAG_00539L,CNAG_00539,1
CNAG_00009L,CNAG_00009,1
CNAG_04028L,CNAG_04028,3
CNAG_05539L,CNAG_05539,4
CNAG_02297L,CNAG_02297,3
CNAG_00066L,CNAG_00066,1
CNAG_06082L,CNAG_06082,2
CNAG_07368L,CNAG_07368,1
CNAG_00594L,CNAG_00594,5
CNAG_05315L,CNAG_05315,3
CNAG_05316L,CNAG_05316,1
CNAG_00235L,CNAG_00235,1
CNAG_04101L,CNAG_04101,3
CNAG_01982L,CNAG_01982,2
CNAG_06453L,CNAG_06453,4
CNAG_03019L,CNAG_03019,1
CNAG_00276L,CNAG_00276,3
CNAG_00275L,CNAG_00275,5
CNAG_00865L,CNAG_00865,3
CNAG_04688L,CNAG_04688,1
CNAG_05408L,CNAG_05408,1
CNAG_01686L,CNAG_01686,2
CNAG_00923L,CNAG_00923,3
CNAG_02338L,CNAG_02338,15
CNAG_06336L,CNAG_06336,2
CNAG_03542L,CNAG_03542,1
CNAG_03543L,CNAG_03543,3
CNAG_02118L,CNAG_02118,1
CNAG_01283L,CNAG_01283,4
CNAG_06298L,CNAG_06298,2
CNAG_02983L,CNAG_02983,1
CNAG_00832L,CNAG_00832,3
CNAG_04877L,CNAG_04877,1
CNAG_03058L,CNAG_03058,2
CNAG_07779L,CNAG_07779,1
CNAG_04945L,CNAG_04945,2
CNAG_07941L,CNAG_07941,1
CNAG_03114L,CNAG_03114,1
CNAG_07690L,CNAG_07690,1
CNAG_07830L,CNAG_07830,3
CNAG_05324L,CNAG_05324,1
CNAG_04324L,CNAG_04324,1
CNAG_03384L,CNAG_03384,2
CNAG_06752L,CNAG_06752,2
CNAG_01052L,CNAG_01052,3
CNAG_03355L,CNAG_03355,6
CNAG_04634L,CNAG_04634,3
CNAG_04520L,CNAG_04520,3
CNAG_07402L,CNAG_07402,10
CNAG_07380L,CNAG_07380,4
CNAG_00701L,CNAG_00701,1
CNAG_02335L,CNAG_02335,2
CNAG_04846L,CNAG_04846,5
CNAG_02049L,CNAG_02049,2
CNAG_04903L,CNAG_04903,1
CNAG_00331L,CNAG_00331,5
CNAG_06214L,CNAG_06214,1
CNAG_00005L,CNAG_00005,2
CNAG_00306L,CNAG_00306,1
CNAG_03883L,CNAG_03883,4
CNAG_03882L,CNAG_03882,2
CNAG_00359L,CNAG_00359,1
CNAG_03117L,CNAG_03117,4
CNAG_03118L,CNAG_03118,1
CNAG_06431L,CNAG_06431,1
