Gene Flank,Gene,Count
CNAG_05641L,CNAG_05641,1
CNAG_05590L,CNAG_05590,3
CNAG_07869L,CNAG_07869,4
CNAG_05638L,CNAG_05638,3
CNAG_05639L,CNAG_05639,1
CNAG_06346L,CNAG_06346,2
CNAG_06347L,CNAG_06347,1
CNAG_06517L,CNAG_06517,2
CNAG_07939L,CNAG_07939,1
CNAG_06493L,CNAG_06493,2
CNAG_06201L,CNAG_06201,1
CNAG_06081L,CNAG_06081,1
CNAG_07902L,CNAG_07902,1
CNAG_06241L,CNAG_06241,2
CNAG_06242L,CNAG_06242,2
CNAG_07911L,CNAG_07911,3
CNAG_01551L,CNAG_01551,1
CNAG_01683L,CNAG_01683,3
CNAG_01983L,CNAG_01983,4
CNAG_01680L,CNAG_01680,2
CNAG_01621L,CNAG_01621,2
CNAG_01993L,CNAG_01993,1
CNAG_01992L,CNAG_01992,2
CNAG_01965L,CNAG_01965,4
CNAG_01562L,CNAG_01562,2
CNAG_01925L,CNAG_01925,1
CNAG_04807L,CNAG_04807,2
CNAG_04837L,CNAG_04837,2
CNAG_04836L,CNAG_04836,3
CNAG_04737L,CNAG_04737,2
CNAG_04875L,CNAG_04875,1
CNAG_04874L,CNAG_04874,4
CNAG_04868L,CNAG_04868,2
CNAG_04752L,CNAG_04752,1
CNAG_04753L,CNAG_04753,10
CNAG_04909L,CNAG_04909,3
CNAG_04908L,CNAG_04908,1
CNAG_04623L,CNAG_04623,3
CNAG_04518L,CNAG_04518,5
CNAG_04517L,CNAG_04517,2
CNAG_07770L,CNAG_07770,3
CNAG_04271L,CNAG_04271,2
CNAG_04270L,CNAG_04270,2
CNAG_03346L,CNAG_03346,3
CNAG_03333L,CNAG_03333,4
CNAG_07742L,CNAG_07742,6
CNAG_03223L,CNAG_03223,2
CNAG_03142L,CNAG_03142,2
CNAG_03143L,CNAG_03143,1
CNAG_03545L,CNAG_03545,5
CNAG_03566L,CNAG_03566,1
CNAG_05835L,CNAG_05835,3
CNAG_05864L,CNAG_05864,2
CNAG_06567L,CNAG_06567,4
CNAG_05742L,CNAG_05742,1
CNAG_05685L,CNAG_05685,3
CNAG_05684L,CNAG_05684,3
CNAG_06554L,CNAG_06554,2
CNAG_02189L,CNAG_02189,2
CNAG_02188L,CNAG_02188,3
CNAG_02182L,CNAG_02182,2
CNAG_07631L,CNAG_07631,1
CNAG_02371L,CNAG_02371,1
CNAG_07633L,CNAG_07633,1
CNAG_01069L,CNAG_01069,1
CNAG_00896L,CNAG_00896,8
CNAG_00285L,CNAG_00285,3
CNAG_00828L,CNAG_00828,1
CNAG_00841L,CNAG_00841,2
CNAG_02774L,CNAG_02774,1
CNAG_06531L,CNAG_06531,2
CNAG_03279L,CNAG_03279,2
CNAG_03336L,CNAG_03336,3
CNAG_06339L,CNAG_06339,1
CNAG_03768L,CNAG_03768,4
CNAG_07867L,CNAG_07867,5
CNAG_05333L,CNAG_05333,1
CNAG_06425L,CNAG_06425,1
CNAG_03849L,CNAG_03849,9
CNAG_02603L,CNAG_02603,2
CNAG_05049L,CNAG_05049,2
CNAG_03914L,CNAG_03914,3
CNAG_02476L,CNAG_02476,2
CNAG_02466L,CNAG_02466,5
CNAG_05112L,CNAG_05112,2
CNAG_03366L,CNAG_03366,7
CNAG_04090L,CNAG_04090,11
CNAG_06751L,CNAG_06751,4
CNAG_05375L,CNAG_05375,20
CNAG_04804L,CNAG_04804,4
CNAG_00627L,CNAG_00627,3
CNAG_07725L,CNAG_07725,1
CNAG_06203L,CNAG_06203,3
CNAG_01883L,CNAG_01883,4
CNAG_03401L,CNAG_03401,4
CNAG_02435L,CNAG_02435,1
CNAG_01708L,CNAG_01708,1
CNAG_03700L,CNAG_03700,1
CNAG_07320L,CNAG_07320,1
CNAG_05215L,CNAG_05215,1
CNAG_01438L,CNAG_01438,2
CNAG_01858L,CNAG_01858,5
CNAG_04586L,CNAG_04586,1
CNAG_05093L,CNAG_05093,2
CNAG_05176L,CNAG_05176,2
CNAG_00998L,CNAG_00998,2
CNAG_00039L,CNAG_00039,2
CNAG_01454L,CNAG_01454,1
CNAG_03788L,CNAG_03788,3
CNAG_00871L,CNAG_00871,2
CNAG_00559L,CNAG_00559,43
CNAG_07370L,CNAG_07370,1
CNAG_04630L,CNAG_04630,2
CNAG_07940L,CNAG_07940,4
CNAG_02589L,CNAG_02589,3
CNAG_05067L,CNAG_05067,2
CNAG_01645L,CNAG_01645,14
CNAG_06134L,CNAG_06134,2
CNAG_01242L,CNAG_01242,1
CNAG_07924L,CNAG_07924,5
