Gene Flank,Gene,Count
CNAG_05515L,CNAG_05515,1
CNAG_05387L,CNAG_05387,3
CNAG_05590L,CNAG_05590,2
CNAG_07869L,CNAG_07869,2
CNAG_05340L,CNAG_05340,1
CNAG_05638L,CNAG_05638,2
CNAG_06346L,CNAG_06346,2
CNAG_06347L,CNAG_06347,1
CNAG_06517L,CNAG_06517,2
CNAG_07939L,CNAG_07939,1
CNAG_06201L,CNAG_06201,2
CNAG_06104L,CNAG_06104,4
CNAG_06081L,CNAG_06081,1
CNAG_07902L,CNAG_07902,1
CNAG_06241L,CNAG_06241,1
CNAG_06242L,CNAG_06242,1
CNAG_06186L,CNAG_06186,1
CNAG_07911L,CNAG_07911,1
CNAG_01683L,CNAG_01683,2
CNAG_01983L,CNAG_01983,2
CNAG_01680L,CNAG_01680,2
CNAG_01988L,CNAG_01988,1
CNAG_01989L,CNAG_01989,1
CNAG_01939L,CNAG_01939,1
CNAG_01992L,CNAG_01992,1
CNAG_01965L,CNAG_01965,2
CNAG_01562L,CNAG_01562,1
CNAG_01925L,CNAG_01925,1
CNAG_04756L,CNAG_04756,2
CNAG_04807L,CNAG_04807,1
CNAG_04837L,CNAG_04837,2
CNAG_04836L,CNAG_04836,3
CNAG_04737L,CNAG_04737,4
CNAG_04874L,CNAG_04874,3
CNAG_04753L,CNAG_04753,9
CNAG_04909L,CNAG_04909,2
CNAG_04659L,CNAG_04659,3
CNAG_04517L,CNAG_04517,3
CNAG_03346L,CNAG_03346,1
CNAG_03433L,CNAG_03433,1
CNAG_03333L,CNAG_03333,2
CNAG_07742L,CNAG_07742,2
CNAG_03223L,CNAG_03223,1
CNAG_03143L,CNAG_03143,1
CNAG_03161L,CNAG_03161,2
CNAG_05864L,CNAG_05864,2
CNAG_06567L,CNAG_06567,1
CNAG_05742L,CNAG_05742,1
CNAG_05867L,CNAG_05867,1
CNAG_05685L,CNAG_05685,2
CNAG_05785L,CNAG_05785,2
CNAG_06554L,CNAG_06554,1
CNAG_02188L,CNAG_02188,1
CNAG_02182L,CNAG_02182,1
CNAG_01069L,CNAG_01069,2
CNAG_00896L,CNAG_00896,4
CNAG_03669L,CNAG_03669,1
CNAG_07332L,CNAG_07332,1
CNAG_00285L,CNAG_00285,1
CNAG_00828L,CNAG_00828,2
CNAG_00830L,CNAG_00830,1
CNAG_02774L,CNAG_02774,3
CNAG_03336L,CNAG_03336,1
CNAG_06339L,CNAG_06339,1
CNAG_05333L,CNAG_05333,2
CNAG_03849L,CNAG_03849,1
CNAG_02603L,CNAG_02603,1
