Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,1
CNAG_05387L,CNAG_05387,3
CNAG_05590L,CNAG_05590,1
CNAG_07869L,CNAG_07869,2
CNAG_05340L,CNAG_05340,1
CNAG_05638L,CNAG_05638,1
CNAG_05639L,CNAG_05639,1
CNAG_06346L,CNAG_06346,1
CNAG_06347L,CNAG_06347,1
CNAG_06517L,CNAG_06517,1
CNAG_07939L,CNAG_07939,1
CNAG_06104L,CNAG_06104,1
CNAG_06081L,CNAG_06081,4
CNAG_07902L,CNAG_07902,2
CNAG_06241L,CNAG_06241,1
CNAG_06186L,CNAG_06186,1
CNAG_07911L,CNAG_07911,3
CNAG_01683L,CNAG_01683,1
CNAG_01680L,CNAG_01680,1
CNAG_01621L,CNAG_01621,1
CNAG_01988L,CNAG_01988,2
CNAG_01939L,CNAG_01939,2
CNAG_01993L,CNAG_01993,3
CNAG_01992L,CNAG_01992,1
CNAG_01965L,CNAG_01965,1
CNAG_01562L,CNAG_01562,2
CNAG_01925L,CNAG_01925,2
CNAG_04807L,CNAG_04807,2
CNAG_04837L,CNAG_04837,2
CNAG_04874L,CNAG_04874,1
CNAG_04868L,CNAG_04868,1
CNAG_04752L,CNAG_04752,1
CNAG_04753L,CNAG_04753,4
CNAG_04909L,CNAG_04909,3
CNAG_04659L,CNAG_04659,2
CNAG_04517L,CNAG_04517,1
CNAG_04436L,CNAG_04436,3
CNAG_04271L,CNAG_04271,2
CNAG_04270L,CNAG_04270,1
CNAG_03346L,CNAG_03346,2
CNAG_03433L,CNAG_03433,1
CNAG_03333L,CNAG_03333,1
CNAG_07742L,CNAG_07742,1
CNAG_03438L,CNAG_03438,1
CNAG_03143L,CNAG_03143,1
CNAG_03161L,CNAG_03161,1
CNAG_05864L,CNAG_05864,1
CNAG_06567L,CNAG_06567,4
CNAG_05742L,CNAG_05742,2
CNAG_05685L,CNAG_05685,1
CNAG_05684L,CNAG_05684,1
CNAG_06554L,CNAG_06554,2
CNAG_02189L,CNAG_02189,1
CNAG_02188L,CNAG_02188,2
CNAG_07633L,CNAG_07633,1
CNAG_01069L,CNAG_01069,1
