Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,12
CNAG_05387R,CNAG_05387,6
CNAG_05638R,CNAG_05638,6
CNAG_05639R,CNAG_05639,8
CNAG_06346R,CNAG_06346,8
CNAG_06347R,CNAG_06347,6
CNAG_06517R,CNAG_06517,9
CNAG_06201R,CNAG_06201,6
CNAG_06104R,CNAG_06104,9
CNAG_07902R,CNAG_07902,9
CNAG_06241R,CNAG_06241,5
CNAG_06242R,CNAG_06242,5
CNAG_07911R,CNAG_07911,6
CNAG_01683R,CNAG_01683,4
CNAG_01680R,CNAG_01680,8
CNAG_01989R,CNAG_01989,4
CNAG_01925R,CNAG_01925,4
CNAG_04837R,CNAG_04837,4
CNAG_04836R,CNAG_04836,5
CNAG_04875R,CNAG_04875,8
CNAG_04868R,CNAG_04868,2
CNAG_04518R,CNAG_04518,6
CNAG_04517R,CNAG_04517,2
CNAG_07770R,CNAG_07770,2
CNAG_03333R,CNAG_03333,10
CNAG_07742R,CNAG_07742,11
CNAG_03142R,CNAG_03142,8
CNAG_03566R,CNAG_03566,10
CNAG_05867R,CNAG_05867,3
CNAG_05684R,CNAG_05684,6
CNAG_02189R,CNAG_02189,7
CNAG_02371R,CNAG_02371,6
CNAG_06719R,CNAG_06719,3
CNAG_03669R,CNAG_03669,5
CNAG_07332R,CNAG_07332,3
CNAG_00285R,CNAG_00285,2
CNAG_00830R,CNAG_00830,2
CNAG_00841R,CNAG_00841,8
CNAG_06531R,CNAG_06531,12
CNAG_03279R,CNAG_03279,7
CNAG_03336R,CNAG_03336,7
CNAG_06339R,CNAG_06339,7
CNAG_03768R,CNAG_03768,3
CNAG_04534R,CNAG_04534,6
CNAG_01973R,CNAG_01973,3
CNAG_07867R,CNAG_07867,4
CNAG_05333R,CNAG_05333,4
CNAG_06425R,CNAG_06425,7
CNAG_03849R,CNAG_03849,5
CNAG_02603R,CNAG_02603,6
CNAG_02555R,CNAG_02555,6
CNAG_03431R,CNAG_03431,3
CNAG_05049R,CNAG_05049,3
CNAG_03914R,CNAG_03914,2
CNAG_02476R,CNAG_02476,11
CNAG_07583R,CNAG_07583,6
CNAG_05112R,CNAG_05112,5
CNAG_03366R,CNAG_03366,5
CNAG_04090R,CNAG_04090,5
CNAG_00791R,CNAG_00791,3
CNAG_05375R,CNAG_05375,152
CNAG_02516R,CNAG_02516,3
CNAG_04804R,CNAG_04804,4
CNAG_06203R,CNAG_06203,6
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,6
CNAG_03401R,CNAG_03401,3
CNAG_02435R,CNAG_02435,4
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,5
CNAG_03700R,CNAG_03700,8
CNAG_05215R,CNAG_05215,11
CNAG_01438R,CNAG_01438,2
CNAG_07464R,CNAG_07464,8
CNAG_01858R,CNAG_01858,5
CNAG_04586R,CNAG_04586,6
CNAG_05176R,CNAG_05176,6
CNAG_01014R,CNAG_01014,5
CNAG_01454R,CNAG_01454,12
