Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,94
CNAG_05515L,CNAG_05515,1
CNAG_05641L,CNAG_05641,947
CNAG_05387L,CNAG_05387,1
CNAG_05590L,CNAG_05590,734
CNAG_07869L,CNAG_07869,432
CNAG_05340L,CNAG_05340,76
CNAG_05638L,CNAG_05638,447
CNAG_05639L,CNAG_05639,63
CNAG_06346L,CNAG_06346,971
CNAG_06347L,CNAG_06347,467
CNAG_06517L,CNAG_06517,5
CNAG_07939L,CNAG_07939,334
CNAG_06493L,CNAG_06493,464
CNAG_06201L,CNAG_06201,447
CNAG_06104L,CNAG_06104,128
CNAG_06081L,CNAG_06081,158
CNAG_07902L,CNAG_07902,645
CNAG_06241L,CNAG_06241,1
CNAG_06242L,CNAG_06242,74
CNAG_06186L,CNAG_06186,489
CNAG_07911L,CNAG_07911,3
CNAG_01551L,CNAG_01551,5
CNAG_01683L,CNAG_01683,1
CNAG_01983L,CNAG_01983,3
CNAG_01680L,CNAG_01680,773
CNAG_01621L,CNAG_01621,952
CNAG_01988L,CNAG_01988,367
CNAG_01989L,CNAG_01989,1
CNAG_01939L,CNAG_01939,772
CNAG_01993L,CNAG_01993,457
CNAG_01992L,CNAG_01992,494
CNAG_01965L,CNAG_01965,2
CNAG_01562L,CNAG_01562,498
CNAG_01925L,CNAG_01925,530
CNAG_04756L,CNAG_04756,194
CNAG_04807L,CNAG_04807,538
CNAG_04837L,CNAG_04837,3
CNAG_04836L,CNAG_04836,2
CNAG_04737L,CNAG_04737,747
CNAG_04875L,CNAG_04875,3
CNAG_04874L,CNAG_04874,711
CNAG_04868L,CNAG_04868,42
CNAG_04752L,CNAG_04752,318
CNAG_04753L,CNAG_04753,873
CNAG_04909L,CNAG_04909,379
CNAG_04908L,CNAG_04908,5863
CNAG_04659L,CNAG_04659,311
CNAG_04623L,CNAG_04623,232
CNAG_04518L,CNAG_04518,82
CNAG_04517L,CNAG_04517,1
CNAG_04436L,CNAG_04436,929
CNAG_04271L,CNAG_04271,31
CNAG_03346L,CNAG_03346,411
CNAG_03433L,CNAG_03433,471
CNAG_03333L,CNAG_03333,3
CNAG_07742L,CNAG_07742,36
CNAG_03438L,CNAG_03438,323
CNAG_03223L,CNAG_03223,37
CNAG_03142L,CNAG_03142,477
CNAG_03143L,CNAG_03143,227
