Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,1
CNAG_05515L,CNAG_05515,6
CNAG_05641L,CNAG_05641,2
CNAG_05387L,CNAG_05387,1
CNAG_05590L,CNAG_05590,7
CNAG_07869L,CNAG_07869,6
CNAG_05638L,CNAG_05638,1
CNAG_05639L,CNAG_05639,1
CNAG_06346L,CNAG_06346,5
CNAG_06347L,CNAG_06347,2
CNAG_06517L,CNAG_06517,3
CNAG_07939L,CNAG_07939,3
CNAG_06493L,CNAG_06493,4
CNAG_06201L,CNAG_06201,3
CNAG_06104L,CNAG_06104,1
CNAG_07902L,CNAG_07902,4
CNAG_06241L,CNAG_06241,1
CNAG_06242L,CNAG_06242,2
CNAG_06186L,CNAG_06186,4
CNAG_07911L,CNAG_07911,2
CNAG_01551L,CNAG_01551,2
CNAG_01683L,CNAG_01683,2
CNAG_01983L,CNAG_01983,1
CNAG_01680L,CNAG_01680,1
CNAG_01621L,CNAG_01621,2
CNAG_01988L,CNAG_01988,1
CNAG_01989L,CNAG_01989,1
CNAG_01939L,CNAG_01939,3
CNAG_01993L,CNAG_01993,7
CNAG_01992L,CNAG_01992,2
CNAG_01965L,CNAG_01965,2
CNAG_01562L,CNAG_01562,1
CNAG_01925L,CNAG_01925,4
CNAG_04756L,CNAG_04756,4
CNAG_04807L,CNAG_04807,4
CNAG_04836L,CNAG_04836,2
CNAG_04737L,CNAG_04737,3
CNAG_04875L,CNAG_04875,1
CNAG_04874L,CNAG_04874,8
CNAG_04752L,CNAG_04752,2
CNAG_04753L,CNAG_04753,10
CNAG_04909L,CNAG_04909,3
CNAG_04908L,CNAG_04908,9
CNAG_04659L,CNAG_04659,2
CNAG_04623L,CNAG_04623,1
CNAG_04517L,CNAG_04517,1
CNAG_07770L,CNAG_07770,2
CNAG_04436L,CNAG_04436,3
CNAG_04271L,CNAG_04271,1
CNAG_04270L,CNAG_04270,4
CNAG_03346L,CNAG_03346,4
CNAG_03433L,CNAG_03433,2
CNAG_03333L,CNAG_03333,1
CNAG_07742L,CNAG_07742,11
CNAG_03438L,CNAG_03438,2
CNAG_03223L,CNAG_03223,1
CNAG_03142L,CNAG_03142,2
CNAG_03143L,CNAG_03143,4
CNAG_03545L,CNAG_03545,4
CNAG_03161L,CNAG_03161,3
CNAG_03566L,CNAG_03566,4
CNAG_05835L,CNAG_05835,1
CNAG_05864L,CNAG_05864,2
CNAG_05742L,CNAG_05742,2
CNAG_05743L,CNAG_05743,1
CNAG_05867L,CNAG_05867,3
CNAG_05685L,CNAG_05685,8
CNAG_05684L,CNAG_05684,1
CNAG_05785L,CNAG_05785,1
CNAG_06554L,CNAG_06554,1
CNAG_02189L,CNAG_02189,2
CNAG_02188L,CNAG_02188,4
CNAG_02182L,CNAG_02182,5
CNAG_07631L,CNAG_07631,6
CNAG_02371L,CNAG_02371,2
CNAG_01069L,CNAG_01069,2
CNAG_00896L,CNAG_00896,12
CNAG_06719L,CNAG_06719,1
CNAG_03669L,CNAG_03669,1
CNAG_00031L,CNAG_00031,4
