Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,5
CNAG_05387R,CNAG_05387,3
CNAG_05638R,CNAG_05638,1
CNAG_05639R,CNAG_05639,2
CNAG_06346R,CNAG_06346,3
CNAG_06347R,CNAG_06347,4
CNAG_06517R,CNAG_06517,2
CNAG_06201R,CNAG_06201,2
CNAG_06104R,CNAG_06104,4
CNAG_07902R,CNAG_07902,1
CNAG_06241R,CNAG_06241,3
CNAG_07911R,CNAG_07911,3
CNAG_01683R,CNAG_01683,3
CNAG_01680R,CNAG_01680,1
CNAG_01989R,CNAG_01989,1
CNAG_01925R,CNAG_01925,1
CNAG_04837R,CNAG_04837,3
CNAG_04836R,CNAG_04836,2
CNAG_04875R,CNAG_04875,2
CNAG_04517R,CNAG_04517,3
CNAG_07770R,CNAG_07770,2
CNAG_07742R,CNAG_07742,2
CNAG_03142R,CNAG_03142,1
CNAG_05867R,CNAG_05867,2
CNAG_05684R,CNAG_05684,1
CNAG_02189R,CNAG_02189,4
CNAG_02371R,CNAG_02371,2
CNAG_06719R,CNAG_06719,1
CNAG_03669R,CNAG_03669,1
CNAG_00830R,CNAG_00830,1
CNAG_00841R,CNAG_00841,2
CNAG_06531R,CNAG_06531,3
CNAG_03279R,CNAG_03279,2
CNAG_03336R,CNAG_03336,3
CNAG_03768R,CNAG_03768,2
CNAG_04534R,CNAG_04534,1
CNAG_01973R,CNAG_01973,2
CNAG_05333R,CNAG_05333,2
CNAG_06425R,CNAG_06425,3
CNAG_03849R,CNAG_03849,1
CNAG_02603R,CNAG_02603,1
CNAG_02555R,CNAG_02555,1
CNAG_03914R,CNAG_03914,3
CNAG_02476R,CNAG_02476,1
CNAG_07583R,CNAG_07583,1
CNAG_05112R,CNAG_05112,1
CNAG_03366R,CNAG_03366,2
CNAG_04090R,CNAG_04090,5
CNAG_05375R,CNAG_05375,13
CNAG_02516R,CNAG_02516,1
CNAG_04804R,CNAG_04804,3
CNAG_06203R,CNAG_06203,1
CNAG_01883R,CNAG_01883,1
CNAG_03401R,CNAG_03401,1
CNAG_02435R,CNAG_02435,2
CNAG_05215R,CNAG_05215,1
CNAG_07464R,CNAG_07464,2
CNAG_01858R,CNAG_01858,4
CNAG_04586R,CNAG_04586,1
CNAG_05176R,CNAG_05176,1
CNAG_01014R,CNAG_01014,1
CNAG_01454R,CNAG_01454,2
CNAG_03788R,CNAG_03788,1
CNAG_00871R,CNAG_00871,2
CNAG_00559R,CNAG_00559,27
CNAG_07370R,CNAG_07370,2
CNAG_02589R,CNAG_02589,2
CNAG_01645R,CNAG_01645,5
CNAG_01242R,CNAG_01242,2
CNAG_07924R,CNAG_07924,356
CNAG_01071R,CNAG_01071,3
CNAG_00883R,CNAG_00883,2
CNAG_03741R,CNAG_03741,2
CNAG_00192R,CNAG_00192,2
CNAG_06871R,CNAG_06871,2
CNAG_04457R,CNAG_04457,1
CNAG_04012R,CNAG_04012,1
CNAG_01487R,CNAG_01487,2
CNAG_05170R,CNAG_05170,1
CNAG_02364R,CNAG_02364,1
CNAG_04093R,CNAG_04093,2
CNAG_02322R,CNAG_02322,2
CNAG_03018R,CNAG_03018,2
CNAG_03086R,CNAG_03086,1
CNAG_06097R,CNAG_06097,2
CNAG_06136R,CNAG_06136,1
CNAG_03177R,CNAG_03177,1
CNAG_04774R,CNAG_04774,3
CNAG_04768R,CNAG_04768,1
CNAG_06276R,CNAG_06276,4
CNAG_03409R,CNAG_03409,1
CNAG_05622R,CNAG_05622,3
CNAG_02387R,CNAG_02387,6
CNAG_04086R,CNAG_04086,5
CNAG_04507R,CNAG_04507,2
CNAG_04506R,CNAG_04506,1
CNAG_00068R,CNAG_00068,4
CNAG_00733R,CNAG_00733,2
CNAG_03910R,CNAG_03910,1
CNAG_04059R,CNAG_04059,1
CNAG_07491R,CNAG_07491,2
CNAG_03772R,CNAG_03772,2
CNAG_00445R,CNAG_00445,1
CNAG_01901R,CNAG_01901,6
CNAG_05312R,CNAG_05312,3
CNAG_00442R,CNAG_00442,6
CNAG_01277R,CNAG_01277,2
CNAG_02219R,CNAG_02219,1
CNAG_07540R,CNAG_07540,2
CNAG_00456R,CNAG_00456,2
CNAG_00107R,CNAG_00107,1
CNAG_01061R,CNAG_01061,4
CNAG_05080R,CNAG_05080,1
CNAG_00164R,CNAG_00164,2
CNAG_03677R,CNAG_03677,1
CNAG_05077R,CNAG_05077,3
CNAG_04024R,CNAG_04024,1
CNAG_04025R,CNAG_04025,3
CNAG_01803R,CNAG_01803,1
CNAG_07541R,CNAG_07541,2
CNAG_07542R,CNAG_07542,3
CNAG_05915R,CNAG_05915,3
CNAG_00917R,CNAG_00917,9
CNAG_00919R,CNAG_00919,1
CNAG_05458R,CNAG_05458,6
CNAG_05459R,CNAG_05459,2
CNAG_01985R,CNAG_01985,1
CNAG_04163R,CNAG_04163,3
CNAG_04162R,CNAG_04162,4
CNAG_04755R,CNAG_04755,1
CNAG_01777R,CNAG_01777,1
CNAG_07389R,CNAG_07389,2
CNAG_00581R,CNAG_00581,2
CNAG_02045R,CNAG_02045,3
CNAG_04950R,CNAG_04950,1
CNAG_00717R,CNAG_00717,1
CNAG_06896R,CNAG_06896,1
CNAG_06658R,CNAG_06658,1
CNAG_05994R,CNAG_05994,1
CNAG_04471R,CNAG_04471,1
CNAG_00699R,CNAG_00699,2
CNAG_02129R,CNAG_02129,5
CNAG_07486R,CNAG_07486,2
CNAG_00709R,CNAG_00709,4
CNAG_01704R,CNAG_01704,1
CNAG_07827R,CNAG_07827,2
CNAG_07516R,CNAG_07516,1
CNAG_00157R,CNAG_00157,1
CNAG_01776R,CNAG_01776,1
CNAG_07605R,CNAG_07605,1
CNAG_01846R,CNAG_01846,1
CNAG_04657R,CNAG_04657,2
CNAG_04385R,CNAG_04385,1
CNAG_02226R,CNAG_02226,3
CNAG_02225R,CNAG_02225,2
CNAG_04860R,CNAG_04860,1
CNAG_01105R,CNAG_01105,2
CNAG_03524R,CNAG_03524,1
CNAG_03732R,CNAG_03732,3
CNAG_03247R,CNAG_03247,4
CNAG_03193R,CNAG_03193,2
CNAG_03194R,CNAG_03194,1
CNAG_06574R,CNAG_06574,1
CNAG_04663R,CNAG_04663,1
CNAG_07498R,CNAG_07498,3
CNAG_00475R,CNAG_00475,33
CNAG_06501R,CNAG_06501,2
CNAG_06502R,CNAG_06502,2
CNAG_00587R,CNAG_00587,4
CNAG_04691R,CNAG_04691,1
CNAG_01930R,CNAG_01930,1
CNAG_03002R,CNAG_03002,2
CNAG_03902R,CNAG_03902,1
CNAG_02010R,CNAG_02010,15
CNAG_01642R,CNAG_01642,2
CNAG_07519R,CNAG_07519,1
CNAG_00777R,CNAG_00777,2
CNAG_01118R,CNAG_01118,2
CNAG_03866R,CNAG_03866,2
CNAG_01524R,CNAG_01524,3
CNAG_02588R,CNAG_02588,3
CNAG_06905R,CNAG_06905,1
CNAG_06904R,CNAG_06904,2
CNAG_07752R,CNAG_07752,2
CNAG_04587R,CNAG_04587,2
CNAG_02692R,CNAG_02692,2
CNAG_02776R,CNAG_02776,1
CNAG_04885R,CNAG_04885,3
