Gene Flank,Gene,Count
CNAG_05515L,CNAG_05515,2
CNAG_05641L,CNAG_05641,1
CNAG_05590L,CNAG_05590,3
CNAG_07869L,CNAG_07869,1
CNAG_05639L,CNAG_05639,2
CNAG_06347L,CNAG_06347,2
CNAG_06517L,CNAG_06517,4
CNAG_07939L,CNAG_07939,3
CNAG_06201L,CNAG_06201,2
CNAG_06241L,CNAG_06241,2
CNAG_06242L,CNAG_06242,3
CNAG_06186L,CNAG_06186,1
CNAG_07911L,CNAG_07911,2
CNAG_01551L,CNAG_01551,1
CNAG_01683L,CNAG_01683,2
CNAG_01983L,CNAG_01983,1
CNAG_01989L,CNAG_01989,1
CNAG_01939L,CNAG_01939,2
CNAG_01993L,CNAG_01993,1
CNAG_01965L,CNAG_01965,1
CNAG_01562L,CNAG_01562,2
CNAG_01925L,CNAG_01925,1
CNAG_04756L,CNAG_04756,2
CNAG_04807L,CNAG_04807,2
CNAG_04836L,CNAG_04836,1
CNAG_04875L,CNAG_04875,2
CNAG_04874L,CNAG_04874,4
CNAG_04752L,CNAG_04752,2
CNAG_04753L,CNAG_04753,8
CNAG_04909L,CNAG_04909,2
CNAG_04908L,CNAG_04908,3
CNAG_04517L,CNAG_04517,1
CNAG_07770L,CNAG_07770,1
CNAG_04436L,CNAG_04436,5
CNAG_03346L,CNAG_03346,1
CNAG_03433L,CNAG_03433,1
CNAG_03333L,CNAG_03333,2
CNAG_07742L,CNAG_07742,3
CNAG_03438L,CNAG_03438,2
CNAG_03143L,CNAG_03143,1
CNAG_03545L,CNAG_03545,1
CNAG_03161L,CNAG_03161,1
CNAG_03566L,CNAG_03566,2
CNAG_05835L,CNAG_05835,2
CNAG_05864L,CNAG_05864,1
CNAG_06567L,CNAG_06567,1
CNAG_05742L,CNAG_05742,2
CNAG_05685L,CNAG_05685,4
CNAG_05684L,CNAG_05684,3
CNAG_05785L,CNAG_05785,2
CNAG_02188L,CNAG_02188,2
CNAG_07631L,CNAG_07631,2
CNAG_01069L,CNAG_01069,1
CNAG_00896L,CNAG_00896,8
CNAG_03669L,CNAG_03669,1
CNAG_00031L,CNAG_00031,2
CNAG_07332L,CNAG_07332,1
CNAG_00285L,CNAG_00285,4
CNAG_00828L,CNAG_00828,2
CNAG_00830L,CNAG_00830,1
CNAG_00841L,CNAG_00841,1
CNAG_02774L,CNAG_02774,3
CNAG_06531L,CNAG_06531,2
CNAG_03279L,CNAG_03279,2
CNAG_06339L,CNAG_06339,1
CNAG_03768L,CNAG_03768,4
CNAG_04534L,CNAG_04534,1
CNAG_05333L,CNAG_05333,1
CNAG_06425L,CNAG_06425,1
CNAG_02603L,CNAG_02603,1
CNAG_02555L,CNAG_02555,2
CNAG_03431L,CNAG_03431,1
CNAG_05380L,CNAG_05380,2
CNAG_03914L,CNAG_03914,1
CNAG_07583L,CNAG_07583,1
CNAG_02466L,CNAG_02466,4
CNAG_05112L,CNAG_05112,1
CNAG_03977L,CNAG_03977,2
CNAG_04090L,CNAG_04090,4
CNAG_00791L,CNAG_00791,1
CNAG_06751L,CNAG_06751,2
CNAG_05375L,CNAG_05375,15
CNAG_04804L,CNAG_04804,2
CNAG_00627L,CNAG_00627,1
CNAG_07725L,CNAG_07725,3
CNAG_06203L,CNAG_06203,2
CNAG_00193L,CNAG_00193,1
CNAG_01883L,CNAG_01883,2
CNAG_02435L,CNAG_02435,1
CNAG_01708L,CNAG_01708,2
CNAG_03700L,CNAG_03700,2
CNAG_07320L,CNAG_07320,1
CNAG_07464L,CNAG_07464,2
CNAG_01858L,CNAG_01858,2
CNAG_05093L,CNAG_05093,1
CNAG_01014L,CNAG_01014,1
CNAG_00998L,CNAG_00998,1
CNAG_00039L,CNAG_00039,3
CNAG_01454L,CNAG_01454,3
CNAG_02700L,CNAG_02700,1
CNAG_06327L,CNAG_06327,1
CNAG_03788L,CNAG_03788,2
CNAG_00559L,CNAG_00559,39
CNAG_07370L,CNAG_07370,3
CNAG_00732L,CNAG_00732,2
CNAG_07940L,CNAG_07940,1
CNAG_02589L,CNAG_02589,5
CNAG_05067L,CNAG_05067,1
CNAG_01645L,CNAG_01645,6
CNAG_03998L,CNAG_03998,1
CNAG_07924L,CNAG_07924,504
CNAG_01071L,CNAG_01071,1
