Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,249
CNAG_05515L,CNAG_05515,344
CNAG_05641L,CNAG_05641,359
CNAG_05387L,CNAG_05387,351
CNAG_05590L,CNAG_05590,858
CNAG_07869L,CNAG_07869,352
CNAG_05340L,CNAG_05340,70
CNAG_05638L,CNAG_05638,291
CNAG_05639L,CNAG_05639,268
CNAG_06346L,CNAG_06346,356
CNAG_06347L,CNAG_06347,304
CNAG_06517L,CNAG_06517,402
CNAG_07939L,CNAG_07939,274
CNAG_06493L,CNAG_06493,289
CNAG_06201L,CNAG_06201,330
CNAG_06104L,CNAG_06104,245
CNAG_06081L,CNAG_06081,396
CNAG_07902L,CNAG_07902,328
CNAG_06241L,CNAG_06241,122
CNAG_06242L,CNAG_06242,125
CNAG_06186L,CNAG_06186,461
CNAG_07911L,CNAG_07911,370
CNAG_01551L,CNAG_01551,230
CNAG_01683L,CNAG_01683,262
CNAG_01983L,CNAG_01983,448
CNAG_01902L,CNAG_01902,21
CNAG_01680L,CNAG_01680,342
CNAG_01621L,CNAG_01621,287
CNAG_01988L,CNAG_01988,251
CNAG_01989L,CNAG_01989,320
CNAG_01939L,CNAG_01939,349
CNAG_01993L,CNAG_01993,318
CNAG_01992L,CNAG_01992,332
CNAG_01965L,CNAG_01965,323
CNAG_01562L,CNAG_01562,279
CNAG_01925L,CNAG_01925,371
CNAG_04756L,CNAG_04756,316
CNAG_04807L,CNAG_04807,358
CNAG_04837L,CNAG_04837,312
CNAG_04836L,CNAG_04836,279
CNAG_04737L,CNAG_04737,428
CNAG_04875L,CNAG_04875,123
CNAG_04874L,CNAG_04874,807
CNAG_04868L,CNAG_04868,46
CNAG_04752L,CNAG_04752,238
CNAG_04753L,CNAG_04753,1754
CNAG_04909L,CNAG_04909,330
CNAG_04908L,CNAG_04908,388
CNAG_04659L,CNAG_04659,219
CNAG_04623L,CNAG_04623,342
CNAG_04518L,CNAG_04518,273
CNAG_04517L,CNAG_04517,346
CNAG_07770L,CNAG_07770,333
CNAG_04436L,CNAG_04436,180
CNAG_04271L,CNAG_04271,241
CNAG_04270L,CNAG_04270,235
CNAG_03346L,CNAG_03346,339
CNAG_03433L,CNAG_03433,352
CNAG_03335L,CNAG_03335,1
CNAG_03333L,CNAG_03333,444
CNAG_07742L,CNAG_07742,998
CNAG_03438L,CNAG_03438,134
CNAG_03223L,CNAG_03223,352
CNAG_03142L,CNAG_03142,320
CNAG_03143L,CNAG_03143,293
CNAG_03545L,CNAG_03545,407
CNAG_03161L,CNAG_03161,119
CNAG_03566L,CNAG_03566,240
CNAG_05835L,CNAG_05835,486
CNAG_05864L,CNAG_05864,312
CNAG_06567L,CNAG_06567,391
CNAG_05742L,CNAG_05742,59
CNAG_05743L,CNAG_05743,58
CNAG_05867L,CNAG_05867,197
CNAG_05685L,CNAG_05685,795
CNAG_05684L,CNAG_05684,291
CNAG_05785L,CNAG_05785,272
CNAG_05843L,CNAG_05843,38
CNAG_06554L,CNAG_06554,285
CNAG_02189L,CNAG_02189,385
CNAG_02188L,CNAG_02188,316
CNAG_02182L,CNAG_02182,293
CNAG_07631L,CNAG_07631,340
CNAG_02371L,CNAG_02371,276
CNAG_07633L,CNAG_07633,218
CNAG_01069L,CNAG_01069,334
CNAG_00896L,CNAG_00896,1361
CNAG_06719L,CNAG_06719,113
CNAG_03669L,CNAG_03669,314
CNAG_00031L,CNAG_00031,327
CNAG_07332L,CNAG_07332,197
CNAG_00285L,CNAG_00285,310
CNAG_00828L,CNAG_00828,291
CNAG_00830L,CNAG_00830,347
CNAG_00841L,CNAG_00841,283
CNAG_02774L,CNAG_02774,241
CNAG_06531L,CNAG_06531,509
CNAG_03279L,CNAG_03279,325
CNAG_03336L,CNAG_03336,426
CNAG_06339L,CNAG_06339,400
CNAG_03768L,CNAG_03768,364
