Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,345
CNAG_05387R,CNAG_05387,411
CNAG_05638R,CNAG_05638,304
CNAG_05639R,CNAG_05639,226
CNAG_06346R,CNAG_06346,334
CNAG_06347R,CNAG_06347,238
CNAG_06517R,CNAG_06517,434
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,311
CNAG_06104R,CNAG_06104,198
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,302
CNAG_06241R,CNAG_06241,110
CNAG_06242R,CNAG_06242,141
CNAG_07911R,CNAG_07911,306
CNAG_01683R,CNAG_01683,295
CNAG_01902R,CNAG_01902,17
CNAG_01680R,CNAG_01680,294
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,231
CNAG_01965R,CNAG_01965,41
CNAG_01925R,CNAG_01925,261
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,293
CNAG_04836R,CNAG_04836,304
CNAG_04875R,CNAG_04875,171
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,49
CNAG_04753R,CNAG_04753,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,259
CNAG_04517R,CNAG_04517,279
CNAG_07770R,CNAG_07770,369
CNAG_03333R,CNAG_03333,372
CNAG_07742R,CNAG_07742,635
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,241
CNAG_03566R,CNAG_03566,259
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,243
CNAG_05684R,CNAG_05684,268
CNAG_02189R,CNAG_02189,397
CNAG_02371R,CNAG_02371,265
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,232
CNAG_03669R,CNAG_03669,239
CNAG_07332R,CNAG_07332,204
CNAG_00285R,CNAG_00285,268
CNAG_00830R,CNAG_00830,280
CNAG_00841R,CNAG_00841,322
CNAG_06531R,CNAG_06531,562
CNAG_03279R,CNAG_03279,326
CNAG_03336R,CNAG_03336,363
CNAG_06339R,CNAG_06339,390
CNAG_03768R,CNAG_03768,347
CNAG_04534R,CNAG_04534,270
CNAG_01973R,CNAG_01973,163
CNAG_07867R,CNAG_07867,286
CNAG_05333R,CNAG_05333,343
CNAG_06425R,CNAG_06425,238
CNAG_03849R,CNAG_03849,402
CNAG_02603R,CNAG_02603,282
CNAG_02555R,CNAG_02555,365
CNAG_02525R,CNAG_02525,120
CNAG_03431R,CNAG_03431,359
CNAG_05049R,CNAG_05049,217
CNAG_03914R,CNAG_03914,110
CNAG_02476R,CNAG_02476,313
CNAG_07583R,CNAG_07583,282
CNAG_05112R,CNAG_05112,230
CNAG_03366R,CNAG_03366,395
CNAG_04090R,CNAG_04090,431
CNAG_00791R,CNAG_00791,251
CNAG_05375R,CNAG_05375,3635
CNAG_02516R,CNAG_02516,266
CNAG_04804R,CNAG_04804,45
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,284
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,693
CNAG_03401R,CNAG_03401,297
CNAG_02435R,CNAG_02435,272
