Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,280
CNAG_05387R,CNAG_05387,311
CNAG_05638R,CNAG_05638,245
CNAG_05639R,CNAG_05639,259
CNAG_06346R,CNAG_06346,274
CNAG_06347R,CNAG_06347,219
CNAG_06517R,CNAG_06517,403
CNAG_06201R,CNAG_06201,237
CNAG_06104R,CNAG_06104,176
CNAG_07902R,CNAG_07902,239
CNAG_06241R,CNAG_06241,209
CNAG_06242R,CNAG_06242,221
CNAG_07911R,CNAG_07911,340
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,286
CNAG_01902R,CNAG_01902,11
CNAG_01680R,CNAG_01680,258
CNAG_01989R,CNAG_01989,193
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,37
CNAG_01925R,CNAG_01925,248
CNAG_04837R,CNAG_04837,290
CNAG_04836R,CNAG_04836,253
CNAG_04875R,CNAG_04875,270
CNAG_04868R,CNAG_04868,49
CNAG_04753R,CNAG_04753,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,232
CNAG_04517R,CNAG_04517,223
CNAG_07770R,CNAG_07770,325
CNAG_03333R,CNAG_03333,349
CNAG_07742R,CNAG_07742,487
CNAG_03142R,CNAG_03142,192
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,253
CNAG_05867R,CNAG_05867,182
CNAG_05684R,CNAG_05684,187
CNAG_02189R,CNAG_02189,290
CNAG_02371R,CNAG_02371,231
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,207
CNAG_03669R,CNAG_03669,218
CNAG_07332R,CNAG_07332,161
CNAG_00285R,CNAG_00285,213
CNAG_00830R,CNAG_00830,278
CNAG_00841R,CNAG_00841,357
CNAG_06531R,CNAG_06531,651
CNAG_03279R,CNAG_03279,267
CNAG_03336R,CNAG_03336,337
CNAG_06339R,CNAG_06339,373
CNAG_03768R,CNAG_03768,307
CNAG_04534R,CNAG_04534,298
CNAG_01973R,CNAG_01973,212
CNAG_07867R,CNAG_07867,338
CNAG_05333R,CNAG_05333,406
CNAG_06425R,CNAG_06425,244
CNAG_03849R,CNAG_03849,316
CNAG_02603R,CNAG_02603,257
CNAG_02555R,CNAG_02555,414
CNAG_02525R,CNAG_02525,110
CNAG_03431R,CNAG_03431,381
CNAG_05049R,CNAG_05049,135
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,191
CNAG_02476R,CNAG_02476,191
CNAG_07583R,CNAG_07583,355
CNAG_05112R,CNAG_05112,199
CNAG_03366R,CNAG_03366,331
CNAG_04090R,CNAG_04090,647
CNAG_00791R,CNAG_00791,203
CNAG_05375R,CNAG_05375,3348
CNAG_02516R,CNAG_02516,301
CNAG_04804R,CNAG_04804,161
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,284
CNAG_01883R,CNAG_01883,723
CNAG_03401R,CNAG_03401,248
CNAG_02435R,CNAG_02435,305
CNAG_01708R,CNAG_01708,316
CNAG_03700R,CNAG_03700,15
CNAG_05215R,CNAG_05215,206
CNAG_01438R,CNAG_01438,109
CNAG_07464R,CNAG_07464,289
CNAG_01858R,CNAG_01858,352
CNAG_04586R,CNAG_04586,397
CNAG_05176R,CNAG_05176,263
CNAG_01014R,CNAG_01014,215
CNAG_00998R,CNAG_00998,2
CNAG_01454R,CNAG_01454,233
CNAG_06327R,CNAG_06327,52
CNAG_03788R,CNAG_03788,381
CNAG_00871R,CNAG_00871,372
CNAG_00559R,CNAG_00559,7053
CNAG_07370R,CNAG_07370,312
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,262
CNAG_01645R,CNAG_01645,597
CNAG_01242R,CNAG_01242,179
CNAG_02788R,CNAG_02788,9
CNAG_07435R,CNAG_07435,46
CNAG_07924R,CNAG_07924,364
CNAG_01071R,CNAG_01071,234
CNAG_00883R,CNAG_00883,245
CNAG_03741R,CNAG_03741,247
CNAG_03745R,CNAG_03745,315
CNAG_00192R,CNAG_00192,256
