Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,590
CNAG_05387R,CNAG_05387,518
CNAG_07869R,CNAG_07869,2
CNAG_05638R,CNAG_05638,362
CNAG_05639R,CNAG_05639,313
CNAG_06346R,CNAG_06346,409
CNAG_06347R,CNAG_06347,374
CNAG_06517R,CNAG_06517,453
CNAG_06201R,CNAG_06201,333
CNAG_06104R,CNAG_06104,296
CNAG_07902R,CNAG_07902,347
CNAG_06241R,CNAG_06241,258
CNAG_06242R,CNAG_06242,251
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,328
CNAG_01683R,CNAG_01683,405
CNAG_01902R,CNAG_01902,7
CNAG_01680R,CNAG_01680,342
CNAG_01989R,CNAG_01989,288
CNAG_01939R,CNAG_01939,2
CNAG_01993R,CNAG_01993,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,63
CNAG_01925R,CNAG_01925,304
CNAG_04837R,CNAG_04837,389
CNAG_04836R,CNAG_04836,365
CNAG_04875R,CNAG_04875,264
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,94
CNAG_04518R,CNAG_04518,302
CNAG_04517R,CNAG_04517,414
CNAG_07770R,CNAG_07770,391
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,461
CNAG_07742R,CNAG_07742,720
CNAG_03142R,CNAG_03142,292
CNAG_03566R,CNAG_03566,348
CNAG_05867R,CNAG_05867,285
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,343
CNAG_05785R,CNAG_05785,2
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,356
CNAG_02371R,CNAG_02371,291
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,280
CNAG_03669R,CNAG_03669,378
CNAG_07332R,CNAG_07332,233
CNAG_00285R,CNAG_00285,397
CNAG_00830R,CNAG_00830,358
CNAG_00841R,CNAG_00841,393
CNAG_06531R,CNAG_06531,662
CNAG_03279R,CNAG_03279,408
CNAG_03336R,CNAG_03336,526
CNAG_06339R,CNAG_06339,468
CNAG_03768R,CNAG_03768,425
CNAG_04534R,CNAG_04534,409
CNAG_01973R,CNAG_01973,203
CNAG_07867R,CNAG_07867,347
CNAG_05333R,CNAG_05333,403
CNAG_06425R,CNAG_06425,286
CNAG_03849R,CNAG_03849,464
CNAG_02603R,CNAG_02603,325
CNAG_02555R,CNAG_02555,409
CNAG_02525R,CNAG_02525,127
CNAG_03431R,CNAG_03431,317
CNAG_05049R,CNAG_05049,292
CNAG_03914R,CNAG_03914,381
CNAG_02476R,CNAG_02476,289
CNAG_07583R,CNAG_07583,363
CNAG_05112R,CNAG_05112,320
CNAG_03366R,CNAG_03366,480
CNAG_04090R,CNAG_04090,551
CNAG_00791R,CNAG_00791,336
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,5264
CNAG_02516R,CNAG_02516,390
CNAG_04804R,CNAG_04804,286
CNAG_06203R,CNAG_06203,381
CNAG_01883R,CNAG_01883,585
CNAG_03401R,CNAG_03401,358
CNAG_02435R,CNAG_02435,361
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,259
CNAG_03700R,CNAG_03700,457
CNAG_01173R,CNAG_01173,1
CNAG_05215R,CNAG_05215,295
CNAG_01438R,CNAG_01438,331
CNAG_07464R,CNAG_07464,337
CNAG_01858R,CNAG_01858,451
CNAG_04586R,CNAG_04586,435
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,371
CNAG_01014R,CNAG_01014,222
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,427
CNAG_06327R,CNAG_06327,132
CNAG_03788R,CNAG_03788,399
CNAG_00871R,CNAG_00871,491
CNAG_00559R,CNAG_00559,10008
CNAG_07370R,CNAG_07370,481
CNAG_02589R,CNAG_02589,384
CNAG_01645R,CNAG_01645,893
CNAG_01242R,CNAG_01242,160
CNAG_02788R,CNAG_02788,7
CNAG_07435R,CNAG_07435,10
CNAG_07924R,CNAG_07924,357
CNAG_01071R,CNAG_01071,325
CNAG_00883R,CNAG_00883,302
CNAG_03741R,CNAG_03741,323
CNAG_03745R,CNAG_03745,441
CNAG_00192R,CNAG_00192,432
CNAG_00670R,CNAG_00670,399
CNAG_06871R,CNAG_06871,478
CNAG_04457R,CNAG_04457,434
CNAG_04588R,CNAG_04588,52
CNAG_03894R,CNAG_03894,514
CNAG_04012R,CNAG_04012,144
CNAG_01487R,CNAG_01487,437
CNAG_05170R,CNAG_05170,395
CNAG_02364R,CNAG_02364,353
CNAG_04093R,CNAG_04093,447
CNAG_02322R,CNAG_02322,360
CNAG_05255R,CNAG_05255,419
CNAG_03018R,CNAG_03018,365
CNAG_07901R,CNAG_07901,304
CNAG_03086R,CNAG_03086,336
CNAG_06097R,CNAG_06097,335
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,356
CNAG_03177R,CNAG_03177,400
CNAG_03183R,CNAG_03183,172
CNAG_04359R,CNAG_04359,3
CNAG_04774R,CNAG_04774,396
CNAG_04768R,CNAG_04768,414
CNAG_06276R,CNAG_06276,307
CNAG_05222R,CNAG_05222,14
CNAG_03409R,CNAG_03409,214
CNAG_05622R,CNAG_05622,414
CNAG_04637R,CNAG_04637,298
CNAG_07680R,CNAG_07680,55
CNAG_02215R,CNAG_02215,25
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,404
CNAG_04086R,CNAG_04086,571
CNAG_05697R,CNAG_05697,487
