Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,191
CNAG_05387R,CNAG_05387,291
CNAG_05638R,CNAG_05638,152
CNAG_05639R,CNAG_05639,223
CNAG_06346R,CNAG_06346,215
CNAG_06347R,CNAG_06347,170
CNAG_06517R,CNAG_06517,227
CNAG_06201R,CNAG_06201,168
CNAG_06104R,CNAG_06104,249
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,230
CNAG_06241R,CNAG_06241,112
CNAG_06242R,CNAG_06242,139
CNAG_07911R,CNAG_07911,364
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,234
CNAG_01902R,CNAG_01902,17
CNAG_01680R,CNAG_01680,205
CNAG_01989R,CNAG_01989,145
CNAG_01965R,CNAG_01965,26
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,201
CNAG_04837R,CNAG_04837,226
CNAG_04836R,CNAG_04836,194
CNAG_04875R,CNAG_04875,146
CNAG_04868R,CNAG_04868,52
CNAG_04752R,CNAG_04752,1
CNAG_04518R,CNAG_04518,108
CNAG_04517R,CNAG_04517,205
CNAG_07770R,CNAG_07770,145
CNAG_04271R,CNAG_04271,1
CNAG_04270R,CNAG_04270,1
CNAG_03433R,CNAG_03433,2
CNAG_03333R,CNAG_03333,245
CNAG_07742R,CNAG_07742,431
CNAG_03142R,CNAG_03142,164
CNAG_03566R,CNAG_03566,195
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,168
CNAG_05684R,CNAG_05684,82
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,277
CNAG_02371R,CNAG_02371,301
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,145
CNAG_03669R,CNAG_03669,146
CNAG_07332R,CNAG_07332,109
CNAG_00285R,CNAG_00285,156
CNAG_00830R,CNAG_00830,185
CNAG_00841R,CNAG_00841,233
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,348
CNAG_03279R,CNAG_03279,218
CNAG_03336R,CNAG_03336,281
CNAG_06339R,CNAG_06339,214
CNAG_03768R,CNAG_03768,224
CNAG_04534R,CNAG_04534,192
CNAG_01973R,CNAG_01973,167
CNAG_07867R,CNAG_07867,177
CNAG_05333R,CNAG_05333,201
CNAG_06425R,CNAG_06425,166
CNAG_03849R,CNAG_03849,307
CNAG_02603R,CNAG_02603,152
CNAG_02555R,CNAG_02555,237
CNAG_02525R,CNAG_02525,44
