Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,451
CNAG_05387R,CNAG_05387,380
CNAG_05638R,CNAG_05638,339
CNAG_05639R,CNAG_05639,309
CNAG_06346R,CNAG_06346,362
CNAG_06347R,CNAG_06347,266
CNAG_06517R,CNAG_06517,456
CNAG_06201R,CNAG_06201,236
CNAG_06104R,CNAG_06104,250
CNAG_07902R,CNAG_07902,298
CNAG_06241R,CNAG_06241,213
CNAG_06242R,CNAG_06242,288
CNAG_07911R,CNAG_07911,331
CNAG_01683R,CNAG_01683,383
CNAG_01902R,CNAG_01902,18
CNAG_01680R,CNAG_01680,337
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,255
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,48
CNAG_01925R,CNAG_01925,272
CNAG_04837R,CNAG_04837,337
CNAG_04836R,CNAG_04836,300
CNAG_04875R,CNAG_04875,85
CNAG_04868R,CNAG_04868,80
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,319
CNAG_04517R,CNAG_04517,308
CNAG_07770R,CNAG_07770,325
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,425
CNAG_07742R,CNAG_07742,602
CNAG_03142R,CNAG_03142,245
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,273
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,226
CNAG_05684R,CNAG_05684,328
CNAG_02189R,CNAG_02189,330
CNAG_02371R,CNAG_02371,321
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,231
CNAG_03669R,CNAG_03669,368
CNAG_07332R,CNAG_07332,212
CNAG_00285R,CNAG_00285,374
CNAG_00830R,CNAG_00830,365
CNAG_00841R,CNAG_00841,402
CNAG_06531R,CNAG_06531,707
CNAG_03279R,CNAG_03279,333
CNAG_03336R,CNAG_03336,528
CNAG_06339R,CNAG_06339,356
CNAG_03768R,CNAG_03768,404
CNAG_04534R,CNAG_04534,378
CNAG_01973R,CNAG_01973,375
CNAG_07867R,CNAG_07867,368
CNAG_05333R,CNAG_05333,472
CNAG_06425R,CNAG_06425,315
CNAG_03849R,CNAG_03849,401
CNAG_02603R,CNAG_02603,281
CNAG_02555R,CNAG_02555,526
CNAG_02525R,CNAG_02525,127
CNAG_03431R,CNAG_03431,211
CNAG_05049R,CNAG_05049,200
CNAG_03914R,CNAG_03914,228
CNAG_02476R,CNAG_02476,329
CNAG_07583R,CNAG_07583,345
CNAG_05112R,CNAG_05112,264
CNAG_03366R,CNAG_03366,501
CNAG_04090R,CNAG_04090,374
CNAG_00791R,CNAG_00791,293
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,3891
CNAG_02516R,CNAG_02516,283
CNAG_04804R,CNAG_04804,2
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,288
CNAG_01883R,CNAG_01883,355
CNAG_03401R,CNAG_03401,352
CNAG_02435R,CNAG_02435,353
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,345
CNAG_03700R,CNAG_03700,436
CNAG_05215R,CNAG_05215,255
CNAG_01438R,CNAG_01438,201
CNAG_07464R,CNAG_07464,114
CNAG_01858R,CNAG_01858,460
CNAG_04586R,CNAG_04586,371
CNAG_05176R,CNAG_05176,222
CNAG_01014R,CNAG_01014,188
CNAG_01454R,CNAG_01454,345
CNAG_06327R,CNAG_06327,82
CNAG_03788R,CNAG_03788,365
CNAG_00871R,CNAG_00871,462
CNAG_00559R,CNAG_00559,10443
CNAG_07370R,CNAG_07370,424
CNAG_02589R,CNAG_02589,360
CNAG_01645R,CNAG_01645,872
CNAG_01242R,CNAG_01242,331
CNAG_02788R,CNAG_02788,34
CNAG_07435R,CNAG_07435,39
CNAG_07924R,CNAG_07924,245
CNAG_01071R,CNAG_01071,326
CNAG_00883R,CNAG_00883,64
CNAG_03741R,CNAG_03741,379
CNAG_03745R,CNAG_03745,383
CNAG_00192R,CNAG_00192,355
CNAG_00670R,CNAG_00670,423
CNAG_06871R,CNAG_06871,469
CNAG_04457R,CNAG_04457,354
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,57
CNAG_03894R,CNAG_03894,364
CNAG_04012R,CNAG_04012,263
CNAG_01487R,CNAG_01487,419
CNAG_05170R,CNAG_05170,359
CNAG_02364R,CNAG_02364,370
CNAG_04093R,CNAG_04093,423
CNAG_02322R,CNAG_02322,329
CNAG_05255R,CNAG_05255,344
CNAG_03018R,CNAG_03018,311
CNAG_07901R,CNAG_07901,303
CNAG_03086R,CNAG_03086,403
CNAG_06097R,CNAG_06097,433
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,299
CNAG_03177R,CNAG_03177,370
CNAG_03183R,CNAG_03183,130
CNAG_02877R,CNAG_02877,1
CNAG_04774R,CNAG_04774,257
CNAG_04768R,CNAG_04768,377
CNAG_06276R,CNAG_06276,350
CNAG_05222R,CNAG_05222,89
CNAG_03409R,CNAG_03409,60
CNAG_05622R,CNAG_05622,392
CNAG_04637R,CNAG_04637,199
CNAG_07680R,CNAG_07680,121
CNAG_02215R,CNAG_02215,41
CNAG_02387R,CNAG_02387,387
CNAG_04086R,CNAG_04086,517
CNAG_05697R,CNAG_05697,504
CNAG_04507R,CNAG_04507,329
CNAG_04506R,CNAG_04506,352
CNAG_00068R,CNAG_00068,518
CNAG_00733R,CNAG_00733,223
CNAG_03910R,CNAG_03910,355
CNAG_04059R,CNAG_04059,315
CNAG_07491R,CNAG_07491,415
CNAG_05181R,CNAG_05181,317
