Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,225
CNAG_05387R,CNAG_05387,250
CNAG_05638R,CNAG_05638,220
CNAG_05639R,CNAG_05639,234
CNAG_06346R,CNAG_06346,210
CNAG_06347R,CNAG_06347,207
CNAG_06517R,CNAG_06517,364
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,228
CNAG_06104R,CNAG_06104,137
CNAG_07902R,CNAG_07902,214
CNAG_06241R,CNAG_06241,267
CNAG_06242R,CNAG_06242,277
CNAG_07911R,CNAG_07911,211
CNAG_01683R,CNAG_01683,292
CNAG_01902R,CNAG_01902,5
CNAG_01680R,CNAG_01680,189
CNAG_01989R,CNAG_01989,216
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,44
CNAG_01925R,CNAG_01925,189
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,264
CNAG_04836R,CNAG_04836,205
CNAG_04875R,CNAG_04875,61
CNAG_04868R,CNAG_04868,105
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,191
CNAG_04517R,CNAG_04517,217
CNAG_07770R,CNAG_07770,258
CNAG_04436R,CNAG_04436,1
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,190
CNAG_07742R,CNAG_07742,503
CNAG_03142R,CNAG_03142,182
CNAG_03566R,CNAG_03566,185
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,165
CNAG_05684R,CNAG_05684,17
CNAG_02189R,CNAG_02189,263
CNAG_02182R,CNAG_02182,1
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,195
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,196
CNAG_03669R,CNAG_03669,143
CNAG_07332R,CNAG_07332,150
CNAG_00285R,CNAG_00285,226
CNAG_00830R,CNAG_00830,230
CNAG_00841R,CNAG_00841,294
CNAG_06531R,CNAG_06531,406
CNAG_03279R,CNAG_03279,223
CNAG_03336R,CNAG_03336,327
CNAG_06339R,CNAG_06339,306
CNAG_03768R,CNAG_03768,243
CNAG_04534R,CNAG_04534,230
CNAG_01973R,CNAG_01973,439
CNAG_07867R,CNAG_07867,271
CNAG_05333R,CNAG_05333,317
CNAG_06425R,CNAG_06425,218
CNAG_03849R,CNAG_03849,278
CNAG_02603R,CNAG_02603,172
CNAG_02555R,CNAG_02555,320
CNAG_02525R,CNAG_02525,51
CNAG_03431R,CNAG_03431,136
CNAG_05049R,CNAG_05049,149
CNAG_03914R,CNAG_03914,42
CNAG_02476R,CNAG_02476,187
CNAG_07583R,CNAG_07583,244
CNAG_05112R,CNAG_05112,191
CNAG_03366R,CNAG_03366,281
CNAG_04090R,CNAG_04090,823
CNAG_00791R,CNAG_00791,134
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,2657
CNAG_02516R,CNAG_02516,224
CNAG_04804R,CNAG_04804,165
CNAG_06203R,CNAG_06203,177
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,216
CNAG_03401R,CNAG_03401,279
CNAG_02435R,CNAG_02435,381
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,173
CNAG_03700R,CNAG_03700,216
CNAG_05215R,CNAG_05215,120
CNAG_01438R,CNAG_01438,130
CNAG_07464R,CNAG_07464,278
CNAG_01858R,CNAG_01858,351
CNAG_04586R,CNAG_04586,877
CNAG_05176R,CNAG_05176,295
CNAG_01014R,CNAG_01014,119
CNAG_01454R,CNAG_01454,240
CNAG_06327R,CNAG_06327,89
CNAG_03788R,CNAG_03788,260
CNAG_00871R,CNAG_00871,339
CNAG_00559R,CNAG_00559,12766
CNAG_07370R,CNAG_07370,253
CNAG_02589R,CNAG_02589,269
CNAG_01645R,CNAG_01645,508
CNAG_01242R,CNAG_01242,127
CNAG_02788R,CNAG_02788,59
CNAG_07435R,CNAG_07435,42
CNAG_07924R,CNAG_07924,104
CNAG_01071R,CNAG_01071,210
CNAG_00883R,CNAG_00883,175
CNAG_03741R,CNAG_03741,315
CNAG_03745R,CNAG_03745,279
CNAG_00192R,CNAG_00192,232
CNAG_00670R,CNAG_00670,266
CNAG_06871R,CNAG_06871,331
CNAG_04457R,CNAG_04457,251
CNAG_04588R,CNAG_04588,49
CNAG_03894R,CNAG_03894,217
CNAG_04012R,CNAG_04012,135
CNAG_01487R,CNAG_01487,305
CNAG_05170R,CNAG_05170,184
CNAG_02364R,CNAG_02364,220
CNAG_04093R,CNAG_04093,272
CNAG_02322R,CNAG_02322,194
CNAG_05255R,CNAG_05255,347
CNAG_03018R,CNAG_03018,235
CNAG_07901R,CNAG_07901,174
CNAG_03086R,CNAG_03086,277
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,425
CNAG_06136R,CNAG_06136,211
CNAG_03177R,CNAG_03177,267
CNAG_03183R,CNAG_03183,29
CNAG_04774R,CNAG_04774,189
CNAG_04768R,CNAG_04768,204
CNAG_06276R,CNAG_06276,179
CNAG_05222R,CNAG_05222,133
CNAG_03409R,CNAG_03409,317
CNAG_05622R,CNAG_05622,270
CNAG_04637R,CNAG_04637,198
CNAG_07680R,CNAG_07680,90
CNAG_02215R,CNAG_02215,62
CNAG_02387R,CNAG_02387,149
CNAG_04086R,CNAG_04086,373
CNAG_05697R,CNAG_05697,356
CNAG_04507R,CNAG_04507,189
CNAG_04506R,CNAG_04506,250
CNAG_00068R,CNAG_00068,483
CNAG_00733R,CNAG_00733,231
CNAG_03910R,CNAG_03910,240
CNAG_04059R,CNAG_04059,217
CNAG_07491R,CNAG_07491,170
CNAG_05181R,CNAG_05181,431
CNAG_03772R,CNAG_03772,250
CNAG_00445R,CNAG_00445,491
CNAG_01901R,CNAG_01901,390
CNAG_05313R,CNAG_05313,24
CNAG_05312R,CNAG_05312,299
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,284
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,258
CNAG_01230R,CNAG_01230,134
CNAG_00547R,CNAG_00547,141
CNAG_00598R,CNAG_00598,225
CNAG_02219R,CNAG_02219,298
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,40
CNAG_07540R,CNAG_07540,546
CNAG_04980R,CNAG_04980,10
CNAG_00456R,CNAG_00456,244
CNAG_00455R,CNAG_00455,306
CNAG_00107R,CNAG_00107,166
CNAG_01061R,CNAG_01061,199
CNAG_01013R,CNAG_01013,15
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,205
CNAG_00164R,CNAG_00164,253
CNAG_03677R,CNAG_03677,223
CNAG_06761R,CNAG_06761,1
CNAG_05077R,CNAG_05077,270
CNAG_02554R,CNAG_02554,1
CNAG_00776R,CNAG_00776,54
CNAG_04024R,CNAG_04024,300
CNAG_04025R,CNAG_04025,271
CNAG_02348R,CNAG_02348,1
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,32
CNAG_01803R,CNAG_01803,264
CNAG_07541R,CNAG_07541,173
CNAG_07542R,CNAG_07542,258
CNAG_05915R,CNAG_05915,204
CNAG_00917R,CNAG_00917,857
CNAG_00919R,CNAG_00919,232
CNAG_05458R,CNAG_05458,324
CNAG_05459R,CNAG_05459,261
CNAG_01985R,CNAG_01985,101
CNAG_00740R,CNAG_00740,52
CNAG_04163R,CNAG_04163,237
CNAG_04162R,CNAG_04162,178
CNAG_04755R,CNAG_04755,940
CNAG_01777R,CNAG_01777,179
CNAG_01778R,CNAG_01778,1
CNAG_05888R,CNAG_05888,1
CNAG_03173R,CNAG_03173,274
CNAG_03172R,CNAG_03172,277
CNAG_07388R,CNAG_07388,230
CNAG_07389R,CNAG_07389,324
CNAG_06060R,CNAG_06060,187
CNAG_00581R,CNAG_00581,116
CNAG_02045R,CNAG_02045,329
CNAG_04950R,CNAG_04950,208
CNAG_04949R,CNAG_04949,244
CNAG_01865R,CNAG_01865,247
CNAG_00717R,CNAG_00717,94
CNAG_06896R,CNAG_06896,95
CNAG_05812R,CNAG_05812,142
CNAG_00079R,CNAG_00079,1
CNAG_06658R,CNAG_06658,207
CNAG_05994R,CNAG_05994,252
CNAG_02517R,CNAG_02517,301
CNAG_02040R,CNAG_02040,1
CNAG_03329R,CNAG_03329,220
CNAG_04471R,CNAG_04471,273
CNAG_04472R,CNAG_04472,1
CNAG_00699R,CNAG_00699,194
CNAG_02129R,CNAG_02129,317
CNAG_05352R,CNAG_05352,62
CNAG_02293R,CNAG_02293,1
CNAG_07441R,CNAG_07441,1
CNAG_07486R,CNAG_07486,257
CNAG_00710R,CNAG_00710,154
CNAG_00709R,CNAG_00709,225
CNAG_03689R,CNAG_03689,107
CNAG_01704R,CNAG_01704,254
CNAG_07827R,CNAG_07827,219
CNAG_07516R,CNAG_07516,200
CNAG_00157R,CNAG_00157,183
CNAG_01776R,CNAG_01776,235
CNAG_07605R,CNAG_07605,172
CNAG_01846R,CNAG_01846,242
CNAG_02539R,CNAG_02539,1
CNAG_00799R,CNAG_00799,153
CNAG_04657R,CNAG_04657,246
CNAG_04385R,CNAG_04385,212
CNAG_04386R,CNAG_04386,254
CNAG_07847R,CNAG_07847,198
CNAG_02226R,CNAG_02226,223
CNAG_02225R,CNAG_02225,219
CNAG_04860R,CNAG_04860,225
CNAG_01105R,CNAG_01105,310
CNAG_03524R,CNAG_03524,171
CNAG_03733R,CNAG_03733,275
CNAG_03732R,CNAG_03732,326
CNAG_03247R,CNAG_03247,274
CNAG_03193R,CNAG_03193,203
CNAG_03194R,CNAG_03194,144
CNAG_06574R,CNAG_06574,215
CNAG_04663R,CNAG_04663,170
CNAG_02944R,CNAG_02944,223
CNAG_05872R,CNAG_05872,138
CNAG_02775R,CNAG_02775,78
CNAG_07498R,CNAG_07498,342
CNAG_00475R,CNAG_00475,4508
CNAG_06501R,CNAG_06501,203
CNAG_06502R,CNAG_06502,309
CNAG_00587R,CNAG_00587,324
CNAG_04691R,CNAG_04691,278
CNAG_05522R,CNAG_05522,266
CNAG_01930R,CNAG_01930,313
CNAG_03002R,CNAG_03002,290
CNAG_01448R,CNAG_01448,299
CNAG_07685R,CNAG_07685,225
CNAG_03902R,CNAG_03902,20
CNAG_02010R,CNAG_02010,3088
CNAG_05156R,CNAG_05156,1
CNAG_01643R,CNAG_01643,1
CNAG_01642R,CNAG_01642,262
CNAG_04705R,CNAG_04705,301
CNAG_01420R,CNAG_01420,254
CNAG_07519R,CNAG_07519,325
CNAG_06240R,CNAG_06240,408
CNAG_00777R,CNAG_00777,319
CNAG_01118R,CNAG_01118,357
CNAG_03866R,CNAG_03866,221
CNAG_06594R,CNAG_06594,1
CNAG_06595R,CNAG_06595,249
CNAG_00519R,CNAG_00519,2
CNAG_03168R,CNAG_03168,4
CNAG_01524R,CNAG_01524,223
CNAG_04594R,CNAG_04594,196
CNAG_02588R,CNAG_02588,297
CNAG_06905R,CNAG_06905,252
CNAG_06904R,CNAG_06904,207
CNAG_02288R,CNAG_02288,194
CNAG_07752R,CNAG_07752,313
CNAG_04587R,CNAG_04587,269
CNAG_02692R,CNAG_02692,219
CNAG_02776R,CNAG_02776,464
CNAG_04885R,CNAG_04885,193
CNAG_06662R,CNAG_06662,209
CNAG_02165R,CNAG_02165,277
CNAG_02071R,CNAG_02071,256
CNAG_02070R,CNAG_02070,193
CNAG_02684R,CNAG_02684,127
CNAG_05420R,CNAG_05420,42
CNAG_05939R,CNAG_05939,597
CNAG_07743R,CNAG_07743,2
CNAG_00765R,CNAG_00765,195
CNAG_00745R,CNAG_00745,380
CNAG_00744R,CNAG_00744,208
CNAG_00162R,CNAG_00162,255
CNAG_02658R,CNAG_02658,32
CNAG_06401R,CNAG_06401,552
CNAG_01960R,CNAG_01960,158
CNAG_01961R,CNAG_01961,813
CNAG_02930R,CNAG_02930,81
CNAG_01238R,CNAG_01238,1
CNAG_01239R,CNAG_01239,248
CNAG_00332R,CNAG_00332,146
CNAG_00333R,CNAG_00333,188
CNAG_05663R,CNAG_05663,46
CNAG_05664R,CNAG_05664,283
CNAG_01574R,CNAG_01574,212
CNAG_01573R,CNAG_01573,195
CNAG_06963R,CNAG_06963,255
CNAG_03719R,CNAG_03719,195
CNAG_02041R,CNAG_02041,203
CNAG_06889R,CNAG_06889,277
CNAG_04141R,CNAG_04141,263
CNAG_07415R,CNAG_07415,88
CNAG_05586R,CNAG_05586,160
CNAG_05686R,CNAG_05686,170
