Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,142
CNAG_05515L,CNAG_05515,512
CNAG_05641L,CNAG_05641,395
CNAG_05387L,CNAG_05387,433
CNAG_05590L,CNAG_05590,1119
CNAG_07869L,CNAG_07869,507
CNAG_05340L,CNAG_05340,299
CNAG_05638L,CNAG_05638,433
CNAG_05639L,CNAG_05639,413
CNAG_06346L,CNAG_06346,422
CNAG_06347L,CNAG_06347,389
CNAG_06517L,CNAG_06517,550
CNAG_07939L,CNAG_07939,446
CNAG_06493L,CNAG_06493,327
CNAG_06201L,CNAG_06201,380
CNAG_06104L,CNAG_06104,249
CNAG_06081L,CNAG_06081,463
CNAG_07902L,CNAG_07902,347
CNAG_06241L,CNAG_06241,314
CNAG_06242L,CNAG_06242,273
CNAG_06186L,CNAG_06186,304
CNAG_07911L,CNAG_07911,400
CNAG_01551L,CNAG_01551,257
CNAG_01683L,CNAG_01683,377
CNAG_01983L,CNAG_01983,469
CNAG_01902L,CNAG_01902,2
CNAG_01680L,CNAG_01680,386
CNAG_01621L,CNAG_01621,333
CNAG_01988L,CNAG_01988,381
CNAG_01989L,CNAG_01989,389
CNAG_01939L,CNAG_01939,428
CNAG_01993L,CNAG_01993,375
CNAG_01992L,CNAG_01992,356
CNAG_01965L,CNAG_01965,371
CNAG_01562L,CNAG_01562,314
CNAG_01925L,CNAG_01925,407
CNAG_04756L,CNAG_04756,382
CNAG_04807L,CNAG_04807,442
CNAG_04837L,CNAG_04837,382
CNAG_04836L,CNAG_04836,321
CNAG_04737L,CNAG_04737,531
CNAG_04875L,CNAG_04875,334
CNAG_04874L,CNAG_04874,979
CNAG_04868L,CNAG_04868,119
CNAG_04752L,CNAG_04752,352
CNAG_04753L,CNAG_04753,2291
CNAG_04909L,CNAG_04909,444
CNAG_04908L,CNAG_04908,498
CNAG_04659L,CNAG_04659,262
CNAG_04623L,CNAG_04623,375
CNAG_04518L,CNAG_04518,311
CNAG_04517L,CNAG_04517,433
CNAG_07770L,CNAG_07770,376
CNAG_04436L,CNAG_04436,264
CNAG_04271L,CNAG_04271,293
CNAG_04270L,CNAG_04270,389
CNAG_03346L,CNAG_03346,443
CNAG_03433L,CNAG_03433,433
CNAG_03333L,CNAG_03333,559
CNAG_07742L,CNAG_07742,1055
CNAG_03438L,CNAG_03438,150
CNAG_03223L,CNAG_03223,425
CNAG_03142L,CNAG_03142,320
CNAG_03143L,CNAG_03143,354
CNAG_03545L,CNAG_03545,424
CNAG_03161L,CNAG_03161,154
CNAG_03566L,CNAG_03566,428
CNAG_05835L,CNAG_05835,282
CNAG_05864L,CNAG_05864,336
CNAG_06567L,CNAG_06567,467
CNAG_05742L,CNAG_05742,237
CNAG_05743L,CNAG_05743,100
CNAG_05867L,CNAG_05867,305
CNAG_05685L,CNAG_05685,1133
CNAG_05684L,CNAG_05684,450
CNAG_05785L,CNAG_05785,319
CNAG_05843L,CNAG_05843,11
CNAG_06554L,CNAG_06554,370
CNAG_02189L,CNAG_02189,412
CNAG_02188L,CNAG_02188,400
CNAG_02182L,CNAG_02182,397
CNAG_07631L,CNAG_07631,392
CNAG_02371L,CNAG_02371,348
CNAG_07633L,CNAG_07633,398
CNAG_01069L,CNAG_01069,328
CNAG_00896L,CNAG_00896,1285
CNAG_06719L,CNAG_06719,82
CNAG_03669L,CNAG_03669,417
CNAG_00031L,CNAG_00031,371
CNAG_07332L,CNAG_07332,294
CNAG_00285L,CNAG_00285,434
CNAG_00828L,CNAG_00828,374
CNAG_00830L,CNAG_00830,426
CNAG_00841L,CNAG_00841,423
CNAG_02774L,CNAG_02774,366
CNAG_06531L,CNAG_06531,784
CNAG_03279L,CNAG_03279,433
CNAG_03336L,CNAG_03336,599
CNAG_06339L,CNAG_06339,458
CNAG_03768L,CNAG_03768,467
CNAG_04534L,CNAG_04534,431
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,381
CNAG_05333L,CNAG_05333,507
CNAG_06425L,CNAG_06425,312
CNAG_03849L,CNAG_03849,998
CNAG_02603L,CNAG_02603,352
CNAG_02555L,CNAG_02555,534
CNAG_03431L,CNAG_03431,402
CNAG_05049L,CNAG_05049,269
CNAG_05380L,CNAG_05380,299
CNAG_03914L,CNAG_03914,418
CNAG_02476L,CNAG_02476,408
CNAG_07583L,CNAG_07583,488
CNAG_02466L,CNAG_02466,312
CNAG_05112L,CNAG_05112,361
CNAG_03366L,CNAG_03366,537
CNAG_03977L,CNAG_03977,181
CNAG_04090L,CNAG_04090,655
CNAG_00791L,CNAG_00791,349
CNAG_06751L,CNAG_06751,211
CNAG_05375L,CNAG_05375,4654
CNAG_02516L,CNAG_02516,420
CNAG_04804L,CNAG_04804,250
CNAG_00627L,CNAG_00627,419
CNAG_07725L,CNAG_07725,456
CNAG_06203L,CNAG_06203,391
CNAG_01883L,CNAG_01883,792
CNAG_03401L,CNAG_03401,396
CNAG_02435L,CNAG_02435,322
CNAG_05153L,CNAG_05153,15
CNAG_01708L,CNAG_01708,345
CNAG_03700L,CNAG_03700,441
CNAG_07320L,CNAG_07320,89
CNAG_05215L,CNAG_05215,266
CNAG_01438L,CNAG_01438,300
CNAG_07464L,CNAG_07464,333
CNAG_01858L,CNAG_01858,544
CNAG_04586L,CNAG_04586,451
CNAG_05093L,CNAG_05093,410
CNAG_05176L,CNAG_05176,460
CNAG_01014L,CNAG_01014,282
CNAG_00998L,CNAG_00998,309
CNAG_00039L,CNAG_00039,750
CNAG_07329L,CNAG_07329,22
CNAG_01454L,CNAG_01454,446
CNAG_02700L,CNAG_02700,32
CNAG_06327L,CNAG_06327,108
CNAG_03788L,CNAG_03788,357
CNAG_00871L,CNAG_00871,551
CNAG_00559L,CNAG_00559,11225
CNAG_07370L,CNAG_07370,549
CNAG_00732L,CNAG_00732,402
CNAG_04630L,CNAG_04630,489
CNAG_07940L,CNAG_07940,469
CNAG_02589L,CNAG_02589,458
CNAG_05067L,CNAG_05067,382
CNAG_01645L,CNAG_01645,1198
CNAG_06134L,CNAG_06134,68
CNAG_01242L,CNAG_01242,241
CNAG_02788L,CNAG_02788,37
CNAG_07435L,CNAG_07435,17
CNAG_03998L,CNAG_03998,267
CNAG_07924L,CNAG_07924,452
CNAG_01071L,CNAG_01071,322
CNAG_00883L,CNAG_00883,381
CNAG_03741L,CNAG_03741,362
CNAG_03745L,CNAG_03745,495
CNAG_00192L,CNAG_00192,371
CNAG_00670L,CNAG_00670,399
CNAG_06871L,CNAG_06871,657
CNAG_04457L,CNAG_04457,374
CNAG_02723L,CNAG_02723,377
CNAG_04588L,CNAG_04588,63
CNAG_01977L,CNAG_01977,365
CNAG_03894L,CNAG_03894,444
CNAG_04012L,CNAG_04012,457
CNAG_03561L,CNAG_03561,282
CNAG_05170L,CNAG_05170,321
CNAG_04041L,CNAG_04041,63
CNAG_02364L,CNAG_02364,459
CNAG_04093L,CNAG_04093,500
CNAG_02322L,CNAG_02322,441
CNAG_04184L,CNAG_04184,418
CNAG_05255L,CNAG_05255,400
CNAG_05642L,CNAG_05642,168
CNAG_03059L,CNAG_03059,336
CNAG_03018L,CNAG_03018,391
CNAG_07901L,CNAG_07901,297
CNAG_03086L,CNAG_03086,418
CNAG_04916L,CNAG_04916,328
CNAG_06097L,CNAG_06097,288
CNAG_03115L,CNAG_03115,372
CNAG_03132L,CNAG_03132,455
CNAG_04841L,CNAG_04841,413
CNAG_06136L,CNAG_06136,333
CNAG_03177L,CNAG_03177,719
CNAG_03183L,CNAG_03183,185
CNAG_06188L,CNAG_06188,344
CNAG_02877L,CNAG_02877,235
CNAG_04359L,CNAG_04359,834
CNAG_04774L,CNAG_04774,541
CNAG_04768L,CNAG_04768,439
CNAG_02066L,CNAG_02066,432
CNAG_07922L,CNAG_07922,374
CNAG_06276L,CNAG_06276,431
CNAG_05222L,CNAG_05222,126
CNAG_03409L,CNAG_03409,267
CNAG_05622L,CNAG_05622,783
CNAG_04637L,CNAG_04637,296
CNAG_07680L,CNAG_07680,62
CNAG_02215L,CNAG_02215,34
CNAG_00564L,CNAG_00564,548
CNAG_02387L,CNAG_02387,465
CNAG_04086L,CNAG_04086,637
CNAG_05697L,CNAG_05697,629
CNAG_02697L,CNAG_02697,369
CNAG_06205L,CNAG_06205,342
CNAG_05372L,CNAG_05372,213
CNAG_04507L,CNAG_04507,374
CNAG_04506L,CNAG_04506,478
CNAG_00068L,CNAG_00068,4684
CNAG_05138L,CNAG_05138,235
CNAG_00733L,CNAG_00733,422
CNAG_03910L,CNAG_03910,486
CNAG_04059L,CNAG_04059,1743
CNAG_07491L,CNAG_07491,411
CNAG_05181L,CNAG_05181,397
CNAG_03915L,CNAG_03915,424
CNAG_03772L,CNAG_03772,410
CNAG_00445L,CNAG_00445,652
CNAG_01901L,CNAG_01901,622
CNAG_05313L,CNAG_05313,178
CNAG_05312L,CNAG_05312,472
CNAG_03012L,CNAG_03012,337
CNAG_03011L,CNAG_03011,399
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,690
CNAG_02682L,CNAG_02682,302
CNAG_02683L,CNAG_02683,388
CNAG_00442L,CNAG_00442,652
CNAG_00183L,CNAG_00183,227
CNAG_07548L,CNAG_07548,3194
CNAG_01277L,CNAG_01277,552
CNAG_07512L,CNAG_07512,679
CNAG_01230L,CNAG_01230,176
CNAG_05264L,CNAG_05264,678
CNAG_05263L,CNAG_05263,340
CNAG_01681L,CNAG_01681,338
CNAG_01040L,CNAG_01040,772
CNAG_00179L,CNAG_00179,444
CNAG_00547L,CNAG_00547,441
CNAG_00598L,CNAG_00598,503
CNAG_05229L,CNAG_05229,307
CNAG_01138L,CNAG_01138,418
CNAG_00597L,CNAG_00597,421
CNAG_02797L,CNAG_02797,167
CNAG_02219L,CNAG_02219,414
CNAG_02220L,CNAG_02220,376
CNAG_00674L,CNAG_00674,485
CNAG_03013L,CNAG_03013,120
CNAG_07540L,CNAG_07540,536
CNAG_04981L,CNAG_04981,331
CNAG_04980L,CNAG_04980,25
CNAG_00456L,CNAG_00456,429
CNAG_00455L,CNAG_00455,401
CNAG_02152L,CNAG_02152,395
CNAG_00107L,CNAG_00107,325
CNAG_00106L,CNAG_00106,1387
CNAG_01061L,CNAG_01061,431
CNAG_03847L,CNAG_03847,369
CNAG_03848L,CNAG_03848,356
CNAG_01013L,CNAG_01013,77
CNAG_02777L,CNAG_02777,344
CNAG_07523L,CNAG_07523,295
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,194
CNAG_00531L,CNAG_00531,372
CNAG_05159L,CNAG_05159,392
CNAG_05079L,CNAG_05079,586
CNAG_05080L,CNAG_05080,379
CNAG_04869L,CNAG_04869,372
CNAG_00164L,CNAG_00164,448
CNAG_04077L,CNAG_04077,438
CNAG_01082L,CNAG_01082,411
CNAG_04658L,CNAG_04658,352
CNAG_03727L,CNAG_03727,344
CNAG_03676L,CNAG_03676,397
CNAG_03677L,CNAG_03677,432
CNAG_03841L,CNAG_03841,80
CNAG_06761L,CNAG_06761,320
CNAG_06760L,CNAG_06760,352
CNAG_05076L,CNAG_05076,302
CNAG_05077L,CNAG_05077,423
CNAG_02553L,CNAG_02553,473
CNAG_02554L,CNAG_02554,2300
CNAG_00546L,CNAG_00546,376
CNAG_00702L,CNAG_00702,400
CNAG_00897L,CNAG_00897,353
CNAG_05148L,CNAG_05148,301
CNAG_05147L,CNAG_05147,387
CNAG_01126L,CNAG_01126,8
CNAG_00776L,CNAG_00776,98
CNAG_01446L,CNAG_01446,507
CNAG_04024L,CNAG_04024,491
CNAG_04025L,CNAG_04025,563
CNAG_02348L,CNAG_02348,485
CNAG_02347L,CNAG_02347,635
CNAG_00394L,CNAG_00394,298
CNAG_00393L,CNAG_00393,513
CNAG_06555L,CNAG_06555,385
CNAG_01019L,CNAG_01019,26
CNAG_01803L,CNAG_01803,483
CNAG_00374L,CNAG_00374,352
CNAG_00654L,CNAG_00654,426
CNAG_07541L,CNAG_07541,350
CNAG_07542L,CNAG_07542,431
CNAG_00363L,CNAG_00363,169
CNAG_05915L,CNAG_05915,467
CNAG_05916L,CNAG_05916,364
CNAG_00917L,CNAG_00917,1554
CNAG_00919L,CNAG_00919,496
CNAG_05458L,CNAG_05458,553
CNAG_05459L,CNAG_05459,534
CNAG_01985L,CNAG_01985,252
CNAG_00740L,CNAG_00740,68
CNAG_04163L,CNAG_04163,54
CNAG_04162L,CNAG_04162,265
CNAG_04755L,CNAG_04755,418
CNAG_01777L,CNAG_01777,356
CNAG_01778L,CNAG_01778,351
CNAG_05889L,CNAG_05889,402
CNAG_05888L,CNAG_05888,361
CNAG_04217L,CNAG_04217,387
CNAG_03173L,CNAG_03173,435
CNAG_03172L,CNAG_03172,415
CNAG_07388L,CNAG_07388,402
CNAG_07389L,CNAG_07389,511
CNAG_03644L,CNAG_03644,390
CNAG_06785L,CNAG_06785,334
CNAG_06060L,CNAG_06060,276
CNAG_00581L,CNAG_00581,233
CNAG_02044L,CNAG_02044,416
CNAG_02045L,CNAG_02045,536
CNAG_04950L,CNAG_04950,408
CNAG_04949L,CNAG_04949,409
CNAG_01865L,CNAG_01865,338
CNAG_05870L,CNAG_05870,331
CNAG_00717L,CNAG_00717,225
CNAG_06926L,CNAG_06926,457
CNAG_06896L,CNAG_06896,281
CNAG_04631L,CNAG_04631,341
CNAG_05812L,CNAG_05812,405
CNAG_00079L,CNAG_00079,420
CNAG_06657L,CNAG_06657,398
CNAG_06658L,CNAG_06658,355
CNAG_05993L,CNAG_05993,372
CNAG_05994L,CNAG_05994,450
CNAG_04675L,CNAG_04675,6
CNAG_01318L,CNAG_01318,399
CNAG_05430L,CNAG_05430,296
