Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,174
CNAG_05387R,CNAG_05387,210
CNAG_05638R,CNAG_05638,150
CNAG_05639R,CNAG_05639,147
CNAG_06346R,CNAG_06346,232
CNAG_06347R,CNAG_06347,169
CNAG_06517R,CNAG_06517,271
CNAG_06201R,CNAG_06201,165
CNAG_06104R,CNAG_06104,189
CNAG_07902R,CNAG_07902,206
CNAG_06241R,CNAG_06241,82
CNAG_06242R,CNAG_06242,66
CNAG_07911R,CNAG_07911,210
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,174
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,7
CNAG_01680R,CNAG_01680,118
CNAG_01989R,CNAG_01989,156
CNAG_01965R,CNAG_01965,39
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,192
CNAG_04837R,CNAG_04837,192
CNAG_04836R,CNAG_04836,184
CNAG_04875R,CNAG_04875,57
CNAG_04868R,CNAG_04868,53
CNAG_04518R,CNAG_04518,200
CNAG_04517R,CNAG_04517,195
CNAG_07770R,CNAG_07770,179
CNAG_04271R,CNAG_04271,1
CNAG_03333R,CNAG_03333,247
CNAG_07742R,CNAG_07742,393
CNAG_03142R,CNAG_03142,154
CNAG_03566R,CNAG_03566,159
CNAG_05864R,CNAG_05864,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,159
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,152
CNAG_05843R,CNAG_05843,1
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,260
CNAG_02371R,CNAG_02371,195
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,168
CNAG_03669R,CNAG_03669,157
CNAG_07332R,CNAG_07332,146
CNAG_00285R,CNAG_00285,210
CNAG_00830R,CNAG_00830,190
CNAG_00841R,CNAG_00841,182
CNAG_06531R,CNAG_06531,326
CNAG_03279R,CNAG_03279,181
CNAG_03336R,CNAG_03336,231
CNAG_06339R,CNAG_06339,197
CNAG_03768R,CNAG_03768,211
CNAG_04534R,CNAG_04534,176
CNAG_01973R,CNAG_01973,323
CNAG_07867R,CNAG_07867,180
CNAG_05333R,CNAG_05333,166
CNAG_06425R,CNAG_06425,206
CNAG_03849R,CNAG_03849,200
CNAG_02603R,CNAG_02603,146
CNAG_02555R,CNAG_02555,284
CNAG_02525R,CNAG_02525,27
CNAG_03431R,CNAG_03431,278
CNAG_05049R,CNAG_05049,134
CNAG_03914R,CNAG_03914,121
CNAG_02476R,CNAG_02476,223
CNAG_07583R,CNAG_07583,197
CNAG_05112R,CNAG_05112,141
CNAG_03366R,CNAG_03366,236
CNAG_04090R,CNAG_04090,312
CNAG_00791R,CNAG_00791,172
CNAG_05375R,CNAG_05375,2092
CNAG_02516R,CNAG_02516,150
CNAG_04804R,CNAG_04804,31
CNAG_06203R,CNAG_06203,233
CNAG_01883R,CNAG_01883,485
CNAG_03401R,CNAG_03401,130
CNAG_02435R,CNAG_02435,271
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,95
CNAG_03700R,CNAG_03700,210
CNAG_05215R,CNAG_05215,188
CNAG_01438R,CNAG_01438,78
CNAG_07464R,CNAG_07464,155
CNAG_01858R,CNAG_01858,280
CNAG_04586R,CNAG_04586,511
CNAG_05176R,CNAG_05176,185
CNAG_01014R,CNAG_01014,121
CNAG_01454R,CNAG_01454,210
CNAG_06327R,CNAG_06327,85
CNAG_03788R,CNAG_03788,181
CNAG_00871R,CNAG_00871,220
CNAG_00559R,CNAG_00559,7616
CNAG_07370R,CNAG_07370,234
CNAG_02589R,CNAG_02589,183
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,418
CNAG_01242R,CNAG_01242,101
CNAG_02788R,CNAG_02788,10
CNAG_07435R,CNAG_07435,7
CNAG_07924R,CNAG_07924,221
CNAG_01071R,CNAG_01071,183
CNAG_00883R,CNAG_00883,363
CNAG_03741R,CNAG_03741,200
CNAG_03745R,CNAG_03745,228
CNAG_00192R,CNAG_00192,173
CNAG_00670R,CNAG_00670,222
CNAG_06871R,CNAG_06871,287
CNAG_04457R,CNAG_04457,228
CNAG_04588R,CNAG_04588,67
CNAG_03894R,CNAG_03894,205
CNAG_04012R,CNAG_04012,112
CNAG_01487R,CNAG_01487,243
CNAG_05170R,CNAG_05170,201
CNAG_02364R,CNAG_02364,203
CNAG_04093R,CNAG_04093,204
CNAG_02322R,CNAG_02322,196
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,260
CNAG_03018R,CNAG_03018,241
CNAG_07901R,CNAG_07901,184
CNAG_03086R,CNAG_03086,186
CNAG_06097R,CNAG_06097,305
CNAG_03132R,CNAG_03132,2
CNAG_06136R,CNAG_06136,184
CNAG_03177R,CNAG_03177,193
CNAG_03183R,CNAG_03183,83
CNAG_04774R,CNAG_04774,297
CNAG_04768R,CNAG_04768,160
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,141
CNAG_05222R,CNAG_05222,7
CNAG_03409R,CNAG_03409,462
CNAG_05622R,CNAG_05622,289
CNAG_04637R,CNAG_04637,122
CNAG_07680R,CNAG_07680,31
CNAG_02215R,CNAG_02215,28
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,171
CNAG_04086R,CNAG_04086,248
CNAG_05697R,CNAG_05697,224
CNAG_04507R,CNAG_04507,180
CNAG_04506R,CNAG_04506,198
CNAG_00068R,CNAG_00068,399
CNAG_00733R,CNAG_00733,229
CNAG_03910R,CNAG_03910,221
CNAG_04059R,CNAG_04059,173
CNAG_07491R,CNAG_07491,151
CNAG_05181R,CNAG_05181,339
CNAG_03772R,CNAG_03772,218
CNAG_00445R,CNAG_00445,404
CNAG_01901R,CNAG_01901,342
CNAG_05313R,CNAG_05313,85
CNAG_05312R,CNAG_05312,222
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,262
CNAG_01277R,CNAG_01277,213
CNAG_01230R,CNAG_01230,175
CNAG_00547R,CNAG_00547,125
CNAG_00598R,CNAG_00598,195
CNAG_05229R,CNAG_05229,1
CNAG_02219R,CNAG_02219,280
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,30
CNAG_07540R,CNAG_07540,255
CNAG_04980R,CNAG_04980,14
CNAG_00456R,CNAG_00456,152
CNAG_00455R,CNAG_00455,256
CNAG_00107R,CNAG_00107,169
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,208
CNAG_01013R,CNAG_01013,40
CNAG_05080R,CNAG_05080,205
CNAG_00164R,CNAG_00164,198
CNAG_03677R,CNAG_03677,134
CNAG_05077R,CNAG_05077,263
CNAG_02554R,CNAG_02554,1
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,25
CNAG_01446R,CNAG_01446,1
CNAG_04024R,CNAG_04024,191
CNAG_04025R,CNAG_04025,207
CNAG_01019R,CNAG_01019,44
CNAG_01803R,CNAG_01803,253
CNAG_07541R,CNAG_07541,224
CNAG_07542R,CNAG_07542,286
CNAG_00363R,CNAG_00363,1
CNAG_05915R,CNAG_05915,175
CNAG_05916R,CNAG_05916,1
CNAG_00917R,CNAG_00917,788
CNAG_00919R,CNAG_00919,169
CNAG_05458R,CNAG_05458,249
CNAG_05459R,CNAG_05459,234
CNAG_01985R,CNAG_01985,126
CNAG_00740R,CNAG_00740,93
CNAG_04163R,CNAG_04163,189
CNAG_04162R,CNAG_04162,105
CNAG_04755R,CNAG_04755,307
CNAG_01777R,CNAG_01777,125
CNAG_05889R,CNAG_05889,1
CNAG_03173R,CNAG_03173,154
CNAG_03172R,CNAG_03172,193
CNAG_07388R,CNAG_07388,177
CNAG_07389R,CNAG_07389,225
CNAG_06060R,CNAG_06060,172
CNAG_00581R,CNAG_00581,114
CNAG_02045R,CNAG_02045,227
CNAG_04950R,CNAG_04950,189
CNAG_04949R,CNAG_04949,190
CNAG_01865R,CNAG_01865,201
CNAG_00717R,CNAG_00717,165
CNAG_06896R,CNAG_06896,418
CNAG_05812R,CNAG_05812,131
CNAG_06658R,CNAG_06658,162
CNAG_05994R,CNAG_05994,203
CNAG_02517R,CNAG_02517,230
CNAG_03329R,CNAG_03329,124
CNAG_04471R,CNAG_04471,192
CNAG_03075R,CNAG_03075,1
CNAG_00699R,CNAG_00699,187
CNAG_02129R,CNAG_02129,279
CNAG_05352R,CNAG_05352,84
CNAG_07441R,CNAG_07441,1
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,199
CNAG_07313R,CNAG_07313,1
CNAG_00710R,CNAG_00710,138
CNAG_00709R,CNAG_00709,194
CNAG_03689R,CNAG_03689,161
CNAG_01704R,CNAG_01704,228
CNAG_07827R,CNAG_07827,181
CNAG_07516R,CNAG_07516,177
CNAG_00157R,CNAG_00157,180
CNAG_04891R,CNAG_04891,1
CNAG_01776R,CNAG_01776,254
CNAG_07605R,CNAG_07605,142
CNAG_01846R,CNAG_01846,169
CNAG_00799R,CNAG_00799,126
CNAG_04657R,CNAG_04657,190
