Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,54
CNAG_05515L,CNAG_05515,608
CNAG_05641L,CNAG_05641,306
CNAG_05387L,CNAG_05387,353
CNAG_05590L,CNAG_05590,263
CNAG_07869L,CNAG_07869,406
CNAG_05340L,CNAG_05340,80
CNAG_05638L,CNAG_05638,338
CNAG_05639L,CNAG_05639,240
CNAG_06346L,CNAG_06346,380
CNAG_06347L,CNAG_06347,290
CNAG_06517L,CNAG_06517,434
CNAG_07939L,CNAG_07939,275
CNAG_06493L,CNAG_06493,272
CNAG_06201L,CNAG_06201,301
CNAG_06104L,CNAG_06104,114
CNAG_06081L,CNAG_06081,423
CNAG_07902L,CNAG_07902,334
CNAG_06241L,CNAG_06241,115
CNAG_06242L,CNAG_06242,108
CNAG_06186L,CNAG_06186,162
CNAG_07911L,CNAG_07911,326
CNAG_01551L,CNAG_01551,40
CNAG_01683L,CNAG_01683,249
CNAG_01983L,CNAG_01983,416
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,341
CNAG_01621L,CNAG_01621,290
CNAG_01988L,CNAG_01988,294
CNAG_01989L,CNAG_01989,339
CNAG_01939L,CNAG_01939,311
CNAG_01993L,CNAG_01993,261
CNAG_01992L,CNAG_01992,249
CNAG_01965L,CNAG_01965,269
CNAG_01562L,CNAG_01562,273
CNAG_01925L,CNAG_01925,255
CNAG_04756L,CNAG_04756,274
CNAG_04807L,CNAG_04807,310
CNAG_04837L,CNAG_04837,349
CNAG_04836L,CNAG_04836,301
CNAG_04737L,CNAG_04737,252
CNAG_04875L,CNAG_04875,92
CNAG_04874L,CNAG_04874,864
CNAG_04868L,CNAG_04868,72
CNAG_04752L,CNAG_04752,158
CNAG_04753L,CNAG_04753,3036
CNAG_04909L,CNAG_04909,291
CNAG_04908L,CNAG_04908,363
CNAG_04659L,CNAG_04659,216
CNAG_04623L,CNAG_04623,324
CNAG_04518L,CNAG_04518,242
CNAG_04517L,CNAG_04517,333
CNAG_07770L,CNAG_07770,473
CNAG_04436L,CNAG_04436,268
CNAG_04271L,CNAG_04271,119
CNAG_04270L,CNAG_04270,132
CNAG_03346L,CNAG_03346,385
CNAG_03433L,CNAG_03433,317
CNAG_03333L,CNAG_03333,401
CNAG_07742L,CNAG_07742,793
CNAG_03438L,CNAG_03438,66
CNAG_03223L,CNAG_03223,260
CNAG_03142L,CNAG_03142,249
CNAG_03143L,CNAG_03143,288
CNAG_03545L,CNAG_03545,320
CNAG_03161L,CNAG_03161,12
CNAG_03566L,CNAG_03566,364
CNAG_05835L,CNAG_05835,445
CNAG_05864L,CNAG_05864,215
CNAG_06567L,CNAG_06567,373
CNAG_05742L,CNAG_05742,170
CNAG_05743L,CNAG_05743,97
CNAG_05867L,CNAG_05867,220
CNAG_05685L,CNAG_05685,633
CNAG_05684L,CNAG_05684,403
CNAG_05785L,CNAG_05785,231
CNAG_05843L,CNAG_05843,12
CNAG_06554L,CNAG_06554,321
CNAG_02189L,CNAG_02189,393
CNAG_02188L,CNAG_02188,398
CNAG_02182L,CNAG_02182,232
CNAG_07631L,CNAG_07631,385
CNAG_02371L,CNAG_02371,280
CNAG_07633L,CNAG_07633,176
CNAG_01069L,CNAG_01069,298
CNAG_00896L,CNAG_00896,904
CNAG_06719L,CNAG_06719,86
CNAG_03669L,CNAG_03669,305
CNAG_00031L,CNAG_00031,267
CNAG_07332L,CNAG_07332,233
CNAG_00285L,CNAG_00285,342
CNAG_00828L,CNAG_00828,241
CNAG_00830L,CNAG_00830,308
CNAG_00841L,CNAG_00841,238
CNAG_02774L,CNAG_02774,276
CNAG_06531L,CNAG_06531,478
CNAG_03279L,CNAG_03279,303
CNAG_03336L,CNAG_03336,446
CNAG_06339L,CNAG_06339,413
CNAG_03768L,CNAG_03768,290
CNAG_04534L,CNAG_04534,381
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,262
CNAG_05333L,CNAG_05333,259
CNAG_06425L,CNAG_06425,268
CNAG_03849L,CNAG_03849,643
CNAG_02603L,CNAG_02603,266
CNAG_02555L,CNAG_02555,354
CNAG_03431L,CNAG_03431,110
CNAG_05049L,CNAG_05049,246
CNAG_05380L,CNAG_05380,354
CNAG_03914L,CNAG_03914,304
CNAG_02476L,CNAG_02476,287
CNAG_07583L,CNAG_07583,253
CNAG_02466L,CNAG_02466,255
CNAG_05112L,CNAG_05112,257
CNAG_03366L,CNAG_03366,381
CNAG_03977L,CNAG_03977,124
CNAG_04090L,CNAG_04090,507
CNAG_00791L,CNAG_00791,115
CNAG_06751L,CNAG_06751,207
CNAG_05375L,CNAG_05375,3538
CNAG_02516L,CNAG_02516,293
CNAG_04804L,CNAG_04804,226
CNAG_00627L,CNAG_00627,372
CNAG_07725L,CNAG_07725,400
CNAG_06203L,CNAG_06203,297
CNAG_00193L,CNAG_00193,2
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,185
CNAG_03401L,CNAG_03401,294
CNAG_02435L,CNAG_02435,569
CNAG_05153L,CNAG_05153,2
CNAG_01708L,CNAG_01708,251
CNAG_03700L,CNAG_03700,296
CNAG_07320L,CNAG_07320,40
CNAG_05215L,CNAG_05215,494
CNAG_01438L,CNAG_01438,169
CNAG_07464L,CNAG_07464,60
CNAG_01858L,CNAG_01858,445
CNAG_04586L,CNAG_04586,693
CNAG_05093L,CNAG_05093,373
CNAG_05176L,CNAG_05176,461
CNAG_01014L,CNAG_01014,217
CNAG_00998L,CNAG_00998,289
CNAG_00039L,CNAG_00039,142
CNAG_07329L,CNAG_07329,2
CNAG_01454L,CNAG_01454,346
CNAG_02700L,CNAG_02700,42
CNAG_06327L,CNAG_06327,53
CNAG_03788L,CNAG_03788,306
CNAG_00871L,CNAG_00871,272
CNAG_00559L,CNAG_00559,22975
CNAG_07370L,CNAG_07370,384
CNAG_00732L,CNAG_00732,216
CNAG_04630L,CNAG_04630,345
CNAG_07940L,CNAG_07940,435
CNAG_02589L,CNAG_02589,7
CNAG_05067L,CNAG_05067,340
CNAG_01645L,CNAG_01645,705
CNAG_06134L,CNAG_06134,129
CNAG_01242L,CNAG_01242,240
CNAG_02788L,CNAG_02788,6
CNAG_07435L,CNAG_07435,9
CNAG_03998L,CNAG_03998,295
CNAG_07924L,CNAG_07924,228
CNAG_01071L,CNAG_01071,242
CNAG_00883L,CNAG_00883,417
CNAG_03741L,CNAG_03741,315
CNAG_03745L,CNAG_03745,319
CNAG_00192L,CNAG_00192,344
CNAG_00670L,CNAG_00670,286
CNAG_06871L,CNAG_06871,433
CNAG_04457L,CNAG_04457,302
CNAG_02723L,CNAG_02723,296
CNAG_04588L,CNAG_04588,79
CNAG_01977L,CNAG_01977,282
CNAG_03894L,CNAG_03894,339
CNAG_04012L,CNAG_04012,271
CNAG_03561L,CNAG_03561,133
CNAG_05170L,CNAG_05170,223
CNAG_04041L,CNAG_04041,55
CNAG_02364L,CNAG_02364,295
CNAG_04093L,CNAG_04093,270
CNAG_02322L,CNAG_02322,295
CNAG_04184L,CNAG_04184,349
CNAG_05255L,CNAG_05255,390
CNAG_05642L,CNAG_05642,64
CNAG_03059L,CNAG_03059,247
CNAG_03018L,CNAG_03018,240
CNAG_07901L,CNAG_07901,233
CNAG_03086L,CNAG_03086,307
CNAG_04916L,CNAG_04916,150
CNAG_06097L,CNAG_06097,203
CNAG_03115L,CNAG_03115,273
CNAG_03132L,CNAG_03132,377
CNAG_04841L,CNAG_04841,280
CNAG_06136L,CNAG_06136,263
CNAG_03177L,CNAG_03177,520
CNAG_03183L,CNAG_03183,127
CNAG_06188L,CNAG_06188,274
CNAG_02877L,CNAG_02877,276
CNAG_04359L,CNAG_04359,716
CNAG_04774L,CNAG_04774,1075
CNAG_04768L,CNAG_04768,373
CNAG_02066L,CNAG_02066,408
CNAG_07922L,CNAG_07922,256
CNAG_06276L,CNAG_06276,286
CNAG_05222L,CNAG_05222,78
CNAG_03409L,CNAG_03409,23
CNAG_05622L,CNAG_05622,590
CNAG_04637L,CNAG_04637,188
CNAG_07680L,CNAG_07680,14
CNAG_02215L,CNAG_02215,3
CNAG_00564L,CNAG_00564,234
CNAG_02387L,CNAG_02387,191
CNAG_04086L,CNAG_04086,446
CNAG_05697L,CNAG_05697,679
CNAG_02697L,CNAG_02697,187
CNAG_06205L,CNAG_06205,271
CNAG_05372L,CNAG_05372,215
CNAG_04507L,CNAG_04507,277
CNAG_04506L,CNAG_04506,379
CNAG_00068L,CNAG_00068,5813
CNAG_05138L,CNAG_05138,152
CNAG_00733L,CNAG_00733,361
CNAG_03910L,CNAG_03910,353
CNAG_04059L,CNAG_04059,1320
CNAG_07491L,CNAG_07491,177
CNAG_05181L,CNAG_05181,661
CNAG_03915L,CNAG_03915,251
CNAG_03772L,CNAG_03772,357
CNAG_00445L,CNAG_00445,844
CNAG_01901L,CNAG_01901,580
CNAG_05313L,CNAG_05313,43
CNAG_05312L,CNAG_05312,282
CNAG_03012L,CNAG_03012,329
CNAG_03011L,CNAG_03011,248
CNAG_06200L,CNAG_06200,652
CNAG_02682L,CNAG_02682,289
CNAG_02683L,CNAG_02683,255
CNAG_00442L,CNAG_00442,382
CNAG_00183L,CNAG_00183,97
CNAG_07548L,CNAG_07548,2441
CNAG_01277L,CNAG_01277,442
