Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,496
CNAG_05387R,CNAG_05387,362
CNAG_05638R,CNAG_05638,289
CNAG_05639R,CNAG_05639,193
CNAG_06346R,CNAG_06346,312
CNAG_06347R,CNAG_06347,294
CNAG_06517R,CNAG_06517,388
CNAG_06201R,CNAG_06201,217
CNAG_06104R,CNAG_06104,67
CNAG_07902R,CNAG_07902,295
CNAG_06241R,CNAG_06241,109
CNAG_06242R,CNAG_06242,151
CNAG_07911R,CNAG_07911,248
CNAG_01683R,CNAG_01683,285
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,238
CNAG_01989R,CNAG_01989,195
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,57
CNAG_01925R,CNAG_01925,223
CNAG_04837R,CNAG_04837,225
CNAG_04836R,CNAG_04836,271
CNAG_04875R,CNAG_04875,88
CNAG_04868R,CNAG_04868,53
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,210
CNAG_04517R,CNAG_04517,224
CNAG_07770R,CNAG_07770,411
CNAG_03333R,CNAG_03333,381
CNAG_07742R,CNAG_07742,545
CNAG_03142R,CNAG_03142,174
CNAG_03566R,CNAG_03566,314
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,184
CNAG_05684R,CNAG_05684,306
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,356
CNAG_02371R,CNAG_02371,249
CNAG_06719R,CNAG_06719,226
CNAG_03669R,CNAG_03669,271
CNAG_07332R,CNAG_07332,214
CNAG_00285R,CNAG_00285,249
CNAG_00830R,CNAG_00830,311
CNAG_00841R,CNAG_00841,284
CNAG_06531R,CNAG_06531,367
CNAG_03279R,CNAG_03279,297
CNAG_03336R,CNAG_03336,354
CNAG_06339R,CNAG_06339,346
CNAG_03768R,CNAG_03768,266
CNAG_04534R,CNAG_04534,283
CNAG_01973R,CNAG_01973,298
CNAG_07867R,CNAG_07867,215
CNAG_05333R,CNAG_05333,256
CNAG_06425R,CNAG_06425,248
CNAG_03849R,CNAG_03849,359
CNAG_02603R,CNAG_02603,229
CNAG_02555R,CNAG_02555,366
CNAG_02525R,CNAG_02525,56
CNAG_03431R,CNAG_03431,101
CNAG_05049R,CNAG_05049,223
CNAG_03914R,CNAG_03914,263
CNAG_02476R,CNAG_02476,284
CNAG_07583R,CNAG_07583,264
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,156
CNAG_03366R,CNAG_03366,364
CNAG_04090R,CNAG_04090,483
CNAG_00791R,CNAG_00791,162
CNAG_05375R,CNAG_05375,3518
CNAG_02516R,CNAG_02516,222
CNAG_04804R,CNAG_04804,197
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,304
CNAG_01883R,CNAG_01883,131
CNAG_03401R,CNAG_03401,289
CNAG_02435R,CNAG_02435,485
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,190
CNAG_03700R,CNAG_03700,263
CNAG_05215R,CNAG_05215,403
CNAG_01438R,CNAG_01438,94
CNAG_07464R,CNAG_07464,54
CNAG_01858R,CNAG_01858,385
CNAG_04586R,CNAG_04586,669
CNAG_05176R,CNAG_05176,398
CNAG_01014R,CNAG_01014,147
CNAG_01454R,CNAG_01454,274
CNAG_06327R,CNAG_06327,44
CNAG_03788R,CNAG_03788,317
CNAG_00871R,CNAG_00871,277
CNAG_00559R,CNAG_00559,16906
CNAG_07370R,CNAG_07370,366
CNAG_02589R,CNAG_02589,5
CNAG_01645R,CNAG_01645,521
CNAG_01242R,CNAG_01242,163
CNAG_02788R,CNAG_02788,1
CNAG_07435R,CNAG_07435,8
CNAG_07924R,CNAG_07924,211
CNAG_01071R,CNAG_01071,243
CNAG_00883R,CNAG_00883,341
CNAG_03741R,CNAG_03741,299
CNAG_03745R,CNAG_03745,304
CNAG_00192R,CNAG_00192,286
CNAG_00670R,CNAG_00670,286
CNAG_06871R,CNAG_06871,328
CNAG_04457R,CNAG_04457,239
CNAG_04588R,CNAG_04588,53
CNAG_03894R,CNAG_03894,366
CNAG_04012R,CNAG_04012,191
CNAG_01487R,CNAG_01487,336
CNAG_05170R,CNAG_05170,275
CNAG_02364R,CNAG_02364,256
CNAG_04093R,CNAG_04093,276
CNAG_02322R,CNAG_02322,222
CNAG_05255R,CNAG_05255,286
CNAG_03018R,CNAG_03018,270
CNAG_07901R,CNAG_07901,200
CNAG_03086R,CNAG_03086,231
CNAG_06097R,CNAG_06097,178
CNAG_06136R,CNAG_06136,280
CNAG_03177R,CNAG_03177,242
CNAG_03183R,CNAG_03183,126
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,648
CNAG_04768R,CNAG_04768,396
CNAG_06276R,CNAG_06276,166
CNAG_05222R,CNAG_05222,34
CNAG_03409R,CNAG_03409,19
CNAG_05622R,CNAG_05622,269
CNAG_04637R,CNAG_04637,139
CNAG_07680R,CNAG_07680,8
CNAG_02215R,CNAG_02215,5
CNAG_02387R,CNAG_02387,162
CNAG_04086R,CNAG_04086,367
CNAG_05697R,CNAG_05697,528
