Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,557
CNAG_05387R,CNAG_05387,454
CNAG_05638R,CNAG_05638,339
CNAG_05639R,CNAG_05639,265
CNAG_06346R,CNAG_06346,358
CNAG_06347R,CNAG_06347,322
CNAG_06517R,CNAG_06517,482
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,300
CNAG_06104R,CNAG_06104,282
CNAG_07902R,CNAG_07902,330
CNAG_06241R,CNAG_06241,93
CNAG_06242R,CNAG_06242,233
CNAG_07911R,CNAG_07911,339
CNAG_01683R,CNAG_01683,406
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,403
CNAG_01989R,CNAG_01989,253
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,43
CNAG_01925R,CNAG_01925,346
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,345
CNAG_04836R,CNAG_04836,330
CNAG_04875R,CNAG_04875,1028
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,85
CNAG_04518R,CNAG_04518,335
CNAG_04517R,CNAG_04517,364
CNAG_07770R,CNAG_07770,334
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,505
CNAG_07742R,CNAG_07742,710
CNAG_03142R,CNAG_03142,285
CNAG_03566R,CNAG_03566,356
CNAG_05867R,CNAG_05867,254
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,328
CNAG_02189R,CNAG_02189,395
CNAG_02371R,CNAG_02371,150
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,289
CNAG_03669R,CNAG_03669,275
CNAG_07332R,CNAG_07332,256
CNAG_00285R,CNAG_00285,326
CNAG_00830R,CNAG_00830,416
CNAG_00841R,CNAG_00841,414
CNAG_06531R,CNAG_06531,668
CNAG_03279R,CNAG_03279,305
CNAG_03336R,CNAG_03336,636
CNAG_06339R,CNAG_06339,521
CNAG_03768R,CNAG_03768,385
CNAG_04534R,CNAG_04534,347
CNAG_01973R,CNAG_01973,77
CNAG_07867R,CNAG_07867,357
CNAG_05333R,CNAG_05333,472
CNAG_06425R,CNAG_06425,598
CNAG_03849R,CNAG_03849,456
CNAG_02603R,CNAG_02603,312
CNAG_02555R,CNAG_02555,467
CNAG_02525R,CNAG_02525,124
CNAG_03431R,CNAG_03431,194
CNAG_05049R,CNAG_05049,252
CNAG_03914R,CNAG_03914,406
