Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,573
CNAG_05387R,CNAG_05387,579
CNAG_05638R,CNAG_05638,349
CNAG_05639R,CNAG_05639,344
CNAG_06346R,CNAG_06346,465
CNAG_06347R,CNAG_06347,394
CNAG_06517R,CNAG_06517,531
CNAG_06201R,CNAG_06201,332
CNAG_06104R,CNAG_06104,299
CNAG_07902R,CNAG_07902,326
CNAG_06241R,CNAG_06241,300
CNAG_06242R,CNAG_06242,255
CNAG_07911R,CNAG_07911,308
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,423
CNAG_01983R,CNAG_01983,2
CNAG_01902R,CNAG_01902,15
CNAG_01680R,CNAG_01680,379
CNAG_01989R,CNAG_01989,269
CNAG_01965R,CNAG_01965,64
CNAG_01925R,CNAG_01925,343
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,420
CNAG_04836R,CNAG_04836,346
CNAG_04875R,CNAG_04875,279
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,101
CNAG_04909R,CNAG_04909,2
CNAG_04518R,CNAG_04518,385
CNAG_04517R,CNAG_04517,368
CNAG_07770R,CNAG_07770,353
CNAG_04271R,CNAG_04271,2
CNAG_04270R,CNAG_04270,1
CNAG_03433R,CNAG_03433,2
CNAG_03333R,CNAG_03333,507
CNAG_07742R,CNAG_07742,722
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,320
CNAG_03566R,CNAG_03566,337
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,281
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,384
CNAG_02189R,CNAG_02189,486
CNAG_02371R,CNAG_02371,331
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,297
CNAG_03669R,CNAG_03669,470
CNAG_07332R,CNAG_07332,287
CNAG_00285R,CNAG_00285,376
CNAG_00830R,CNAG_00830,407
CNAG_00841R,CNAG_00841,345
CNAG_06531R,CNAG_06531,708
CNAG_03279R,CNAG_03279,426
CNAG_03336R,CNAG_03336,631
CNAG_06339R,CNAG_06339,458
CNAG_03768R,CNAG_03768,473
CNAG_04534R,CNAG_04534,431
CNAG_01973R,CNAG_01973,288
CNAG_07867R,CNAG_07867,338
CNAG_05333R,CNAG_05333,404
CNAG_06425R,CNAG_06425,302
CNAG_03849R,CNAG_03849,432
CNAG_02603R,CNAG_02603,280
CNAG_02555R,CNAG_02555,463
CNAG_02525R,CNAG_02525,82
CNAG_03431R,CNAG_03431,315
CNAG_05049R,CNAG_05049,302
CNAG_03914R,CNAG_03914,460
CNAG_02476R,CNAG_02476,365
CNAG_07583R,CNAG_07583,372
CNAG_05112R,CNAG_05112,334
CNAG_03366R,CNAG_03366,476
CNAG_04090R,CNAG_04090,554
CNAG_00791R,CNAG_00791,342
CNAG_05375R,CNAG_05375,5608
CNAG_02516R,CNAG_02516,375
CNAG_04804R,CNAG_04804,281
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,373
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,674
CNAG_03401R,CNAG_03401,403
CNAG_02435R,CNAG_02435,359
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,301
CNAG_03700R,CNAG_03700,446
CNAG_05215R,CNAG_05215,319
CNAG_01438R,CNAG_01438,313
CNAG_07464R,CNAG_07464,406
CNAG_01858R,CNAG_01858,505
CNAG_04586R,CNAG_04586,471
CNAG_05176R,CNAG_05176,384
CNAG_01014R,CNAG_01014,237
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,446
CNAG_06327R,CNAG_06327,74
CNAG_03788R,CNAG_03788,426
CNAG_00871R,CNAG_00871,476
CNAG_00559R,CNAG_00559,11051
CNAG_07370R,CNAG_07370,473
CNAG_02589R,CNAG_02589,408
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,949
CNAG_01242R,CNAG_01242,157
CNAG_02788R,CNAG_02788,19
CNAG_07435R,CNAG_07435,29
CNAG_07924R,CNAG_07924,367
CNAG_01071R,CNAG_01071,307
CNAG_00883R,CNAG_00883,383
CNAG_03741R,CNAG_03741,330
CNAG_03745R,CNAG_03745,438
CNAG_00192R,CNAG_00192,442
CNAG_00670R,CNAG_00670,403
CNAG_06871R,CNAG_06871,485
CNAG_04457R,CNAG_04457,442
CNAG_04588R,CNAG_04588,45
CNAG_03894R,CNAG_03894,540
CNAG_04012R,CNAG_04012,139
CNAG_01487R,CNAG_01487,407
CNAG_05170R,CNAG_05170,386
CNAG_02364R,CNAG_02364,389
CNAG_04093R,CNAG_04093,460
CNAG_02322R,CNAG_02322,409
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,421
CNAG_03018R,CNAG_03018,344
CNAG_07901R,CNAG_07901,330
CNAG_03086R,CNAG_03086,345
CNAG_06097R,CNAG_06097,344
CNAG_06136R,CNAG_06136,371
CNAG_03177R,CNAG_03177,422
CNAG_03183R,CNAG_03183,183
CNAG_04774R,CNAG_04774,446
CNAG_04768R,CNAG_04768,439
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,356
CNAG_05222R,CNAG_05222,33
CNAG_03409R,CNAG_03409,200
CNAG_05622R,CNAG_05622,491
CNAG_04637R,CNAG_04637,305
CNAG_07680R,CNAG_07680,64
CNAG_02215R,CNAG_02215,28
CNAG_02387R,CNAG_02387,421
CNAG_04086R,CNAG_04086,519
CNAG_05697R,CNAG_05697,515
CNAG_04507R,CNAG_04507,361
CNAG_04506R,CNAG_04506,400
CNAG_00068R,CNAG_00068,645
CNAG_00733R,CNAG_00733,369
CNAG_03910R,CNAG_03910,352
CNAG_04059R,CNAG_04059,276
CNAG_07491R,CNAG_07491,541
CNAG_05181R,CNAG_05181,404
CNAG_03772R,CNAG_03772,454
CNAG_00445R,CNAG_00445,476
CNAG_01901R,CNAG_01901,652
CNAG_05313R,CNAG_05313,129
CNAG_05312R,CNAG_05312,435
CNAG_00442R,CNAG_00442,541
CNAG_00183R,CNAG_00183,1
CNAG_07548R,CNAG_07548,3
CNAG_01277R,CNAG_01277,522
CNAG_01230R,CNAG_01230,238
CNAG_05263R,CNAG_05263,1
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,259
CNAG_00598R,CNAG_00598,382
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,547
CNAG_03013R,CNAG_03013,105
CNAG_07540R,CNAG_07540,520
CNAG_04980R,CNAG_04980,25
CNAG_00456R,CNAG_00456,425
CNAG_00455R,CNAG_00455,423
CNAG_00107R,CNAG_00107,330
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,467
CNAG_01013R,CNAG_01013,62
CNAG_07523R,CNAG_07523,2
CNAG_04991R,CNAG_04991,1
CNAG_05080R,CNAG_05080,361
CNAG_00164R,CNAG_00164,396
CNAG_03676R,CNAG_03676,1
