Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,110
CNAG_05515L,CNAG_05515,414
CNAG_05641L,CNAG_05641,337
CNAG_05387L,CNAG_05387,444
CNAG_05590L,CNAG_05590,940
CNAG_07869L,CNAG_07869,434
CNAG_05340L,CNAG_05340,217
CNAG_05638L,CNAG_05638,343
CNAG_05639L,CNAG_05639,316
CNAG_06346L,CNAG_06346,376
CNAG_06347L,CNAG_06347,353
CNAG_06517L,CNAG_06517,484
CNAG_07939L,CNAG_07939,347
CNAG_06493L,CNAG_06493,277
CNAG_06201L,CNAG_06201,355
CNAG_06104L,CNAG_06104,274
CNAG_06081L,CNAG_06081,431
CNAG_07902L,CNAG_07902,289
CNAG_06241L,CNAG_06241,238
CNAG_06242L,CNAG_06242,220
CNAG_06186L,CNAG_06186,279
CNAG_07911L,CNAG_07911,408
CNAG_01551L,CNAG_01551,196
CNAG_01683L,CNAG_01683,355
CNAG_01983L,CNAG_01983,386
CNAG_01902L,CNAG_01902,5
CNAG_01680L,CNAG_01680,379
CNAG_01621L,CNAG_01621,283
CNAG_01988L,CNAG_01988,289
CNAG_01989L,CNAG_01989,382
CNAG_01939L,CNAG_01939,349
CNAG_01993L,CNAG_01993,309
CNAG_01992L,CNAG_01992,306
CNAG_01965L,CNAG_01965,348
CNAG_01562L,CNAG_01562,287
CNAG_01925L,CNAG_01925,367
CNAG_04756L,CNAG_04756,331
CNAG_04807L,CNAG_04807,380
CNAG_04837L,CNAG_04837,295
CNAG_04836L,CNAG_04836,287
CNAG_04737L,CNAG_04737,428
CNAG_04875L,CNAG_04875,182
CNAG_04874L,CNAG_04874,844
CNAG_04868L,CNAG_04868,92
CNAG_04752L,CNAG_04752,316
CNAG_04753L,CNAG_04753,1516
CNAG_04909L,CNAG_04909,379
CNAG_04908L,CNAG_04908,391
CNAG_04659L,CNAG_04659,227
CNAG_04623L,CNAG_04623,311
CNAG_04518L,CNAG_04518,294
CNAG_04517L,CNAG_04517,370
CNAG_07770L,CNAG_07770,328
CNAG_04436L,CNAG_04436,215
CNAG_04271L,CNAG_04271,237
CNAG_04270L,CNAG_04270,278
CNAG_03346L,CNAG_03346,359
CNAG_03433L,CNAG_03433,298
CNAG_03333L,CNAG_03333,428
CNAG_07742L,CNAG_07742,917
CNAG_03438L,CNAG_03438,150
CNAG_03223L,CNAG_03223,271
CNAG_03142L,CNAG_03142,272
CNAG_03143L,CNAG_03143,265
