Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,297
CNAG_05515L,CNAG_05515,535
CNAG_05641L,CNAG_05641,488
CNAG_05387L,CNAG_05387,672
CNAG_05590L,CNAG_05590,2089
CNAG_07869L,CNAG_07869,540
CNAG_05340L,CNAG_05340,331
CNAG_05638L,CNAG_05638,472
CNAG_05639L,CNAG_05639,424
CNAG_06346L,CNAG_06346,531
CNAG_06347L,CNAG_06347,483
CNAG_06517L,CNAG_06517,552
CNAG_07939L,CNAG_07939,468
CNAG_06493L,CNAG_06493,408
CNAG_06201L,CNAG_06201,525
CNAG_06104L,CNAG_06104,330
CNAG_06081L,CNAG_06081,518
CNAG_07902L,CNAG_07902,451
CNAG_06241L,CNAG_06241,241
CNAG_06242L,CNAG_06242,373
CNAG_06186L,CNAG_06186,972
CNAG_07911L,CNAG_07911,543
CNAG_01551L,CNAG_01551,706
CNAG_01683L,CNAG_01683,425
CNAG_01983L,CNAG_01983,474
CNAG_01902L,CNAG_01902,12
CNAG_01680L,CNAG_01680,482
CNAG_01621L,CNAG_01621,437
CNAG_01988L,CNAG_01988,324
CNAG_01989L,CNAG_01989,511
CNAG_01939L,CNAG_01939,585
CNAG_01993L,CNAG_01993,489
CNAG_01992L,CNAG_01992,503
CNAG_01965L,CNAG_01965,475
CNAG_01562L,CNAG_01562,497
CNAG_01925L,CNAG_01925,446
CNAG_04756L,CNAG_04756,592
CNAG_04807L,CNAG_04807,511
CNAG_04837L,CNAG_04837,513
CNAG_04836L,CNAG_04836,428
CNAG_04737L,CNAG_04737,627
CNAG_04875L,CNAG_04875,287
CNAG_04874L,CNAG_04874,1130
CNAG_04868L,CNAG_04868,86
CNAG_04752L,CNAG_04752,359
CNAG_04753L,CNAG_04753,3140
CNAG_04909L,CNAG_04909,415
CNAG_04908L,CNAG_04908,589
CNAG_04659L,CNAG_04659,292
CNAG_04623L,CNAG_04623,349
CNAG_04518L,CNAG_04518,426
CNAG_04517L,CNAG_04517,465
CNAG_07770L,CNAG_07770,526
CNAG_04436L,CNAG_04436,314
CNAG_04271L,CNAG_04271,644
CNAG_04270L,CNAG_04270,355
CNAG_03346L,CNAG_03346,475
CNAG_03433L,CNAG_03433,569
CNAG_03333L,CNAG_03333,605
CNAG_07742L,CNAG_07742,1535
CNAG_03438L,CNAG_03438,56
CNAG_03223L,CNAG_03223,466
CNAG_03142L,CNAG_03142,386
CNAG_03143L,CNAG_03143,410
CNAG_03545L,CNAG_03545,572
CNAG_03161L,CNAG_03161,198
CNAG_03566L,CNAG_03566,458
CNAG_05835L,CNAG_05835,925
CNAG_05864L,CNAG_05864,308
CNAG_06567L,CNAG_06567,477
CNAG_05742L,CNAG_05742,3
CNAG_05743L,CNAG_05743,178
CNAG_05867L,CNAG_05867,362
CNAG_05685L,CNAG_05685,1319
CNAG_05684L,CNAG_05684,389
CNAG_05785L,CNAG_05785,445
CNAG_05843L,CNAG_05843,3
CNAG_06554L,CNAG_06554,419
CNAG_02189L,CNAG_02189,521
CNAG_02188L,CNAG_02188,504
CNAG_02182L,CNAG_02182,393
CNAG_07631L,CNAG_07631,589
CNAG_02371L,CNAG_02371,358
CNAG_07633L,CNAG_07633,358
CNAG_01069L,CNAG_01069,477
CNAG_00896L,CNAG_00896,1828
CNAG_06719L,CNAG_06719,163
CNAG_03669L,CNAG_03669,238
CNAG_00031L,CNAG_00031,462
CNAG_07332L,CNAG_07332,330
CNAG_00285L,CNAG_00285,490
CNAG_00828L,CNAG_00828,471
CNAG_00830L,CNAG_00830,452
CNAG_00841L,CNAG_00841,493
CNAG_02774L,CNAG_02774,329
CNAG_06531L,CNAG_06531,933
CNAG_03279L,CNAG_03279,513
CNAG_03336L,CNAG_03336,662
