Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,334
CNAG_05387R,CNAG_05387,395
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,284
CNAG_05639R,CNAG_05639,249
CNAG_06346R,CNAG_06346,306
CNAG_06347R,CNAG_06347,276
CNAG_06517R,CNAG_06517,350
CNAG_06201R,CNAG_06201,307
CNAG_06104R,CNAG_06104,282
CNAG_07902R,CNAG_07902,294
CNAG_06241R,CNAG_06241,162
CNAG_06242R,CNAG_06242,117
CNAG_07911R,CNAG_07911,283
CNAG_01683R,CNAG_01683,349
CNAG_01902R,CNAG_01902,13
CNAG_01680R,CNAG_01680,267
CNAG_01989R,CNAG_01989,217
CNAG_01965R,CNAG_01965,57
CNAG_01925R,CNAG_01925,276
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,323
CNAG_04836R,CNAG_04836,277
CNAG_04875R,CNAG_04875,120
CNAG_04868R,CNAG_04868,40
CNAG_04752R,CNAG_04752,1
CNAG_04518R,CNAG_04518,236
CNAG_04517R,CNAG_04517,311
CNAG_07770R,CNAG_07770,381
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,338
CNAG_07742R,CNAG_07742,635
CNAG_03142R,CNAG_03142,217
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,280
CNAG_05835R,CNAG_05835,1
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,210
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,249
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,478
CNAG_02371R,CNAG_02371,234
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,196
CNAG_03669R,CNAG_03669,197
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,157
CNAG_00285R,CNAG_00285,221
CNAG_00830R,CNAG_00830,274
CNAG_00841R,CNAG_00841,300
CNAG_06531R,CNAG_06531,525
CNAG_03279R,CNAG_03279,279
CNAG_03336R,CNAG_03336,315
CNAG_06339R,CNAG_06339,380
CNAG_03768R,CNAG_03768,333
CNAG_04534R,CNAG_04534,265
CNAG_01973R,CNAG_01973,199
CNAG_07867R,CNAG_07867,348
CNAG_05333R,CNAG_05333,326
CNAG_06425R,CNAG_06425,205
CNAG_03849R,CNAG_03849,315
CNAG_02603R,CNAG_02603,270
CNAG_02555R,CNAG_02555,317
CNAG_02525R,CNAG_02525,99
CNAG_03431R,CNAG_03431,395
CNAG_05049R,CNAG_05049,190
CNAG_03914R,CNAG_03914,171
CNAG_02476R,CNAG_02476,244
CNAG_07583R,CNAG_07583,278
CNAG_05112R,CNAG_05112,204
CNAG_03366R,CNAG_03366,428
CNAG_04090R,CNAG_04090,401
CNAG_00791R,CNAG_00791,209
CNAG_05375R,CNAG_05375,3879
CNAG_02516R,CNAG_02516,268
CNAG_04804R,CNAG_04804,45
CNAG_06203R,CNAG_06203,266
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,1016
CNAG_03401R,CNAG_03401,341
CNAG_02435R,CNAG_02435,265
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,319
CNAG_03700R,CNAG_03700,339
CNAG_05215R,CNAG_05215,316
CNAG_01438R,CNAG_01438,149
CNAG_07464R,CNAG_07464,215
CNAG_01858R,CNAG_01858,359
CNAG_04586R,CNAG_04586,382
CNAG_05176R,CNAG_05176,268
CNAG_01014R,CNAG_01014,73
CNAG_01454R,CNAG_01454,293
CNAG_06327R,CNAG_06327,84
CNAG_03788R,CNAG_03788,359
CNAG_00871R,CNAG_00871,345
CNAG_00559R,CNAG_00559,6483
CNAG_07370R,CNAG_07370,358
CNAG_02589R,CNAG_02589,256
CNAG_01645R,CNAG_01645,702
CNAG_01242R,CNAG_01242,171
CNAG_02788R,CNAG_02788,17
CNAG_07435R,CNAG_07435,28
CNAG_07924R,CNAG_07924,354
CNAG_01071R,CNAG_01071,221
CNAG_00883R,CNAG_00883,70
CNAG_03741R,CNAG_03741,330
CNAG_03745R,CNAG_03745,343
CNAG_00192R,CNAG_00192,299
CNAG_00670R,CNAG_00670,346
CNAG_06871R,CNAG_06871,405
CNAG_04457R,CNAG_04457,304
CNAG_04588R,CNAG_04588,91
CNAG_03894R,CNAG_03894,346
CNAG_04012R,CNAG_04012,131
CNAG_01487R,CNAG_01487,301
CNAG_05170R,CNAG_05170,228
CNAG_02364R,CNAG_02364,318
CNAG_04093R,CNAG_04093,341
CNAG_02322R,CNAG_02322,254
CNAG_05255R,CNAG_05255,353
CNAG_03018R,CNAG_03018,278
CNAG_07901R,CNAG_07901,267
CNAG_03086R,CNAG_03086,458
CNAG_06097R,CNAG_06097,585
CNAG_06136R,CNAG_06136,275
CNAG_03177R,CNAG_03177,355
CNAG_03183R,CNAG_03183,95
CNAG_06188R,CNAG_06188,1
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,477
CNAG_04768R,CNAG_04768,307
CNAG_06276R,CNAG_06276,253
CNAG_05222R,CNAG_05222,144
CNAG_03409R,CNAG_03409,395
CNAG_05622R,CNAG_05622,333
CNAG_04637R,CNAG_04637,182
CNAG_07680R,CNAG_07680,61
CNAG_02215R,CNAG_02215,22
CNAG_02387R,CNAG_02387,189
CNAG_04086R,CNAG_04086,405
CNAG_05697R,CNAG_05697,408
CNAG_04507R,CNAG_04507,302
CNAG_04506R,CNAG_04506,309
CNAG_00068R,CNAG_00068,477
CNAG_05138R,CNAG_05138,1
CNAG_00733R,CNAG_00733,306
CNAG_03910R,CNAG_03910,327
CNAG_04059R,CNAG_04059,263
CNAG_07491R,CNAG_07491,411
CNAG_05181R,CNAG_05181,360
CNAG_03772R,CNAG_03772,321
CNAG_00445R,CNAG_00445,467
CNAG_01901R,CNAG_01901,496
CNAG_05313R,CNAG_05313,327
CNAG_05312R,CNAG_05312,361
CNAG_03011R,CNAG_03011,1
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,402
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,430
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,132
CNAG_00547R,CNAG_00547,231
CNAG_00598R,CNAG_00598,359
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,445
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,65
CNAG_07540R,CNAG_07540,405
CNAG_00456R,CNAG_00456,292
CNAG_00455R,CNAG_00455,120
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,223
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,320
CNAG_01013R,CNAG_01013,14
CNAG_05159R,CNAG_05159,1
CNAG_05080R,CNAG_05080,295
CNAG_00164R,CNAG_00164,291
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,314
CNAG_05077R,CNAG_05077,321
CNAG_02553R,CNAG_02553,1
CNAG_02554R,CNAG_02554,1
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,62
CNAG_04024R,CNAG_04024,384
CNAG_04025R,CNAG_04025,346
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,20
CNAG_01803R,CNAG_01803,372
CNAG_07541R,CNAG_07541,135
CNAG_07542R,CNAG_07542,354
CNAG_00363R,CNAG_00363,1
CNAG_05915R,CNAG_05915,320
CNAG_00917R,CNAG_00917,1107
CNAG_00919R,CNAG_00919,319
CNAG_05458R,CNAG_05458,464
CNAG_05459R,CNAG_05459,399
CNAG_01985R,CNAG_01985,165
CNAG_00740R,CNAG_00740,40
CNAG_04163R,CNAG_04163,325
CNAG_04162R,CNAG_04162,174
CNAG_04755R,CNAG_04755,666
CNAG_01777R,CNAG_01777,231
CNAG_05889R,CNAG_05889,1
CNAG_03173R,CNAG_03173,226
CNAG_03172R,CNAG_03172,380
CNAG_07388R,CNAG_07388,317
CNAG_07389R,CNAG_07389,364
CNAG_06060R,CNAG_06060,211
CNAG_00581R,CNAG_00581,151
CNAG_02045R,CNAG_02045,413
CNAG_04950R,CNAG_04950,250
CNAG_04949R,CNAG_04949,334
CNAG_01865R,CNAG_01865,336
CNAG_00717R,CNAG_00717,146
CNAG_06896R,CNAG_06896,182
CNAG_05812R,CNAG_05812,292
CNAG_06658R,CNAG_06658,227
CNAG_05994R,CNAG_05994,300
CNAG_02517R,CNAG_02517,391
CNAG_03329R,CNAG_03329,199
CNAG_04471R,CNAG_04471,387
CNAG_00699R,CNAG_00699,226
CNAG_02129R,CNAG_02129,349
CNAG_05352R,CNAG_05352,176
CNAG_02293R,CNAG_02293,6
CNAG_07441R,CNAG_07441,3
CNAG_03946R,CNAG_03946,2
CNAG_07486R,CNAG_07486,331
CNAG_00126R,CNAG_00126,1
CNAG_00710R,CNAG_00710,178
CNAG_00709R,CNAG_00709,316
CNAG_03689R,CNAG_03689,260
CNAG_01704R,CNAG_01704,325
CNAG_05290R,CNAG_05290,1
CNAG_07827R,CNAG_07827,259
CNAG_07516R,CNAG_07516,196
CNAG_00157R,CNAG_00157,213
CNAG_01776R,CNAG_01776,323
CNAG_07605R,CNAG_07605,276
CNAG_01846R,CNAG_01846,316
CNAG_03572R,CNAG_03572,1
CNAG_00799R,CNAG_00799,175
CNAG_04656R,CNAG_04656,1
CNAG_04657R,CNAG_04657,334
CNAG_04385R,CNAG_04385,359
CNAG_04386R,CNAG_04386,313
CNAG_07847R,CNAG_07847,272
CNAG_02226R,CNAG_02226,286
CNAG_02225R,CNAG_02225,302
CNAG_04860R,CNAG_04860,232
CNAG_01105R,CNAG_01105,416
CNAG_03524R,CNAG_03524,223
CNAG_03733R,CNAG_03733,338
CNAG_03732R,CNAG_03732,423
CNAG_03247R,CNAG_03247,325
CNAG_03193R,CNAG_03193,229
CNAG_03194R,CNAG_03194,231
CNAG_06574R,CNAG_06574,240
CNAG_04663R,CNAG_04663,248
CNAG_02944R,CNAG_02944,316
CNAG_05872R,CNAG_05872,83
CNAG_02775R,CNAG_02775,42
CNAG_06973R,CNAG_06973,1
CNAG_07498R,CNAG_07498,426
CNAG_00475R,CNAG_00475,5086
CNAG_04524R,CNAG_04524,1
CNAG_06501R,CNAG_06501,226
CNAG_06502R,CNAG_06502,313
CNAG_00587R,CNAG_00587,318
CNAG_04691R,CNAG_04691,315
CNAG_05522R,CNAG_05522,358
CNAG_01930R,CNAG_01930,318
CNAG_03002R,CNAG_03002,350
CNAG_01448R,CNAG_01448,277
CNAG_07685R,CNAG_07685,271
CNAG_03902R,CNAG_03902,82
CNAG_02011R,CNAG_02011,1
CNAG_02010R,CNAG_02010,3427
CNAG_01642R,CNAG_01642,368
CNAG_04705R,CNAG_04705,381
CNAG_01420R,CNAG_01420,348
CNAG_07519R,CNAG_07519,464
CNAG_00078R,CNAG_00078,1
CNAG_06240R,CNAG_06240,567
CNAG_00777R,CNAG_00777,462
CNAG_01118R,CNAG_01118,449
CNAG_03866R,CNAG_03866,395
CNAG_06594R,CNAG_06594,1
CNAG_06595R,CNAG_06595,258
CNAG_00588R,CNAG_00588,1
CNAG_01525R,CNAG_01525,1
CNAG_01524R,CNAG_01524,283
CNAG_04594R,CNAG_04594,299
CNAG_02588R,CNAG_02588,402
CNAG_06905R,CNAG_06905,237
CNAG_06904R,CNAG_06904,224
CNAG_02288R,CNAG_02288,246
CNAG_07729R,CNAG_07729,2
CNAG_03408R,CNAG_03408,1
CNAG_01969R,CNAG_01969,1
CNAG_07752R,CNAG_07752,386
CNAG_04587R,CNAG_04587,203
CNAG_02692R,CNAG_02692,307
CNAG_02776R,CNAG_02776,571
CNAG_04885R,CNAG_04885,278
CNAG_06662R,CNAG_06662,294
CNAG_02165R,CNAG_02165,475
CNAG_02071R,CNAG_02071,405
CNAG_02070R,CNAG_02070,249
CNAG_02684R,CNAG_02684,452
CNAG_02685R,CNAG_02685,1
CNAG_05420R,CNAG_05420,94
CNAG_05939R,CNAG_05939,655
CNAG_05940R,CNAG_05940,1
CNAG_00765R,CNAG_00765,223
CNAG_00745R,CNAG_00745,33
CNAG_00744R,CNAG_00744,254
CNAG_00162R,CNAG_00162,259
CNAG_02658R,CNAG_02658,160
CNAG_06401R,CNAG_06401,239
CNAG_01960R,CNAG_01960,229
CNAG_01961R,CNAG_01961,1026
CNAG_02930R,CNAG_02930,170
CNAG_01238R,CNAG_01238,1
CNAG_01239R,CNAG_01239,371
CNAG_00332R,CNAG_00332,207
CNAG_00333R,CNAG_00333,241
CNAG_04801R,CNAG_04801,2
CNAG_05663R,CNAG_05663,298
CNAG_05664R,CNAG_05664,238
CNAG_01574R,CNAG_01574,519
CNAG_01573R,CNAG_01573,253
CNAG_06963R,CNAG_06963,244
CNAG_03719R,CNAG_03719,290
CNAG_02041R,CNAG_02041,245
CNAG_06889R,CNAG_06889,333
CNAG_04141R,CNAG_04141,301
CNAG_07415R,CNAG_07415,174
CNAG_05586R,CNAG_05586,217
CNAG_05686R,CNAG_05686,288
CNAG_00400R,CNAG_00400,370
CNAG_04213R,CNAG_04213,279
CNAG_05913R,CNAG_05913,1
CNAG_04736R,CNAG_04736,322
CNAG_04735R,CNAG_04735,251
CNAG_05392R,CNAG_05392,365
CNAG_05393R,CNAG_05393,305
CNAG_06034R,CNAG_06034,301
CNAG_05250R,CNAG_05250,86
CNAG_01773R,CNAG_01773,181
CNAG_01232R,CNAG_01232,62
CNAG_01578R,CNAG_01578,164
CNAG_01601R,CNAG_01601,119
CNAG_04963R,CNAG_04963,373
CNAG_04962R,CNAG_04962,246
CNAG_01231R,CNAG_01231,267
CNAG_06835R,CNAG_06835,195
CNAG_06836R,CNAG_06836,315
CNAG_00879R,CNAG_00879,1
CNAG_07454R,CNAG_07454,1
CNAG_06389R,CNAG_06389,251
CNAG_05640R,CNAG_05640,756
CNAG_01558R,CNAG_01558,297
CNAG_00903R,CNAG_00903,49
CNAG_06583R,CNAG_06583,287
CNAG_06428R,CNAG_06428,308
CNAG_06427R,CNAG_06427,234
CNAG_07745R,CNAG_07745,283
CNAG_03369R,CNAG_03369,179
CNAG_00130R,CNAG_00130,769
CNAG_00874R,CNAG_00874,1
CNAG_00457R,CNAG_00457,364
CNAG_04730R,CNAG_04730,338
CNAG_03116R,CNAG_03116,61
CNAG_04622R,CNAG_04622,309
CNAG_04449R,CNAG_04449,303
CNAG_03874R,CNAG_03874,216
CNAG_03873R,CNAG_03873,413
CNAG_04105R,CNAG_04105,1
CNAG_02475R,CNAG_02475,148
CNAG_00070R,CNAG_00070,257
CNAG_04862R,CNAG_04862,357
CNAG_02527R,CNAG_02527,438
CNAG_04632R,CNAG_04632,1
CNAG_00194R,CNAG_00194,543
CNAG_03498R,CNAG_03498,303
CNAG_03426R,CNAG_03426,270
CNAG_00077R,CNAG_00077,209
CNAG_02965R,CNAG_02965,313
CNAG_01041R,CNAG_01041,3
CNAG_04546R,CNAG_04546,342
CNAG_04523R,CNAG_04523,298
CNAG_04522R,CNAG_04522,309
CNAG_07444R,CNAG_07444,267
CNAG_06576R,CNAG_06576,358
CNAG_06577R,CNAG_06577,1
CNAG_03836R,CNAG_03836,788
CNAG_03400R,CNAG_03400,286
CNAG_02255R,CNAG_02255,266
CNAG_06230R,CNAG_06230,3
CNAG_05075R,CNAG_05075,452
CNAG_02550R,CNAG_02550,301
CNAG_02551R,CNAG_02551,321
CNAG_01995R,CNAG_01995,360
CNAG_01994R,CNAG_01994,321
CNAG_06277R,CNAG_06277,92
CNAG_07697R,CNAG_07697,351
CNAG_03140R,CNAG_03140,211
CNAG_00011R,CNAG_00011,423
CNAG_06610R,CNAG_06610,1
CNAG_01229R,CNAG_01229,1
CNAG_04655R,CNAG_04655,269
CNAG_05934R,CNAG_05934,223
CNAG_02264R,CNAG_02264,393
CNAG_00189R,CNAG_00189,289
CNAG_00188R,CNAG_00188,185
CNAG_07873R,CNAG_07873,8
CNAG_05369R,CNAG_05369,320
CNAG_00864R,CNAG_00864,393
CNAG_05119R,CNAG_05119,262
CNAG_00407R,CNAG_00407,389
CNAG_05813R,CNAG_05813,285
CNAG_06310R,CNAG_06310,392
CNAG_02510R,CNAG_02510,243
CNAG_06578R,CNAG_06578,1
CNAG_00122R,CNAG_00122,519
CNAG_01744R,CNAG_01744,12
CNAG_04104R,CNAG_04104,309
CNAG_04103R,CNAG_04103,442
CNAG_04015R,CNAG_04015,370
CNAG_00796R,CNAG_00796,261
CNAG_04283R,CNAG_04283,32
CNAG_00398R,CNAG_00398,277
CNAG_03382R,CNAG_03382,3
CNAG_01742R,CNAG_01742,289
CNAG_01743R,CNAG_01743,2
CNAG_05452R,CNAG_05452,1
CNAG_05453R,CNAG_05453,261
CNAG_05053R,CNAG_05053,347
CNAG_01753R,CNAG_01753,290
CNAG_01604R,CNAG_01604,14
CNAG_01605R,CNAG_01605,267
CNAG_00074R,CNAG_00074,293
CNAG_00302R,CNAG_00302,2
CNAG_04415R,CNAG_04415,313
CNAG_04416R,CNAG_04416,259
CNAG_00539R,CNAG_00539,95
CNAG_00009R,CNAG_00009,1
CNAG_04028R,CNAG_04028,42
CNAG_05539R,CNAG_05539,401
CNAG_02297R,CNAG_02297,319
CNAG_00066R,CNAG_00066,164
