Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,628
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,641
CNAG_05638R,CNAG_05638,429
CNAG_05639R,CNAG_05639,333
CNAG_06346R,CNAG_06346,421
CNAG_06347R,CNAG_06347,401
CNAG_06517R,CNAG_06517,557
CNAG_06201R,CNAG_06201,357
CNAG_06104R,CNAG_06104,287
CNAG_07902R,CNAG_07902,495
CNAG_06241R,CNAG_06241,339
CNAG_06242R,CNAG_06242,335
CNAG_07911R,CNAG_07911,432
CNAG_01683R,CNAG_01683,476
CNAG_01902R,CNAG_01902,13
CNAG_01680R,CNAG_01680,422
CNAG_01989R,CNAG_01989,293
CNAG_01939R,CNAG_01939,2
CNAG_01965R,CNAG_01965,68
CNAG_01925R,CNAG_01925,358
CNAG_04756R,CNAG_04756,1
CNAG_04807R,CNAG_04807,2
CNAG_04837R,CNAG_04837,395
CNAG_04836R,CNAG_04836,383
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,312
CNAG_04874R,CNAG_04874,4
CNAG_04868R,CNAG_04868,109
CNAG_04753R,CNAG_04753,1
CNAG_04909R,CNAG_04909,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,430
CNAG_04517R,CNAG_04517,409
CNAG_07770R,CNAG_07770,474
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,510
CNAG_07742R,CNAG_07742,776
CNAG_03142R,CNAG_03142,379
CNAG_03566R,CNAG_03566,400
CNAG_05867R,CNAG_05867,270
CNAG_05684R,CNAG_05684,368
CNAG_02189R,CNAG_02189,472
CNAG_02371R,CNAG_02371,358
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,5
CNAG_06719R,CNAG_06719,306
CNAG_03669R,CNAG_03669,450
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,281
CNAG_00285R,CNAG_00285,413
CNAG_00830R,CNAG_00830,471
CNAG_00841R,CNAG_00841,425
CNAG_06531R,CNAG_06531,725
CNAG_03279R,CNAG_03279,450
CNAG_03336R,CNAG_03336,556
CNAG_06339R,CNAG_06339,549
CNAG_03768R,CNAG_03768,496
CNAG_04534R,CNAG_04534,524
CNAG_01973R,CNAG_01973,337
CNAG_07867R,CNAG_07867,384
CNAG_05333R,CNAG_05333,486
CNAG_06425R,CNAG_06425,345
CNAG_03849R,CNAG_03849,450
CNAG_02603R,CNAG_02603,361
CNAG_02555R,CNAG_02555,551
CNAG_02525R,CNAG_02525,101
CNAG_03431R,CNAG_03431,348
CNAG_05049R,CNAG_05049,268
CNAG_03914R,CNAG_03914,449
CNAG_02476R,CNAG_02476,349
CNAG_07583R,CNAG_07583,438
