Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,401
CNAG_05387R,CNAG_05387,577
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,421
CNAG_05639R,CNAG_05639,297
CNAG_06346R,CNAG_06346,439
CNAG_06347R,CNAG_06347,457
CNAG_06517R,CNAG_06517,539
CNAG_06201R,CNAG_06201,366
CNAG_06104R,CNAG_06104,231
CNAG_07902R,CNAG_07902,382
CNAG_06241R,CNAG_06241,363
CNAG_06242R,CNAG_06242,333
CNAG_07911R,CNAG_07911,399
CNAG_01551R,CNAG_01551,2
CNAG_01683R,CNAG_01683,523
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,353
CNAG_01621R,CNAG_01621,1
CNAG_01988R,CNAG_01988,2
CNAG_01989R,CNAG_01989,296
CNAG_01965R,CNAG_01965,68
CNAG_01925R,CNAG_01925,306
CNAG_04837R,CNAG_04837,363
CNAG_04836R,CNAG_04836,328
CNAG_04875R,CNAG_04875,99
CNAG_04868R,CNAG_04868,116
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,440
CNAG_04517R,CNAG_04517,455
CNAG_07770R,CNAG_07770,412
CNAG_03333R,CNAG_03333,538
CNAG_07742R,CNAG_07742,824
CNAG_03142R,CNAG_03142,340
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,394
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,258
CNAG_05684R,CNAG_05684,168
CNAG_02189R,CNAG_02189,266
CNAG_02371R,CNAG_02371,440
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,338
CNAG_03669R,CNAG_03669,567
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,292
CNAG_00285R,CNAG_00285,409
CNAG_00830R,CNAG_00830,479
CNAG_00841R,CNAG_00841,496
CNAG_06531R,CNAG_06531,846
CNAG_03279R,CNAG_03279,492
CNAG_03336R,CNAG_03336,566
CNAG_06339R,CNAG_06339,527
CNAG_03768R,CNAG_03768,501
CNAG_04534R,CNAG_04534,494
CNAG_01973R,CNAG_01973,459
CNAG_07867R,CNAG_07867,416
CNAG_05333R,CNAG_05333,533
CNAG_06425R,CNAG_06425,281
CNAG_03849R,CNAG_03849,489
CNAG_02603R,CNAG_02603,363
CNAG_02555R,CNAG_02555,652
CNAG_02525R,CNAG_02525,130
CNAG_03431R,CNAG_03431,48
CNAG_05049R,CNAG_05049,208
CNAG_03914R,CNAG_03914,366
CNAG_02476R,CNAG_02476,334
CNAG_07583R,CNAG_07583,417
CNAG_05112R,CNAG_05112,335
CNAG_03366R,CNAG_03366,446
CNAG_04090R,CNAG_04090,449
CNAG_00791R,CNAG_00791,308
CNAG_05375R,CNAG_05375,5204
CNAG_02516R,CNAG_02516,410
CNAG_04804R,CNAG_04804,11
CNAG_06203R,CNAG_06203,404
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,90
CNAG_03401R,CNAG_03401,370
CNAG_02435R,CNAG_02435,376
CNAG_05153R,CNAG_05153,13
CNAG_01708R,CNAG_01708,399
CNAG_03700R,CNAG_03700,520
CNAG_05215R,CNAG_05215,180
CNAG_01438R,CNAG_01438,156
CNAG_07464R,CNAG_07464,114
CNAG_01858R,CNAG_01858,498
CNAG_04586R,CNAG_04586,443
CNAG_05093R,CNAG_05093,1
