Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,498
CNAG_05387R,CNAG_05387,457
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,338
CNAG_05639R,CNAG_05639,276
CNAG_06346R,CNAG_06346,401
CNAG_06347R,CNAG_06347,330
CNAG_06517R,CNAG_06517,434
CNAG_06201R,CNAG_06201,266
CNAG_06104R,CNAG_06104,246
CNAG_07902R,CNAG_07902,334
CNAG_06241R,CNAG_06241,234
CNAG_06242R,CNAG_06242,325
CNAG_07911R,CNAG_07911,323
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,420
CNAG_01902R,CNAG_01902,6
CNAG_01680R,CNAG_01680,310
CNAG_01989R,CNAG_01989,175
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,37
CNAG_01925R,CNAG_01925,274
CNAG_04837R,CNAG_04837,320
CNAG_04836R,CNAG_04836,336
CNAG_04875R,CNAG_04875,45
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,88
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,303
CNAG_04517R,CNAG_04517,359
CNAG_07770R,CNAG_07770,382
CNAG_03333R,CNAG_03333,443
CNAG_07742R,CNAG_07742,702
CNAG_03142R,CNAG_03142,285
CNAG_03566R,CNAG_03566,273
CNAG_05867R,CNAG_05867,218
CNAG_05684R,CNAG_05684,311
CNAG_05785R,CNAG_05785,1
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,305
CNAG_02371R,CNAG_02371,212
CNAG_06719R,CNAG_06719,241
CNAG_03669R,CNAG_03669,404
CNAG_07332R,CNAG_07332,228
CNAG_00285R,CNAG_00285,316
CNAG_00830R,CNAG_00830,356
CNAG_00841R,CNAG_00841,348
CNAG_06531R,CNAG_06531,628
CNAG_03279R,CNAG_03279,388
CNAG_03336R,CNAG_03336,463
CNAG_06339R,CNAG_06339,390
CNAG_03768R,CNAG_03768,371
CNAG_04534R,CNAG_04534,364
CNAG_01973R,CNAG_01973,146
CNAG_07867R,CNAG_07867,339
CNAG_05333R,CNAG_05333,401
CNAG_06425R,CNAG_06425,358
CNAG_03849R,CNAG_03849,406
CNAG_02603R,CNAG_02603,289
CNAG_02555R,CNAG_02555,450
CNAG_02525R,CNAG_02525,104
CNAG_03431R,CNAG_03431,139
CNAG_05049R,CNAG_05049,285
CNAG_03914R,CNAG_03914,314
CNAG_02476R,CNAG_02476,275
CNAG_07583R,CNAG_07583,355
CNAG_05112R,CNAG_05112,280
CNAG_03366R,CNAG_03366,456
CNAG_04090R,CNAG_04090,564
CNAG_00791R,CNAG_00791,294
CNAG_05375R,CNAG_05375,3582
CNAG_02516R,CNAG_02516,294
CNAG_04804R,CNAG_04804,14
CNAG_06203R,CNAG_06203,320
CNAG_01883R,CNAG_01883,255
