Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,429
CNAG_05387R,CNAG_05387,382
CNAG_05638R,CNAG_05638,294
CNAG_05639R,CNAG_05639,262
CNAG_06346R,CNAG_06346,325
CNAG_06347R,CNAG_06347,303
CNAG_06517R,CNAG_06517,478
CNAG_06201R,CNAG_06201,242
CNAG_06104R,CNAG_06104,200
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,296
CNAG_06241R,CNAG_06241,246
CNAG_06242R,CNAG_06242,314
CNAG_07911R,CNAG_07911,334
CNAG_01683R,CNAG_01683,375
CNAG_01902R,CNAG_01902,16
CNAG_01680R,CNAG_01680,282
CNAG_01989R,CNAG_01989,254
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,52
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,278
CNAG_04837R,CNAG_04837,333
CNAG_04836R,CNAG_04836,270
CNAG_04875R,CNAG_04875,109
CNAG_04868R,CNAG_04868,45
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,306
CNAG_04517R,CNAG_04517,316
CNAG_07770R,CNAG_07770,336
CNAG_04271R,CNAG_04271,1
CNAG_04270R,CNAG_04270,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,419
CNAG_07742R,CNAG_07742,630
CNAG_03142R,CNAG_03142,253
CNAG_03566R,CNAG_03566,263
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,3
CNAG_05867R,CNAG_05867,250
CNAG_05684R,CNAG_05684,227
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,313
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,276
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,235
CNAG_03669R,CNAG_03669,306
CNAG_07332R,CNAG_07332,248
CNAG_00285R,CNAG_00285,295
CNAG_00830R,CNAG_00830,346
CNAG_00841R,CNAG_00841,390
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,659
CNAG_03279R,CNAG_03279,288
CNAG_03336R,CNAG_03336,429
CNAG_06339R,CNAG_06339,400
CNAG_03768R,CNAG_03768,308
CNAG_04534R,CNAG_04534,316
CNAG_01973R,CNAG_01973,324
CNAG_07867R,CNAG_07867,373
CNAG_05333R,CNAG_05333,432
CNAG_06425R,CNAG_06425,337
CNAG_03849R,CNAG_03849,315
CNAG_02603R,CNAG_02603,296
CNAG_02555R,CNAG_02555,423
CNAG_02525R,CNAG_02525,178
CNAG_03431R,CNAG_03431,128
CNAG_05049R,CNAG_05049,180
CNAG_03914R,CNAG_03914,82
CNAG_02476R,CNAG_02476,262
CNAG_07583R,CNAG_07583,350
CNAG_05112R,CNAG_05112,251
CNAG_03366R,CNAG_03366,386
CNAG_04090R,CNAG_04090,311
CNAG_00791R,CNAG_00791,210
CNAG_05375R,CNAG_05375,4191
CNAG_02516R,CNAG_02516,300
CNAG_04804R,CNAG_04804,1
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,272
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,306
CNAG_03401R,CNAG_03401,347
CNAG_02435R,CNAG_02435,281
CNAG_05153R,CNAG_05153,21
CNAG_01708R,CNAG_01708,477
CNAG_03700R,CNAG_03700,385
CNAG_07320R,CNAG_07320,1
CNAG_05215R,CNAG_05215,230
CNAG_01438R,CNAG_01438,112
CNAG_07464R,CNAG_07464,146
CNAG_01858R,CNAG_01858,387
CNAG_04586R,CNAG_04586,580
CNAG_05176R,CNAG_05176,283
CNAG_01014R,CNAG_01014,144
CNAG_01454R,CNAG_01454,357
CNAG_06327R,CNAG_06327,49
CNAG_03788R,CNAG_03788,518
CNAG_00871R,CNAG_00871,524
CNAG_00559R,CNAG_00559,8486
CNAG_07370R,CNAG_07370,423
CNAG_00732R,CNAG_00732,2
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,297
CNAG_01645R,CNAG_01645,751
CNAG_01242R,CNAG_01242,227
CNAG_02788R,CNAG_02788,43
CNAG_07435R,CNAG_07435,65
CNAG_07924R,CNAG_07924,347
CNAG_01071R,CNAG_01071,325
CNAG_00883R,CNAG_00883,52
CNAG_03741R,CNAG_03741,330
CNAG_03745R,CNAG_03745,383
CNAG_00192R,CNAG_00192,313
CNAG_00670R,CNAG_00670,364
CNAG_06871R,CNAG_06871,447
CNAG_04457R,CNAG_04457,342
CNAG_04588R,CNAG_04588,63
CNAG_03894R,CNAG_03894,414
CNAG_04012R,CNAG_04012,201
CNAG_01487R,CNAG_01487,389
CNAG_05170R,CNAG_05170,250
CNAG_02364R,CNAG_02364,346
CNAG_04093R,CNAG_04093,439
CNAG_02322R,CNAG_02322,343
CNAG_05255R,CNAG_05255,323
CNAG_05642R,CNAG_05642,1
CNAG_03018R,CNAG_03018,307
CNAG_07901R,CNAG_07901,205
CNAG_03086R,CNAG_03086,380
CNAG_06097R,CNAG_06097,1559
CNAG_06136R,CNAG_06136,322
CNAG_03177R,CNAG_03177,348
CNAG_03183R,CNAG_03183,142
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,363
CNAG_04768R,CNAG_04768,279
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,331
CNAG_05222R,CNAG_05222,188
CNAG_03409R,CNAG_03409,200
CNAG_05622R,CNAG_05622,390
CNAG_04637R,CNAG_04637,200
CNAG_07680R,CNAG_07680,110
CNAG_02215R,CNAG_02215,62
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,243
CNAG_04086R,CNAG_04086,445
CNAG_05697R,CNAG_05697,438
CNAG_04507R,CNAG_04507,333
CNAG_04506R,CNAG_04506,351
CNAG_00068R,CNAG_00068,534
CNAG_00733R,CNAG_00733,280
CNAG_03910R,CNAG_03910,377
CNAG_04059R,CNAG_04059,285
CNAG_07491R,CNAG_07491,403
CNAG_05181R,CNAG_05181,316
CNAG_03772R,CNAG_03772,319
CNAG_00445R,CNAG_00445,457
CNAG_01901R,CNAG_01901,521
CNAG_05313R,CNAG_05313,16
CNAG_05312R,CNAG_05312,428
CNAG_03012R,CNAG_03012,1
CNAG_03011R,CNAG_03011,1
CNAG_06200R,CNAG_06200,1
CNAG_02683R,CNAG_02683,1
CNAG_00442R,CNAG_00442,438
CNAG_01277R,CNAG_01277,474
CNAG_01230R,CNAG_01230,67
CNAG_05264R,CNAG_05264,1
