Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,227
CNAG_05515L,CNAG_05515,509
CNAG_05641L,CNAG_05641,390
CNAG_05387L,CNAG_05387,419
CNAG_05590L,CNAG_05590,1919
CNAG_07869L,CNAG_07869,492
CNAG_05340L,CNAG_05340,207
CNAG_05638L,CNAG_05638,373
CNAG_05639L,CNAG_05639,296
CNAG_06346L,CNAG_06346,382
CNAG_06347L,CNAG_06347,348
CNAG_06517L,CNAG_06517,511
CNAG_07939L,CNAG_07939,359
CNAG_06493L,CNAG_06493,401
CNAG_06201L,CNAG_06201,356
CNAG_06104L,CNAG_06104,189
CNAG_06081L,CNAG_06081,357
CNAG_07902L,CNAG_07902,315
CNAG_06241L,CNAG_06241,207
CNAG_06242L,CNAG_06242,293
CNAG_06186L,CNAG_06186,588
CNAG_07911L,CNAG_07911,424
CNAG_01551L,CNAG_01551,442
CNAG_01683L,CNAG_01683,333
CNAG_01983L,CNAG_01983,433
CNAG_01902L,CNAG_01902,20
CNAG_01680L,CNAG_01680,340
CNAG_01621L,CNAG_01621,294
CNAG_01988L,CNAG_01988,307
CNAG_01989L,CNAG_01989,374
CNAG_01939L,CNAG_01939,435
CNAG_01993L,CNAG_01993,341
CNAG_01992L,CNAG_01992,408
CNAG_01965L,CNAG_01965,311
CNAG_01562L,CNAG_01562,341
CNAG_01925L,CNAG_01925,364
CNAG_04756L,CNAG_04756,383
CNAG_04807L,CNAG_04807,419
CNAG_04837L,CNAG_04837,376
CNAG_04836L,CNAG_04836,267
CNAG_04737L,CNAG_04737,504
CNAG_04875L,CNAG_04875,125
CNAG_04874L,CNAG_04874,896
CNAG_04868L,CNAG_04868,65
CNAG_04752L,CNAG_04752,253
CNAG_04753L,CNAG_04753,2359
CNAG_04909L,CNAG_04909,411
CNAG_04908L,CNAG_04908,452
CNAG_04659L,CNAG_04659,292
CNAG_04623L,CNAG_04623,280
CNAG_04518L,CNAG_04518,329
CNAG_04517L,CNAG_04517,428
CNAG_07770L,CNAG_07770,390
CNAG_04436L,CNAG_04436,147
CNAG_04271L,CNAG_04271,362
CNAG_04270L,CNAG_04270,188
CNAG_03346L,CNAG_03346,374
CNAG_03433L,CNAG_03433,370
CNAG_03333L,CNAG_03333,524
CNAG_07742L,CNAG_07742,911
CNAG_03438L,CNAG_03438,111
CNAG_03223L,CNAG_03223,379
CNAG_03142L,CNAG_03142,355
CNAG_03143L,CNAG_03143,299
CNAG_03545L,CNAG_03545,391
CNAG_03161L,CNAG_03161,177
CNAG_03566L,CNAG_03566,325
CNAG_05835L,CNAG_05835,770
CNAG_05864L,CNAG_05864,316
CNAG_06567L,CNAG_06567,365
CNAG_05743L,CNAG_05743,129
CNAG_05867L,CNAG_05867,295
CNAG_05685L,CNAG_05685,1014
