Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,432
CNAG_05387R,CNAG_05387,465
CNAG_05638R,CNAG_05638,318
CNAG_05639R,CNAG_05639,309
CNAG_06346R,CNAG_06346,368
CNAG_06347R,CNAG_06347,366
CNAG_06517R,CNAG_06517,477
CNAG_06201R,CNAG_06201,305
CNAG_06104R,CNAG_06104,266
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,362
CNAG_06241R,CNAG_06241,223
CNAG_06242R,CNAG_06242,247
CNAG_07911R,CNAG_07911,350
CNAG_01683R,CNAG_01683,396
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,337
CNAG_01989R,CNAG_01989,233
CNAG_01939R,CNAG_01939,2
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,64
CNAG_01925R,CNAG_01925,361
CNAG_04837R,CNAG_04837,316
CNAG_04836R,CNAG_04836,348
CNAG_04875R,CNAG_04875,133
CNAG_04868R,CNAG_04868,77
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,317
CNAG_04517R,CNAG_04517,385
CNAG_07770R,CNAG_07770,307
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,463
CNAG_07742R,CNAG_07742,680
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,280
CNAG_03566R,CNAG_03566,323
CNAG_05743R,CNAG_05743,5
CNAG_05867R,CNAG_05867,226
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,345
CNAG_02189R,CNAG_02189,336
CNAG_02371R,CNAG_02371,322
CNAG_06719R,CNAG_06719,303
CNAG_03669R,CNAG_03669,314
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,220
CNAG_00285R,CNAG_00285,336
CNAG_00828R,CNAG_00828,2
CNAG_00830R,CNAG_00830,416
CNAG_00841R,CNAG_00841,353
CNAG_06531R,CNAG_06531,620
CNAG_03279R,CNAG_03279,391
CNAG_03336R,CNAG_03336,507
CNAG_06339R,CNAG_06339,439
CNAG_03768R,CNAG_03768,417
CNAG_04534R,CNAG_04534,351
CNAG_01973R,CNAG_01973,350
CNAG_07867R,CNAG_07867,349
CNAG_05333R,CNAG_05333,409
CNAG_06425R,CNAG_06425,319
CNAG_03849R,CNAG_03849,432
CNAG_02603R,CNAG_02603,272
CNAG_02555R,CNAG_02555,461
CNAG_02525R,CNAG_02525,60
CNAG_03431R,CNAG_03431,354
CNAG_05049R,CNAG_05049,262
CNAG_03914R,CNAG_03914,325
CNAG_02476R,CNAG_02476,316
CNAG_07583R,CNAG_07583,293
CNAG_05112R,CNAG_05112,279
CNAG_03366R,CNAG_03366,443
CNAG_04090R,CNAG_04090,604
CNAG_00791R,CNAG_00791,305
CNAG_05375R,CNAG_05375,4889
CNAG_02516R,CNAG_02516,350
CNAG_04804R,CNAG_04804,415
CNAG_07725R,CNAG_07725,2
CNAG_06203R,CNAG_06203,318
CNAG_01883R,CNAG_01883,802
CNAG_03401R,CNAG_03401,362
CNAG_02435R,CNAG_02435,381
CNAG_05153R,CNAG_05153,8
CNAG_01708R,CNAG_01708,324
CNAG_03700R,CNAG_03700,352
CNAG_05215R,CNAG_05215,298
CNAG_01438R,CNAG_01438,196
CNAG_07464R,CNAG_07464,255
CNAG_01858R,CNAG_01858,485
CNAG_04586R,CNAG_04586,404
CNAG_05176R,CNAG_05176,371
CNAG_01014R,CNAG_01014,169
CNAG_01454R,CNAG_01454,412
CNAG_06327R,CNAG_06327,91
CNAG_03788R,CNAG_03788,356
CNAG_00871R,CNAG_00871,383
CNAG_00559R,CNAG_00559,11172
CNAG_07370R,CNAG_07370,381
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,309
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,849
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,227
CNAG_02788R,CNAG_02788,20
CNAG_07435R,CNAG_07435,33
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,282
CNAG_01071R,CNAG_01071,315
CNAG_00883R,CNAG_00883,374
CNAG_03741R,CNAG_03741,472
CNAG_03745R,CNAG_03745,365
CNAG_00192R,CNAG_00192,383
