Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,89
CNAG_05515L,CNAG_05515,303
CNAG_05641L,CNAG_05641,233
CNAG_05387L,CNAG_05387,316
CNAG_05590L,CNAG_05590,412
CNAG_07869L,CNAG_07869,317
CNAG_05340L,CNAG_05340,140
CNAG_05638L,CNAG_05638,246
CNAG_05639L,CNAG_05639,188
CNAG_06346L,CNAG_06346,297
CNAG_06347L,CNAG_06347,254
CNAG_06517L,CNAG_06517,306
CNAG_07939L,CNAG_07939,246
CNAG_06493L,CNAG_06493,215
CNAG_06201L,CNAG_06201,234
CNAG_06104L,CNAG_06104,199
CNAG_06081L,CNAG_06081,234
CNAG_07902L,CNAG_07902,214
CNAG_06241L,CNAG_06241,169
CNAG_06242L,CNAG_06242,188
CNAG_06186L,CNAG_06186,188
CNAG_07911L,CNAG_07911,253
CNAG_01551L,CNAG_01551,89
CNAG_01683L,CNAG_01683,231
CNAG_01983L,CNAG_01983,322
CNAG_01680L,CNAG_01680,250
CNAG_01621L,CNAG_01621,278
CNAG_01988L,CNAG_01988,223
CNAG_01989L,CNAG_01989,267
CNAG_01939L,CNAG_01939,284
CNAG_01993L,CNAG_01993,236
CNAG_01992L,CNAG_01992,248
CNAG_01965L,CNAG_01965,302
CNAG_01562L,CNAG_01562,147
CNAG_01925L,CNAG_01925,232
CNAG_04756L,CNAG_04756,225
CNAG_04807L,CNAG_04807,334
CNAG_04837L,CNAG_04837,239
CNAG_04836L,CNAG_04836,223
CNAG_04737L,CNAG_04737,304
CNAG_04875L,CNAG_04875,127
CNAG_04874L,CNAG_04874,606
CNAG_04868L,CNAG_04868,74
CNAG_04752L,CNAG_04752,178
CNAG_04753L,CNAG_04753,1188
CNAG_04909L,CNAG_04909,226
CNAG_04908L,CNAG_04908,292
CNAG_04659L,CNAG_04659,168
CNAG_04623L,CNAG_04623,229
CNAG_04518L,CNAG_04518,255
CNAG_04517L,CNAG_04517,238
CNAG_07770L,CNAG_07770,263
CNAG_04436L,CNAG_04436,97
CNAG_04271L,CNAG_04271,144
CNAG_04270L,CNAG_04270,231
CNAG_03346L,CNAG_03346,269
CNAG_03433L,CNAG_03433,228
CNAG_03333L,CNAG_03333,333
CNAG_07742L,CNAG_07742,716
CNAG_03438L,CNAG_03438,122
CNAG_03223L,CNAG_03223,231
CNAG_03142L,CNAG_03142,225
CNAG_03143L,CNAG_03143,214
CNAG_03545L,CNAG_03545,294
CNAG_03161L,CNAG_03161,45
CNAG_03566L,CNAG_03566,216
CNAG_05835L,CNAG_05835,210
CNAG_05864L,CNAG_05864,212
CNAG_06567L,CNAG_06567,235
CNAG_05742L,CNAG_05742,193
CNAG_05743L,CNAG_05743,91
CNAG_05867L,CNAG_05867,177
CNAG_05685L,CNAG_05685,616
CNAG_05684L,CNAG_05684,264
CNAG_05785L,CNAG_05785,216
CNAG_05843L,CNAG_05843,7
CNAG_06554L,CNAG_06554,253
CNAG_02189L,CNAG_02189,261
CNAG_02188L,CNAG_02188,322
CNAG_02182L,CNAG_02182,209
CNAG_07631L,CNAG_07631,312
CNAG_02371L,CNAG_02371,200
CNAG_07633L,CNAG_07633,393
CNAG_01069L,CNAG_01069,276
CNAG_00896L,CNAG_00896,735
CNAG_06719L,CNAG_06719,75
CNAG_03669L,CNAG_03669,240
CNAG_00031L,CNAG_00031,222
CNAG_07332L,CNAG_07332,154
CNAG_00285L,CNAG_00285,236
CNAG_00828L,CNAG_00828,207
CNAG_00830L,CNAG_00830,264
CNAG_00841L,CNAG_00841,276
CNAG_02774L,CNAG_02774,218
CNAG_06531L,CNAG_06531,504
CNAG_03279L,CNAG_03279,249
CNAG_03336L,CNAG_03336,375
CNAG_06339L,CNAG_06339,317
CNAG_03768L,CNAG_03768,267
CNAG_04534L,CNAG_04534,293
CNAG_07867L,CNAG_07867,257
CNAG_05333L,CNAG_05333,273
CNAG_06425L,CNAG_06425,236
CNAG_03849L,CNAG_03849,566
CNAG_02603L,CNAG_02603,223
CNAG_02555L,CNAG_02555,260
CNAG_03431L,CNAG_03431,274
CNAG_05049L,CNAG_05049,163
CNAG_05380L,CNAG_05380,259
CNAG_03914L,CNAG_03914,269
CNAG_02476L,CNAG_02476,281
CNAG_07583L,CNAG_07583,282
CNAG_02466L,CNAG_02466,204
CNAG_05112L,CNAG_05112,223
CNAG_03366L,CNAG_03366,273
CNAG_03977L,CNAG_03977,141
CNAG_04090L,CNAG_04090,447
CNAG_00791L,CNAG_00791,194
CNAG_06751L,CNAG_06751,200
CNAG_05375L,CNAG_05375,2913
CNAG_02516L,CNAG_02516,292
CNAG_04804L,CNAG_04804,204
CNAG_00627L,CNAG_00627,299
CNAG_07725L,CNAG_07725,299
CNAG_06203L,CNAG_06203,232
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,513
CNAG_03401L,CNAG_03401,260
CNAG_02435L,CNAG_02435,291
CNAG_01708L,CNAG_01708,256
CNAG_03700L,CNAG_03700,297
CNAG_07320L,CNAG_07320,42
CNAG_05215L,CNAG_05215,205
CNAG_01438L,CNAG_01438,181
CNAG_07464L,CNAG_07464,206
CNAG_01858L,CNAG_01858,361
CNAG_04586L,CNAG_04586,251
CNAG_05093L,CNAG_05093,269
CNAG_05176L,CNAG_05176,257
CNAG_01014L,CNAG_01014,175
CNAG_00998L,CNAG_00998,205
CNAG_00039L,CNAG_00039,532
CNAG_07329L,CNAG_07329,18
