Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,521
CNAG_05387R,CNAG_05387,565
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,352
CNAG_05639R,CNAG_05639,278
CNAG_06346R,CNAG_06346,388
CNAG_06347R,CNAG_06347,368
CNAG_06517R,CNAG_06517,424
CNAG_06201R,CNAG_06201,275
CNAG_06104R,CNAG_06104,272
CNAG_07902R,CNAG_07902,416
CNAG_06241R,CNAG_06241,278
CNAG_06242R,CNAG_06242,376
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,343
CNAG_01683R,CNAG_01683,482
CNAG_01902R,CNAG_01902,22
CNAG_01680R,CNAG_01680,325
CNAG_01989R,CNAG_01989,214
CNAG_01965R,CNAG_01965,40
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,336
CNAG_04837R,CNAG_04837,395
CNAG_04836R,CNAG_04836,336
CNAG_04875R,CNAG_04875,573
CNAG_04868R,CNAG_04868,129
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,334
CNAG_04517R,CNAG_04517,357
CNAG_07770R,CNAG_07770,372
CNAG_03333R,CNAG_03333,636
CNAG_07742R,CNAG_07742,710
CNAG_03142R,CNAG_03142,293
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,264
CNAG_05864R,CNAG_05864,1
CNAG_05742R,CNAG_05742,1
CNAG_05867R,CNAG_05867,253
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,239
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,365
CNAG_07631R,CNAG_07631,2
CNAG_02371R,CNAG_02371,318
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,306
CNAG_03669R,CNAG_03669,388
CNAG_07332R,CNAG_07332,279
CNAG_00285R,CNAG_00285,412
CNAG_00828R,CNAG_00828,2
CNAG_00830R,CNAG_00830,363
CNAG_00841R,CNAG_00841,405
CNAG_06531R,CNAG_06531,665
CNAG_03279R,CNAG_03279,391
CNAG_03336R,CNAG_03336,487
CNAG_06339R,CNAG_06339,509
CNAG_03768R,CNAG_03768,417
CNAG_04534R,CNAG_04534,342
CNAG_01973R,CNAG_01973,581
CNAG_07867R,CNAG_07867,371
CNAG_05333R,CNAG_05333,481
CNAG_06425R,CNAG_06425,392
CNAG_03849R,CNAG_03849,413
CNAG_02603R,CNAG_02603,312
CNAG_02555R,CNAG_02555,434
CNAG_02525R,CNAG_02525,170
CNAG_03431R,CNAG_03431,375
CNAG_05049R,CNAG_05049,265
CNAG_03914R,CNAG_03914,382
CNAG_02476R,CNAG_02476,346
CNAG_07583R,CNAG_07583,373
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,348
CNAG_03366R,CNAG_03366,461
CNAG_04090R,CNAG_04090,509
CNAG_00791R,CNAG_00791,276
CNAG_05375R,CNAG_05375,4831
CNAG_02516R,CNAG_02516,339
CNAG_04804R,CNAG_04804,271
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,339
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,775
CNAG_03401R,CNAG_03401,402
CNAG_02435R,CNAG_02435,269
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,422
CNAG_03700R,CNAG_03700,464
CNAG_05215R,CNAG_05215,265
CNAG_01438R,CNAG_01438,206
CNAG_07464R,CNAG_07464,394
CNAG_01858R,CNAG_01858,545
CNAG_04586R,CNAG_04586,253
CNAG_05176R,CNAG_05176,408
CNAG_01014R,CNAG_01014,116
CNAG_01454R,CNAG_01454,407
CNAG_06327R,CNAG_06327,82
CNAG_03788R,CNAG_03788,541
CNAG_00871R,CNAG_00871,396
CNAG_00559R,CNAG_00559,11424
CNAG_07370R,CNAG_07370,464
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,345
CNAG_01645R,CNAG_01645,950
CNAG_01242R,CNAG_01242,224
CNAG_02788R,CNAG_02788,45
CNAG_07435R,CNAG_07435,28
CNAG_07924R,CNAG_07924,247
CNAG_01071R,CNAG_01071,330
CNAG_00883R,CNAG_00883,188
CNAG_03741R,CNAG_03741,479
CNAG_03745R,CNAG_03745,445
CNAG_00192R,CNAG_00192,406
CNAG_00670R,CNAG_00670,460
CNAG_06871R,CNAG_06871,519
CNAG_04457R,CNAG_04457,446
CNAG_04588R,CNAG_04588,45
CNAG_03894R,CNAG_03894,536
CNAG_04012R,CNAG_04012,246
CNAG_01487R,CNAG_01487,358
CNAG_05170R,CNAG_05170,335
CNAG_04041R,CNAG_04041,1
CNAG_02364R,CNAG_02364,428
CNAG_04093R,CNAG_04093,453
CNAG_02322R,CNAG_02322,361
CNAG_05255R,CNAG_05255,413
CNAG_03059R,CNAG_03059,2
CNAG_03018R,CNAG_03018,357
CNAG_07901R,CNAG_07901,287
CNAG_03086R,CNAG_03086,309
CNAG_06097R,CNAG_06097,467
CNAG_06136R,CNAG_06136,359
CNAG_03177R,CNAG_03177,440
CNAG_03183R,CNAG_03183,74
CNAG_06188R,CNAG_06188,1
CNAG_04359R,CNAG_04359,3
CNAG_04774R,CNAG_04774,306
CNAG_04768R,CNAG_04768,426
CNAG_06276R,CNAG_06276,342
CNAG_05222R,CNAG_05222,190
CNAG_03409R,CNAG_03409,77
CNAG_05622R,CNAG_05622,393
CNAG_04637R,CNAG_04637,200
CNAG_07680R,CNAG_07680,79
CNAG_02215R,CNAG_02215,44
CNAG_02387R,CNAG_02387,559
CNAG_04086R,CNAG_04086,509
CNAG_05697R,CNAG_05697,587
CNAG_04507R,CNAG_04507,351
CNAG_04506R,CNAG_04506,391
CNAG_00068R,CNAG_00068,526
CNAG_00733R,CNAG_00733,326
CNAG_03910R,CNAG_03910,444
CNAG_04059R,CNAG_04059,296
CNAG_07491R,CNAG_07491,435
CNAG_05181R,CNAG_05181,271
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,450
CNAG_00445R,CNAG_00445,590
CNAG_01901R,CNAG_01901,660
CNAG_05313R,CNAG_05313,89
CNAG_05312R,CNAG_05312,423
CNAG_03012R,CNAG_03012,1
CNAG_03011R,CNAG_03011,1
CNAG_00442R,CNAG_00442,571
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,506
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,121
CNAG_05263R,CNAG_05263,2
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,354
CNAG_00598R,CNAG_00598,466
CNAG_01138R,CNAG_01138,2
CNAG_02219R,CNAG_02219,560
CNAG_03013R,CNAG_03013,154
CNAG_07540R,CNAG_07540,622
CNAG_04980R,CNAG_04980,92
CNAG_00456R,CNAG_00456,416
CNAG_00455R,CNAG_00455,570
CNAG_00107R,CNAG_00107,373
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,440
CNAG_01013R,CNAG_01013,125
CNAG_02777R,CNAG_02777,1
CNAG_05080R,CNAG_05080,297
CNAG_04869R,CNAG_04869,1
CNAG_00164R,CNAG_00164,381
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,474
CNAG_05077R,CNAG_05077,485
CNAG_00702R,CNAG_00702,1
CNAG_00897R,CNAG_00897,1
CNAG_00776R,CNAG_00776,46
CNAG_04024R,CNAG_04024,415
CNAG_04025R,CNAG_04025,435
CNAG_01019R,CNAG_01019,219
CNAG_01803R,CNAG_01803,483
CNAG_07541R,CNAG_07541,320
CNAG_07542R,CNAG_07542,508
CNAG_05915R,CNAG_05915,364
CNAG_00917R,CNAG_00917,1291
CNAG_00919R,CNAG_00919,395
CNAG_05458R,CNAG_05458,582
CNAG_05459R,CNAG_05459,584
CNAG_01985R,CNAG_01985,190
CNAG_00740R,CNAG_00740,18
CNAG_04163R,CNAG_04163,363
CNAG_04162R,CNAG_04162,173
CNAG_04755R,CNAG_04755,172
CNAG_01777R,CNAG_01777,328
CNAG_03173R,CNAG_03173,394
CNAG_03172R,CNAG_03172,365
CNAG_07388R,CNAG_07388,480
CNAG_07389R,CNAG_07389,521
CNAG_06060R,CNAG_06060,305
CNAG_00581R,CNAG_00581,207
CNAG_02045R,CNAG_02045,497
CNAG_04950R,CNAG_04950,373
CNAG_04949R,CNAG_04949,398
CNAG_01865R,CNAG_01865,395
CNAG_00717R,CNAG_00717,387
CNAG_06896R,CNAG_06896,343
CNAG_05812R,CNAG_05812,380
CNAG_06658R,CNAG_06658,270
CNAG_05994R,CNAG_05994,332
CNAG_02517R,CNAG_02517,499
CNAG_03329R,CNAG_03329,537
CNAG_04471R,CNAG_04471,422
CNAG_00699R,CNAG_00699,304
CNAG_02129R,CNAG_02129,548
CNAG_05352R,CNAG_05352,183
CNAG_02293R,CNAG_02293,1
CNAG_07441R,CNAG_07441,1
CNAG_01523R,CNAG_01523,1
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,335
CNAG_00710R,CNAG_00710,291
