Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,103
CNAG_05515L,CNAG_05515,472
CNAG_05641L,CNAG_05641,364
CNAG_05387L,CNAG_05387,429
CNAG_05590L,CNAG_05590,693
CNAG_07869L,CNAG_07869,397
CNAG_05340L,CNAG_05340,93
CNAG_05638L,CNAG_05638,321
CNAG_05639L,CNAG_05639,259
CNAG_06346L,CNAG_06346,344
CNAG_06347L,CNAG_06347,299
CNAG_06517L,CNAG_06517,382
CNAG_07939L,CNAG_07939,288
CNAG_06493L,CNAG_06493,285
CNAG_06201L,CNAG_06201,312
CNAG_06104L,CNAG_06104,273
CNAG_06081L,CNAG_06081,314
CNAG_07902L,CNAG_07902,328
CNAG_06241L,CNAG_06241,258
CNAG_06242L,CNAG_06242,299
CNAG_06186L,CNAG_06186,415
CNAG_07911L,CNAG_07911,345
CNAG_01551L,CNAG_01551,207
CNAG_01683L,CNAG_01683,310
CNAG_01983L,CNAG_01983,417
CNAG_01902L,CNAG_01902,6
CNAG_01680L,CNAG_01680,362
CNAG_01621L,CNAG_01621,320
CNAG_01988L,CNAG_01988,273
CNAG_01989L,CNAG_01989,336
CNAG_01939L,CNAG_01939,356
CNAG_01993L,CNAG_01993,233
CNAG_01992L,CNAG_01992,341
CNAG_01965L,CNAG_01965,294
CNAG_01562L,CNAG_01562,195
CNAG_01925L,CNAG_01925,316
CNAG_04756L,CNAG_04756,363
CNAG_04807L,CNAG_04807,469
CNAG_04837L,CNAG_04837,340
CNAG_04836L,CNAG_04836,321
CNAG_04737L,CNAG_04737,401
CNAG_04875L,CNAG_04875,476
CNAG_04874L,CNAG_04874,643
CNAG_04868L,CNAG_04868,101
CNAG_04752L,CNAG_04752,239
CNAG_04753L,CNAG_04753,1867
CNAG_04909L,CNAG_04909,335
CNAG_04908L,CNAG_04908,366
CNAG_04659L,CNAG_04659,251
CNAG_04623L,CNAG_04623,248
CNAG_04518L,CNAG_04518,275
CNAG_04517L,CNAG_04517,385
CNAG_07770L,CNAG_07770,305
CNAG_04436L,CNAG_04436,248
CNAG_04271L,CNAG_04271,161
CNAG_04270L,CNAG_04270,146
CNAG_03346L,CNAG_03346,350
CNAG_03433L,CNAG_03433,307
CNAG_03333L,CNAG_03333,563
CNAG_07742L,CNAG_07742,994
CNAG_03438L,CNAG_03438,172
CNAG_03223L,CNAG_03223,247
CNAG_03142L,CNAG_03142,299
CNAG_03143L,CNAG_03143,296
CNAG_03545L,CNAG_03545,376
CNAG_03161L,CNAG_03161,74
CNAG_03566L,CNAG_03566,263
CNAG_05835L,CNAG_05835,264
CNAG_05864L,CNAG_05864,319
CNAG_06567L,CNAG_06567,353
CNAG_05742L,CNAG_05742,172
CNAG_05743L,CNAG_05743,115
CNAG_05867L,CNAG_05867,266
CNAG_05685L,CNAG_05685,908
CNAG_05684L,CNAG_05684,230
CNAG_05785L,CNAG_05785,293
CNAG_05843L,CNAG_05843,13
CNAG_06554L,CNAG_06554,329
CNAG_02189L,CNAG_02189,321
CNAG_02188L,CNAG_02188,357
CNAG_02182L,CNAG_02182,306
CNAG_07631L,CNAG_07631,343
CNAG_02371L,CNAG_02371,268
CNAG_07633L,CNAG_07633,356
CNAG_01069L,CNAG_01069,396
CNAG_00896L,CNAG_00896,1005
CNAG_06719L,CNAG_06719,63
CNAG_03669L,CNAG_03669,335
CNAG_00031L,CNAG_00031,285
CNAG_07332L,CNAG_07332,238
CNAG_00285L,CNAG_00285,335
CNAG_00828L,CNAG_00828,305
CNAG_00830L,CNAG_00830,365
CNAG_00841L,CNAG_00841,330
CNAG_02774L,CNAG_02774,287
CNAG_06531L,CNAG_06531,580
CNAG_03279L,CNAG_03279,346
CNAG_03336L,CNAG_03336,463
CNAG_06339L,CNAG_06339,398
CNAG_03768L,CNAG_03768,353
CNAG_04534L,CNAG_04534,334
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,295
CNAG_05333L,CNAG_05333,370
CNAG_06425L,CNAG_06425,292
CNAG_03849L,CNAG_03849,719
CNAG_02603L,CNAG_02603,300
CNAG_02555L,CNAG_02555,386
CNAG_03431L,CNAG_03431,442
CNAG_05049L,CNAG_05049,191
CNAG_05380L,CNAG_05380,498
CNAG_03914L,CNAG_03914,301
CNAG_02476L,CNAG_02476,298
CNAG_07583L,CNAG_07583,332
CNAG_02466L,CNAG_02466,289
CNAG_05112L,CNAG_05112,334
CNAG_03366L,CNAG_03366,462
CNAG_03977L,CNAG_03977,199
CNAG_04090L,CNAG_04090,442
CNAG_00791L,CNAG_00791,266
CNAG_06751L,CNAG_06751,185
CNAG_05375L,CNAG_05375,3678
CNAG_02516L,CNAG_02516,310
CNAG_04804L,CNAG_04804,126
CNAG_00627L,CNAG_00627,349
CNAG_07725L,CNAG_07725,412
CNAG_06203L,CNAG_06203,298
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,5
CNAG_01883L,CNAG_01883,826
CNAG_03401L,CNAG_03401,300
CNAG_02435L,CNAG_02435,238
CNAG_05153L,CNAG_05153,9
CNAG_01708L,CNAG_01708,387
CNAG_03700L,CNAG_03700,368
CNAG_07320L,CNAG_07320,120
CNAG_05215L,CNAG_05215,229
CNAG_01438L,CNAG_01438,195
CNAG_07464L,CNAG_07464,320
CNAG_01858L,CNAG_01858,455
CNAG_04586L,CNAG_04586,197
CNAG_05093L,CNAG_05093,362
CNAG_05176L,CNAG_05176,341
CNAG_01014L,CNAG_01014,130
CNAG_00998L,CNAG_00998,278
CNAG_00039L,CNAG_00039,769
CNAG_07329L,CNAG_07329,24
CNAG_01454L,CNAG_01454,273
CNAG_02700L,CNAG_02700,34
CNAG_06327L,CNAG_06327,58
CNAG_03788L,CNAG_03788,355
CNAG_00871L,CNAG_00871,376
CNAG_00559L,CNAG_00559,10637
CNAG_07370L,CNAG_07370,405
CNAG_00732L,CNAG_00732,283
CNAG_04630L,CNAG_04630,348
CNAG_07940L,CNAG_07940,312
CNAG_02589L,CNAG_02589,332
CNAG_05067L,CNAG_05067,348
CNAG_01645L,CNAG_01645,898
CNAG_06134L,CNAG_06134,45
CNAG_01242L,CNAG_01242,217
CNAG_02788L,CNAG_02788,34
CNAG_07435L,CNAG_07435,26
CNAG_03998L,CNAG_03998,157
CNAG_07924L,CNAG_07924,236
CNAG_01071L,CNAG_01071,319
CNAG_00883L,CNAG_00883,173
CNAG_03741L,CNAG_03741,342
CNAG_03745L,CNAG_03745,413
CNAG_00192L,CNAG_00192,317
CNAG_00670L,CNAG_00670,319
CNAG_06871L,CNAG_06871,478
CNAG_04457L,CNAG_04457,293
CNAG_02723L,CNAG_02723,353
CNAG_04588L,CNAG_04588,42
CNAG_01977L,CNAG_01977,304
CNAG_03894L,CNAG_03894,388
CNAG_04012L,CNAG_04012,325
CNAG_03561L,CNAG_03561,267
CNAG_05170L,CNAG_05170,312
CNAG_04041L,CNAG_04041,54
CNAG_02364L,CNAG_02364,317
CNAG_04093L,CNAG_04093,389
CNAG_02322L,CNAG_02322,339
CNAG_04184L,CNAG_04184,291
CNAG_05255L,CNAG_05255,376
CNAG_05642L,CNAG_05642,235
CNAG_03059L,CNAG_03059,274
CNAG_03018L,CNAG_03018,260
CNAG_07901L,CNAG_07901,292
CNAG_03086L,CNAG_03086,265
CNAG_04916L,CNAG_04916,238
CNAG_06097L,CNAG_06097,365
CNAG_03115L,CNAG_03115,337
CNAG_03132L,CNAG_03132,382
CNAG_04841L,CNAG_04841,359
CNAG_06136L,CNAG_06136,286
CNAG_03177L,CNAG_03177,700
CNAG_03183L,CNAG_03183,52
CNAG_06188L,CNAG_06188,278
CNAG_02877L,CNAG_02877,204
CNAG_04359L,CNAG_04359,738
CNAG_04774L,CNAG_04774,387
CNAG_04768L,CNAG_04768,359
CNAG_02066L,CNAG_02066,305
CNAG_07922L,CNAG_07922,307
CNAG_06276L,CNAG_06276,386
CNAG_05222L,CNAG_05222,164
CNAG_03409L,CNAG_03409,119
CNAG_05622L,CNAG_05622,609
CNAG_04637L,CNAG_04637,192
CNAG_07680L,CNAG_07680,45
CNAG_02215L,CNAG_02215,17
CNAG_00564L,CNAG_00564,441
CNAG_02387L,CNAG_02387,524
CNAG_04086L,CNAG_04086,493
CNAG_05697L,CNAG_05697,574
CNAG_02697L,CNAG_02697,413
CNAG_06205L,CNAG_06205,330
CNAG_05372L,CNAG_05372,196
CNAG_04507L,CNAG_04507,336
CNAG_04506L,CNAG_04506,390
CNAG_00068L,CNAG_00068,3259
CNAG_05138L,CNAG_05138,167
CNAG_00733L,CNAG_00733,337
CNAG_03910L,CNAG_03910,374
CNAG_04059L,CNAG_04059,1301
