Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,251
CNAG_05515L,CNAG_05515,520
CNAG_05641L,CNAG_05641,508
CNAG_05387L,CNAG_05387,663
CNAG_05590L,CNAG_05590,2019
CNAG_07869L,CNAG_07869,524
CNAG_05340L,CNAG_05340,273
CNAG_05638L,CNAG_05638,431
CNAG_05639L,CNAG_05639,403
CNAG_06346L,CNAG_06346,556
CNAG_06347L,CNAG_06347,496
CNAG_06517L,CNAG_06517,607
CNAG_07939L,CNAG_07939,541
CNAG_06493L,CNAG_06493,417
CNAG_06201L,CNAG_06201,508
CNAG_06104L,CNAG_06104,302
CNAG_06081L,CNAG_06081,560
CNAG_07902L,CNAG_07902,492
CNAG_06241L,CNAG_06241,292
CNAG_06242L,CNAG_06242,379
CNAG_06186L,CNAG_06186,783
CNAG_07911L,CNAG_07911,526
CNAG_01551L,CNAG_01551,561
CNAG_01683L,CNAG_01683,470
CNAG_01983L,CNAG_01983,495
CNAG_01902L,CNAG_01902,19
CNAG_01680L,CNAG_01680,515
CNAG_01621L,CNAG_01621,462
CNAG_01988L,CNAG_01988,336
CNAG_01989L,CNAG_01989,531
CNAG_01939L,CNAG_01939,514
CNAG_01993L,CNAG_01993,407
CNAG_01992L,CNAG_01992,486
CNAG_01965L,CNAG_01965,460
CNAG_01562L,CNAG_01562,473
CNAG_01925L,CNAG_01925,503
CNAG_04756L,CNAG_04756,552
CNAG_04807L,CNAG_04807,522
CNAG_04837L,CNAG_04837,459
CNAG_04836L,CNAG_04836,409
CNAG_04737L,CNAG_04737,615
CNAG_04875L,CNAG_04875,260
CNAG_04874L,CNAG_04874,1078
CNAG_04868L,CNAG_04868,88
CNAG_04752L,CNAG_04752,352
CNAG_04753L,CNAG_04753,2993
CNAG_04909L,CNAG_04909,483
CNAG_04908L,CNAG_04908,566
CNAG_04659L,CNAG_04659,341
CNAG_04623L,CNAG_04623,324
CNAG_04518L,CNAG_04518,342
CNAG_04517L,CNAG_04517,489
CNAG_07770L,CNAG_07770,512
CNAG_04436L,CNAG_04436,339
