Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,405
CNAG_05641R,CNAG_05641,2
CNAG_05387R,CNAG_05387,576
CNAG_07869R,CNAG_07869,2
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,368
CNAG_05639R,CNAG_05639,314
CNAG_06346R,CNAG_06346,359
CNAG_06347R,CNAG_06347,381
CNAG_06517R,CNAG_06517,459
CNAG_06201R,CNAG_06201,314
CNAG_06104R,CNAG_06104,272
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,360
CNAG_06241R,CNAG_06241,230
CNAG_06242R,CNAG_06242,295
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,393
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,412
CNAG_01902R,CNAG_01902,12
CNAG_01680R,CNAG_01680,395
CNAG_01989R,CNAG_01989,262
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,67
CNAG_01925R,CNAG_01925,328
CNAG_04837R,CNAG_04837,428
CNAG_04836R,CNAG_04836,358
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,187
CNAG_04874R,CNAG_04874,3
CNAG_04868R,CNAG_04868,64
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,4
CNAG_04518R,CNAG_04518,370
CNAG_04517R,CNAG_04517,337
CNAG_07770R,CNAG_07770,424
CNAG_04436R,CNAG_04436,1
CNAG_04271R,CNAG_04271,1
CNAG_03333R,CNAG_03333,439
CNAG_07742R,CNAG_07742,792
CNAG_03438R,CNAG_03438,1
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,304
CNAG_03566R,CNAG_03566,314
CNAG_05864R,CNAG_05864,2
CNAG_05867R,CNAG_05867,265
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,323
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,421
CNAG_02188R,CNAG_02188,1
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,281
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,310
CNAG_03669R,CNAG_03669,243
CNAG_07332R,CNAG_07332,248
CNAG_00285R,CNAG_00285,357
CNAG_00830R,CNAG_00830,366
CNAG_00841R,CNAG_00841,383
CNAG_06531R,CNAG_06531,712
CNAG_03279R,CNAG_03279,375
CNAG_03336R,CNAG_03336,434
CNAG_06339R,CNAG_06339,467
CNAG_03768R,CNAG_03768,423
CNAG_04534R,CNAG_04534,317
CNAG_01973R,CNAG_01973,294
CNAG_07867R,CNAG_07867,408
CNAG_05333R,CNAG_05333,520
CNAG_06425R,CNAG_06425,367
CNAG_03849R,CNAG_03849,293
CNAG_02603R,CNAG_02603,290
CNAG_02555R,CNAG_02555,450
CNAG_02525R,CNAG_02525,169
CNAG_03431R,CNAG_03431,189
CNAG_05049R,CNAG_05049,207
CNAG_03914R,CNAG_03914,108
CNAG_02476R,CNAG_02476,317
CNAG_07583R,CNAG_07583,353
CNAG_05112R,CNAG_05112,315
CNAG_03366R,CNAG_03366,493
CNAG_04090R,CNAG_04090,288
CNAG_00791R,CNAG_00791,303
CNAG_05375R,CNAG_05375,4983
CNAG_02516R,CNAG_02516,361
CNAG_06203R,CNAG_06203,313
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,502
CNAG_03401R,CNAG_03401,404
CNAG_02435R,CNAG_02435,252
CNAG_05153R,CNAG_05153,20
CNAG_01708R,CNAG_01708,561
CNAG_03700R,CNAG_03700,401
CNAG_05215R,CNAG_05215,271
CNAG_01438R,CNAG_01438,130
CNAG_07464R,CNAG_07464,88
CNAG_01858R,CNAG_01858,510
CNAG_04586R,CNAG_04586,744
CNAG_05176R,CNAG_05176,272
CNAG_01014R,CNAG_01014,163
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,383
CNAG_06327R,CNAG_06327,14
CNAG_03788R,CNAG_03788,477
CNAG_00871R,CNAG_00871,475
CNAG_00559R,CNAG_00559,6929
CNAG_07370R,CNAG_07370,487
CNAG_02589R,CNAG_02589,387
CNAG_01645R,CNAG_01645,935
CNAG_01242R,CNAG_01242,215
CNAG_02788R,CNAG_02788,19
CNAG_07435R,CNAG_07435,44
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,559
CNAG_01071R,CNAG_01071,369
CNAG_00883R,CNAG_00883,222
CNAG_03741R,CNAG_03741,382
CNAG_03745R,CNAG_03745,422
CNAG_00192R,CNAG_00192,354
CNAG_00670R,CNAG_00670,431
CNAG_06871R,CNAG_06871,512
CNAG_04457R,CNAG_04457,336
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,87
CNAG_03894R,CNAG_03894,448
CNAG_04012R,CNAG_04012,222
CNAG_01487R,CNAG_01487,392
CNAG_05170R,CNAG_05170,362
CNAG_02364R,CNAG_02364,367
CNAG_04093R,CNAG_04093,489
CNAG_02322R,CNAG_02322,442
CNAG_05255R,CNAG_05255,430
CNAG_05642R,CNAG_05642,1
CNAG_03018R,CNAG_03018,334
CNAG_07901R,CNAG_07901,325
CNAG_03086R,CNAG_03086,392
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,1105
