Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,527
CNAG_05387R,CNAG_05387,602
CNAG_05638R,CNAG_05638,511
CNAG_05639R,CNAG_05639,272
CNAG_06346R,CNAG_06346,528
CNAG_06347R,CNAG_06347,578
CNAG_06517R,CNAG_06517,784
CNAG_07939R,CNAG_07939,2
CNAG_06201R,CNAG_06201,331
CNAG_06104R,CNAG_06104,361
CNAG_07902R,CNAG_07902,438
CNAG_06241R,CNAG_06241,256
CNAG_06242R,CNAG_06242,233
CNAG_07911R,CNAG_07911,381
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,396
CNAG_01902R,CNAG_01902,19
CNAG_01680R,CNAG_01680,348
CNAG_01989R,CNAG_01989,269
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,67
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,495
CNAG_04837R,CNAG_04837,344
CNAG_04836R,CNAG_04836,286
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,518
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,105
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,405
CNAG_04517R,CNAG_04517,470
CNAG_07770R,CNAG_07770,306
CNAG_03333R,CNAG_03333,716
CNAG_07742R,CNAG_07742,846
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,234
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,359
CNAG_05835R,CNAG_05835,2
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,3
CNAG_05867R,CNAG_05867,289
CNAG_05684R,CNAG_05684,358
CNAG_02189R,CNAG_02189,570
CNAG_02371R,CNAG_02371,356
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,319
CNAG_03669R,CNAG_03669,412
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,316
CNAG_00285R,CNAG_00285,495
CNAG_00830R,CNAG_00830,1331
CNAG_00841R,CNAG_00841,413
CNAG_06531R,CNAG_06531,728
CNAG_03279R,CNAG_03279,381
CNAG_03336R,CNAG_03336,733
CNAG_06339R,CNAG_06339,445
CNAG_03768R,CNAG_03768,490
