Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,59
CNAG_05515L,CNAG_05515,450
CNAG_05641L,CNAG_05641,362
CNAG_05387L,CNAG_05387,386
CNAG_05590L,CNAG_05590,2255
CNAG_07869L,CNAG_07869,530
CNAG_05340L,CNAG_05340,240
CNAG_05638L,CNAG_05638,401
CNAG_05639L,CNAG_05639,220
CNAG_06346L,CNAG_06346,404
CNAG_06347L,CNAG_06347,357
CNAG_06517L,CNAG_06517,649
CNAG_07939L,CNAG_07939,306
CNAG_06493L,CNAG_06493,306
CNAG_06201L,CNAG_06201,273
CNAG_06104L,CNAG_06104,256
CNAG_06081L,CNAG_06081,372
CNAG_07902L,CNAG_07902,270
CNAG_06241L,CNAG_06241,173
CNAG_06242L,CNAG_06242,160
CNAG_06186L,CNAG_06186,317
CNAG_07911L,CNAG_07911,263
CNAG_01551L,CNAG_01551,478
CNAG_01683L,CNAG_01683,268
CNAG_01983L,CNAG_01983,411
CNAG_01902L,CNAG_01902,16
CNAG_01680L,CNAG_01680,322
CNAG_01621L,CNAG_01621,302
CNAG_01988L,CNAG_01988,336
CNAG_01989L,CNAG_01989,299
CNAG_01939L,CNAG_01939,349
CNAG_01993L,CNAG_01993,296
CNAG_01992L,CNAG_01992,317
CNAG_01965L,CNAG_01965,266
CNAG_01562L,CNAG_01562,386
CNAG_01925L,CNAG_01925,345
CNAG_04756L,CNAG_04756,276
CNAG_04807L,CNAG_04807,296
CNAG_04837L,CNAG_04837,270
CNAG_04836L,CNAG_04836,214
CNAG_04737L,CNAG_04737,392
CNAG_04875L,CNAG_04875,496
CNAG_04874L,CNAG_04874,901
CNAG_04868L,CNAG_04868,113
CNAG_04752L,CNAG_04752,295
CNAG_04753L,CNAG_04753,2203
CNAG_04909L,CNAG_04909,366
CNAG_04908L,CNAG_04908,420
CNAG_04659L,CNAG_04659,205
CNAG_04623L,CNAG_04623,319
CNAG_04518L,CNAG_04518,255
CNAG_04517L,CNAG_04517,363
CNAG_07770L,CNAG_07770,252
CNAG_04436L,CNAG_04436,180
CNAG_04271L,CNAG_04271,294
CNAG_04270L,CNAG_04270,349
CNAG_03346L,CNAG_03346,340
CNAG_03433L,CNAG_03433,251
CNAG_03333L,CNAG_03333,602
CNAG_07742L,CNAG_07742,882
CNAG_03438L,CNAG_03438,211
CNAG_03223L,CNAG_03223,329
CNAG_03142L,CNAG_03142,186
CNAG_03143L,CNAG_03143,193
CNAG_03545L,CNAG_03545,374
CNAG_03161L,CNAG_03161,115
CNAG_03566L,CNAG_03566,259
CNAG_05835L,CNAG_05835,1800
CNAG_05864L,CNAG_05864,294
CNAG_06567L,CNAG_06567,328
CNAG_05742L,CNAG_05742,81
CNAG_05743L,CNAG_05743,119
CNAG_05867L,CNAG_05867,171
CNAG_05685L,CNAG_05685,1120
CNAG_05684L,CNAG_05684,283
CNAG_05785L,CNAG_05785,225
CNAG_05843L,CNAG_05843,74
CNAG_06554L,CNAG_06554,352
CNAG_02189L,CNAG_02189,328
CNAG_02188L,CNAG_02188,339
CNAG_02182L,CNAG_02182,237
CNAG_07631L,CNAG_07631,281
CNAG_02371L,CNAG_02371,239
CNAG_07633L,CNAG_07633,302
CNAG_01069L,CNAG_01069,313
CNAG_00896L,CNAG_00896,870
CNAG_06719L,CNAG_06719,56
CNAG_03669L,CNAG_03669,370
CNAG_00031L,CNAG_00031,314
CNAG_07332L,CNAG_07332,263
CNAG_00285L,CNAG_00285,362
CNAG_00828L,CNAG_00828,262
CNAG_00830L,CNAG_00830,999
CNAG_00841L,CNAG_00841,295
CNAG_02774L,CNAG_02774,275
CNAG_06531L,CNAG_06531,506
CNAG_03279L,CNAG_03279,277
CNAG_03336L,CNAG_03336,643
CNAG_06339L,CNAG_06339,327
CNAG_03768L,CNAG_03768,335
CNAG_04534L,CNAG_04534,453
CNAG_07867L,CNAG_07867,286
CNAG_05333L,CNAG_05333,348
CNAG_06425L,CNAG_06425,233
CNAG_03849L,CNAG_03849,774
CNAG_02603L,CNAG_02603,252
CNAG_02555L,CNAG_02555,421
CNAG_03431L,CNAG_03431,254
CNAG_05049L,CNAG_05049,243
CNAG_05380L,CNAG_05380,764
CNAG_03914L,CNAG_03914,233
CNAG_02476L,CNAG_02476,334
CNAG_07583L,CNAG_07583,396
CNAG_02466L,CNAG_02466,249
CNAG_05112L,CNAG_05112,281
CNAG_03366L,CNAG_03366,451
CNAG_03977L,CNAG_03977,178
CNAG_04090L,CNAG_04090,733
CNAG_00791L,CNAG_00791,352
CNAG_06751L,CNAG_06751,191
CNAG_05375L,CNAG_05375,1947
CNAG_02516L,CNAG_02516,346
CNAG_04804L,CNAG_04804,75
CNAG_00627L,CNAG_00627,384
CNAG_07725L,CNAG_07725,395
CNAG_06203L,CNAG_06203,322
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,595
CNAG_03401L,CNAG_03401,319
CNAG_02435L,CNAG_02435,597
CNAG_05153L,CNAG_05153,6
CNAG_01708L,CNAG_01708,247
CNAG_03700L,CNAG_03700,362
CNAG_07320L,CNAG_07320,73
CNAG_05215L,CNAG_05215,437
CNAG_01438L,CNAG_01438,159
CNAG_07464L,CNAG_07464,69
CNAG_01858L,CNAG_01858,494
CNAG_04586L,CNAG_04586,2355
CNAG_05093L,CNAG_05093,438
CNAG_05176L,CNAG_05176,331
CNAG_01014L,CNAG_01014,390
CNAG_00998L,CNAG_00998,175
CNAG_00039L,CNAG_00039,543
CNAG_07329L,CNAG_07329,7
CNAG_01454L,CNAG_01454,312
CNAG_02700L,CNAG_02700,15
CNAG_06327L,CNAG_06327,75
CNAG_03788L,CNAG_03788,179
CNAG_00871L,CNAG_00871,294
CNAG_00559L,CNAG_00559,15253
CNAG_07370L,CNAG_07370,473
CNAG_00732L,CNAG_00732,200
CNAG_04630L,CNAG_04630,851
CNAG_07940L,CNAG_07940,267
CNAG_02589L,CNAG_02589,369
CNAG_05067L,CNAG_05067,375
CNAG_01645L,CNAG_01645,760
CNAG_06134L,CNAG_06134,79
CNAG_01242L,CNAG_01242,242
CNAG_02788L,CNAG_02788,40
CNAG_07435L,CNAG_07435,12
CNAG_03998L,CNAG_03998,154
CNAG_07924L,CNAG_07924,369
CNAG_01071L,CNAG_01071,231
CNAG_00883L,CNAG_00883,329
CNAG_03741L,CNAG_03741,417
CNAG_03745L,CNAG_03745,419
CNAG_00192L,CNAG_00192,412
CNAG_00670L,CNAG_00670,303
CNAG_06871L,CNAG_06871,527
CNAG_04457L,CNAG_04457,270
CNAG_02723L,CNAG_02723,309
CNAG_04588L,CNAG_04588,131
CNAG_01977L,CNAG_01977,243
CNAG_03894L,CNAG_03894,319
CNAG_04012L,CNAG_04012,328
CNAG_03561L,CNAG_03561,202
CNAG_05170L,CNAG_05170,252
CNAG_04041L,CNAG_04041,50
CNAG_02364L,CNAG_02364,367
CNAG_04093L,CNAG_04093,396
CNAG_02322L,CNAG_02322,321
CNAG_04184L,CNAG_04184,353
CNAG_05255L,CNAG_05255,325
CNAG_05642L,CNAG_05642,66
CNAG_03059L,CNAG_03059,361
CNAG_03018L,CNAG_03018,302
CNAG_07901L,CNAG_07901,314
CNAG_03086L,CNAG_03086,356
CNAG_04916L,CNAG_04916,232
CNAG_06097L,CNAG_06097,204
CNAG_03115L,CNAG_03115,446
CNAG_03132L,CNAG_03132,325
CNAG_04841L,CNAG_04841,319
CNAG_06136L,CNAG_06136,202
CNAG_03177L,CNAG_03177,713
CNAG_03183L,CNAG_03183,95
CNAG_06188L,CNAG_06188,292
CNAG_02877L,CNAG_02877,357
CNAG_04359L,CNAG_04359,720
CNAG_04774L,CNAG_04774,780
CNAG_04768L,CNAG_04768,375
CNAG_02066L,CNAG_02066,382
CNAG_07922L,CNAG_07922,266
CNAG_06276L,CNAG_06276,296
CNAG_05222L,CNAG_05222,52
CNAG_03409L,CNAG_03409,588
CNAG_05622L,CNAG_05622,583
CNAG_04637L,CNAG_04637,201
CNAG_07680L,CNAG_07680,42
CNAG_02215L,CNAG_02215,25
CNAG_00564L,CNAG_00564,570
CNAG_02387L,CNAG_02387,761
CNAG_04086L,CNAG_04086,579
CNAG_05697L,CNAG_05697,413
CNAG_02697L,CNAG_02697,396
CNAG_06205L,CNAG_06205,338
CNAG_05372L,CNAG_05372,307
CNAG_04507L,CNAG_04507,292
CNAG_04506L,CNAG_04506,445
CNAG_00068L,CNAG_00068,6778
CNAG_05138L,CNAG_05138,242
CNAG_00733L,CNAG_00733,434
CNAG_03910L,CNAG_03910,315
CNAG_04059L,CNAG_04059,1446
CNAG_07491L,CNAG_07491,242
CNAG_05181L,CNAG_05181,852
CNAG_03915L,CNAG_03915,427
CNAG_03772L,CNAG_03772,373
CNAG_00445L,CNAG_00445,436
CNAG_01901L,CNAG_01901,553
CNAG_05313L,CNAG_05313,254
CNAG_05312L,CNAG_05312,334
CNAG_03012L,CNAG_03012,258
CNAG_03011L,CNAG_03011,243
CNAG_06200L,CNAG_06200,679
CNAG_02682L,CNAG_02682,230
CNAG_02683L,CNAG_02683,299
CNAG_00442L,CNAG_00442,560
CNAG_00183L,CNAG_00183,160
CNAG_07548L,CNAG_07548,3255
CNAG_01277L,CNAG_01277,366
CNAG_07512L,CNAG_07512,642
CNAG_01230L,CNAG_01230,194
CNAG_05264L,CNAG_05264,496
CNAG_05263L,CNAG_05263,289
CNAG_01681L,CNAG_01681,239
CNAG_01040L,CNAG_01040,530
CNAG_00179L,CNAG_00179,403
CNAG_00547L,CNAG_00547,361
CNAG_00598L,CNAG_00598,310
CNAG_05229L,CNAG_05229,223
CNAG_01138L,CNAG_01138,393
CNAG_00597L,CNAG_00597,337
CNAG_02797L,CNAG_02797,585
CNAG_02219L,CNAG_02219,427
CNAG_02220L,CNAG_02220,286
CNAG_00674L,CNAG_00674,514
CNAG_03013L,CNAG_03013,97
CNAG_07540L,CNAG_07540,463
CNAG_04981L,CNAG_04981,255
CNAG_04980L,CNAG_04980,16
CNAG_00456L,CNAG_00456,258
CNAG_00455L,CNAG_00455,303
CNAG_02152L,CNAG_02152,339
CNAG_00107L,CNAG_00107,236
CNAG_00106L,CNAG_00106,1158
CNAG_01061L,CNAG_01061,364
CNAG_03847L,CNAG_03847,296
CNAG_03848L,CNAG_03848,297
CNAG_01013L,CNAG_01013,45
CNAG_02777L,CNAG_02777,276
CNAG_07523L,CNAG_07523,322
CNAG_04991L,CNAG_04991,248
CNAG_00531L,CNAG_00531,282
CNAG_05159L,CNAG_05159,297
CNAG_05079L,CNAG_05079,492
CNAG_05080L,CNAG_05080,311
CNAG_04869L,CNAG_04869,280
CNAG_00164L,CNAG_00164,391
CNAG_04077L,CNAG_04077,366
CNAG_01082L,CNAG_01082,352
CNAG_04658L,CNAG_04658,275
CNAG_03727L,CNAG_03727,260
CNAG_03676L,CNAG_03676,306
CNAG_03677L,CNAG_03677,351
CNAG_03841L,CNAG_03841,159
CNAG_06761L,CNAG_06761,282
CNAG_06760L,CNAG_06760,276
CNAG_05076L,CNAG_05076,143
CNAG_05077L,CNAG_05077,382
CNAG_02553L,CNAG_02553,374
CNAG_02554L,CNAG_02554,1460
CNAG_00546L,CNAG_00546,254
CNAG_00702L,CNAG_00702,567
CNAG_00897L,CNAG_00897,339
CNAG_05148L,CNAG_05148,512
CNAG_05147L,CNAG_05147,280
CNAG_01126L,CNAG_01126,5
CNAG_00776L,CNAG_00776,23
CNAG_01446L,CNAG_01446,331
CNAG_04024L,CNAG_04024,355
CNAG_04025L,CNAG_04025,422
CNAG_02348L,CNAG_02348,252
CNAG_02347L,CNAG_02347,376
CNAG_00394L,CNAG_00394,116
CNAG_00393L,CNAG_00393,406
CNAG_06555L,CNAG_06555,256
CNAG_01019L,CNAG_01019,4
CNAG_01803L,CNAG_01803,473
CNAG_00374L,CNAG_00374,261
CNAG_00654L,CNAG_00654,378
CNAG_07541L,CNAG_07541,302
CNAG_07542L,CNAG_07542,370
CNAG_00363L,CNAG_00363,533
CNAG_05915L,CNAG_05915,337
CNAG_05916L,CNAG_05916,241
CNAG_00917L,CNAG_00917,1197
CNAG_00919L,CNAG_00919,324
CNAG_05458L,CNAG_05458,395
CNAG_05459L,CNAG_05459,490
CNAG_01985L,CNAG_01985,237
CNAG_00740L,CNAG_00740,103
CNAG_04163L,CNAG_04163,23
CNAG_04162L,CNAG_04162,169
CNAG_04755L,CNAG_04755,1102
CNAG_01777L,CNAG_01777,310
CNAG_01778L,CNAG_01778,301
CNAG_05889L,CNAG_05889,276
CNAG_05888L,CNAG_05888,206
CNAG_04217L,CNAG_04217,330
CNAG_03173L,CNAG_03173,390
CNAG_03172L,CNAG_03172,375
CNAG_07388L,CNAG_07388,323
CNAG_07389L,CNAG_07389,345
CNAG_03644L,CNAG_03644,283
CNAG_06785L,CNAG_06785,290
CNAG_06060L,CNAG_06060,292
CNAG_00581L,CNAG_00581,167
CNAG_02044L,CNAG_02044,364
CNAG_02045L,CNAG_02045,399
CNAG_04950L,CNAG_04950,290
CNAG_04949L,CNAG_04949,274
CNAG_01865L,CNAG_01865,284
CNAG_05870L,CNAG_05870,265
CNAG_00717L,CNAG_00717,538
CNAG_06926L,CNAG_06926,319
CNAG_06896L,CNAG_06896,192
CNAG_04631L,CNAG_04631,206
CNAG_05812L,CNAG_05812,309
CNAG_00079L,CNAG_00079,316
CNAG_06657L,CNAG_06657,334
CNAG_06658L,CNAG_06658,239
CNAG_05993L,CNAG_05993,306
CNAG_05994L,CNAG_05994,332
CNAG_04675L,CNAG_04675,3
CNAG_01318L,CNAG_01318,1016
CNAG_05430L,CNAG_05430,269
CNAG_05429L,CNAG_05429,35
CNAG_02517L,CNAG_02517,397
CNAG_07419L,CNAG_07419,263
CNAG_02040L,CNAG_02040,411
CNAG_03328L,CNAG_03328,24
CNAG_03329L,CNAG_03329,156
CNAG_04471L,CNAG_04471,310
CNAG_04472L,CNAG_04472,288
CNAG_01920L,CNAG_01920,332
CNAG_01919L,CNAG_01919,282
CNAG_03075L,CNAG_03075,20
CNAG_03884L,CNAG_03884,54
CNAG_00699L,CNAG_00699,322
CNAG_02129L,CNAG_02129,609
CNAG_05352L,CNAG_05352,193
CNAG_02293L,CNAG_02293,2
CNAG_02292L,CNAG_02292,7
CNAG_07441L,CNAG_07441,590
CNAG_07442L,CNAG_07442,203
CNAG_01523L,CNAG_01523,3
CNAG_05415L,CNAG_05415,198
CNAG_03946L,CNAG_03946,307
CNAG_07486L,CNAG_07486,259
CNAG_07313L,CNAG_07313,266
CNAG_00126L,CNAG_00126,2020
CNAG_00710L,CNAG_00710,224
CNAG_00709L,CNAG_00709,365
CNAG_04186L,CNAG_04186,544
CNAG_03689L,CNAG_03689,219
CNAG_01704L,CNAG_01704,395
CNAG_04618L,CNAG_04618,326
CNAG_05290L,CNAG_05290,33
CNAG_07827L,CNAG_07827,200
CNAG_07516L,CNAG_07516,323
CNAG_02849L,CNAG_02849,308
CNAG_00156L,CNAG_00156,595
CNAG_00157L,CNAG_00157,278
CNAG_04891L,CNAG_04891,296
