Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,516
CNAG_05387R,CNAG_05387,557
CNAG_05638R,CNAG_05638,390
CNAG_05639R,CNAG_05639,234
CNAG_06346R,CNAG_06346,399
CNAG_06347R,CNAG_06347,412
CNAG_06517R,CNAG_06517,468
CNAG_06201R,CNAG_06201,288
CNAG_06104R,CNAG_06104,281
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,316
CNAG_06241R,CNAG_06241,220
CNAG_06242R,CNAG_06242,270
CNAG_07911R,CNAG_07911,425
CNAG_01683R,CNAG_01683,410
CNAG_01902R,CNAG_01902,21
CNAG_01680R,CNAG_01680,349
CNAG_01621R,CNAG_01621,2
CNAG_01989R,CNAG_01989,245
CNAG_01965R,CNAG_01965,94
CNAG_01925R,CNAG_01925,339
CNAG_04837R,CNAG_04837,443
CNAG_04836R,CNAG_04836,306
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,301
CNAG_04868R,CNAG_04868,86
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,323
CNAG_04517R,CNAG_04517,410
CNAG_07770R,CNAG_07770,375
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,569
CNAG_07742R,CNAG_07742,801
CNAG_03142R,CNAG_03142,280
CNAG_03566R,CNAG_03566,336
CNAG_05835R,CNAG_05835,2
CNAG_05867R,CNAG_05867,325
CNAG_05684R,CNAG_05684,411
CNAG_02189R,CNAG_02189,441
CNAG_02371R,CNAG_02371,298
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,305
CNAG_03669R,CNAG_03669,335
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,237
CNAG_00285R,CNAG_00285,397
CNAG_00830R,CNAG_00830,341
CNAG_00841R,CNAG_00841,425
CNAG_06531R,CNAG_06531,774
CNAG_03279R,CNAG_03279,346
CNAG_03336R,CNAG_03336,549
CNAG_06339R,CNAG_06339,538
CNAG_03768R,CNAG_03768,406
CNAG_04534R,CNAG_04534,354
CNAG_01973R,CNAG_01973,466
CNAG_07867R,CNAG_07867,390
CNAG_05333R,CNAG_05333,511
CNAG_06425R,CNAG_06425,384
CNAG_03849R,CNAG_03849,451
CNAG_02603R,CNAG_02603,360
CNAG_02555R,CNAG_02555,560
CNAG_02525R,CNAG_02525,108
CNAG_03431R,CNAG_03431,503
CNAG_05049R,CNAG_05049,278
CNAG_03914R,CNAG_03914,403
CNAG_02476R,CNAG_02476,344
CNAG_07583R,CNAG_07583,428
CNAG_05112R,CNAG_05112,312
CNAG_03366R,CNAG_03366,516
CNAG_04090R,CNAG_04090,1253
CNAG_00791R,CNAG_00791,427
CNAG_05375R,CNAG_05375,4045
CNAG_02516R,CNAG_02516,353
CNAG_04804R,CNAG_04804,209
CNAG_06203R,CNAG_06203,410
CNAG_01883R,CNAG_01883,823
CNAG_03401R,CNAG_03401,344
CNAG_02435R,CNAG_02435,462
CNAG_05153R,CNAG_05153,10
CNAG_01708R,CNAG_01708,398
CNAG_03700R,CNAG_03700,446
CNAG_05215R,CNAG_05215,342
CNAG_01438R,CNAG_01438,178
CNAG_07464R,CNAG_07464,322
CNAG_01858R,CNAG_01858,566
CNAG_04586R,CNAG_04586,497
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,324
CNAG_01014R,CNAG_01014,275
CNAG_01454R,CNAG_01454,480
CNAG_06327R,CNAG_06327,66
CNAG_03788R,CNAG_03788,330
CNAG_00871R,CNAG_00871,502
CNAG_00559R,CNAG_00559,11178
CNAG_07370R,CNAG_07370,473
CNAG_02589R,CNAG_02589,372
CNAG_01645R,CNAG_01645,827
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,21
CNAG_02788R,CNAG_02788,27
CNAG_07435R,CNAG_07435,29
CNAG_07924R,CNAG_07924,378
CNAG_01071R,CNAG_01071,346
CNAG_00883R,CNAG_00883,362
CNAG_03741R,CNAG_03741,372
CNAG_03745R,CNAG_03745,452
CNAG_00192R,CNAG_00192,368
CNAG_00670R,CNAG_00670,427
CNAG_06871R,CNAG_06871,491
CNAG_04457R,CNAG_04457,387
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,150
CNAG_01977R,CNAG_01977,2
CNAG_03894R,CNAG_03894,425
CNAG_04012R,CNAG_04012,360
CNAG_01487R,CNAG_01487,434
CNAG_05170R,CNAG_05170,334
CNAG_02364R,CNAG_02364,374
CNAG_04093R,CNAG_04093,427
CNAG_02322R,CNAG_02322,374
CNAG_05255R,CNAG_05255,380
CNAG_03018R,CNAG_03018,337
CNAG_07901R,CNAG_07901,301
CNAG_03086R,CNAG_03086,351
CNAG_06097R,CNAG_06097,442
CNAG_06136R,CNAG_06136,361
CNAG_03177R,CNAG_03177,415
CNAG_03183R,CNAG_03183,49
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,489
CNAG_04768R,CNAG_04768,468
CNAG_06276R,CNAG_06276,329
CNAG_05222R,CNAG_05222,73
CNAG_03409R,CNAG_03409,232
CNAG_05622R,CNAG_05622,428
CNAG_04637R,CNAG_04637,289
CNAG_07680R,CNAG_07680,51
CNAG_02215R,CNAG_02215,44
CNAG_02387R,CNAG_02387,491
CNAG_04086R,CNAG_04086,514
CNAG_05697R,CNAG_05697,532
CNAG_04507R,CNAG_04507,378
CNAG_04506R,CNAG_04506,405
CNAG_00068R,CNAG_00068,655
CNAG_00733R,CNAG_00733,346
CNAG_03910R,CNAG_03910,366
CNAG_04059R,CNAG_04059,371
CNAG_07491R,CNAG_07491,313
CNAG_05181R,CNAG_05181,453
CNAG_03772R,CNAG_03772,466
CNAG_00445R,CNAG_00445,611
CNAG_01901R,CNAG_01901,618
CNAG_05313R,CNAG_05313,340
CNAG_05312R,CNAG_05312,400
CNAG_00442R,CNAG_00442,477
CNAG_00183R,CNAG_00183,1
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,440
CNAG_01230R,CNAG_01230,284
CNAG_00179R,CNAG_00179,1
CNAG_00547R,CNAG_00547,354
CNAG_00598R,CNAG_00598,383
CNAG_02219R,CNAG_02219,518
CNAG_03013R,CNAG_03013,139
CNAG_07540R,CNAG_07540,515
CNAG_04980R,CNAG_04980,38
CNAG_00456R,CNAG_00456,440
CNAG_00455R,CNAG_00455,460
CNAG_00107R,CNAG_00107,335
CNAG_00106R,CNAG_00106,3
CNAG_01061R,CNAG_01061,486
CNAG_01013R,CNAG_01013,116
CNAG_02777R,CNAG_02777,1
CNAG_05159R,CNAG_05159,1
CNAG_05080R,CNAG_05080,354
CNAG_00164R,CNAG_00164,383
CNAG_03677R,CNAG_03677,369
CNAG_05076R,CNAG_05076,1
CNAG_05077R,CNAG_05077,467
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,151
CNAG_04024R,CNAG_04024,411
CNAG_04025R,CNAG_04025,491
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,15
CNAG_01803R,CNAG_01803,557
CNAG_07541R,CNAG_07541,335
CNAG_07542R,CNAG_07542,472
CNAG_05915R,CNAG_05915,294
CNAG_00917R,CNAG_00917,1284
CNAG_00919R,CNAG_00919,399
CNAG_05458R,CNAG_05458,590
CNAG_05459R,CNAG_05459,507
CNAG_01985R,CNAG_01985,220
CNAG_00740R,CNAG_00740,44
CNAG_04163R,CNAG_04163,369
CNAG_04162R,CNAG_04162,213
CNAG_04755R,CNAG_04755,1657
CNAG_01777R,CNAG_01777,276
CNAG_05888R,CNAG_05888,1
CNAG_03173R,CNAG_03173,404
CNAG_03172R,CNAG_03172,453
CNAG_07388R,CNAG_07388,415
CNAG_07389R,CNAG_07389,515
CNAG_06060R,CNAG_06060,353
CNAG_00581R,CNAG_00581,214
CNAG_02045R,CNAG_02045,522
CNAG_04950R,CNAG_04950,385
CNAG_04949R,CNAG_04949,396
CNAG_01865R,CNAG_01865,371
CNAG_00717R,CNAG_00717,207
CNAG_06896R,CNAG_06896,258
CNAG_05812R,CNAG_05812,370
CNAG_06658R,CNAG_06658,273
CNAG_05994R,CNAG_05994,385
CNAG_02517R,CNAG_02517,493
CNAG_03329R,CNAG_03329,349
CNAG_04471R,CNAG_04471,423
CNAG_00699R,CNAG_00699,313
CNAG_02129R,CNAG_02129,518
CNAG_05352R,CNAG_05352,210
CNAG_07441R,CNAG_07441,1
CNAG_01523R,CNAG_01523,3
CNAG_07486R,CNAG_07486,351
CNAG_00710R,CNAG_00710,345
CNAG_00709R,CNAG_00709,467
CNAG_03689R,CNAG_03689,250
CNAG_01704R,CNAG_01704,465
CNAG_07827R,CNAG_07827,309
CNAG_07516R,CNAG_07516,272
CNAG_00156R,CNAG_00156,1
CNAG_00157R,CNAG_00157,356
CNAG_01776R,CNAG_01776,408
CNAG_07605R,CNAG_07605,296
CNAG_01846R,CNAG_01846,395
CNAG_03572R,CNAG_03572,1
CNAG_00799R,CNAG_00799,201
CNAG_04656R,CNAG_04656,1
CNAG_04657R,CNAG_04657,347
CNAG_04385R,CNAG_04385,316
CNAG_04386R,CNAG_04386,416
CNAG_07847R,CNAG_07847,382
CNAG_02226R,CNAG_02226,365
CNAG_02225R,CNAG_02225,411
CNAG_04860R,CNAG_04860,330
CNAG_01105R,CNAG_01105,540
CNAG_03524R,CNAG_03524,297
CNAG_03733R,CNAG_03733,468
CNAG_03732R,CNAG_03732,452
CNAG_03247R,CNAG_03247,375
CNAG_03193R,CNAG_03193,316
