Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,74
CNAG_05515L,CNAG_05515,410
CNAG_05641L,CNAG_05641,308
CNAG_05387L,CNAG_05387,406
CNAG_05590L,CNAG_05590,668
CNAG_07869L,CNAG_07869,392
CNAG_05340L,CNAG_05340,293
CNAG_05638L,CNAG_05638,270
CNAG_05639L,CNAG_05639,264
CNAG_06346L,CNAG_06346,382
CNAG_06347L,CNAG_06347,276
CNAG_06517L,CNAG_06517,439
CNAG_07939L,CNAG_07939,269
CNAG_06493L,CNAG_06493,307
CNAG_06201L,CNAG_06201,325
CNAG_06104L,CNAG_06104,249
CNAG_06081L,CNAG_06081,361
CNAG_07902L,CNAG_07902,273
CNAG_06241L,CNAG_06241,154
CNAG_06242L,CNAG_06242,262
CNAG_06186L,CNAG_06186,345
CNAG_07911L,CNAG_07911,336
CNAG_01551L,CNAG_01551,443
CNAG_01683L,CNAG_01683,281
CNAG_01983L,CNAG_01983,375
CNAG_01902L,CNAG_01902,12
CNAG_01680L,CNAG_01680,306
CNAG_01621L,CNAG_01621,319
CNAG_01988L,CNAG_01988,256
CNAG_01989L,CNAG_01989,313
CNAG_01939L,CNAG_01939,373
CNAG_01993L,CNAG_01993,264
CNAG_01992L,CNAG_01992,311
CNAG_01965L,CNAG_01965,289
CNAG_01562L,CNAG_01562,275
CNAG_01925L,CNAG_01925,312
CNAG_04756L,CNAG_04756,349
CNAG_04807L,CNAG_04807,373
CNAG_04837L,CNAG_04837,288
CNAG_04836L,CNAG_04836,267
CNAG_04737L,CNAG_04737,433
CNAG_04875L,CNAG_04875,218
CNAG_04874L,CNAG_04874,771
CNAG_04868L,CNAG_04868,80
CNAG_04752L,CNAG_04752,289
CNAG_04753L,CNAG_04753,1815
CNAG_04909L,CNAG_04909,329
CNAG_04908L,CNAG_04908,359
CNAG_04659L,CNAG_04659,241
CNAG_04623L,CNAG_04623,255
CNAG_04518L,CNAG_04518,307
CNAG_04517L,CNAG_04517,346
CNAG_07770L,CNAG_07770,295
CNAG_04436L,CNAG_04436,218
CNAG_04271L,CNAG_04271,323
CNAG_04270L,CNAG_04270,280
CNAG_03346L,CNAG_03346,333
CNAG_03433L,CNAG_03433,313
CNAG_03333L,CNAG_03333,501
CNAG_07742L,CNAG_07742,909
CNAG_03438L,CNAG_03438,215
CNAG_03223L,CNAG_03223,281
CNAG_03142L,CNAG_03142,246
CNAG_03143L,CNAG_03143,284
CNAG_03545L,CNAG_03545,406
CNAG_03161L,CNAG_03161,127
CNAG_03566L,CNAG_03566,236
CNAG_05835L,CNAG_05835,338
CNAG_05864L,CNAG_05864,209
CNAG_06567L,CNAG_06567,312
CNAG_05742L,CNAG_05742,80
CNAG_05743L,CNAG_05743,153
CNAG_05867L,CNAG_05867,213
CNAG_05685L,CNAG_05685,899
CNAG_05684L,CNAG_05684,317
CNAG_05785L,CNAG_05785,265
CNAG_05843L,CNAG_05843,39
CNAG_06554L,CNAG_06554,349
CNAG_02189L,CNAG_02189,309
CNAG_02188L,CNAG_02188,325
CNAG_02182L,CNAG_02182,300
CNAG_07631L,CNAG_07631,410
CNAG_02371L,CNAG_02371,266
CNAG_07633L,CNAG_07633,286
CNAG_01069L,CNAG_01069,339
CNAG_00896L,CNAG_00896,1008
CNAG_06719L,CNAG_06719,102
CNAG_03669L,CNAG_03669,253
CNAG_00031L,CNAG_00031,317
CNAG_07332L,CNAG_07332,243
CNAG_00285L,CNAG_00285,344
CNAG_00828L,CNAG_00828,308
CNAG_00830L,CNAG_00830,319
CNAG_00841L,CNAG_00841,269
CNAG_02774L,CNAG_02774,295
CNAG_06531L,CNAG_06531,560
CNAG_03279L,CNAG_03279,335
CNAG_03336L,CNAG_03336,541
CNAG_06339L,CNAG_06339,318
CNAG_03768L,CNAG_03768,304
CNAG_04534L,CNAG_04534,376
CNAG_07867L,CNAG_07867,257
CNAG_05333L,CNAG_05333,309
CNAG_06425L,CNAG_06425,280
