Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,58
CNAG_05515L,CNAG_05515,474
CNAG_05641L,CNAG_05641,148
CNAG_05387L,CNAG_05387,163
CNAG_05590L,CNAG_05590,35
CNAG_07869L,CNAG_07869,503
CNAG_05340L,CNAG_05340,85
CNAG_05638L,CNAG_05638,430
CNAG_05639L,CNAG_05639,146
CNAG_06346L,CNAG_06346,492
CNAG_06347L,CNAG_06347,440
CNAG_06517L,CNAG_06517,703
CNAG_07939L,CNAG_07939,193
CNAG_06493L,CNAG_06493,167
CNAG_06201L,CNAG_06201,168
CNAG_06104L,CNAG_06104,165
CNAG_06081L,CNAG_06081,423
CNAG_07902L,CNAG_07902,162
CNAG_06241L,CNAG_06241,71
CNAG_06242L,CNAG_06242,34
CNAG_06186L,CNAG_06186,96
CNAG_07911L,CNAG_07911,191
CNAG_01551L,CNAG_01551,6
CNAG_01683L,CNAG_01683,153
CNAG_01983L,CNAG_01983,335
CNAG_01680L,CNAG_01680,214
CNAG_01621L,CNAG_01621,231
CNAG_01988L,CNAG_01988,341
CNAG_01989L,CNAG_01989,174
CNAG_01939L,CNAG_01939,238
CNAG_01993L,CNAG_01993,200
CNAG_01992L,CNAG_01992,173
CNAG_01965L,CNAG_01965,185
CNAG_01562L,CNAG_01562,224
CNAG_01925L,CNAG_01925,180
CNAG_04756L,CNAG_04756,174
CNAG_04807L,CNAG_04807,109
CNAG_04837L,CNAG_04837,198
CNAG_04836L,CNAG_04836,138
CNAG_04737L,CNAG_04737,248
CNAG_04875L,CNAG_04875,201
CNAG_04874L,CNAG_04874,1144
CNAG_04868L,CNAG_04868,42
CNAG_04752L,CNAG_04752,248
CNAG_04753L,CNAG_04753,211
CNAG_04909L,CNAG_04909,214
CNAG_04908L,CNAG_04908,350
CNAG_04659L,CNAG_04659,129
CNAG_04623L,CNAG_04623,318
CNAG_04518L,CNAG_04518,309
CNAG_04517L,CNAG_04517,481
CNAG_07770L,CNAG_07770,186
CNAG_04436L,CNAG_04436,215
CNAG_04271L,CNAG_04271,72
CNAG_04270L,CNAG_04270,752
CNAG_03346L,CNAG_03346,478
CNAG_03433L,CNAG_03433,179
CNAG_03333L,CNAG_03333,552
CNAG_07742L,CNAG_07742,463
CNAG_03438L,CNAG_03438,72
CNAG_03223L,CNAG_03223,345
CNAG_03142L,CNAG_03142,168
CNAG_03143L,CNAG_03143,127
CNAG_03545L,CNAG_03545,213
CNAG_03161L,CNAG_03161,38
CNAG_03566L,CNAG_03566,184
CNAG_05835L,CNAG_05835,4079
CNAG_05864L,CNAG_05864,185
CNAG_06567L,CNAG_06567,337
CNAG_05742L,CNAG_05742,199
CNAG_05743L,CNAG_05743,97
CNAG_05867L,CNAG_05867,143
CNAG_05685L,CNAG_05685,383
CNAG_05684L,CNAG_05684,174
CNAG_05785L,CNAG_05785,169
CNAG_05843L,CNAG_05843,20
CNAG_06554L,CNAG_06554,489
CNAG_02189L,CNAG_02189,526
CNAG_02188L,CNAG_02188,351
CNAG_02182L,CNAG_02182,200
CNAG_07631L,CNAG_07631,291
CNAG_02371L,CNAG_02371,139
CNAG_07633L,CNAG_07633,167
CNAG_01069L,CNAG_01069,168
CNAG_00896L,CNAG_00896,498
CNAG_06719L,CNAG_06719,128
CNAG_03669L,CNAG_03669,276
CNAG_00031L,CNAG_00031,209
CNAG_07332L,CNAG_07332,318
CNAG_00285L,CNAG_00285,271
CNAG_00828L,CNAG_00828,190
CNAG_00830L,CNAG_00830,265
CNAG_00841L,CNAG_00841,189
CNAG_02774L,CNAG_02774,183
CNAG_06531L,CNAG_06531,345
CNAG_03279L,CNAG_03279,221
CNAG_03336L,CNAG_03336,384
CNAG_06339L,CNAG_06339,261
CNAG_03768L,CNAG_03768,221
CNAG_04534L,CNAG_04534,537
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,171
CNAG_05333L,CNAG_05333,166
CNAG_06425L,CNAG_06425,285
CNAG_03849L,CNAG_03849,573
CNAG_02603L,CNAG_02603,193
CNAG_02555L,CNAG_02555,454
CNAG_03431L,CNAG_03431,112
CNAG_05049L,CNAG_05049,247
CNAG_05380L,CNAG_05380,280
CNAG_03914L,CNAG_03914,129
CNAG_02476L,CNAG_02476,484
CNAG_07583L,CNAG_07583,434
CNAG_02466L,CNAG_02466,213
CNAG_05112L,CNAG_05112,121
CNAG_03366L,CNAG_03366,364
CNAG_03977L,CNAG_03977,42
CNAG_04090L,CNAG_04090,247
CNAG_00791L,CNAG_00791,134
CNAG_06751L,CNAG_06751,171
CNAG_05375L,CNAG_05375,1061
CNAG_02516L,CNAG_02516,205
CNAG_04804L,CNAG_04804,261
CNAG_00627L,CNAG_00627,420
CNAG_07725L,CNAG_07725,412
CNAG_06203L,CNAG_06203,512
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,86
CNAG_03401L,CNAG_03401,211
CNAG_02435L,CNAG_02435,754
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,404
CNAG_03700L,CNAG_03700,374
CNAG_07320L,CNAG_07320,65
CNAG_05215L,CNAG_05215,311
CNAG_01438L,CNAG_01438,169
CNAG_07464L,CNAG_07464,47
CNAG_01858L,CNAG_01858,670
CNAG_04586L,CNAG_04586,6592
CNAG_05093L,CNAG_05093,418
CNAG_05176L,CNAG_05176,505
CNAG_01014L,CNAG_01014,329
CNAG_00998L,CNAG_00998,186
CNAG_00039L,CNAG_00039,75
CNAG_07329L,CNAG_07329,16
CNAG_01454L,CNAG_01454,551
CNAG_02700L,CNAG_02700,15
CNAG_06327L,CNAG_06327,33
CNAG_03788L,CNAG_03788,236
CNAG_00871L,CNAG_00871,234
CNAG_00559L,CNAG_00559,30590
CNAG_07370L,CNAG_07370,341
CNAG_00732L,CNAG_00732,40
CNAG_04630L,CNAG_04630,323
CNAG_07940L,CNAG_07940,382
CNAG_02589L,CNAG_02589,377
CNAG_05067L,CNAG_05067,204
CNAG_01645L,CNAG_01645,386
CNAG_06134L,CNAG_06134,80
CNAG_01242L,CNAG_01242,319
CNAG_02788L,CNAG_02788,4
CNAG_07435L,CNAG_07435,112
CNAG_03998L,CNAG_03998,195
CNAG_07924L,CNAG_07924,195
CNAG_01071L,CNAG_01071,172
CNAG_00883L,CNAG_00883,808
CNAG_03741L,CNAG_03741,406
CNAG_03745L,CNAG_03745,272
CNAG_00192L,CNAG_00192,689
CNAG_00670L,CNAG_00670,188
CNAG_06871L,CNAG_06871,536
CNAG_04457L,CNAG_04457,272
CNAG_02723L,CNAG_02723,179
CNAG_04588L,CNAG_04588,163
CNAG_01977L,CNAG_01977,183
CNAG_03894L,CNAG_03894,264
CNAG_04012L,CNAG_04012,223
CNAG_03561L,CNAG_03561,117
CNAG_05170L,CNAG_05170,165
CNAG_04041L,CNAG_04041,49
CNAG_02364L,CNAG_02364,242
CNAG_04093L,CNAG_04093,181
CNAG_02322L,CNAG_02322,262
CNAG_04184L,CNAG_04184,333
CNAG_05255L,CNAG_05255,355
CNAG_05642L,CNAG_05642,22
CNAG_03059L,CNAG_03059,374
CNAG_03018L,CNAG_03018,199
CNAG_07901L,CNAG_07901,152
CNAG_03086L,CNAG_03086,318
CNAG_04916L,CNAG_04916,124
CNAG_06097L,CNAG_06097,58
CNAG_03115L,CNAG_03115,156
CNAG_03132L,CNAG_03132,262
CNAG_04841L,CNAG_04841,326
CNAG_06136L,CNAG_06136,146
CNAG_03177L,CNAG_03177,234
CNAG_03183L,CNAG_03183,101
CNAG_06188L,CNAG_06188,217
CNAG_02877L,CNAG_02877,447
CNAG_04359L,CNAG_04359,629
CNAG_04774L,CNAG_04774,1233
CNAG_04768L,CNAG_04768,293
CNAG_02066L,CNAG_02066,590
CNAG_07922L,CNAG_07922,164
CNAG_06276L,CNAG_06276,165
CNAG_05222L,CNAG_05222,769
CNAG_03409L,CNAG_03409,33
CNAG_05622L,CNAG_05622,550
CNAG_04637L,CNAG_04637,112
CNAG_07680L,CNAG_07680,258
CNAG_02215L,CNAG_02215,81
CNAG_00564L,CNAG_00564,185
CNAG_02387L,CNAG_02387,133
CNAG_04086L,CNAG_04086,491
CNAG_05697L,CNAG_05697,468
CNAG_02697L,CNAG_02697,143
CNAG_06205L,CNAG_06205,212
CNAG_05372L,CNAG_05372,426
CNAG_04507L,CNAG_04507,200
CNAG_04506L,CNAG_04506,483
CNAG_00068L,CNAG_00068,10944
CNAG_05138L,CNAG_05138,111
CNAG_00733L,CNAG_00733,487
CNAG_03910L,CNAG_03910,245
CNAG_04059L,CNAG_04059,831
CNAG_07491L,CNAG_07491,196
CNAG_05181L,CNAG_05181,1267
CNAG_03915L,CNAG_03915,219
CNAG_03772L,CNAG_03772,429
CNAG_00445L,CNAG_00445,934
CNAG_01901L,CNAG_01901,738
CNAG_05313L,CNAG_05313,23
CNAG_05312L,CNAG_05312,165
CNAG_03012L,CNAG_03012,309
CNAG_03011L,CNAG_03011,187
CNAG_06200L,CNAG_06200,885
CNAG_02682L,CNAG_02682,186
CNAG_02683L,CNAG_02683,156
CNAG_00442L,CNAG_00442,706
CNAG_00183L,CNAG_00183,95
CNAG_07548L,CNAG_07548,2875
CNAG_01277L,CNAG_01277,332
CNAG_07512L,CNAG_07512,871
CNAG_01230L,CNAG_01230,132
CNAG_05264L,CNAG_05264,1012
CNAG_05263L,CNAG_05263,214
CNAG_01681L,CNAG_01681,116
CNAG_01040L,CNAG_01040,205
CNAG_00179L,CNAG_00179,219
CNAG_00547L,CNAG_00547,366
CNAG_00598L,CNAG_00598,175
CNAG_05229L,CNAG_05229,155
CNAG_01138L,CNAG_01138,455
CNAG_00597L,CNAG_00597,239
CNAG_02797L,CNAG_02797,323
CNAG_02219L,CNAG_02219,442
CNAG_02220L,CNAG_02220,166
CNAG_00674L,CNAG_00674,421
CNAG_03013L,CNAG_03013,34
CNAG_07540L,CNAG_07540,264
CNAG_04981L,CNAG_04981,215
CNAG_04980L,CNAG_04980,46
CNAG_00456L,CNAG_00456,174
