Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,251
CNAG_05387R,CNAG_05387,150
CNAG_05638R,CNAG_05638,207
CNAG_05639R,CNAG_05639,105
CNAG_06346R,CNAG_06346,228
CNAG_06347R,CNAG_06347,269
CNAG_06517R,CNAG_06517,379
CNAG_06201R,CNAG_06201,115
CNAG_06104R,CNAG_06104,119
CNAG_07902R,CNAG_07902,110
CNAG_06241R,CNAG_06241,35
CNAG_06242R,CNAG_06242,32
CNAG_07911R,CNAG_07911,136
CNAG_01683R,CNAG_01683,142
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,122
CNAG_01989R,CNAG_01989,99
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,26
CNAG_01925R,CNAG_01925,111
CNAG_04837R,CNAG_04837,133
CNAG_04836R,CNAG_04836,105
CNAG_04875R,CNAG_04875,144
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,27
CNAG_04518R,CNAG_04518,137
CNAG_04517R,CNAG_04517,279
CNAG_07770R,CNAG_07770,136
CNAG_03333R,CNAG_03333,275
CNAG_07742R,CNAG_07742,292
CNAG_03142R,CNAG_03142,81
CNAG_03566R,CNAG_03566,105
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,71
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,103
CNAG_06554R,CNAG_06554,2
CNAG_02189R,CNAG_02189,363
CNAG_02371R,CNAG_02371,113
CNAG_06719R,CNAG_06719,217
CNAG_03669R,CNAG_03669,188
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,163
CNAG_00285R,CNAG_00285,146
CNAG_00830R,CNAG_00830,171
CNAG_00841R,CNAG_00841,95
CNAG_06531R,CNAG_06531,241
CNAG_03279R,CNAG_03279,142
CNAG_03336R,CNAG_03336,167
CNAG_06339R,CNAG_06339,137
CNAG_03768R,CNAG_03768,128
CNAG_04534R,CNAG_04534,328
CNAG_01973R,CNAG_01973,934
CNAG_07867R,CNAG_07867,108
CNAG_05333R,CNAG_05333,115
CNAG_06425R,CNAG_06425,145
CNAG_03849R,CNAG_03849,163
CNAG_02603R,CNAG_02603,110
CNAG_02555R,CNAG_02555,366
CNAG_02525R,CNAG_02525,22
CNAG_03431R,CNAG_03431,83
CNAG_05049R,CNAG_05049,142
CNAG_03914R,CNAG_03914,85
CNAG_02476R,CNAG_02476,254
CNAG_07583R,CNAG_07583,239
CNAG_05112R,CNAG_05112,74
CNAG_03366R,CNAG_03366,274
CNAG_04090R,CNAG_04090,123
CNAG_00791R,CNAG_00791,77
CNAG_05375R,CNAG_05375,721
CNAG_02516R,CNAG_02516,82
CNAG_04804R,CNAG_04804,164
CNAG_06203R,CNAG_06203,325
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,44
CNAG_03401R,CNAG_03401,190
CNAG_02435R,CNAG_02435,375
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,227
CNAG_03700R,CNAG_03700,285
CNAG_05215R,CNAG_05215,148
CNAG_01438R,CNAG_01438,95
CNAG_07464R,CNAG_07464,41
CNAG_01858R,CNAG_01858,336
CNAG_04586R,CNAG_04586,4732
CNAG_05176R,CNAG_05176,269
CNAG_01014R,CNAG_01014,178
CNAG_01454R,CNAG_01454,346
CNAG_06327R,CNAG_06327,20
CNAG_03788R,CNAG_03788,114
CNAG_00871R,CNAG_00871,132
CNAG_00559R,CNAG_00559,18927
CNAG_07370R,CNAG_07370,202
CNAG_02589R,CNAG_02589,214
CNAG_01645R,CNAG_01645,204
CNAG_01242R,CNAG_01242,160
CNAG_02788R,CNAG_02788,4
CNAG_07435R,CNAG_07435,104
CNAG_07924R,CNAG_07924,98
CNAG_01071R,CNAG_01071,112
CNAG_00883R,CNAG_00883,520
CNAG_03741R,CNAG_03741,264
CNAG_03745R,CNAG_03745,147
CNAG_00192R,CNAG_00192,348
CNAG_00670R,CNAG_00670,86
CNAG_06871R,CNAG_06871,302
CNAG_04457R,CNAG_04457,190
CNAG_04588R,CNAG_04588,53
CNAG_03894R,CNAG_03894,181
CNAG_04012R,CNAG_04012,98
CNAG_01487R,CNAG_01487,318
CNAG_05170R,CNAG_05170,163
CNAG_02364R,CNAG_02364,78
CNAG_04093R,CNAG_04093,121
CNAG_02322R,CNAG_02322,152
CNAG_05255R,CNAG_05255,206
CNAG_03018R,CNAG_03018,135
CNAG_07901R,CNAG_07901,98
CNAG_03086R,CNAG_03086,231
CNAG_06097R,CNAG_06097,24
CNAG_06136R,CNAG_06136,157
CNAG_03177R,CNAG_03177,78
CNAG_03183R,CNAG_03183,52
CNAG_04774R,CNAG_04774,650
CNAG_04768R,CNAG_04768,167
CNAG_06276R,CNAG_06276,80
CNAG_05222R,CNAG_05222,436
CNAG_03409R,CNAG_03409,13
CNAG_05622R,CNAG_05622,201
CNAG_04637R,CNAG_04637,69
CNAG_07680R,CNAG_07680,168
CNAG_02215R,CNAG_02215,112
CNAG_02387R,CNAG_02387,69
CNAG_04086R,CNAG_04086,276
CNAG_05697R,CNAG_05697,220
CNAG_04507R,CNAG_04507,99
CNAG_04506R,CNAG_04506,249
CNAG_00068R,CNAG_00068,809
CNAG_00733R,CNAG_00733,265
CNAG_03910R,CNAG_03910,141
CNAG_04059R,CNAG_04059,89
CNAG_07491R,CNAG_07491,131
CNAG_05181R,CNAG_05181,645
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,287
CNAG_00445R,CNAG_00445,534
CNAG_01901R,CNAG_01901,537
CNAG_05313R,CNAG_05313,21
CNAG_05312R,CNAG_05312,154
CNAG_00442R,CNAG_00442,452
CNAG_01277R,CNAG_01277,248
CNAG_01230R,CNAG_01230,63
CNAG_05264R,CNAG_05264,1
