Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,423
CNAG_05387R,CNAG_05387,174
CNAG_05638R,CNAG_05638,336
CNAG_05639R,CNAG_05639,146
CNAG_06346R,CNAG_06346,314
CNAG_06347R,CNAG_06347,397
CNAG_06517R,CNAG_06517,548
CNAG_06201R,CNAG_06201,97
CNAG_06104R,CNAG_06104,191
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,119
CNAG_06241R,CNAG_06241,68
CNAG_06242R,CNAG_06242,42
CNAG_07911R,CNAG_07911,163
CNAG_01683R,CNAG_01683,226
CNAG_01680R,CNAG_01680,129
CNAG_01989R,CNAG_01989,138
CNAG_01965R,CNAG_01965,38
CNAG_01925R,CNAG_01925,183
CNAG_04837R,CNAG_04837,143
CNAG_04836R,CNAG_04836,161
CNAG_04875R,CNAG_04875,232
CNAG_04868R,CNAG_04868,24
CNAG_04518R,CNAG_04518,249
CNAG_04517R,CNAG_04517,349
CNAG_07770R,CNAG_07770,175
CNAG_03333R,CNAG_03333,367
CNAG_07742R,CNAG_07742,342
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,135
CNAG_03545R,CNAG_03545,2
CNAG_03566R,CNAG_03566,141
CNAG_05867R,CNAG_05867,102
CNAG_05684R,CNAG_05684,184
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,495
CNAG_02371R,CNAG_02371,107
CNAG_06719R,CNAG_06719,264
CNAG_03669R,CNAG_03669,168
CNAG_07332R,CNAG_07332,241
CNAG_00285R,CNAG_00285,205
CNAG_00830R,CNAG_00830,259
CNAG_00841R,CNAG_00841,172
CNAG_06531R,CNAG_06531,298
CNAG_03279R,CNAG_03279,211
CNAG_03336R,CNAG_03336,373
CNAG_06339R,CNAG_06339,212
CNAG_03768R,CNAG_03768,153
CNAG_04534R,CNAG_04534,482
CNAG_01973R,CNAG_01973,1375
CNAG_07867R,CNAG_07867,170
CNAG_05333R,CNAG_05333,155
CNAG_06425R,CNAG_06425,163
CNAG_03849R,CNAG_03849,218
CNAG_02603R,CNAG_02603,123
CNAG_02555R,CNAG_02555,526
CNAG_02525R,CNAG_02525,13
CNAG_03431R,CNAG_03431,103
CNAG_05049R,CNAG_05049,207
CNAG_03914R,CNAG_03914,133
CNAG_02476R,CNAG_02476,359
CNAG_07583R,CNAG_07583,335
CNAG_05112R,CNAG_05112,94
CNAG_03366R,CNAG_03366,322
CNAG_04090R,CNAG_04090,600
CNAG_00791R,CNAG_00791,170
CNAG_05375R,CNAG_05375,1152
CNAG_02516R,CNAG_02516,144
CNAG_04804R,CNAG_04804,300
CNAG_06203R,CNAG_06203,417
CNAG_01883R,CNAG_01883,46
CNAG_03401R,CNAG_03401,220
CNAG_02435R,CNAG_02435,332
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,291
CNAG_03700R,CNAG_03700,270
CNAG_05215R,CNAG_05215,185
CNAG_01438R,CNAG_01438,125
CNAG_07464R,CNAG_07464,25
CNAG_01858R,CNAG_01858,470
CNAG_04586R,CNAG_04586,4826
CNAG_05176R,CNAG_05176,306
CNAG_01014R,CNAG_01014,241
CNAG_01454R,CNAG_01454,445
CNAG_06327R,CNAG_06327,39
CNAG_03788R,CNAG_03788,296
CNAG_00871R,CNAG_00871,204
CNAG_00559R,CNAG_00559,18606
CNAG_07370R,CNAG_07370,274
CNAG_02589R,CNAG_02589,343
CNAG_01645R,CNAG_01645,270
CNAG_01242R,CNAG_01242,232
CNAG_02788R,CNAG_02788,10
CNAG_07435R,CNAG_07435,197
CNAG_07924R,CNAG_07924,139
CNAG_01071R,CNAG_01071,189
CNAG_00883R,CNAG_00883,793
CNAG_03741R,CNAG_03741,393
CNAG_03745R,CNAG_03745,169
CNAG_00192R,CNAG_00192,464
CNAG_00670R,CNAG_00670,144
CNAG_06871R,CNAG_06871,409
CNAG_04457R,CNAG_04457,290
CNAG_04588R,CNAG_04588,79
CNAG_03894R,CNAG_03894,214
CNAG_04012R,CNAG_04012,147
CNAG_01487R,CNAG_01487,426
CNAG_05170R,CNAG_05170,168
CNAG_02364R,CNAG_02364,161
CNAG_04093R,CNAG_04093,167
CNAG_02322R,CNAG_02322,248
CNAG_05255R,CNAG_05255,263
CNAG_03018R,CNAG_03018,181
CNAG_07901R,CNAG_07901,135
CNAG_03086R,CNAG_03086,292
CNAG_06097R,CNAG_06097,53
CNAG_03115R,CNAG_03115,1
CNAG_06136R,CNAG_06136,191
CNAG_03177R,CNAG_03177,97
CNAG_03183R,CNAG_03183,81
CNAG_04774R,CNAG_04774,610
CNAG_04768R,CNAG_04768,278
CNAG_06276R,CNAG_06276,130
CNAG_05222R,CNAG_05222,499
CNAG_03409R,CNAG_03409,50
CNAG_05622R,CNAG_05622,283
CNAG_04637R,CNAG_04637,48
CNAG_07680R,CNAG_07680,361
CNAG_02215R,CNAG_02215,215
CNAG_02387R,CNAG_02387,132
CNAG_04086R,CNAG_04086,420
CNAG_05697R,CNAG_05697,297
CNAG_04507R,CNAG_04507,139
CNAG_04506R,CNAG_04506,323
CNAG_00068R,CNAG_00068,1296
CNAG_00733R,CNAG_00733,315
CNAG_03910R,CNAG_03910,209
CNAG_04059R,CNAG_04059,134
CNAG_07491R,CNAG_07491,196
CNAG_05181R,CNAG_05181,693
CNAG_03772R,CNAG_03772,353
CNAG_00445R,CNAG_00445,814
CNAG_01901R,CNAG_01901,631
CNAG_05313R,CNAG_05313,10
CNAG_05312R,CNAG_05312,206
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,539
CNAG_01277R,CNAG_01277,224
CNAG_01230R,CNAG_01230,96
CNAG_05264R,CNAG_05264,1
CNAG_00547R,CNAG_00547,293
CNAG_00598R,CNAG_00598,182
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,406
CNAG_03013R,CNAG_03013,45
CNAG_07540R,CNAG_07540,232
CNAG_04980R,CNAG_04980,45
CNAG_00456R,CNAG_00456,214
CNAG_00455R,CNAG_00455,231
CNAG_00107R,CNAG_00107,175
CNAG_01061R,CNAG_01061,229
CNAG_01013R,CNAG_01013,42
CNAG_05079R,CNAG_05079,1
