Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,433
CNAG_05387R,CNAG_05387,479
CNAG_05638R,CNAG_05638,357
CNAG_05639R,CNAG_05639,283
CNAG_06346R,CNAG_06346,370
CNAG_06347R,CNAG_06347,370
CNAG_06517R,CNAG_06517,450
CNAG_06201R,CNAG_06201,257
CNAG_06104R,CNAG_06104,225
CNAG_07902R,CNAG_07902,425
CNAG_06241R,CNAG_06241,217
CNAG_06242R,CNAG_06242,344
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,404
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,409
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,86
CNAG_01680R,CNAG_01680,389
CNAG_01989R,CNAG_01989,265
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,82
CNAG_01925R,CNAG_01925,329
CNAG_04837R,CNAG_04837,378
CNAG_04836R,CNAG_04836,321
CNAG_04875R,CNAG_04875,256
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,86
CNAG_04753R,CNAG_04753,3
CNAG_04908R,CNAG_04908,1
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,364
CNAG_04517R,CNAG_04517,326
CNAG_07770R,CNAG_07770,415
CNAG_04271R,CNAG_04271,1
CNAG_03333R,CNAG_03333,435
CNAG_07742R,CNAG_07742,829
CNAG_03142R,CNAG_03142,351
CNAG_03566R,CNAG_03566,352
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,314
CNAG_05684R,CNAG_05684,335
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,269
CNAG_02371R,CNAG_02371,260
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,266
CNAG_03669R,CNAG_03669,215
CNAG_07332R,CNAG_07332,256
CNAG_00285R,CNAG_00285,345
CNAG_00830R,CNAG_00830,347
CNAG_00841R,CNAG_00841,445
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,722
CNAG_03279R,CNAG_03279,443
CNAG_03336R,CNAG_03336,531
CNAG_06339R,CNAG_06339,528
CNAG_03768R,CNAG_03768,396
CNAG_04534R,CNAG_04534,308
CNAG_01973R,CNAG_01973,216
CNAG_07867R,CNAG_07867,370
CNAG_05333R,CNAG_05333,454
CNAG_06425R,CNAG_06425,358
CNAG_03849R,CNAG_03849,308
CNAG_02603R,CNAG_02603,324
CNAG_02555R,CNAG_02555,459
CNAG_02525R,CNAG_02525,128
CNAG_03431R,CNAG_03431,63
CNAG_05049R,CNAG_05049,233
CNAG_03914R,CNAG_03914,42
CNAG_02476R,CNAG_02476,264
CNAG_07583R,CNAG_07583,378
CNAG_05112R,CNAG_05112,287
CNAG_03366R,CNAG_03366,484
CNAG_04090R,CNAG_04090,281
CNAG_00791R,CNAG_00791,337
CNAG_05375R,CNAG_05375,4751
CNAG_02516R,CNAG_02516,346
CNAG_04804R,CNAG_04804,5
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,247
CNAG_01883R,CNAG_01883,171
CNAG_03401R,CNAG_03401,339
CNAG_02435R,CNAG_02435,204
CNAG_05153R,CNAG_05153,28
CNAG_01708R,CNAG_01708,1090
CNAG_03700R,CNAG_03700,438
CNAG_05215R,CNAG_05215,316
CNAG_01438R,CNAG_01438,119
CNAG_07464R,CNAG_07464,65
CNAG_01858R,CNAG_01858,475
CNAG_04586R,CNAG_04586,535
CNAG_05176R,CNAG_05176,259
CNAG_01014R,CNAG_01014,142
CNAG_01454R,CNAG_01454,349
CNAG_06327R,CNAG_06327,14
CNAG_03788R,CNAG_03788,415
CNAG_00871R,CNAG_00871,428
CNAG_00559R,CNAG_00559,6065
CNAG_07370R,CNAG_07370,449
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,349
CNAG_01645R,CNAG_01645,953
CNAG_01242R,CNAG_01242,177
CNAG_02788R,CNAG_02788,97
CNAG_07435R,CNAG_07435,123
CNAG_07924R,CNAG_07924,1134
CNAG_01071R,CNAG_01071,355
CNAG_00883R,CNAG_00883,114
CNAG_03741R,CNAG_03741,307
CNAG_03745R,CNAG_03745,407
CNAG_00192R,CNAG_00192,414
CNAG_00670R,CNAG_00670,515
