Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,381
CNAG_05515L,CNAG_05515,530
CNAG_05641L,CNAG_05641,469
CNAG_05387L,CNAG_05387,520
CNAG_05590L,CNAG_05590,2458
CNAG_07869L,CNAG_07869,554
CNAG_05340L,CNAG_05340,209
CNAG_05638L,CNAG_05638,403
CNAG_05639L,CNAG_05639,311
CNAG_06346L,CNAG_06346,551
CNAG_06347L,CNAG_06347,418
CNAG_06517L,CNAG_06517,550
CNAG_07939L,CNAG_07939,479
CNAG_06493L,CNAG_06493,373
CNAG_06201L,CNAG_06201,475
CNAG_06104L,CNAG_06104,278
CNAG_06081L,CNAG_06081,417
CNAG_07902L,CNAG_07902,411
CNAG_06241L,CNAG_06241,279
CNAG_06242L,CNAG_06242,377
CNAG_06186L,CNAG_06186,1149
CNAG_07911L,CNAG_07911,594
CNAG_01551L,CNAG_01551,863
CNAG_01683L,CNAG_01683,435
CNAG_01983L,CNAG_01983,403
CNAG_01902L,CNAG_01902,40
CNAG_01680L,CNAG_01680,525
CNAG_01621L,CNAG_01621,463
CNAG_01988L,CNAG_01988,360
CNAG_01989L,CNAG_01989,511
CNAG_01939L,CNAG_01939,452
CNAG_01993L,CNAG_01993,419
CNAG_01992L,CNAG_01992,523
CNAG_01965L,CNAG_01965,458
CNAG_01562L,CNAG_01562,553
CNAG_01925L,CNAG_01925,512
CNAG_04756L,CNAG_04756,558
CNAG_04807L,CNAG_04807,520
CNAG_04837L,CNAG_04837,474
CNAG_04836L,CNAG_04836,462
CNAG_04737L,CNAG_04737,570
CNAG_04875L,CNAG_04875,282
CNAG_04874L,CNAG_04874,1067
CNAG_04868L,CNAG_04868,94
CNAG_04752L,CNAG_04752,275
CNAG_04753L,CNAG_04753,4131
CNAG_04909L,CNAG_04909,550
CNAG_04908L,CNAG_04908,668
CNAG_04659L,CNAG_04659,329
CNAG_04623L,CNAG_04623,324
CNAG_04518L,CNAG_04518,366
CNAG_04517L,CNAG_04517,466
CNAG_07770L,CNAG_07770,532
CNAG_04436L,CNAG_04436,244
CNAG_04271L,CNAG_04271,571
CNAG_04270L,CNAG_04270,278
CNAG_03346L,CNAG_03346,428
CNAG_03433L,CNAG_03433,459
CNAG_03333L,CNAG_03333,645
CNAG_07742L,CNAG_07742,1432
CNAG_03438L,CNAG_03438,55
CNAG_03223L,CNAG_03223,453
CNAG_03142L,CNAG_03142,374
CNAG_03143L,CNAG_03143,376
CNAG_03545L,CNAG_03545,557
CNAG_03161L,CNAG_03161,322
CNAG_03566L,CNAG_03566,343
CNAG_05835L,CNAG_05835,1169
CNAG_05864L,CNAG_05864,518
CNAG_06567L,CNAG_06567,505
CNAG_05742L,CNAG_05742,10
CNAG_05743L,CNAG_05743,167
CNAG_05867L,CNAG_05867,327
CNAG_05685L,CNAG_05685,1208
CNAG_05684L,CNAG_05684,406
CNAG_05785L,CNAG_05785,380
CNAG_06554L,CNAG_06554,387
CNAG_02189L,CNAG_02189,408
CNAG_02188L,CNAG_02188,511
CNAG_02182L,CNAG_02182,434
CNAG_07631L,CNAG_07631,595
CNAG_02371L,CNAG_02371,335
CNAG_07633L,CNAG_07633,438
CNAG_01069L,CNAG_01069,482
CNAG_00896L,CNAG_00896,1615
CNAG_06719L,CNAG_06719,162
CNAG_03669L,CNAG_03669,352
CNAG_00031L,CNAG_00031,453
CNAG_07332L,CNAG_07332,319
CNAG_00285L,CNAG_00285,508
CNAG_00828L,CNAG_00828,475
CNAG_00830L,CNAG_00830,395
CNAG_00841L,CNAG_00841,526
CNAG_02774L,CNAG_02774,339
CNAG_06531L,CNAG_06531,896
CNAG_03279L,CNAG_03279,508
CNAG_03336L,CNAG_03336,643
CNAG_06339L,CNAG_06339,566
CNAG_03768L,CNAG_03768,413
CNAG_04534L,CNAG_04534,421
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,467
CNAG_05333L,CNAG_05333,534
CNAG_06425L,CNAG_06425,372
CNAG_03849L,CNAG_03849,749
CNAG_02603L,CNAG_02603,452
CNAG_02555L,CNAG_02555,411
CNAG_03431L,CNAG_03431,113
CNAG_05049L,CNAG_05049,226
CNAG_05380L,CNAG_05380,265
CNAG_03914L,CNAG_03914,68
CNAG_02476L,CNAG_02476,377
CNAG_07583L,CNAG_07583,422
CNAG_02466L,CNAG_02466,405
CNAG_05112L,CNAG_05112,400
CNAG_03366L,CNAG_03366,622
CNAG_03977L,CNAG_03977,219
CNAG_04090L,CNAG_04090,372
CNAG_00791L,CNAG_00791,363
CNAG_06751L,CNAG_06751,177
CNAG_05375L,CNAG_05375,5118
CNAG_02516L,CNAG_02516,434
CNAG_04804L,CNAG_04804,4
CNAG_00627L,CNAG_00627,443
CNAG_07725L,CNAG_07725,512
CNAG_06203L,CNAG_06203,313
CNAG_00193L,CNAG_00193,3
CNAG_00514L,CNAG_00514,18
CNAG_01883L,CNAG_01883,320
CNAG_03401L,CNAG_03401,410
CNAG_02435L,CNAG_02435,293
CNAG_05153L,CNAG_05153,17
CNAG_01708L,CNAG_01708,1199
CNAG_03700L,CNAG_03700,530
CNAG_07320L,CNAG_07320,196
CNAG_05215L,CNAG_05215,449
CNAG_01438L,CNAG_01438,150
CNAG_07464L,CNAG_07464,135
CNAG_01858L,CNAG_01858,557
CNAG_04586L,CNAG_04586,647
CNAG_05093L,CNAG_05093,460
CNAG_05176L,CNAG_05176,446
CNAG_01014L,CNAG_01014,247
CNAG_00998L,CNAG_00998,515
CNAG_00039L,CNAG_00039,200
CNAG_07329L,CNAG_07329,27
CNAG_01454L,CNAG_01454,444
CNAG_02700L,CNAG_02700,56
CNAG_06327L,CNAG_06327,27
CNAG_03788L,CNAG_03788,463
CNAG_00871L,CNAG_00871,568
CNAG_00559L,CNAG_00559,8572
CNAG_07370L,CNAG_07370,625
CNAG_00732L,CNAG_00732,534
CNAG_04630L,CNAG_04630,148
CNAG_07940L,CNAG_07940,489
CNAG_02589L,CNAG_02589,447
CNAG_05067L,CNAG_05067,517
CNAG_01645L,CNAG_01645,1343
CNAG_06134L,CNAG_06134,3
CNAG_01242L,CNAG_01242,311
CNAG_02788L,CNAG_02788,121
CNAG_07435L,CNAG_07435,105
CNAG_03998L,CNAG_03998,233
CNAG_07924L,CNAG_07924,1275
CNAG_01071L,CNAG_01071,377
CNAG_00883L,CNAG_00883,147
CNAG_03741L,CNAG_03741,421
CNAG_03745L,CNAG_03745,604
CNAG_00192L,CNAG_00192,428
CNAG_00670L,CNAG_00670,462
CNAG_06871L,CNAG_06871,638
CNAG_04457L,CNAG_04457,428
CNAG_02723L,CNAG_02723,447
CNAG_04588L,CNAG_04588,135
CNAG_01977L,CNAG_01977,358
CNAG_03894L,CNAG_03894,541
CNAG_04012L,CNAG_04012,466
CNAG_03561L,CNAG_03561,347
CNAG_05170L,CNAG_05170,294
CNAG_04041L,CNAG_04041,98
CNAG_02364L,CNAG_02364,469
CNAG_04093L,CNAG_04093,575
CNAG_02322L,CNAG_02322,505
CNAG_04184L,CNAG_04184,461
CNAG_05255L,CNAG_05255,536
CNAG_05642L,CNAG_05642,287
CNAG_03059L,CNAG_03059,354
CNAG_03018L,CNAG_03018,444
CNAG_07901L,CNAG_07901,366
CNAG_03086L,CNAG_03086,592
CNAG_04916L,CNAG_04916,330
CNAG_06097L,CNAG_06097,4579
CNAG_03115L,CNAG_03115,431
CNAG_03132L,CNAG_03132,519
CNAG_04841L,CNAG_04841,486
CNAG_06136L,CNAG_06136,387
CNAG_03177L,CNAG_03177,1010
CNAG_03183L,CNAG_03183,194
CNAG_06188L,CNAG_06188,391
CNAG_02877L,CNAG_02877,281
CNAG_04359L,CNAG_04359,1284
CNAG_04774L,CNAG_04774,784
CNAG_04768L,CNAG_04768,333
CNAG_02066L,CNAG_02066,383
CNAG_07922L,CNAG_07922,450
CNAG_06276L,CNAG_06276,485
CNAG_05222L,CNAG_05222,490
CNAG_03409L,CNAG_03409,1045
CNAG_05622L,CNAG_05622,930
CNAG_04637L,CNAG_04637,326
CNAG_07680L,CNAG_07680,183
CNAG_02215L,CNAG_02215,49
CNAG_00564L,CNAG_00564,457
CNAG_02387L,CNAG_02387,607
CNAG_04086L,CNAG_04086,721
CNAG_05697L,CNAG_05697,635
CNAG_02697L,CNAG_02697,426
CNAG_06205L,CNAG_06205,407
CNAG_05372L,CNAG_05372,337
CNAG_04507L,CNAG_04507,458
CNAG_04506L,CNAG_04506,499
CNAG_00068L,CNAG_00068,4771
CNAG_05138L,CNAG_05138,102
CNAG_00733L,CNAG_00733,482
CNAG_03910L,CNAG_03910,508
CNAG_04059L,CNAG_04059,2306
CNAG_07491L,CNAG_07491,503
CNAG_05181L,CNAG_05181,255
CNAG_03915L,CNAG_03915,479
CNAG_03772L,CNAG_03772,469
CNAG_00445L,CNAG_00445,1009
CNAG_01901L,CNAG_01901,584
CNAG_05313L,CNAG_05313,17
CNAG_05312L,CNAG_05312,510
CNAG_03012L,CNAG_03012,335
CNAG_03011L,CNAG_03011,418
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,541
CNAG_02682L,CNAG_02682,444
CNAG_02683L,CNAG_02683,309
CNAG_00442L,CNAG_00442,522
CNAG_00183L,CNAG_00183,255
CNAG_07548L,CNAG_07548,2522
CNAG_01277L,CNAG_01277,731
CNAG_07512L,CNAG_07512,659
CNAG_01230L,CNAG_01230,150
CNAG_05264L,CNAG_05264,876
CNAG_05263L,CNAG_05263,433
CNAG_01681L,CNAG_01681,415
CNAG_01040L,CNAG_01040,245
CNAG_00179L,CNAG_00179,472
CNAG_00547L,CNAG_00547,461
CNAG_00598L,CNAG_00598,496
CNAG_05229L,CNAG_05229,407
CNAG_01138L,CNAG_01138,454
CNAG_00597L,CNAG_00597,431
CNAG_02797L,CNAG_02797,140
CNAG_02219L,CNAG_02219,417
CNAG_02220L,CNAG_02220,496
CNAG_00674L,CNAG_00674,690
CNAG_03013L,CNAG_03013,244
CNAG_07540L,CNAG_07540,328
CNAG_04981L,CNAG_04981,417
CNAG_04980L,CNAG_04980,118
CNAG_00456L,CNAG_00456,499
CNAG_00455L,CNAG_00455,560
CNAG_02152L,CNAG_02152,459
CNAG_00107L,CNAG_00107,418
CNAG_00106L,CNAG_00106,808
CNAG_01061L,CNAG_01061,627
CNAG_03847L,CNAG_03847,442
CNAG_03848L,CNAG_03848,434
CNAG_01013L,CNAG_01013,20
CNAG_02777L,CNAG_02777,543
CNAG_07523L,CNAG_07523,388
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,183
CNAG_00531L,CNAG_00531,513
CNAG_05159L,CNAG_05159,417
CNAG_05079L,CNAG_05079,654
CNAG_05080L,CNAG_05080,516
CNAG_04869L,CNAG_04869,466
CNAG_00164L,CNAG_00164,333
CNAG_04077L,CNAG_04077,467
CNAG_01082L,CNAG_01082,440
CNAG_04658L,CNAG_04658,492
CNAG_03727L,CNAG_03727,453
CNAG_03676L,CNAG_03676,510
CNAG_03677L,CNAG_03677,562
CNAG_03841L,CNAG_03841,56
CNAG_06761L,CNAG_06761,379
CNAG_06760L,CNAG_06760,383
CNAG_05076L,CNAG_05076,166
CNAG_05077L,CNAG_05077,130
CNAG_02553L,CNAG_02553,399
CNAG_02554L,CNAG_02554,3683
CNAG_00546L,CNAG_00546,482
CNAG_00702L,CNAG_00702,523
CNAG_00897L,CNAG_00897,281
CNAG_05148L,CNAG_05148,782
CNAG_05147L,CNAG_05147,577
CNAG_01126L,CNAG_01126,68
CNAG_00776L,CNAG_00776,21
CNAG_01446L,CNAG_01446,547
CNAG_04024L,CNAG_04024,582
CNAG_04025L,CNAG_04025,495
CNAG_02348L,CNAG_02348,786
CNAG_02347L,CNAG_02347,796
CNAG_00394L,CNAG_00394,153
CNAG_00393L,CNAG_00393,1140
CNAG_06555L,CNAG_06555,418
CNAG_01019L,CNAG_01019,47
CNAG_01803L,CNAG_01803,670
CNAG_00374L,CNAG_00374,373
CNAG_00654L,CNAG_00654,386
CNAG_07541L,CNAG_07541,368
CNAG_07542L,CNAG_07542,528
CNAG_00363L,CNAG_00363,187
CNAG_05915L,CNAG_05915,560
CNAG_05916L,CNAG_05916,418
