Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,427
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,460
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,345
CNAG_05639R,CNAG_05639,354
CNAG_06346R,CNAG_06346,448
CNAG_06347R,CNAG_06347,401
CNAG_06517R,CNAG_06517,603
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,267
CNAG_06104R,CNAG_06104,189
CNAG_07902R,CNAG_07902,392
CNAG_06241R,CNAG_06241,307
CNAG_06242R,CNAG_06242,443
CNAG_07911R,CNAG_07911,400
CNAG_01683R,CNAG_01683,427
CNAG_01902R,CNAG_01902,15
CNAG_01680R,CNAG_01680,359
CNAG_01989R,CNAG_01989,351
CNAG_01965R,CNAG_01965,53
CNAG_01925R,CNAG_01925,336
CNAG_04837R,CNAG_04837,397
CNAG_04836R,CNAG_04836,326
CNAG_04875R,CNAG_04875,117
CNAG_04868R,CNAG_04868,74
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,323
CNAG_04517R,CNAG_04517,357
CNAG_07770R,CNAG_07770,254
CNAG_04436R,CNAG_04436,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,435
CNAG_07742R,CNAG_07742,777
CNAG_03142R,CNAG_03142,246
CNAG_03566R,CNAG_03566,310
CNAG_05867R,CNAG_05867,289
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,245
CNAG_02189R,CNAG_02189,430
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,437
CNAG_06719R,CNAG_06719,319
CNAG_03669R,CNAG_03669,412
CNAG_07332R,CNAG_07332,237
CNAG_00285R,CNAG_00285,355
CNAG_00830R,CNAG_00830,388
CNAG_00841R,CNAG_00841,440
CNAG_06531R,CNAG_06531,742
CNAG_03279R,CNAG_03279,371
CNAG_03336R,CNAG_03336,615
CNAG_06339R,CNAG_06339,453
CNAG_03768R,CNAG_03768,431
CNAG_04534R,CNAG_04534,343
CNAG_01973R,CNAG_01973,370
CNAG_07867R,CNAG_07867,402
CNAG_05333R,CNAG_05333,458
CNAG_06425R,CNAG_06425,302
CNAG_03849R,CNAG_03849,419
CNAG_02603R,CNAG_02603,282
CNAG_02555R,CNAG_02555,554
CNAG_02525R,CNAG_02525,53
CNAG_03431R,CNAG_03431,328
CNAG_05049R,CNAG_05049,318
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,283
CNAG_02476R,CNAG_02476,334
CNAG_07583R,CNAG_07583,383
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,366
CNAG_03366R,CNAG_03366,528
CNAG_04090R,CNAG_04090,883
CNAG_00791R,CNAG_00791,422
CNAG_05375R,CNAG_05375,3736
CNAG_02516R,CNAG_02516,317
CNAG_04804R,CNAG_04804,14
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,333
CNAG_01883R,CNAG_01883,521
CNAG_03401R,CNAG_03401,343
CNAG_02435R,CNAG_02435,317
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,280
CNAG_03700R,CNAG_03700,467
CNAG_05215R,CNAG_05215,341
CNAG_01438R,CNAG_01438,247
CNAG_07464R,CNAG_07464,215
CNAG_01858R,CNAG_01858,526
CNAG_04586R,CNAG_04586,1479
CNAG_05176R,CNAG_05176,394
CNAG_01014R,CNAG_01014,239
CNAG_01454R,CNAG_01454,364
CNAG_06327R,CNAG_06327,149
CNAG_03788R,CNAG_03788,337
CNAG_00871R,CNAG_00871,454
CNAG_00559R,CNAG_00559,10478
CNAG_07370R,CNAG_07370,485
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,365
CNAG_01645R,CNAG_01645,930
CNAG_01242R,CNAG_01242,222
CNAG_02788R,CNAG_02788,45
CNAG_07435R,CNAG_07435,67
CNAG_07924R,CNAG_07924,167
CNAG_01071R,CNAG_01071,348
CNAG_00883R,CNAG_00883,413
CNAG_03741R,CNAG_03741,452
CNAG_03745R,CNAG_03745,366
CNAG_00192R,CNAG_00192,337
CNAG_00670R,CNAG_00670,450
CNAG_06871R,CNAG_06871,520
CNAG_04457R,CNAG_04457,380
CNAG_04588R,CNAG_04588,278
CNAG_03894R,CNAG_03894,446
CNAG_04012R,CNAG_04012,327
CNAG_01487R,CNAG_01487,460
CNAG_05170R,CNAG_05170,386
CNAG_02364R,CNAG_02364,445
CNAG_04093R,CNAG_04093,448
CNAG_02322R,CNAG_02322,358
CNAG_05255R,CNAG_05255,366
CNAG_03018R,CNAG_03018,311
CNAG_07901R,CNAG_07901,290
CNAG_03086R,CNAG_03086,361
