Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,121
CNAG_05515L,CNAG_05515,347
CNAG_05641L,CNAG_05641,271
CNAG_05387L,CNAG_05387,369
CNAG_05590L,CNAG_05590,1199
CNAG_07869L,CNAG_07869,392
CNAG_05340L,CNAG_05340,98
CNAG_05638L,CNAG_05638,339
CNAG_05639L,CNAG_05639,233
CNAG_06346L,CNAG_06346,329
CNAG_06347L,CNAG_06347,298
CNAG_06517L,CNAG_06517,458
CNAG_07939L,CNAG_07939,275
CNAG_06493L,CNAG_06493,216
CNAG_06201L,CNAG_06201,245
CNAG_06104L,CNAG_06104,202
CNAG_06081L,CNAG_06081,325
CNAG_07902L,CNAG_07902,261
CNAG_06241L,CNAG_06241,195
CNAG_06242L,CNAG_06242,285
CNAG_06186L,CNAG_06186,271
CNAG_07911L,CNAG_07911,269
CNAG_01551L,CNAG_01551,341
CNAG_01683L,CNAG_01683,273
CNAG_01983L,CNAG_01983,337
CNAG_01902L,CNAG_01902,15
CNAG_01680L,CNAG_01680,248
CNAG_01621L,CNAG_01621,286
CNAG_01988L,CNAG_01988,282
CNAG_01989L,CNAG_01989,336
CNAG_01939L,CNAG_01939,270
CNAG_01993L,CNAG_01993,248
CNAG_01992L,CNAG_01992,252
CNAG_01965L,CNAG_01965,253
CNAG_01562L,CNAG_01562,230
CNAG_01925L,CNAG_01925,277
CNAG_04756L,CNAG_04756,306
CNAG_04807L,CNAG_04807,305
CNAG_04837L,CNAG_04837,298
CNAG_04836L,CNAG_04836,248
CNAG_04737L,CNAG_04737,373
CNAG_04875L,CNAG_04875,56
CNAG_04874L,CNAG_04874,646
CNAG_04868L,CNAG_04868,57
CNAG_04752L,CNAG_04752,200
CNAG_04753L,CNAG_04753,1373
CNAG_04909L,CNAG_04909,326
CNAG_04908L,CNAG_04908,374
CNAG_04659L,CNAG_04659,184
CNAG_04623L,CNAG_04623,286
CNAG_04518L,CNAG_04518,234
CNAG_04517L,CNAG_04517,265
CNAG_07770L,CNAG_07770,184
CNAG_04436L,CNAG_04436,135
CNAG_04271L,CNAG_04271,241
CNAG_04270L,CNAG_04270,292
CNAG_03346L,CNAG_03346,339
CNAG_03433L,CNAG_03433,294
CNAG_03333L,CNAG_03333,353
CNAG_07742L,CNAG_07742,784
CNAG_03438L,CNAG_03438,257
CNAG_03223L,CNAG_03223,268
CNAG_03142L,CNAG_03142,242
CNAG_03143L,CNAG_03143,235
CNAG_03545L,CNAG_03545,319
CNAG_03161L,CNAG_03161,50
CNAG_03566L,CNAG_03566,205
CNAG_05835L,CNAG_05835,722
CNAG_05864L,CNAG_05864,168
CNAG_06567L,CNAG_06567,297
CNAG_05742L,CNAG_05742,4
CNAG_05743L,CNAG_05743,136
CNAG_05867L,CNAG_05867,221
CNAG_05685L,CNAG_05685,1014
CNAG_05684L,CNAG_05684,171
CNAG_05785L,CNAG_05785,213
CNAG_05843L,CNAG_05843,49
CNAG_06554L,CNAG_06554,331
CNAG_02189L,CNAG_02189,313
CNAG_02188L,CNAG_02188,279
CNAG_02182L,CNAG_02182,271
CNAG_07631L,CNAG_07631,245
CNAG_02371L,CNAG_02371,305
CNAG_07633L,CNAG_07633,273
CNAG_01069L,CNAG_01069,258
CNAG_00896L,CNAG_00896,895
CNAG_06719L,CNAG_06719,79
CNAG_03669L,CNAG_03669,281
CNAG_00031L,CNAG_00031,324
CNAG_07332L,CNAG_07332,233
CNAG_00285L,CNAG_00285,253
CNAG_00828L,CNAG_00828,266
CNAG_00830L,CNAG_00830,290
CNAG_00841L,CNAG_00841,276
CNAG_02774L,CNAG_02774,267
CNAG_06531L,CNAG_06531,573
CNAG_03279L,CNAG_03279,263
CNAG_03336L,CNAG_03336,518
CNAG_06339L,CNAG_06339,304
CNAG_03768L,CNAG_03768,329
CNAG_04534L,CNAG_04534,331
CNAG_07867L,CNAG_07867,278
CNAG_05333L,CNAG_05333,344
CNAG_06425L,CNAG_06425,213
CNAG_03849L,CNAG_03849,589
CNAG_02603L,CNAG_02603,253
CNAG_02555L,CNAG_02555,367
CNAG_03431L,CNAG_03431,211
CNAG_05049L,CNAG_05049,180
CNAG_05380L,CNAG_05380,328
CNAG_03914L,CNAG_03914,268
CNAG_02476L,CNAG_02476,289
CNAG_07583L,CNAG_07583,255
CNAG_02466L,CNAG_02466,258
CNAG_05112L,CNAG_05112,281
CNAG_03366L,CNAG_03366,359
CNAG_03977L,CNAG_03977,127
CNAG_04090L,CNAG_04090,624
CNAG_00791L,CNAG_00791,308
CNAG_06751L,CNAG_06751,165
CNAG_05375L,CNAG_05375,2400
CNAG_02516L,CNAG_02516,322
CNAG_04804L,CNAG_04804,4
CNAG_00627L,CNAG_00627,311
CNAG_07725L,CNAG_07725,310
CNAG_06203L,CNAG_06203,255
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,384
CNAG_03401L,CNAG_03401,313
CNAG_02435L,CNAG_02435,285
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,203
CNAG_03700L,CNAG_03700,361
CNAG_07320L,CNAG_07320,55
CNAG_05215L,CNAG_05215,304
