Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,106
CNAG_05515L,CNAG_05515,286
CNAG_05641L,CNAG_05641,241
CNAG_05387L,CNAG_05387,351
CNAG_05590L,CNAG_05590,297
CNAG_07869L,CNAG_07869,267
CNAG_05340L,CNAG_05340,552
CNAG_05638L,CNAG_05638,252
CNAG_05639L,CNAG_05639,211
CNAG_06346L,CNAG_06346,287
CNAG_06347L,CNAG_06347,264
CNAG_06517L,CNAG_06517,320
CNAG_07939L,CNAG_07939,287
CNAG_06493L,CNAG_06493,201
CNAG_06201L,CNAG_06201,234
CNAG_06104L,CNAG_06104,604
CNAG_06081L,CNAG_06081,270
CNAG_07902L,CNAG_07902,218
CNAG_06241L,CNAG_06241,5
CNAG_06242L,CNAG_06242,8
CNAG_06186L,CNAG_06186,319
CNAG_07911L,CNAG_07911,249
CNAG_01551L,CNAG_01551,638
CNAG_01683L,CNAG_01683,197
CNAG_01983L,CNAG_01983,189
CNAG_01902L,CNAG_01902,5
CNAG_01680L,CNAG_01680,249
CNAG_01621L,CNAG_01621,188
CNAG_01988L,CNAG_01988,193
CNAG_01989L,CNAG_01989,219
CNAG_01939L,CNAG_01939,235
CNAG_01993L,CNAG_01993,221
CNAG_01992L,CNAG_01992,227
CNAG_01965L,CNAG_01965,265
CNAG_01562L,CNAG_01562,205
CNAG_01925L,CNAG_01925,230
CNAG_04756L,CNAG_04756,297
CNAG_04807L,CNAG_04807,349
CNAG_04837L,CNAG_04837,255
CNAG_04836L,CNAG_04836,199
CNAG_04737L,CNAG_04737,356
CNAG_04875L,CNAG_04875,381
CNAG_04874L,CNAG_04874,623
CNAG_04868L,CNAG_04868,73
CNAG_04752L,CNAG_04752,234
CNAG_04753L,CNAG_04753,2284
CNAG_04909L,CNAG_04909,234
CNAG_04908L,CNAG_04908,226
CNAG_04659L,CNAG_04659,232
CNAG_04623L,CNAG_04623,261
CNAG_04518L,CNAG_04518,229
CNAG_04517L,CNAG_04517,234
CNAG_07770L,CNAG_07770,160
CNAG_04436L,CNAG_04436,242
CNAG_04271L,CNAG_04271,247
CNAG_04270L,CNAG_04270,151
CNAG_03346L,CNAG_03346,346
CNAG_03433L,CNAG_03433,259
CNAG_03333L,CNAG_03333,317
CNAG_07742L,CNAG_07742,643
CNAG_03438L,CNAG_03438,240
CNAG_03223L,CNAG_03223,122
CNAG_03142L,CNAG_03142,190
CNAG_03143L,CNAG_03143,186
CNAG_03545L,CNAG_03545,305
CNAG_03161L,CNAG_03161,53
CNAG_03566L,CNAG_03566,218
CNAG_05835L,CNAG_05835,42
CNAG_05864L,CNAG_05864,129
CNAG_06567L,CNAG_06567,309
CNAG_05742L,CNAG_05742,10
CNAG_05743L,CNAG_05743,113
CNAG_05867L,CNAG_05867,186
CNAG_05685L,CNAG_05685,612
CNAG_05684L,CNAG_05684,148
CNAG_05785L,CNAG_05785,227
CNAG_05843L,CNAG_05843,33
CNAG_06554L,CNAG_06554,236
CNAG_02189L,CNAG_02189,197
CNAG_02188L,CNAG_02188,254
CNAG_02182L,CNAG_02182,226
CNAG_07631L,CNAG_07631,325
CNAG_02371L,CNAG_02371,222
CNAG_07633L,CNAG_07633,183
CNAG_01069L,CNAG_01069,238
CNAG_00896L,CNAG_00896,857
CNAG_06719L,CNAG_06719,74
CNAG_03669L,CNAG_03669,187
CNAG_00031L,CNAG_00031,248
CNAG_07332L,CNAG_07332,183
CNAG_00285L,CNAG_00285,249
CNAG_00828L,CNAG_00828,280
CNAG_00830L,CNAG_00830,253
CNAG_00841L,CNAG_00841,229
CNAG_02774L,CNAG_02774,229
CNAG_06531L,CNAG_06531,376
CNAG_03279L,CNAG_03279,223
CNAG_03336L,CNAG_03336,274
CNAG_06339L,CNAG_06339,256
CNAG_03768L,CNAG_03768,282
CNAG_04534L,CNAG_04534,278
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,199
CNAG_05333L,CNAG_05333,235
CNAG_06425L,CNAG_06425,123
CNAG_03849L,CNAG_03849,552
CNAG_02603L,CNAG_02603,248
CNAG_02555L,CNAG_02555,241
CNAG_03431L,CNAG_03431,128
CNAG_05049L,CNAG_05049,154
CNAG_05380L,CNAG_05380,389
CNAG_03914L,CNAG_03914,281
CNAG_02476L,CNAG_02476,250
CNAG_07583L,CNAG_07583,190
CNAG_02466L,CNAG_02466,212
CNAG_05112L,CNAG_05112,259
CNAG_03366L,CNAG_03366,328
CNAG_03977L,CNAG_03977,92
CNAG_04090L,CNAG_04090,504
CNAG_00791L,CNAG_00791,177
CNAG_06751L,CNAG_06751,44
CNAG_05375L,CNAG_05375,3435
CNAG_02516L,CNAG_02516,253
CNAG_04804L,CNAG_04804,13
CNAG_00627L,CNAG_00627,257
CNAG_07725L,CNAG_07725,291
CNAG_06203L,CNAG_06203,234
CNAG_00193L,CNAG_00193,4
CNAG_00514L,CNAG_00514,8
CNAG_01883L,CNAG_01883,243
CNAG_03401L,CNAG_03401,185
CNAG_02435L,CNAG_02435,55
CNAG_05153L,CNAG_05153,17
CNAG_01708L,CNAG_01708,232
CNAG_03700L,CNAG_03700,278
CNAG_07320L,CNAG_07320,78
CNAG_05215L,CNAG_05215,210
CNAG_01438L,CNAG_01438,249
CNAG_07464L,CNAG_07464,300
CNAG_01858L,CNAG_01858,329
CNAG_04586L,CNAG_04586,94
CNAG_05093L,CNAG_05093,241
CNAG_05176L,CNAG_05176,268
CNAG_01014L,CNAG_01014,100
CNAG_00998L,CNAG_00998,207
CNAG_00039L,CNAG_00039,173
CNAG_07329L,CNAG_07329,42
CNAG_01454L,CNAG_01454,317
CNAG_02700L,CNAG_02700,20
CNAG_06327L,CNAG_06327,101
CNAG_03788L,CNAG_03788,259
CNAG_00871L,CNAG_00871,214
CNAG_00239L,CNAG_00239,1
CNAG_00559L,CNAG_00559,12088
CNAG_07370L,CNAG_07370,298
CNAG_00732L,CNAG_00732,440
CNAG_04630L,CNAG_04630,280
CNAG_07940L,CNAG_07940,185
CNAG_02589L,CNAG_02589,242
CNAG_05067L,CNAG_05067,300
CNAG_01645L,CNAG_01645,611
CNAG_06134L,CNAG_06134,6
CNAG_01242L,CNAG_01242,23
CNAG_02788L,CNAG_02788,77
CNAG_07435L,CNAG_07435,29
CNAG_03998L,CNAG_03998,405
CNAG_07924L,CNAG_07924,571
CNAG_01071L,CNAG_01071,222
CNAG_00883L,CNAG_00883,316
CNAG_03741L,CNAG_03741,223
CNAG_03745L,CNAG_03745,266
CNAG_00192L,CNAG_00192,270
CNAG_00670L,CNAG_00670,257
CNAG_06871L,CNAG_06871,350
CNAG_04457L,CNAG_04457,278
CNAG_02723L,CNAG_02723,217
CNAG_04588L,CNAG_04588,111
CNAG_01977L,CNAG_01977,237
CNAG_03894L,CNAG_03894,255
CNAG_04012L,CNAG_04012,264
CNAG_03561L,CNAG_03561,179
CNAG_05170L,CNAG_05170,234
CNAG_04041L,CNAG_04041,57
CNAG_02364L,CNAG_02364,276
CNAG_04093L,CNAG_04093,241
CNAG_02322L,CNAG_02322,679
CNAG_04184L,CNAG_04184,223
CNAG_05255L,CNAG_05255,250
CNAG_05642L,CNAG_05642,131
CNAG_03059L,CNAG_03059,218
CNAG_03018L,CNAG_03018,240
CNAG_07901L,CNAG_07901,205
CNAG_03086L,CNAG_03086,183
CNAG_04916L,CNAG_04916,203
CNAG_06097L,CNAG_06097,324
CNAG_03115L,CNAG_03115,197
CNAG_03132L,CNAG_03132,309
CNAG_04841L,CNAG_04841,254
CNAG_06136L,CNAG_06136,270
CNAG_03177L,CNAG_03177,536
CNAG_03183L,CNAG_03183,71
CNAG_06188L,CNAG_06188,227
CNAG_02877L,CNAG_02877,147
