Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,429
CNAG_05387R,CNAG_05387,400
CNAG_05638R,CNAG_05638,284
CNAG_05639R,CNAG_05639,286
CNAG_06346R,CNAG_06346,329
CNAG_06347R,CNAG_06347,273
CNAG_06517R,CNAG_06517,353
CNAG_06201R,CNAG_06201,251
CNAG_06104R,CNAG_06104,468
CNAG_07902R,CNAG_07902,340
CNAG_06241R,CNAG_06241,14
CNAG_06242R,CNAG_06242,7
CNAG_07911R,CNAG_07911,254
CNAG_01683R,CNAG_01683,287
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,265
CNAG_01989R,CNAG_01989,189
CNAG_01965R,CNAG_01965,221
CNAG_01925R,CNAG_01925,251
CNAG_04837R,CNAG_04837,298
CNAG_04836R,CNAG_04836,256
CNAG_04875R,CNAG_04875,316
CNAG_04868R,CNAG_04868,106
CNAG_04659R,CNAG_04659,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,242
CNAG_04517R,CNAG_04517,316
CNAG_07770R,CNAG_07770,229
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,387
CNAG_07742R,CNAG_07742,540
CNAG_03142R,CNAG_03142,272
CNAG_03545R,CNAG_03545,2
CNAG_03566R,CNAG_03566,249
CNAG_05867R,CNAG_05867,183
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,162
CNAG_02189R,CNAG_02189,264
CNAG_02371R,CNAG_02371,245
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,225
CNAG_03669R,CNAG_03669,196
CNAG_07332R,CNAG_07332,190
CNAG_00285R,CNAG_00285,282
CNAG_00830R,CNAG_00830,248
CNAG_00841R,CNAG_00841,288
CNAG_06531R,CNAG_06531,460
CNAG_03279R,CNAG_03279,281
CNAG_03336R,CNAG_03336,415
CNAG_06339R,CNAG_06339,335
CNAG_03768R,CNAG_03768,334
CNAG_04534R,CNAG_04534,324
CNAG_01973R,CNAG_01973,370
CNAG_07867R,CNAG_07867,226
CNAG_05333R,CNAG_05333,326
