Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,354
CNAG_05387R,CNAG_05387,353
CNAG_05638R,CNAG_05638,222
CNAG_05639R,CNAG_05639,218
CNAG_06346R,CNAG_06346,305
CNAG_06347R,CNAG_06347,256
CNAG_06517R,CNAG_06517,382
CNAG_06201R,CNAG_06201,212
CNAG_06104R,CNAG_06104,441
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,313
CNAG_06241R,CNAG_06241,4
CNAG_06242R,CNAG_06242,4
CNAG_07911R,CNAG_07911,251
CNAG_01683R,CNAG_01683,250
CNAG_01902R,CNAG_01902,12
CNAG_01680R,CNAG_01680,241
CNAG_01989R,CNAG_01989,178
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,172
CNAG_01925R,CNAG_01925,264
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,259
CNAG_04836R,CNAG_04836,246
CNAG_04875R,CNAG_04875,262
CNAG_04868R,CNAG_04868,67
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,259
CNAG_04517R,CNAG_04517,270
CNAG_07770R,CNAG_07770,235
CNAG_03333R,CNAG_03333,392
CNAG_07742R,CNAG_07742,505
CNAG_03142R,CNAG_03142,208
CNAG_03566R,CNAG_03566,289
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,140
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,168
CNAG_02189R,CNAG_02189,222
CNAG_02371R,CNAG_02371,266
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,190
CNAG_03669R,CNAG_03669,171
CNAG_07332R,CNAG_07332,164
CNAG_00285R,CNAG_00285,244
CNAG_00830R,CNAG_00830,288
CNAG_00841R,CNAG_00841,254
CNAG_06531R,CNAG_06531,408
CNAG_03279R,CNAG_03279,291
CNAG_03336R,CNAG_03336,333
CNAG_06339R,CNAG_06339,346
CNAG_03768R,CNAG_03768,272
CNAG_04534R,CNAG_04534,241
CNAG_01973R,CNAG_01973,275
CNAG_07867R,CNAG_07867,249
CNAG_05333R,CNAG_05333,267
CNAG_06425R,CNAG_06425,158
CNAG_03849R,CNAG_03849,355
CNAG_02603R,CNAG_02603,204
CNAG_02555R,CNAG_02555,349
CNAG_02525R,CNAG_02525,69
CNAG_03431R,CNAG_03431,184
CNAG_05049R,CNAG_05049,193
CNAG_03914R,CNAG_03914,374
CNAG_02476R,CNAG_02476,206
CNAG_07583R,CNAG_07583,206
CNAG_05112R,CNAG_05112,228
CNAG_03366R,CNAG_03366,309
CNAG_04090R,CNAG_04090,484
CNAG_00791R,CNAG_00791,241
CNAG_05375R,CNAG_05375,3745
CNAG_02516R,CNAG_02516,220
CNAG_04804R,CNAG_04804,10
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,288
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,338
CNAG_03401R,CNAG_03401,229
CNAG_02435R,CNAG_02435,71
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,199
CNAG_03700R,CNAG_03700,278
CNAG_05215R,CNAG_05215,249
CNAG_01438R,CNAG_01438,328
CNAG_07464R,CNAG_07464,562
CNAG_01858R,CNAG_01858,362
CNAG_04586R,CNAG_04586,101
CNAG_05176R,CNAG_05176,257
CNAG_01014R,CNAG_01014,165
CNAG_01454R,CNAG_01454,331
CNAG_06327R,CNAG_06327,71
CNAG_03788R,CNAG_03788,325
CNAG_00871R,CNAG_00871,234
CNAG_00559R,CNAG_00559,11829
CNAG_07370R,CNAG_07370,281
CNAG_02589R,CNAG_02589,263
CNAG_01645R,CNAG_01645,703
CNAG_01242R,CNAG_01242,14
CNAG_02788R,CNAG_02788,36
CNAG_07435R,CNAG_07435,25
CNAG_07924R,CNAG_07924,416
CNAG_01071R,CNAG_01071,217
CNAG_00883R,CNAG_00883,226
CNAG_03741R,CNAG_03741,237
CNAG_03745R,CNAG_03745,259
CNAG_00192R,CNAG_00192,288
CNAG_00670R,CNAG_00670,275
CNAG_06871R,CNAG_06871,293
CNAG_04457R,CNAG_04457,313
CNAG_04588R,CNAG_04588,123
CNAG_03894R,CNAG_03894,315
CNAG_04012R,CNAG_04012,278
CNAG_01487R,CNAG_01487,295
CNAG_05170R,CNAG_05170,235
CNAG_02364R,CNAG_02364,270
CNAG_04093R,CNAG_04093,304
CNAG_02322R,CNAG_02322,475
CNAG_05255R,CNAG_05255,249
CNAG_03018R,CNAG_03018,231
CNAG_07901R,CNAG_07901,211
CNAG_03086R,CNAG_03086,230
CNAG_06097R,CNAG_06097,224
CNAG_06136R,CNAG_06136,241
CNAG_03177R,CNAG_03177,346
CNAG_03183R,CNAG_03183,70
CNAG_04774R,CNAG_04774,419
CNAG_04768R,CNAG_04768,336
CNAG_06276R,CNAG_06276,204
CNAG_05222R,CNAG_05222,38
CNAG_03409R,CNAG_03409,113
CNAG_05622R,CNAG_05622,325
CNAG_04637R,CNAG_04637,242
CNAG_07680R,CNAG_07680,40
CNAG_02215R,CNAG_02215,36
CNAG_02387R,CNAG_02387,532
CNAG_04086R,CNAG_04086,360
CNAG_05697R,CNAG_05697,537
CNAG_05372R,CNAG_05372,1
CNAG_04507R,CNAG_04507,254
CNAG_04506R,CNAG_04506,261
CNAG_00068R,CNAG_00068,405
CNAG_00733R,CNAG_00733,257
CNAG_03910R,CNAG_03910,286
CNAG_04059R,CNAG_04059,194
CNAG_07491R,CNAG_07491,296
CNAG_05181R,CNAG_05181,72
CNAG_03772R,CNAG_03772,274
CNAG_00445R,CNAG_00445,733
CNAG_01901R,CNAG_01901,400
CNAG_05313R,CNAG_05313,234
CNAG_05312R,CNAG_05312,285
CNAG_03011R,CNAG_03011,1
CNAG_00442R,CNAG_00442,340
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,327
CNAG_01230R,CNAG_01230,211
CNAG_00547R,CNAG_00547,211
CNAG_00598R,CNAG_00598,271
CNAG_02219R,CNAG_02219,367
CNAG_03013R,CNAG_03013,8
CNAG_07540R,CNAG_07540,1285
CNAG_04980R,CNAG_04980,32
CNAG_00456R,CNAG_00456,262
CNAG_00455R,CNAG_00455,312
CNAG_00107R,CNAG_00107,212
CNAG_01061R,CNAG_01061,292
CNAG_01013R,CNAG_01013,23
CNAG_05080R,CNAG_05080,253
CNAG_00164R,CNAG_00164,278
CNAG_03677R,CNAG_03677,337
CNAG_05077R,CNAG_05077,327
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,135
CNAG_04024R,CNAG_04024,288
CNAG_04025R,CNAG_04025,293
CNAG_01019R,CNAG_01019,42
CNAG_01803R,CNAG_01803,315
CNAG_07541R,CNAG_07541,282
CNAG_07542R,CNAG_07542,313
CNAG_05915R,CNAG_05915,238
CNAG_00917R,CNAG_00917,983
CNAG_00919R,CNAG_00919,258
CNAG_05458R,CNAG_05458,432
CNAG_05459R,CNAG_05459,356
CNAG_01985R,CNAG_01985,178
CNAG_00740R,CNAG_00740,192
CNAG_04163R,CNAG_04163,251
CNAG_04162R,CNAG_04162,132
CNAG_04755R,CNAG_04755,679
CNAG_01777R,CNAG_01777,257
CNAG_03173R,CNAG_03173,327
CNAG_03172R,CNAG_03172,286
CNAG_07388R,CNAG_07388,243
CNAG_07389R,CNAG_07389,304
CNAG_06060R,CNAG_06060,248
CNAG_00581R,CNAG_00581,136
CNAG_02045R,CNAG_02045,363
CNAG_04950R,CNAG_04950,238
CNAG_04949R,CNAG_04949,248
CNAG_01865R,CNAG_01865,271
CNAG_00717R,CNAG_00717,185
CNAG_06896R,CNAG_06896,578
CNAG_05812R,CNAG_05812,229
CNAG_06658R,CNAG_06658,241
CNAG_05994R,CNAG_05994,230
CNAG_02517R,CNAG_02517,314
CNAG_03329R,CNAG_03329,234
CNAG_04471R,CNAG_04471,287
CNAG_00699R,CNAG_00699,238
CNAG_02129R,CNAG_02129,367
CNAG_05352R,CNAG_05352,171
CNAG_02293R,CNAG_02293,1
CNAG_01523R,CNAG_01523,1
CNAG_07486R,CNAG_07486,239
CNAG_00710R,CNAG_00710,205
CNAG_00709R,CNAG_00709,326
CNAG_04186R,CNAG_04186,1
CNAG_03689R,CNAG_03689,274
CNAG_01704R,CNAG_01704,333
CNAG_07827R,CNAG_07827,204
CNAG_07516R,CNAG_07516,196
CNAG_00156R,CNAG_00156,1
CNAG_00157R,CNAG_00157,185
CNAG_01776R,CNAG_01776,269
CNAG_07605R,CNAG_07605,184
CNAG_01846R,CNAG_01846,215
CNAG_00799R,CNAG_00799,99
CNAG_04657R,CNAG_04657,238
CNAG_04385R,CNAG_04385,253
CNAG_04386R,CNAG_04386,257
CNAG_07847R,CNAG_07847,273
CNAG_02226R,CNAG_02226,231
CNAG_02225R,CNAG_02225,199
CNAG_04860R,CNAG_04860,289
CNAG_01105R,CNAG_01105,408
CNAG_03524R,CNAG_03524,241
CNAG_03733R,CNAG_03733,253
CNAG_03732R,CNAG_03732,304
CNAG_03247R,CNAG_03247,241
CNAG_03193R,CNAG_03193,205
CNAG_03194R,CNAG_03194,265
CNAG_06574R,CNAG_06574,224
CNAG_04663R,CNAG_04663,191
CNAG_02944R,CNAG_02944,230
CNAG_05872R,CNAG_05872,180
CNAG_02775R,CNAG_02775,14
CNAG_07498R,CNAG_07498,345
CNAG_00475R,CNAG_00475,5315
CNAG_06501R,CNAG_06501,222
CNAG_06502R,CNAG_06502,282
CNAG_00587R,CNAG_00587,333
CNAG_04691R,CNAG_04691,291
CNAG_05522R,CNAG_05522,309
CNAG_01930R,CNAG_01930,256
CNAG_04983R,CNAG_04983,1
CNAG_03002R,CNAG_03002,323
CNAG_01448R,CNAG_01448,251
CNAG_07685R,CNAG_07685,241
CNAG_03902R,CNAG_03902,63
CNAG_02010R,CNAG_02010,3160
CNAG_01642R,CNAG_01642,363
CNAG_04705R,CNAG_04705,405
CNAG_01420R,CNAG_01420,229
CNAG_07519R,CNAG_07519,483
CNAG_06240R,CNAG_06240,231
CNAG_00777R,CNAG_00777,319
CNAG_01118R,CNAG_01118,310
CNAG_03867R,CNAG_03867,1
CNAG_03866R,CNAG_03866,296
CNAG_06595R,CNAG_06595,251
CNAG_00519R,CNAG_00519,6
CNAG_01524R,CNAG_01524,273
CNAG_04594R,CNAG_04594,259
CNAG_06993R,CNAG_06993,1
CNAG_02588R,CNAG_02588,368
CNAG_06905R,CNAG_06905,309
CNAG_06904R,CNAG_06904,189
CNAG_02288R,CNAG_02288,225
CNAG_01970R,CNAG_01970,1
CNAG_07752R,CNAG_07752,292
CNAG_04587R,CNAG_04587,224
CNAG_02692R,CNAG_02692,235
CNAG_02776R,CNAG_02776,482
CNAG_04885R,CNAG_04885,246
CNAG_06662R,CNAG_06662,208
CNAG_02165R,CNAG_02165,293
CNAG_02071R,CNAG_02071,233
CNAG_02070R,CNAG_02070,209
CNAG_02684R,CNAG_02684,279
CNAG_05420R,CNAG_05420,11
CNAG_05939R,CNAG_05939,525
CNAG_00765R,CNAG_00765,250
CNAG_00745R,CNAG_00745,41
CNAG_00744R,CNAG_00744,345
CNAG_00162R,CNAG_00162,248
CNAG_02658R,CNAG_02658,136
CNAG_06401R,CNAG_06401,1694
CNAG_01960R,CNAG_01960,180
CNAG_01961R,CNAG_01961,1043
CNAG_02930R,CNAG_02930,200
CNAG_01238R,CNAG_01238,12
CNAG_01239R,CNAG_01239,194
CNAG_00332R,CNAG_00332,188
CNAG_00333R,CNAG_00333,185
CNAG_05663R,CNAG_05663,106
CNAG_05664R,CNAG_05664,219
CNAG_01574R,CNAG_01574,791
CNAG_01573R,CNAG_01573,201
CNAG_06963R,CNAG_06963,207
CNAG_03719R,CNAG_03719,218
CNAG_02041R,CNAG_02041,179
CNAG_06889R,CNAG_06889,248
CNAG_04141R,CNAG_04141,311
CNAG_07415R,CNAG_07415,164
CNAG_05586R,CNAG_05586,314
CNAG_05686R,CNAG_05686,237
CNAG_00400R,CNAG_00400,344
CNAG_04213R,CNAG_04213,439
CNAG_04736R,CNAG_04736,307
CNAG_04735R,CNAG_04735,280
CNAG_05392R,CNAG_05392,172
CNAG_05393R,CNAG_05393,248
CNAG_06034R,CNAG_06034,272
CNAG_05250R,CNAG_05250,262
CNAG_01773R,CNAG_01773,161
CNAG_01232R,CNAG_01232,3
CNAG_01577R,CNAG_01577,2
CNAG_01578R,CNAG_01578,65
CNAG_01601R,CNAG_01601,79
CNAG_04963R,CNAG_04963,279
CNAG_04962R,CNAG_04962,266
CNAG_01231R,CNAG_01231,217
CNAG_06835R,CNAG_06835,207
CNAG_06836R,CNAG_06836,303
CNAG_06389R,CNAG_06389,317
CNAG_05640R,CNAG_05640,622
CNAG_01558R,CNAG_01558,290
CNAG_00903R,CNAG_00903,65
CNAG_06583R,CNAG_06583,181
CNAG_06428R,CNAG_06428,242
CNAG_06427R,CNAG_06427,205
CNAG_07745R,CNAG_07745,229
CNAG_03369R,CNAG_03369,170
CNAG_00130R,CNAG_00130,771
CNAG_00457R,CNAG_00457,381
CNAG_04730R,CNAG_04730,529
CNAG_03116R,CNAG_03116,121
CNAG_04622R,CNAG_04622,258
CNAG_04449R,CNAG_04449,257
CNAG_03874R,CNAG_03874,166
CNAG_03873R,CNAG_03873,379
CNAG_02475R,CNAG_02475,197
CNAG_00070R,CNAG_00070,222
CNAG_04862R,CNAG_04862,326
CNAG_02527R,CNAG_02527,351
CNAG_00194R,CNAG_00194,504
CNAG_03498R,CNAG_03498,99
CNAG_03426R,CNAG_03426,230
CNAG_00077R,CNAG_00077,29
CNAG_02965R,CNAG_02965,322
CNAG_01041R,CNAG_01041,1
CNAG_04546R,CNAG_04546,275
CNAG_04523R,CNAG_04523,199
CNAG_04522R,CNAG_04522,278
CNAG_07444R,CNAG_07444,204
CNAG_06576R,CNAG_06576,291
CNAG_03836R,CNAG_03836,311
CNAG_03400R,CNAG_03400,306
CNAG_02255R,CNAG_02255,243
CNAG_05075R,CNAG_05075,494
CNAG_02550R,CNAG_02550,274
CNAG_02551R,CNAG_02551,261
CNAG_01995R,CNAG_01995,300
CNAG_01994R,CNAG_01994,311
CNAG_06277R,CNAG_06277,63
CNAG_07697R,CNAG_07697,232
CNAG_03140R,CNAG_03140,201
CNAG_00011R,CNAG_00011,417
CNAG_04655R,CNAG_04655,288
CNAG_05934R,CNAG_05934,277
CNAG_02264R,CNAG_02264,324
CNAG_00189R,CNAG_00189,205
CNAG_00188R,CNAG_00188,264
CNAG_07873R,CNAG_07873,15
CNAG_05369R,CNAG_05369,259
CNAG_00864R,CNAG_00864,317
CNAG_05119R,CNAG_05119,250
CNAG_00407R,CNAG_00407,176
CNAG_05813R,CNAG_05813,24
CNAG_06310R,CNAG_06310,292
CNAG_02510R,CNAG_02510,208
CNAG_04953R,CNAG_04953,1
CNAG_00122R,CNAG_00122,455
CNAG_01744R,CNAG_01744,11
CNAG_04104R,CNAG_04104,263
CNAG_04103R,CNAG_04103,327
CNAG_04015R,CNAG_04015,298
CNAG_00796R,CNAG_00796,245
CNAG_04283R,CNAG_04283,27
CNAG_00398R,CNAG_00398,182
CNAG_03382R,CNAG_03382,1
CNAG_01742R,CNAG_01742,221
CNAG_05453R,CNAG_05453,228
CNAG_05053R,CNAG_05053,337
CNAG_01753R,CNAG_01753,266
CNAG_01604R,CNAG_01604,13
CNAG_01605R,CNAG_01605,260
CNAG_00074R,CNAG_00074,267
CNAG_04415R,CNAG_04415,278
CNAG_04416R,CNAG_04416,240
CNAG_00539R,CNAG_00539,128
CNAG_04028R,CNAG_04028,179
CNAG_05539R,CNAG_05539,392
CNAG_02297R,CNAG_02297,271
CNAG_00066R,CNAG_00066,137
CNAG_06082R,CNAG_06082,247
CNAG_00594R,CNAG_00594,340
CNAG_00235R,CNAG_00235,161
CNAG_06453R,CNAG_06453,297
CNAG_03019R,CNAG_03019,263
CNAG_05446R,CNAG_05446,71
CNAG_04907R,CNAG_04907,216
CNAG_00865R,CNAG_00865,359
CNAG_05817R,CNAG_05817,1
CNAG_06323R,CNAG_06323,348
CNAG_01686R,CNAG_01686,234
CNAG_06902R,CNAG_06902,2
CNAG_02338R,CNAG_02338,1
CNAG_02118R,CNAG_02118,223
CNAG_01283R,CNAG_01283,366
CNAG_04877R,CNAG_04877,209
CNAG_07779R,CNAG_07779,260
CNAG_07941R,CNAG_07941,259
CNAG_07641R,CNAG_07641,351
CNAG_03113R,CNAG_03113,218
CNAG_07690R,CNAG_07690,311
CNAG_05632R,CNAG_05632,1
CNAG_02030R,CNAG_02030,250
CNAG_07830R,CNAG_07830,152
CNAG_04323R,CNAG_04323,597
CNAG_04324R,CNAG_04324,226
CNAG_03384R,CNAG_03384,206
CNAG_03355R,CNAG_03355,1
CNAG_04520R,CNAG_04520,233
CNAG_03668R,CNAG_03668,1
CNAG_07402R,CNAG_07402,672
