Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,124
CNAG_05515L,CNAG_05515,388
CNAG_05641L,CNAG_05641,332
CNAG_05387L,CNAG_05387,361
CNAG_05590L,CNAG_05590,452
CNAG_07869L,CNAG_07869,325
CNAG_05340L,CNAG_05340,799
CNAG_05638L,CNAG_05638,301
CNAG_05639L,CNAG_05639,267
CNAG_06346L,CNAG_06346,363
CNAG_06347L,CNAG_06347,295
CNAG_06517L,CNAG_06517,353
CNAG_07939L,CNAG_07939,314
CNAG_06493L,CNAG_06493,263
CNAG_06201L,CNAG_06201,267
CNAG_06104L,CNAG_06104,614
CNAG_06081L,CNAG_06081,362
CNAG_07902L,CNAG_07902,262
CNAG_06241L,CNAG_06241,17
CNAG_06242L,CNAG_06242,9
CNAG_06186L,CNAG_06186,385
CNAG_07911L,CNAG_07911,270
CNAG_01551L,CNAG_01551,684
CNAG_01683L,CNAG_01683,277
CNAG_01983L,CNAG_01983,179
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,289
CNAG_01621L,CNAG_01621,299
CNAG_01988L,CNAG_01988,241
CNAG_01989L,CNAG_01989,249
CNAG_01939L,CNAG_01939,278
CNAG_01993L,CNAG_01993,203
CNAG_01992L,CNAG_01992,255
CNAG_01965L,CNAG_01965,260
CNAG_01562L,CNAG_01562,246
CNAG_01925L,CNAG_01925,256
CNAG_04756L,CNAG_04756,332
CNAG_04807L,CNAG_04807,461
CNAG_04837L,CNAG_04837,280
CNAG_04836L,CNAG_04836,270
CNAG_04737L,CNAG_04737,413
CNAG_04875L,CNAG_04875,297
CNAG_04874L,CNAG_04874,655
CNAG_04868L,CNAG_04868,96
CNAG_04752L,CNAG_04752,241
CNAG_04753L,CNAG_04753,2386
CNAG_04909L,CNAG_04909,283
CNAG_04908L,CNAG_04908,290
CNAG_04659L,CNAG_04659,236
CNAG_04623L,CNAG_04623,322
CNAG_04518L,CNAG_04518,231
CNAG_04517L,CNAG_04517,284
CNAG_07770L,CNAG_07770,215
CNAG_04436L,CNAG_04436,244
CNAG_04271L,CNAG_04271,369
CNAG_04270L,CNAG_04270,174
CNAG_03346L,CNAG_03346,361
CNAG_03433L,CNAG_03433,311
CNAG_03333L,CNAG_03333,418
CNAG_07742L,CNAG_07742,878
CNAG_03438L,CNAG_03438,234
CNAG_03223L,CNAG_03223,231
CNAG_03142L,CNAG_03142,237
CNAG_03143L,CNAG_03143,264
CNAG_03545L,CNAG_03545,376
CNAG_03161L,CNAG_03161,122
CNAG_03566L,CNAG_03566,274
CNAG_05835L,CNAG_05835,57
CNAG_05864L,CNAG_05864,167
CNAG_06567L,CNAG_06567,307
CNAG_05742L,CNAG_05742,18
CNAG_05743L,CNAG_05743,139
CNAG_05867L,CNAG_05867,217
CNAG_05685L,CNAG_05685,758
CNAG_05684L,CNAG_05684,177
CNAG_05785L,CNAG_05785,316
CNAG_05843L,CNAG_05843,41
CNAG_06554L,CNAG_06554,252
CNAG_02189L,CNAG_02189,172
CNAG_02188L,CNAG_02188,302
CNAG_02182L,CNAG_02182,251
CNAG_07631L,CNAG_07631,367
CNAG_02371L,CNAG_02371,260
CNAG_07633L,CNAG_07633,143
CNAG_01069L,CNAG_01069,268
CNAG_00896L,CNAG_00896,1027
CNAG_06719L,CNAG_06719,98
CNAG_03669L,CNAG_03669,231
CNAG_00031L,CNAG_00031,274
CNAG_07332L,CNAG_07332,179
CNAG_00285L,CNAG_00285,268
CNAG_00828L,CNAG_00828,275
CNAG_00830L,CNAG_00830,336
CNAG_00841L,CNAG_00841,275
CNAG_02774L,CNAG_02774,271
CNAG_06531L,CNAG_06531,508
CNAG_03279L,CNAG_03279,312
CNAG_03336L,CNAG_03336,368
CNAG_06339L,CNAG_06339,344
CNAG_03768L,CNAG_03768,310
CNAG_04534L,CNAG_04534,265
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,236
CNAG_05333L,CNAG_05333,288
CNAG_06425L,CNAG_06425,174
CNAG_03849L,CNAG_03849,721
CNAG_02603L,CNAG_02603,278
CNAG_02555L,CNAG_02555,349
CNAG_03431L,CNAG_03431,181
CNAG_05049L,CNAG_05049,202
CNAG_05380L,CNAG_05380,366
CNAG_03914L,CNAG_03914,347
CNAG_02476L,CNAG_02476,293
CNAG_07583L,CNAG_07583,229
CNAG_02466L,CNAG_02466,237
CNAG_05112L,CNAG_05112,289
CNAG_03366L,CNAG_03366,372
CNAG_03977L,CNAG_03977,143
CNAG_04090L,CNAG_04090,539
CNAG_00791L,CNAG_00791,242
CNAG_06751L,CNAG_06751,60
CNAG_05375L,CNAG_05375,3800
CNAG_02516L,CNAG_02516,291
CNAG_04804L,CNAG_04804,10
CNAG_00627L,CNAG_00627,305
CNAG_07725L,CNAG_07725,308
CNAG_06203L,CNAG_06203,266
CNAG_00193L,CNAG_00193,6
CNAG_00514L,CNAG_00514,4
CNAG_01883L,CNAG_01883,360
CNAG_03401L,CNAG_03401,257
CNAG_02435L,CNAG_02435,77
CNAG_05153L,CNAG_05153,14
CNAG_01708L,CNAG_01708,232
CNAG_03700L,CNAG_03700,317
CNAG_07320L,CNAG_07320,62
CNAG_05215L,CNAG_05215,216
CNAG_01438L,CNAG_01438,388
CNAG_07464L,CNAG_07464,620
CNAG_01858L,CNAG_01858,326
CNAG_04586L,CNAG_04586,76
CNAG_05093L,CNAG_05093,323
CNAG_05176L,CNAG_05176,258
CNAG_01014L,CNAG_01014,278
CNAG_00998L,CNAG_00998,262
CNAG_00039L,CNAG_00039,213
CNAG_07329L,CNAG_07329,27
CNAG_01454L,CNAG_01454,423
CNAG_02700L,CNAG_02700,13
CNAG_06327L,CNAG_06327,99
CNAG_03788L,CNAG_03788,267
CNAG_00871L,CNAG_00871,297
CNAG_00559L,CNAG_00559,13424
CNAG_07370L,CNAG_07370,386
CNAG_00732L,CNAG_00732,534
CNAG_04630L,CNAG_04630,362
CNAG_07940L,CNAG_07940,221
CNAG_02589L,CNAG_02589,337
CNAG_05067L,CNAG_05067,331
CNAG_01645L,CNAG_01645,837
CNAG_06134L,CNAG_06134,15
CNAG_01242L,CNAG_01242,13
CNAG_02788L,CNAG_02788,92
CNAG_07435L,CNAG_07435,19
