Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,260
CNAG_05515L,CNAG_05515,263
CNAG_05641L,CNAG_05641,179
CNAG_05387L,CNAG_05387,215
CNAG_05590L,CNAG_05590,427
CNAG_07869L,CNAG_07869,251
CNAG_05340L,CNAG_05340,309
CNAG_05638L,CNAG_05638,196
CNAG_05639L,CNAG_05639,157
CNAG_06346L,CNAG_06346,223
CNAG_06347L,CNAG_06347,197
CNAG_06517L,CNAG_06517,226
CNAG_07939L,CNAG_07939,202
CNAG_06493L,CNAG_06493,179
CNAG_06201L,CNAG_06201,157
CNAG_06104L,CNAG_06104,167
CNAG_06081L,CNAG_06081,236
CNAG_07902L,CNAG_07902,195
CNAG_06241L,CNAG_06241,128
CNAG_06242L,CNAG_06242,157
CNAG_06186L,CNAG_06186,174
CNAG_07911L,CNAG_07911,228
CNAG_01551L,CNAG_01551,213
CNAG_01683L,CNAG_01683,158
CNAG_01983L,CNAG_01983,227
CNAG_01902L,CNAG_01902,26
CNAG_01680L,CNAG_01680,188
CNAG_01621L,CNAG_01621,155
CNAG_01988L,CNAG_01988,133
CNAG_01989L,CNAG_01989,172
CNAG_01939L,CNAG_01939,182
CNAG_01993L,CNAG_01993,164
CNAG_01992L,CNAG_01992,184
CNAG_01965L,CNAG_01965,185
CNAG_01562L,CNAG_01562,176
CNAG_01925L,CNAG_01925,173
CNAG_04756L,CNAG_04756,214
CNAG_04807L,CNAG_04807,233
CNAG_04837L,CNAG_04837,184
CNAG_04836L,CNAG_04836,158
CNAG_04737L,CNAG_04737,268
CNAG_04875L,CNAG_04875,188
CNAG_04874L,CNAG_04874,413
CNAG_04868L,CNAG_04868,71
CNAG_04752L,CNAG_04752,149
CNAG_04753L,CNAG_04753,1291
CNAG_04909L,CNAG_04909,144
CNAG_04908L,CNAG_04908,223
CNAG_04659L,CNAG_04659,174
CNAG_04623L,CNAG_04623,168
CNAG_04518L,CNAG_04518,162
CNAG_04517L,CNAG_04517,197
CNAG_07770L,CNAG_07770,173
CNAG_04436L,CNAG_04436,160
CNAG_04271L,CNAG_04271,177
CNAG_04270L,CNAG_04270,163
CNAG_03346L,CNAG_03346,193
CNAG_03433L,CNAG_03433,183
CNAG_03333L,CNAG_03333,217
CNAG_07742L,CNAG_07742,604
CNAG_03438L,CNAG_03438,167
CNAG_03223L,CNAG_03223,428
CNAG_03142L,CNAG_03142,169
CNAG_03143L,CNAG_03143,194
CNAG_03545L,CNAG_03545,275
CNAG_03161L,CNAG_03161,174
CNAG_03566L,CNAG_03566,157
CNAG_05835L,CNAG_05835,248
CNAG_05864L,CNAG_05864,182
CNAG_06567L,CNAG_06567,222
CNAG_05742L,CNAG_05742,126
CNAG_05743L,CNAG_05743,143
CNAG_05867L,CNAG_05867,130
CNAG_05685L,CNAG_05685,510
CNAG_05684L,CNAG_05684,138
CNAG_05785L,CNAG_05785,143
CNAG_05843L,CNAG_05843,87
CNAG_06554L,CNAG_06554,181
CNAG_02189L,CNAG_02189,201
CNAG_02188L,CNAG_02188,206
CNAG_02182L,CNAG_02182,183
CNAG_07631L,CNAG_07631,259
CNAG_02371L,CNAG_02371,146
CNAG_07633L,CNAG_07633,155
CNAG_01069L,CNAG_01069,191
CNAG_00896L,CNAG_00896,598
CNAG_06719L,CNAG_06719,72
CNAG_03669L,CNAG_03669,207
CNAG_00031L,CNAG_00031,174
CNAG_07332L,CNAG_07332,135
CNAG_00285L,CNAG_00285,165
CNAG_00828L,CNAG_00828,167
CNAG_00830L,CNAG_00830,186
CNAG_00841L,CNAG_00841,156
CNAG_02774L,CNAG_02774,187
CNAG_06531L,CNAG_06531,399
CNAG_03279L,CNAG_03279,216
CNAG_03336L,CNAG_03336,346
CNAG_06339L,CNAG_06339,234
CNAG_03768L,CNAG_03768,213
CNAG_04534L,CNAG_04534,167
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,198
CNAG_05333L,CNAG_05333,177
CNAG_06425L,CNAG_06425,189
CNAG_03849L,CNAG_03849,371
CNAG_02603L,CNAG_02603,183
CNAG_02555L,CNAG_02555,196
CNAG_03431L,CNAG_03431,137
CNAG_05049L,CNAG_05049,139
CNAG_05380L,CNAG_05380,218
CNAG_03914L,CNAG_03914,210
CNAG_02476L,CNAG_02476,193
CNAG_07583L,CNAG_07583,136
CNAG_02466L,CNAG_02466,154
CNAG_05112L,CNAG_05112,167
CNAG_03366L,CNAG_03366,217
CNAG_03977L,CNAG_03977,138
CNAG_04090L,CNAG_04090,735
CNAG_00791L,CNAG_00791,135
CNAG_06751L,CNAG_06751,160
CNAG_05375L,CNAG_05375,2096
CNAG_02516L,CNAG_02516,172
CNAG_04804L,CNAG_04804,155
CNAG_00627L,CNAG_00627,207
CNAG_07725L,CNAG_07725,247
CNAG_06203L,CNAG_06203,172
CNAG_00193L,CNAG_00193,131
CNAG_00514L,CNAG_00514,11
CNAG_01883L,CNAG_01883,213
CNAG_03401L,CNAG_03401,130
CNAG_02435L,CNAG_02435,145
CNAG_05153L,CNAG_05153,26
CNAG_01708L,CNAG_01708,143
CNAG_03700L,CNAG_03700,186
CNAG_07320L,CNAG_07320,35
CNAG_05215L,CNAG_05215,249
CNAG_01438L,CNAG_01438,164
CNAG_07464L,CNAG_07464,188
CNAG_01858L,CNAG_01858,236
CNAG_04586L,CNAG_04586,158
CNAG_05093L,CNAG_05093,217
CNAG_05176L,CNAG_05176,140
