Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,710
CNAG_05387R,CNAG_05387,646
CNAG_05638R,CNAG_05638,468
CNAG_05639R,CNAG_05639,393
CNAG_06346R,CNAG_06346,613
CNAG_06347R,CNAG_06347,494
CNAG_06517R,CNAG_06517,567
CNAG_06201R,CNAG_06201,401
CNAG_06104R,CNAG_06104,337
CNAG_07902R,CNAG_07902,590
CNAG_06241R,CNAG_06241,35
CNAG_06242R,CNAG_06242,61
CNAG_07911R,CNAG_07911,458
CNAG_01683R,CNAG_01683,494
CNAG_01902R,CNAG_01902,8
CNAG_01680R,CNAG_01680,461
CNAG_01989R,CNAG_01989,317
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,83
CNAG_01925R,CNAG_01925,448
CNAG_04756R,CNAG_04756,1
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,495
CNAG_04836R,CNAG_04836,436
CNAG_04875R,CNAG_04875,399
CNAG_04868R,CNAG_04868,136
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,523
CNAG_04517R,CNAG_04517,390
CNAG_07770R,CNAG_07770,462
CNAG_04271R,CNAG_04271,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,560
CNAG_07742R,CNAG_07742,930
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,413
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,438
CNAG_06567R,CNAG_06567,2
CNAG_05867R,CNAG_05867,327
CNAG_05684R,CNAG_05684,402
CNAG_02189R,CNAG_02189,445
CNAG_02371R,CNAG_02371,401
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,368
CNAG_03669R,CNAG_03669,460
CNAG_00031R,CNAG_00031,2
CNAG_07332R,CNAG_07332,297
CNAG_00285R,CNAG_00285,493
CNAG_00830R,CNAG_00830,487
CNAG_00841R,CNAG_00841,441
CNAG_06531R,CNAG_06531,775
CNAG_03279R,CNAG_03279,514
CNAG_03336R,CNAG_03336,601
CNAG_06339R,CNAG_06339,637
CNAG_03768R,CNAG_03768,485
CNAG_04534R,CNAG_04534,471
CNAG_01973R,CNAG_01973,340
CNAG_07867R,CNAG_07867,443
CNAG_05333R,CNAG_05333,521
CNAG_06425R,CNAG_06425,356
CNAG_03849R,CNAG_03849,545
CNAG_02603R,CNAG_02603,427
CNAG_02555R,CNAG_02555,595
CNAG_02525R,CNAG_02525,64
CNAG_03431R,CNAG_03431,369
CNAG_05049R,CNAG_05049,405
CNAG_03914R,CNAG_03914,546
CNAG_02476R,CNAG_02476,457
CNAG_07583R,CNAG_07583,451
CNAG_05112R,CNAG_05112,379
CNAG_03366R,CNAG_03366,534
CNAG_04090R,CNAG_04090,620
CNAG_00791R,CNAG_00791,444
CNAG_05375R,CNAG_05375,6303
CNAG_02516R,CNAG_02516,416
CNAG_04804R,CNAG_04804,18
CNAG_06203R,CNAG_06203,411
CNAG_00193R,CNAG_00193,4
