Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,147
CNAG_05515L,CNAG_05515,651
CNAG_05641L,CNAG_05641,458
CNAG_05387L,CNAG_05387,572
CNAG_05590L,CNAG_05590,526
CNAG_07869L,CNAG_07869,517
CNAG_05340L,CNAG_05340,454
CNAG_05638L,CNAG_05638,489
CNAG_05639L,CNAG_05639,376
CNAG_06346L,CNAG_06346,576
CNAG_06347L,CNAG_06347,489
CNAG_06517L,CNAG_06517,595
CNAG_07939L,CNAG_07939,484
CNAG_06493L,CNAG_06493,358
CNAG_06201L,CNAG_06201,503
CNAG_06104L,CNAG_06104,359
CNAG_06081L,CNAG_06081,589
CNAG_07902L,CNAG_07902,448
CNAG_06241L,CNAG_06241,32
CNAG_06242L,CNAG_06242,51
CNAG_06186L,CNAG_06186,508
CNAG_07911L,CNAG_07911,454
CNAG_01551L,CNAG_01551,359
CNAG_01683L,CNAG_01683,441
CNAG_01983L,CNAG_01983,388
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,492
CNAG_01621L,CNAG_01621,484
CNAG_01988L,CNAG_01988,354
CNAG_01989L,CNAG_01989,379
CNAG_01939L,CNAG_01939,500
CNAG_01993L,CNAG_01993,397
CNAG_01992L,CNAG_01992,452
CNAG_01965L,CNAG_01965,467
CNAG_01562L,CNAG_01562,427
CNAG_01925L,CNAG_01925,465
CNAG_04756L,CNAG_04756,545
CNAG_04807L,CNAG_04807,580
CNAG_04837L,CNAG_04837,472
CNAG_04836L,CNAG_04836,405
CNAG_04737L,CNAG_04737,600
CNAG_04875L,CNAG_04875,364
CNAG_04874L,CNAG_04874,1082
CNAG_04868L,CNAG_04868,125
CNAG_04752L,CNAG_04752,503
CNAG_04753L,CNAG_04753,2942
CNAG_04909L,CNAG_04909,411
CNAG_04908L,CNAG_04908,426
CNAG_04659L,CNAG_04659,350
CNAG_04623L,CNAG_04623,438
CNAG_04518L,CNAG_04518,476
CNAG_04517L,CNAG_04517,495
CNAG_07770L,CNAG_07770,420
CNAG_04436L,CNAG_04436,353
CNAG_04271L,CNAG_04271,398
CNAG_04270L,CNAG_04270,346
CNAG_03346L,CNAG_03346,534
CNAG_03433L,CNAG_03433,459
CNAG_03333L,CNAG_03333,563
CNAG_07742L,CNAG_07742,1414
CNAG_03438L,CNAG_03438,240
CNAG_03223L,CNAG_03223,517
CNAG_03142L,CNAG_03142,374
CNAG_03143L,CNAG_03143,379
CNAG_03545L,CNAG_03545,553
CNAG_03161L,CNAG_03161,174
CNAG_03566L,CNAG_03566,430
CNAG_05835L,CNAG_05835,285
CNAG_05864L,CNAG_05864,306
CNAG_06567L,CNAG_06567,494
CNAG_05742L,CNAG_05742,18
CNAG_05743L,CNAG_05743,199
CNAG_05867L,CNAG_05867,311
CNAG_05685L,CNAG_05685,1178
CNAG_05684L,CNAG_05684,411
CNAG_05785L,CNAG_05785,369
CNAG_05843L,CNAG_05843,26
CNAG_06554L,CNAG_06554,477
CNAG_02189L,CNAG_02189,507
CNAG_02188L,CNAG_02188,413
CNAG_02182L,CNAG_02182,486
CNAG_07631L,CNAG_07631,520
CNAG_02371L,CNAG_02371,343
CNAG_07633L,CNAG_07633,368
CNAG_01069L,CNAG_01069,409
CNAG_00896L,CNAG_00896,1809
CNAG_06719L,CNAG_06719,105
CNAG_03669L,CNAG_03669,393
CNAG_00031L,CNAG_00031,442
CNAG_07332L,CNAG_07332,376
CNAG_00285L,CNAG_00285,479
CNAG_00828L,CNAG_00828,405
CNAG_00830L,CNAG_00830,509
CNAG_00841L,CNAG_00841,380
CNAG_02774L,CNAG_02774,407
CNAG_06531L,CNAG_06531,785
CNAG_03279L,CNAG_03279,478
CNAG_03336L,CNAG_03336,599
CNAG_06339L,CNAG_06339,623
CNAG_03768L,CNAG_03768,490
CNAG_04534L,CNAG_04534,462
CNAG_07867L,CNAG_07867,380
CNAG_05333L,CNAG_05333,517
CNAG_06425L,CNAG_06425,369
CNAG_03849L,CNAG_03849,1035
CNAG_02603L,CNAG_02603,407
CNAG_02555L,CNAG_02555,501
CNAG_03431L,CNAG_03431,336
CNAG_05049L,CNAG_05049,309
CNAG_05380L,CNAG_05380,404
CNAG_03914L,CNAG_03914,612
CNAG_02476L,CNAG_02476,507
CNAG_07583L,CNAG_07583,409
CNAG_02466L,CNAG_02466,394
CNAG_05112L,CNAG_05112,515
CNAG_03366L,CNAG_03366,599
CNAG_03977L,CNAG_03977,208
CNAG_04090L,CNAG_04090,693
CNAG_00791L,CNAG_00791,348
CNAG_06751L,CNAG_06751,330
CNAG_05375L,CNAG_05375,5432
CNAG_02516L,CNAG_02516,524
CNAG_04804L,CNAG_04804,16
CNAG_00627L,CNAG_00627,512
CNAG_07725L,CNAG_07725,543
CNAG_06203L,CNAG_06203,469
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,679
CNAG_03401L,CNAG_03401,399
CNAG_02435L,CNAG_02435,434
CNAG_05153L,CNAG_05153,7
CNAG_01708L,CNAG_01708,296
CNAG_03700L,CNAG_03700,564
CNAG_07320L,CNAG_07320,76
CNAG_05215L,CNAG_05215,409
CNAG_01438L,CNAG_01438,399
CNAG_07464L,CNAG_07464,482
CNAG_01858L,CNAG_01858,629
CNAG_04586L,CNAG_04586,330
CNAG_05093L,CNAG_05093,496
CNAG_05176L,CNAG_05176,419
CNAG_01014L,CNAG_01014,479
CNAG_00998L,CNAG_00998,362
CNAG_00039L,CNAG_00039,550
CNAG_07329L,CNAG_07329,56
CNAG_01454L,CNAG_01454,478
CNAG_02700L,CNAG_02700,21
CNAG_06327L,CNAG_06327,104
CNAG_03788L,CNAG_03788,374
CNAG_00871L,CNAG_00871,458
CNAG_00559L,CNAG_00559,14386
CNAG_07370L,CNAG_07370,566
CNAG_00732L,CNAG_00732,631
CNAG_04630L,CNAG_04630,536
CNAG_07940L,CNAG_07940,455
CNAG_02589L,CNAG_02589,500
CNAG_05067L,CNAG_05067,538
CNAG_01645L,CNAG_01645,1376
CNAG_06134L,CNAG_06134,129
CNAG_01242L,CNAG_01242,61
CNAG_02788L,CNAG_02788,100
CNAG_07435L,CNAG_07435,8
CNAG_03998L,CNAG_03998,398
CNAG_07924L,CNAG_07924,720
CNAG_01071L,CNAG_01071,354
CNAG_00883L,CNAG_00883,461
CNAG_03741L,CNAG_03741,458
CNAG_03745L,CNAG_03745,573
CNAG_00192L,CNAG_00192,446
CNAG_00670L,CNAG_00670,476
CNAG_06871L,CNAG_06871,581
CNAG_04457L,CNAG_04457,479
CNAG_02723L,CNAG_02723,528
CNAG_04588L,CNAG_04588,225
CNAG_01977L,CNAG_01977,420
CNAG_03894L,CNAG_03894,534
CNAG_04012L,CNAG_04012,526
CNAG_03561L,CNAG_03561,371
CNAG_05170L,CNAG_05170,425
CNAG_04041L,CNAG_04041,111
CNAG_02364L,CNAG_02364,478
CNAG_04093L,CNAG_04093,487
CNAG_02322L,CNAG_02322,488
CNAG_04184L,CNAG_04184,484
CNAG_05255L,CNAG_05255,479
CNAG_05642L,CNAG_05642,297
CNAG_03059L,CNAG_03059,418
CNAG_03018L,CNAG_03018,400
CNAG_07901L,CNAG_07901,382
CNAG_03086L,CNAG_03086,437
CNAG_04916L,CNAG_04916,332
