Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,53
CNAG_05515L,CNAG_05515,621
CNAG_05641L,CNAG_05641,371
CNAG_05387L,CNAG_05387,455
CNAG_05590L,CNAG_05590,712
CNAG_07869L,CNAG_07869,387
CNAG_05340L,CNAG_05340,162
CNAG_05638L,CNAG_05638,323
CNAG_05639L,CNAG_05639,218
CNAG_06346L,CNAG_06346,337
CNAG_06347L,CNAG_06347,364
CNAG_06517L,CNAG_06517,448
CNAG_07939L,CNAG_07939,306
CNAG_06493L,CNAG_06493,311
CNAG_06201L,CNAG_06201,332
CNAG_06104L,CNAG_06104,41
CNAG_06081L,CNAG_06081,367
CNAG_07902L,CNAG_07902,332
CNAG_06241L,CNAG_06241,190
CNAG_06242L,CNAG_06242,237
CNAG_06186L,CNAG_06186,272
CNAG_07911L,CNAG_07911,417
CNAG_01551L,CNAG_01551,269
CNAG_01683L,CNAG_01683,283
CNAG_01983L,CNAG_01983,296
CNAG_01902L,CNAG_01902,8
CNAG_01680L,CNAG_01680,311
CNAG_01621L,CNAG_01621,318
CNAG_01988L,CNAG_01988,277
CNAG_01989L,CNAG_01989,369
CNAG_01939L,CNAG_01939,320
CNAG_01993L,CNAG_01993,279
CNAG_01992L,CNAG_01992,348
CNAG_01965L,CNAG_01965,323
CNAG_01562L,CNAG_01562,262
CNAG_01925L,CNAG_01925,324
CNAG_04756L,CNAG_04756,398
CNAG_04807L,CNAG_04807,375
CNAG_04837L,CNAG_04837,329
CNAG_04836L,CNAG_04836,295
CNAG_04737L,CNAG_04737,473
CNAG_04875L,CNAG_04875,210
CNAG_04874L,CNAG_04874,806
CNAG_04868L,CNAG_04868,66
CNAG_04752L,CNAG_04752,246
CNAG_04753L,CNAG_04753,3213
CNAG_04909L,CNAG_04909,389
CNAG_04908L,CNAG_04908,349
CNAG_04659L,CNAG_04659,278
CNAG_04623L,CNAG_04623,272
CNAG_04518L,CNAG_04518,247
CNAG_04517L,CNAG_04517,334
CNAG_07770L,CNAG_07770,384
CNAG_04436L,CNAG_04436,173
CNAG_04271L,CNAG_04271,260
CNAG_04270L,CNAG_04270,244
CNAG_03346L,CNAG_03346,423
CNAG_03433L,CNAG_03433,361
CNAG_03333L,CNAG_03333,417
CNAG_07742L,CNAG_07742,975
CNAG_03438L,CNAG_03438,77
CNAG_03223L,CNAG_03223,486
CNAG_03142L,CNAG_03142,243
CNAG_03143L,CNAG_03143,285
CNAG_03545L,CNAG_03545,411
CNAG_03161L,CNAG_03161,198
CNAG_03566L,CNAG_03566,299
CNAG_05835L,CNAG_05835,392
CNAG_05864L,CNAG_05864,308
CNAG_06567L,CNAG_06567,412
CNAG_05742L,CNAG_05742,293
CNAG_05743L,CNAG_05743,98
CNAG_05867L,CNAG_05867,236
CNAG_05685L,CNAG_05685,942
CNAG_05684L,CNAG_05684,457
CNAG_05785L,CNAG_05785,334
CNAG_05843L,CNAG_05843,29
CNAG_06554L,CNAG_06554,339
CNAG_02189L,CNAG_02189,407
CNAG_02188L,CNAG_02188,386
CNAG_02182L,CNAG_02182,313
CNAG_07631L,CNAG_07631,393
CNAG_02371L,CNAG_02371,360
CNAG_07633L,CNAG_07633,516
CNAG_01069L,CNAG_01069,353
CNAG_00896L,CNAG_00896,1096
CNAG_06719L,CNAG_06719,101
CNAG_03669L,CNAG_03669,365
CNAG_00031L,CNAG_00031,299
CNAG_07332L,CNAG_07332,233
CNAG_00285L,CNAG_00285,387
CNAG_00828L,CNAG_00828,281
CNAG_00830L,CNAG_00830,297
CNAG_00841L,CNAG_00841,333
CNAG_02774L,CNAG_02774,307
CNAG_06531L,CNAG_06531,586
CNAG_03279L,CNAG_03279,368
CNAG_03336L,CNAG_03336,475
CNAG_06339L,CNAG_06339,462
CNAG_03768L,CNAG_03768,373
CNAG_04534L,CNAG_04534,328
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,307
CNAG_05333L,CNAG_05333,444
CNAG_06425L,CNAG_06425,243
CNAG_03849L,CNAG_03849,759
CNAG_02603L,CNAG_02603,326
CNAG_02555L,CNAG_02555,363
CNAG_03431L,CNAG_03431,321
CNAG_05049L,CNAG_05049,234
CNAG_05380L,CNAG_05380,271
CNAG_03914L,CNAG_03914,262
CNAG_02476L,CNAG_02476,299
CNAG_07583L,CNAG_07583,331
CNAG_02466L,CNAG_02466,278
CNAG_05112L,CNAG_05112,328
CNAG_03366L,CNAG_03366,440
CNAG_03977L,CNAG_03977,167
CNAG_04090L,CNAG_04090,990
CNAG_00791L,CNAG_00791,283
CNAG_06751L,CNAG_06751,191
CNAG_05375L,CNAG_05375,3560
CNAG_02516L,CNAG_02516,303
CNAG_04804L,CNAG_04804,279
CNAG_00627L,CNAG_00627,345
CNAG_07725L,CNAG_07725,356
